"id","name","base","line","rule","keep_next","has_keep_next","keep_lines","page_before"
"SchwacherVerweis","Subtle Reference","VerbatimChar","","","",FALSE,"",""
"FloatTok","FloatTok","VerbatimChar","","","",FALSE,"",""
"SpecialCharTok","SpecialCharTok","VerbatimChar","","","",FALSE,"",""
"StringTok","StringTok","VerbatimChar","","","",FALSE,"",""
"CommentTok","CommentTok","VerbatimChar","","","",FALSE,"",""
"OtherTok","OtherTok","VerbatimChar","","","",FALSE,"",""
"FunctionTok","FunctionTok","VerbatimChar","","","",FALSE,"",""
"NormalTok","NormalTok","VerbatimChar","","","",FALSE,"",""
"FirstParagraph","First Paragraph","Textkrper","","","",FALSE,"",""
"ControlFlowTok","ControlFlowTok","VerbatimChar","","","",FALSE,"",""
"AttributeTok","AttributeTok","VerbatimChar","","","",FALSE,"",""
"Hervorhebung","Emphasis","Absatz-Standardschriftart","","","",FALSE,"",""
"SchwacheHervorhebung","Subtle Emphasis","Absatz-Standardschriftart","","","",FALSE,"",""
"DecValTok","DecValTok","VerbatimChar","","","",FALSE,"",""
"IntensiveHervorhebung","Intense Emphasis","Absatz-Standardschriftart","","","",FALSE,"",""
"ConstantTok","ConstantTok","VerbatimChar","","","",FALSE,"",""
"Blocktext","Block Text","Textkrper","240","auto","",FALSE,"",""
"KeywordTok","KeywordTok","VerbatimChar","","","",FALSE,"",""
"DataTypeTok","DataTypeTok","VerbatimChar","","","",FALSE,"",""
"BaseNTok","BaseNTok","VerbatimChar","","","",FALSE,"",""
"CharTok","CharTok","VerbatimChar","","","",FALSE,"",""
"VerbatimStringTok","VerbatimStringTok","VerbatimChar","","","",FALSE,"",""
"SpecialStringTok","SpecialStringTok","VerbatimChar","","","",FALSE,"",""
"ImportTok","ImportTok","VerbatimChar","","","",FALSE,"",""
"DocumentationTok","DocumentationTok","VerbatimChar","","","",FALSE,"",""
"AnnotationTok","AnnotationTok","VerbatimChar","","","",FALSE,"",""
"CommentVarTok","CommentVarTok","VerbatimChar","","","",FALSE,"",""
"VariableTok","VariableTok","VerbatimChar","","","",FALSE,"",""
"OperatorTok","OperatorTok","VerbatimChar","","","",FALSE,"",""
"BuiltInTok","BuiltInTok","VerbatimChar","","","",FALSE,"",""
"ExtensionTok","ExtensionTok","VerbatimChar","","","",FALSE,"",""
"PreprocessorTok","PreprocessorTok","VerbatimChar","","","",FALSE,"",""
"RegionMarkerTok","RegionMarkerTok","VerbatimChar","","","",FALSE,"",""
"InformationTok","InformationTok","VerbatimChar","","","",FALSE,"",""
"WarningTok","WarningTok","VerbatimChar","","","",FALSE,"",""
"AlertTok","AlertTok","VerbatimChar","","","",FALSE,"",""
"ErrorTok","ErrorTok","VerbatimChar","","","",FALSE,"",""
