placement,scope,site,stage_order,stage_branch,stage,participants,participant_days,true_utc_minutes,wall_minutes,finite_medi_minutes,finite_light_minutes
chest,site,FUSPCEU,2,MEDI,precoverage_medi_finite,22,174,210380,210260,210380,210380
chest,site,FUSPCEU,3,LIGHT,precoverage_light_finite,22,174,210382,210262,210380,210382
chest,site,FUSPCEU,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,22,123,177240,177120,173415,173417
chest,site,FUSPCEU,5,coverage,primary_day_eligible_real_minutes,22,123,177240,177120,173415,173417
chest,site,FUSPCEU,6,MEDI,medi_eligible_real_minutes,22,123,173415,173295,173415,173415
chest,site,FUSPCEU,7,LIGHT,light_eligible_real_minutes,22,123,173417,173297,173415,173417
chest,site,FUSPCEU,8,hourly_metric,hourly_metric_eligible_real_minutes,22,123,173760,173640,172948,172950
chest,site,FUSPCEU,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,22,122,172560,172440,171808,171810
chest,site,IZTECH,1,common,aligned_real_minutes,17,140,201600,201600,169109,169114
chest,site,IZTECH,2,MEDI,precoverage_medi_finite,17,140,169109,169109,169109,169109
chest,site,IZTECH,3,LIGHT,precoverage_light_finite,17,140,169114,169114,169109,169114
chest,site,IZTECH,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,17,104,149760,149760,145164,145169
chest,site,IZTECH,5,coverage,primary_day_eligible_real_minutes,17,102,146880,146880,142284,142289
chest,site,IZTECH,6,MEDI,medi_eligible_real_minutes,17,102,142284,142284,142284,142284
chest,site,IZTECH,7,LIGHT,light_eligible_real_minutes,17,102,142289,142289,142284,142289
chest,site,IZTECH,8,hourly_metric,hourly_metric_eligible_real_minutes,17,102,142500,142500,141386,141391
chest,site,IZTECH,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,17,101,141360,141360,140249,140254
chest,site,KNUST,1,common,aligned_real_minutes,15,118,169920,169920,134855,134855
chest,site,KNUST,2,MEDI,precoverage_medi_finite,15,118,134855,134855,134855,134855
chest,site,KNUST,3,LIGHT,precoverage_light_finite,15,118,134855,134855,134855,134855
chest,site,KNUST,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,15,84,120960,120960,114899,114899
chest,site,KNUST,5,coverage,primary_day_eligible_real_minutes,15,84,120960,120960,114899,114899
chest,site,KNUST,6,MEDI,medi_eligible_real_minutes,15,84,114899,114899,114899,114899
chest,site,KNUST,7,LIGHT,light_eligible_real_minutes,15,84,114899,114899,114899,114899
chest,site,KNUST,8,hourly_metric,hourly_metric_eligible_real_minutes,15,84,115980,115980,114036,114036
chest,site,KNUST,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,15,83,114840,114840,112903,112903
chest,site,RISE,1,common,aligned_real_minutes,17,137,197220,197220,160812,160861
chest,site,RISE,2,MEDI,precoverage_medi_finite,17,137,160812,160812,160812,160812
chest,site,RISE,3,LIGHT,precoverage_light_finite,17,137,160861,160861,160812,160861
chest,site,RISE,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,16,96,138180,138180,133942,133990
chest,site,RISE,5,coverage,primary_day_eligible_real_minutes,16,96,138180,138180,133942,133990
chest,site,RISE,6,MEDI,medi_eligible_real_minutes,16,96,133942,133942,133942,133942
chest,site,RISE,7,LIGHT,light_eligible_real_minutes,16,96,133990,133990,133942,133990
chest,site,RISE,8,hourly_metric,hourly_metric_eligible_real_minutes,16,96,134700,134700,133479,133527
chest,site,RISE,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,16,96,134700,134700,133479,133527
chest,site,THUAS,1,common,aligned_real_minutes,15,125,179940,179940,151517,151518
chest,site,THUAS,2,MEDI,precoverage_medi_finite,15,125,151517,151517,151517,151517
chest,site,THUAS,3,LIGHT,precoverage_light_finite,15,125,151518,151518,151517,151518
chest,site,THUAS,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,15,94,135300,135300,130548,130549
chest,site,THUAS,5,coverage,primary_day_eligible_real_minutes,15,93,133860,133860,129108,129109
chest,site,THUAS,6,MEDI,medi_eligible_real_minutes,15,93,129108,129108,129108,129108
chest,site,THUAS,7,LIGHT,light_eligible_real_minutes,15,93,129109,129109,129108,129109
chest,site,THUAS,8,hourly_metric,hourly_metric_eligible_real_minutes,15,93,129480,129480,128453,128454
chest,site,THUAS,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,15,93,129480,129480,128453,128454
chest,site,TUM,1,common,aligned_real_minutes,10,80,115200,115200,93606,93626
chest,site,TUM,2,MEDI,precoverage_medi_finite,10,80,93606,93606,93606,93606
chest,site,TUM,3,LIGHT,precoverage_light_finite,10,80,93626,93626,93606,93626
chest,site,TUM,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,10,60,86400,86400,82452,82472
chest,site,TUM,5,coverage,primary_day_eligible_real_minutes,10,60,86400,86400,82452,82472
chest,site,TUM,6,MEDI,medi_eligible_real_minutes,10,60,82452,82452,82452,82452
chest,site,TUM,7,LIGHT,light_eligible_real_minutes,10,60,82472,82472,82452,82472
chest,site,TUM,8,hourly_metric,hourly_metric_eligible_real_minutes,10,60,83400,83400,81933,81953
chest,site,TUM,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,10,60,83400,83400,81933,81953
chest,site,UCR,1,common,aligned_real_minutes,39,312,449280,449280,369938,369939
chest,site,UCR,2,MEDI,precoverage_medi_finite,39,312,369938,369938,369938,369938
chest,site,UCR,3,LIGHT,precoverage_light_finite,39,312,369939,369939,369938,369939
chest,site,UCR,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,39,230,331200,331200,318331,318332
chest,site,UCR,5,coverage,primary_day_eligible_real_minutes,39,230,331200,331200,318331,318332
chest,site,UCR,6,MEDI,medi_eligible_real_minutes,39,230,318331,318331,318331,318331
chest,site,UCR,7,LIGHT,light_eligible_real_minutes,39,230,318332,318332,318331,318332
chest,site,UCR,8,hourly_metric,hourly_metric_eligible_real_minutes,39,230,320700,320700,316587,316588
chest,site,UCR,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,39,226,316140,316140,312073,312074
glasses,overall,ALL,1,common,aligned_real_minutes,143,1136,1635960,1635720,1341057,1341109
glasses,overall,ALL,2,MEDI,precoverage_medi_finite,143,1135,1341057,1340937,1341057,1341057
glasses,overall,ALL,3,LIGHT,precoverage_light_finite,143,1135,1341109,1340989,1341057,1341109
glasses,overall,ALL,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,141,818,1178040,1177800,1133940,1133986
glasses,overall,ALL,5,coverage,primary_day_eligible_real_minutes,141,816,1175160,1174920,1131060,1131106
glasses,overall,ALL,6,MEDI,medi_eligible_real_minutes,141,816,1131060,1130940,1131060,1131060
glasses,overall,ALL,7,LIGHT,light_eligible_real_minutes,141,816,1131106,1130986,1131060,1131106
glasses,overall,ALL,8,hourly_metric,hourly_metric_eligible_real_minutes,141,816,1137420,1137180,1125323,1125369
glasses,overall,ALL,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,141,809,1129380,1129140,1117381,1117427
glasses,site,BAUA,1,common,aligned_real_minutes,19,145,208800,208800,174065,174065
glasses,site,BAUA,2,MEDI,precoverage_medi_finite,19,145,174065,174065,174065,174065
glasses,site,BAUA,3,LIGHT,precoverage_light_finite,19,145,174065,174065,174065,174065
glasses,site,BAUA,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,18,107,154080,154080,148580,148580
glasses,site,BAUA,5,coverage,primary_day_eligible_real_minutes,18,107,154080,154080,148580,148580
glasses,site,BAUA,6,MEDI,medi_eligible_real_minutes,18,107,148580,148580,148580,148580
glasses,site,BAUA,7,LIGHT,light_eligible_real_minutes,18,107,148580,148580,148580,148580
glasses,site,BAUA,8,hourly_metric,hourly_metric_eligible_real_minutes,18,107,149340,149340,147957,147957
glasses,site,BAUA,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,18,106,148200,148200,146820,146820
glasses,site,FUSPCEU,1,common,aligned_real_minutes,23,182,262200,262080,219549,219550
glasses,site,FUSPCEU,2,MEDI,precoverage_medi_finite,23,182,219549,219429,219549,219549
glasses,site,FUSPCEU,3,LIGHT,precoverage_light_finite,23,182,219550,219430,219549,219550
glasses,site,FUSPCEU,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,23,129,185880,185760,181510,181510
glasses,site,FUSPCEU,5,coverage,primary_day_eligible_real_minutes,23,129,185880,185760,181510,181510
glasses,site,FUSPCEU,6,MEDI,medi_eligible_real_minutes,23,129,181510,181390,181510,181510
glasses,site,FUSPCEU,7,LIGHT,light_eligible_real_minutes,23,129,181510,181390,181510,181510
glasses,site,FUSPCEU,8,hourly_metric,hourly_metric_eligible_real_minutes,23,129,181860,181740,180995,180995
glasses,site,FUSPCEU,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,23,127,179520,179400,178715,178715
glasses,site,IZTECH,1,common,aligned_real_minutes,17,140,201600,201600,168614,168615
glasses,site,IZTECH,2,MEDI,precoverage_medi_finite,17,140,168614,168614,168614,168614
glasses,site,IZTECH,3,LIGHT,precoverage_light_finite,17,140,168615,168615,168614,168615
glasses,site,IZTECH,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,17,103,148320,148320,143765,143766
glasses,site,IZTECH,5,coverage,primary_day_eligible_real_minutes,17,101,145440,145440,140885,140886
glasses,site,IZTECH,6,MEDI,medi_eligible_real_minutes,17,101,140885,140885,140885,140885
glasses,site,IZTECH,7,LIGHT,light_eligible_real_minutes,17,101,140886,140886,140885,140886
glasses,site,IZTECH,8,hourly_metric,hourly_metric_eligible_real_minutes,17,101,141120,141120,140010,140011
glasses,site,IZTECH,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,17,100,139980,139980,138873,138874
glasses,site,KNUST,1,common,aligned_real_minutes,15,119,171360,171360,134295,134308
glasses,site,KNUST,2,MEDI,precoverage_medi_finite,15,118,134295,134295,134295,134295
glasses,site,KNUST,3,LIGHT,precoverage_light_finite,15,118,134308,134308,134295,134308
glasses,site,KNUST,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,15,81,116640,116640,110760,110772
glasses,site,KNUST,5,coverage,primary_day_eligible_real_minutes,15,81,116640,116640,110760,110772
glasses,site,KNUST,6,MEDI,medi_eligible_real_minutes,15,81,110760,110760,110760,110760
glasses,site,KNUST,7,LIGHT,light_eligible_real_minutes,15,81,110772,110772,110760,110772
glasses,site,KNUST,8,hourly_metric,hourly_metric_eligible_real_minutes,15,81,111780,111780,109921,109933
glasses,site,KNUST,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,15,80,110640,110640,108788,108800
glasses,site,MPI,1,common,aligned_real_minutes,26,208,299640,299520,242822,242822
glasses,site,MPI,2,MEDI,precoverage_medi_finite,26,208,242822,242822,242822,242822
glasses,site,MPI,3,LIGHT,precoverage_light_finite,26,208,242822,242822,242822,242822
glasses,site,MPI,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,26,150,216120,216000,206708,206708
glasses,site,MPI,5,coverage,primary_day_eligible_real_minutes,26,150,216120,216000,206708,206708
glasses,site,MPI,6,MEDI,medi_eligible_real_minutes,26,150,206708,206708,206708,206708
glasses,site,MPI,7,LIGHT,light_eligible_real_minutes,26,150,206708,206708,206708,206708
glasses,site,MPI,8,hourly_metric,hourly_metric_eligible_real_minutes,26,150,208320,208200,205618,205618
glasses,site,MPI,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,26,150,208320,208200,205618,205618
glasses,site,RISE,1,common,aligned_real_minutes,14,107,154020,154020,125742,125767
glasses,site,RISE,2,MEDI,precoverage_medi_finite,14,107,125742,125742,125742,125742
glasses,site,RISE,3,LIGHT,precoverage_light_finite,14,107,125767,125767,125742,125767
glasses,site,RISE,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,13,78,112260,112260,108430,108451
glasses,site,RISE,5,coverage,primary_day_eligible_real_minutes,13,78,112260,112260,108430,108451
glasses,site,RISE,6,MEDI,medi_eligible_real_minutes,13,78,108430,108430,108430,108430
glasses,site,RISE,7,LIGHT,light_eligible_real_minutes,13,78,108451,108451,108430,108451
glasses,site,RISE,8,hourly_metric,hourly_metric_eligible_real_minutes,13,78,109020,109020,108021,108042
glasses,site,RISE,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,13,78,109020,109020,108021,108042
glasses,site,THUAS,1,common,aligned_real_minutes,13,107,154020,154020,127492,127501
glasses,site,THUAS,2,MEDI,precoverage_medi_finite,13,107,127492,127492,127492,127492
glasses,site,THUAS,3,LIGHT,precoverage_light_finite,13,107,127501,127501,127492,127501
glasses,site,THUAS,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,13,78,112260,112260,107785,107794
glasses,site,THUAS,5,coverage,primary_day_eligible_real_minutes,13,78,112260,112260,107785,107794
glasses,site,THUAS,6,MEDI,medi_eligible_real_minutes,13,78,107785,107785,107785,107785
glasses,site,THUAS,7,LIGHT,light_eligible_real_minutes,13,78,107794,107794,107785,107794
glasses,site,THUAS,8,hourly_metric,hourly_metric_eligible_real_minutes,13,78,108180,108180,107149,107158
glasses,site,THUAS,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,13,78,108180,108180,107149,107158
glasses,site,TUM,1,common,aligned_real_minutes,10,80,115200,115200,93623,93626
glasses,site,TUM,2,MEDI,precoverage_medi_finite,10,80,93623,93623,93623,93623
glasses,site,TUM,3,LIGHT,precoverage_light_finite,10,80,93626,93626,93623,93626
glasses,site,TUM,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,10,60,86400,86400,82469,82472
glasses,site,TUM,5,coverage,primary_day_eligible_real_minutes,10,60,86400,86400,82469,82472
glasses,site,TUM,6,MEDI,medi_eligible_real_minutes,10,60,82469,82469,82469,82469
glasses,site,TUM,7,LIGHT,light_eligible_real_minutes,10,60,82472,82472,82469,82472
glasses,site,TUM,8,hourly_metric,hourly_metric_eligible_real_minutes,10,60,83400,83400,81950,81953
glasses,site,TUM,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,10,60,83400,83400,81950,81953
glasses,site,UCR,1,common,aligned_real_minutes,6,48,69120,69120,54855,54855
glasses,site,UCR,2,MEDI,precoverage_medi_finite,6,48,54855,54855,54855,54855
glasses,site,UCR,3,LIGHT,precoverage_light_finite,6,48,54855,54855,54855,54855
glasses,site,UCR,4,coverage_sensitivity,all_zero_medi_inclusive_sensitivity_real_minutes,6,32,46080,46080,43933,43933
glasses,site,UCR,5,coverage,primary_day_eligible_real_minutes,6,32,46080,46080,43933,43933
glasses,site,UCR,6,MEDI,medi_eligible_real_minutes,6,32,43933,43933,43933,43933
glasses,site,UCR,7,LIGHT,light_eligible_real_minutes,6,32,43933,43933,43933,43933
glasses,site,UCR,8,hourly_metric,hourly_metric_eligible_real_minutes,6,32,44400,44400,43702,43702
glasses,site,UCR,9,coverage_sensitivity,hour_screened_sensitivity_real_minutes,6,30,42120,42120,41447,41447
