"cell","attempt4_source","frozen_render","original_fragment","rendered_exact","original_fragment_whitespace_equal"
13,"00:43(00:17, 01:14)00:58 ± 00:57N=15; d=81","00:43(00:17, 01:14)00:58 ± 00:57N=15; d=81","
00:43(00:17, 01:14)00:58 ± 00:57N=15; d=81
",TRUE,TRUE
14,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
15,"Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
16,"Time above 250 lx melEDI during wakeWaking time in recommended daytime light; relevant to alertness, entrainment, and subsequent sleep.","Time above 250 lx melEDI during wakeWaking time in recommended daytime light; relevant to alertness, entrainment, and subsequent sleep.","
Time above 250 lx melEDI during wakeWaking time in recommended daytime light; relevant to alertness, entrainment, and subsequent sleep.
",TRUE,TRUE
17,"HH:MM","HH:MM","HH:MM",TRUE,TRUE
18,"02:25(00:51, 04:37)03:00 ± 02:29N=141; d=737","02:25(00:51, 04:37)03:00 ± 02:29N=141; d=737","
02:25(00:51, 04:37)03:00 ± 02:29N=141; d=737
",TRUE,TRUE
19,"04:06(02:30, 06:15)04:21 ± 02:24N=13; d=73","04:06(02:30, 06:15)04:21 ± 02:24N=13; d=73","
04:06(02:30, 06:15)04:21 ± 02:24N=13; d=73
",TRUE,TRUE
20,"03:29(02:03, 05:16)03:39 ± 02:25N=13; d=64","03:29(02:03, 05:16)03:39 ± 02:25N=13; d=64","
03:29(02:03, 05:16)03:39 ± 02:25N=13; d=64
",TRUE,TRUE
21,"03:42(02:05, 05:58)04:05 ± 02:51N=18; d=90","03:42(02:05, 05:58)04:05 ± 02:51N=18; d=90","
03:42(02:05, 05:58)04:05 ± 02:51N=18; d=90
",TRUE,TRUE
22,"02:01(00:47, 04:20)02:52 ± 02:39N=26; d=141","02:01(00:47, 04:20)02:52 ± 02:39N=26; d=141","
02:01(00:47, 04:20)02:52 ± 02:39N=26; d=141
",TRUE,TRUE
23,"02:38(00:55, 04:19)02:57 ± 02:19N=10; d=54","02:38(00:55, 04:19)02:57 ± 02:19N=10; d=54","
02:38(00:55, 04:19)02:57 ± 02:19N=10; d=54
",TRUE,TRUE
24,"02:43(00:54, 04:43)03:02 ± 02:19N=23; d=113","02:43(00:54, 04:43)03:02 ± 02:19N=23; d=113","
02:43(00:54, 04:43)03:02 ± 02:19N=23; d=113
",TRUE,TRUE
25,"01:30(00:41, 03:26)02:09 ± 01:57N=17; d=94","01:30(00:41, 03:26)02:09 ± 01:57N=17; d=94","
01:30(00:41, 03:26)02:09 ± 01:57N=17; d=94
",TRUE,TRUE
26,"01:39(00:33, 02:40)01:48 ± 01:21N=6; d=30","01:39(00:33, 02:40)01:48 ± 01:21N=6; d=30","
01:39(00:33, 02:40)01:48 ± 01:21N=6; d=30
",TRUE,TRUE
27,"01:14(00:25, 02:37)01:45 ± 01:46N=15; d=78","01:14(00:25, 02:37)01:45 ± 01:46N=15; d=78","
01:14(00:25, 02:37)01:45 ± 01:46N=15; d=78
",TRUE,TRUE
28,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
29,"Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","
Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
30,"Time below 10 lx melEDI before sleepLow-light time before bed; limits evening melatonin suppression and circadian delay.","Time below 10 lx melEDI before sleepLow-light time before bed; limits evening melatonin suppression and circadian delay.","
Time below 10 lx melEDI before sleepLow-light time before bed; limits evening melatonin suppression and circadian delay.
",TRUE,TRUE
31,"HH:MM","HH:MM","HH:MM",TRUE,TRUE
32,"01:53(01:01, 02:35)01:51 ± 01:02N=139; d=655","01:53(01:01, 02:35)01:51 ± 01:02N=139; d=655","
01:53(01:01, 02:35)01:51 ± 01:02N=139; d=655
",TRUE,TRUE
33,"02:16(01:30, 02:39)02:05 ± 00:53N=13; d=67","02:16(01:30, 02:39)02:05 ± 00:53N=13; d=67","
02:16(01:30, 02:39)02:05 ± 00:53N=13; d=67
",TRUE,TRUE
34,"01:50(01:21, 02:52)01:59 ± 00:57N=12; d=50","01:50(01:21, 02:52)01:59 ± 00:57N=12; d=50","
01:50(01:21, 02:52)01:59 ± 00:57N=12; d=50
",TRUE,TRUE
35,"01:42(00:53, 02:17)01:41 ± 00:58N=18; d=84","01:42(00:53, 02:17)01:41 ± 00:58N=18; d=84","
01:42(00:53, 02:17)01:41 ± 00:58N=18; d=84
",TRUE,TRUE
36,"01:52(01:04, 02:25)01:52 ± 01:06N=26; d=132","01:52(01:04, 02:25)01:52 ± 01:06N=26; d=132","
01:52(01:04, 02:25)01:52 ± 01:06N=26; d=132
",TRUE,TRUE
37,"01:43(00:42, 02:32)01:45 ± 01:10N=10; d=52","01:43(00:42, 02:32)01:45 ± 01:10N=10; d=52","
01:43(00:42, 02:32)01:45 ± 01:10N=10; d=52
",TRUE,TRUE
38,"01:43(00:58, 02:50)01:50 ± 01:05N=23; d=105","01:43(00:58, 02:50)01:50 ± 01:05N=23; d=105","
01:43(00:58, 02:50)01:50 ± 01:05N=23; d=105
",TRUE,TRUE
39,"01:31(00:49, 02:15)01:38 ± 01:00N=17; d=82","01:31(00:49, 02:15)01:38 ± 01:00N=17; d=82","
01:31(00:49, 02:15)01:38 ± 01:00N=17; d=82
",TRUE,TRUE
40,"02:16(01:15, 02:39)01:56 ± 01:00N=6; d=25","02:16(01:15, 02:39)01:56 ± 01:00N=6; d=25","
02:16(01:15, 02:39)01:56 ± 01:00N=6; d=25
",TRUE,TRUE
41,"02:30(01:28, 02:52)02:09 ± 00:57N=14; d=58","02:30(01:28, 02:52)02:09 ± 00:57N=14; d=58","
02:30(01:28, 02:52)02:09 ± 00:57N=14; d=58
",TRUE,TRUE
42,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
43,"Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","
Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
44,"Time below 1 lx melEDI during sleepDarkness during sleep; supports nocturnal melatonin and an undisturbed sleep environment.","Time below 1 lx melEDI during sleepDarkness during sleep; supports nocturnal melatonin and an undisturbed sleep environment.","
Time below 1 lx melEDI during sleepDarkness during sleep; supports nocturnal melatonin and an undisturbed sleep environment.
",TRUE,TRUE
45,"HH:MM","HH:MM","HH:MM",TRUE,TRUE
46,"07:08(05:58, 08:15)07:04 ± 01:57N=141; d=778","07:08(05:58, 08:15)07:04 ± 01:57N=141; d=778","
07:08(05:58, 08:15)07:04 ± 01:57N=141; d=778
",TRUE,TRUE
47,"07:08(06:03, 08:18)07:12 ± 01:46N=13; d=76","07:08(06:03, 08:18)07:12 ± 01:46N=13; d=76","
07:08(06:03, 08:18)07:12 ± 01:46N=13; d=76
",TRUE,TRUE
48,"07:14(05:56, 08:06)07:01 ± 01:50N=13; d=68","07:14(05:56, 08:06)07:01 ± 01:50N=13; d=68","
07:14(05:56, 08:06)07:01 ± 01:50N=13; d=68
",TRUE,TRUE
49,"07:08(05:56, 08:16)07:05 ± 01:50N=18; d=95","07:08(05:56, 08:16)07:05 ± 01:50N=18; d=95","
07:08(05:56, 08:16)07:05 ± 01:50N=18; d=95
",TRUE,TRUE
50,"06:54(05:51, 07:46)06:47 ± 01:30N=26; d=150","06:54(05:51, 07:46)06:47 ± 01:30N=26; d=150","
06:54(05:51, 07:46)06:47 ± 01:30N=26; d=150
",TRUE,TRUE
51,"05:52(04:41, 07:03)05:58 ± 01:58N=10; d=60","05:52(04:41, 07:03)05:58 ± 01:58N=10; d=60","
05:52(04:41, 07:03)05:58 ± 01:58N=10; d=60
",TRUE,TRUE
52,"08:06(07:10, 09:10)08:02 ± 01:57N=23; d=118","08:06(07:10, 09:10)08:02 ± 01:57N=23; d=118","
08:06(07:10, 09:10)08:02 ± 01:57N=23; d=118
",TRUE,TRUE
53,"06:45(05:08, 08:15)06:40 ± 02:07N=17; d=99","06:45(05:08, 08:15)06:40 ± 02:07N=17; d=99","
06:45(05:08, 08:15)06:40 ± 02:07N=17; d=99
",TRUE,TRUE
54,"06:56(06:06, 07:36)06:39 ± 01:43N=6; d=31","06:56(06:06, 07:36)06:39 ± 01:43N=6; d=31","
06:56(06:06, 07:36)06:39 ± 01:43N=6; d=31
",TRUE,TRUE
55,"07:31(06:31, 09:00)07:35 ± 02:15N=15; d=81","07:31(06:31, 09:00)07:35 ± 02:15N=15; d=81","
07:31(06:31, 09:00)07:35 ± 02:15N=15; d=81
",TRUE,TRUE
56,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
57,"Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","
Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
58,"Longest period above 250 lx melEDILongest sustained bright-light bout; captures continuity of daytime circadian stimulation.","Longest period above 250 lx melEDILongest sustained bright-light bout; captures continuity of daytime circadian stimulation.","
Longest period above 250 lx melEDILongest sustained bright-light bout; captures continuity of daytime circadian stimulation.
",TRUE,TRUE
59,"HH:MM","HH:MM","HH:MM",TRUE,TRUE
60,"00:38(00:17, 01:12)00:55 ± 01:00N=141; d=816","00:38(00:17, 01:12)00:55 ± 01:00N=141; d=816","
00:38(00:17, 01:12)00:55 ± 01:00N=141; d=816
",TRUE,TRUE
61,"00:57(00:28, 01:27)01:12 ± 01:02N=13; d=78","00:57(00:28, 01:27)01:12 ± 01:02N=13; d=78","
00:57(00:28, 01:27)01:12 ± 01:02N=13; d=78
",TRUE,TRUE
62,"00:48(00:23, 01:20)01:09 ± 01:15N=13; d=78","00:48(00:23, 01:20)01:09 ± 01:15N=13; d=78","
00:48(00:23, 01:20)01:09 ± 01:15N=13; d=78
",TRUE,TRUE
63,"01:00(00:21, 01:40)01:20 ± 01:31N=18; d=107","01:00(00:21, 01:40)01:20 ± 01:31N=18; d=107","
01:00(00:21, 01:40)01:20 ± 01:31N=18; d=107
",TRUE,TRUE
64,"00:35(00:13, 01:06)00:50 ± 00:54N=26; d=150","00:35(00:13, 01:06)00:50 ± 00:54N=26; d=150","
00:35(00:13, 01:06)00:50 ± 00:54N=26; d=150
",TRUE,TRUE
65,"00:38(00:17, 01:32)01:01 ± 01:02N=10; d=60","00:38(00:17, 01:32)01:01 ± 01:02N=10; d=60","
00:38(00:17, 01:32)01:01 ± 01:02N=10; d=60
",TRUE,TRUE
66,"00:38(00:16, 01:04)00:45 ± 00:36N=23; d=129","00:38(00:16, 01:04)00:45 ± 00:36N=23; d=129","
00:38(00:16, 01:04)00:45 ± 00:36N=23; d=129
",TRUE,TRUE
67,"00:34(00:14, 00:55)00:43 ± 00:41N=17; d=101","00:34(00:14, 00:55)00:43 ± 00:41N=17; d=101","
00:34(00:14, 00:55)00:43 ± 00:41N=17; d=101
",TRUE,TRUE
68,"00:28(00:16, 00:43)00:30 ± 00:20N=6; d=32","00:28(00:16, 00:43)00:30 ± 00:20N=6; d=32","
00:28(00:16, 00:43)00:30 ± 00:20N=6; d=32
",TRUE,TRUE
69,"00:23(00:15, 00:49)00:38 ± 00:45N=15; d=81","00:23(00:15, 00:49)00:38 ± 00:45N=15; d=81","
00:23(00:15, 00:49)00:38 ± 00:45N=15; d=81
",TRUE,TRUE
70,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
71,"Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
72,"Dynamics","Dynamics","Dynamics",TRUE,TRUE
73,"Interdaily stabilityDay-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.","Interdaily stabilityDay-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.","
Interdaily stabilityDay-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.
",TRUE,TRUE
74,"—","—","—",TRUE,TRUE
75,"0.308(0.248, 0.38)0.318 ± 0.095N=141; d=816","0.308(0.248, 0.38)0.318 ± 0.095N=141; d=816","
0.308(0.248, 0.38)0.318 ± 0.095N=141; d=816
",TRUE,TRUE
76,"0.311(0.272, 0.367)0.315 ± 0.078N=13; d=78","0.311(0.272, 0.367)0.315 ± 0.078N=13; d=78","
0.311(0.272, 0.367)0.315 ± 0.078N=13; d=78
",TRUE,TRUE
77,"0.258(0.239, 0.389)0.288 ± 0.094N=13; d=78","0.258(0.239, 0.389)0.288 ± 0.094N=13; d=78","
0.258(0.239, 0.389)0.288 ± 0.094N=13; d=78
",TRUE,TRUE
78,"0.264(0.219, 0.319)0.274 ± 0.074N=18; d=107","0.264(0.219, 0.319)0.274 ± 0.074N=18; d=107","
0.264(0.219, 0.319)0.274 ± 0.074N=18; d=107
",TRUE,TRUE
79,"0.329(0.263, 0.424)0.344 ± 0.107N=26; d=150","0.329(0.263, 0.424)0.344 ± 0.107N=26; d=150","
0.329(0.263, 0.424)0.344 ± 0.107N=26; d=150
",TRUE,TRUE
80,"0.244(0.218, 0.277)0.252 ± 0.058N=10; d=60","0.244(0.218, 0.277)0.252 ± 0.058N=10; d=60","
0.244(0.218, 0.277)0.252 ± 0.058N=10; d=60
",TRUE,TRUE
81,"0.352(0.321, 0.455)0.368 ± 0.092N=23; d=129","0.352(0.321, 0.455)0.368 ± 0.092N=23; d=129","
0.352(0.321, 0.455)0.368 ± 0.092N=23; d=129
",TRUE,TRUE
82,"0.278(0.254, 0.394)0.323 ± 0.104N=17; d=101","0.278(0.254, 0.394)0.323 ± 0.104N=17; d=101","
0.278(0.254, 0.394)0.323 ± 0.104N=17; d=101
",TRUE,TRUE
83,"0.342(0.315, 0.473)0.37 ± 0.118N=6; d=32","0.342(0.315, 0.473)0.37 ± 0.118N=6; d=32","
0.342(0.315, 0.473)0.37 ± 0.118N=6; d=32
",TRUE,TRUE
84,"0.293(0.255, 0.354)0.299 ± 0.062N=15; d=81","0.293(0.255, 0.354)0.299 ± 0.062N=15; d=81","
0.293(0.255, 0.354)0.299 ± 0.062N=15; d=81
",TRUE,TRUE
85,"Identity","Identity","Identity",TRUE,TRUE
86,"Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","
Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
87,"Intradaily variabilityWithin-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.","Intradaily variabilityWithin-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.","
Intradaily variabilityWithin-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.
",TRUE,TRUE
88,"—","—","—",TRUE,TRUE
89,"1.253(0.93, 1.502)1.229 ± 0.389N=141; d=816","1.253(0.93, 1.502)1.229 ± 0.389N=141; d=816","
1.253(0.93, 1.502)1.229 ± 0.389N=141; d=816
",TRUE,TRUE
90,"0.997(0.818, 1.388)1.088 ± 0.343N=13; d=78","0.997(0.818, 1.388)1.088 ± 0.343N=13; d=78","
0.997(0.818, 1.388)1.088 ± 0.343N=13; d=78
",TRUE,TRUE
91,"1.193(0.96, 1.389)1.238 ± 0.345N=13; d=78","1.193(0.96, 1.389)1.238 ± 0.345N=13; d=78","
1.193(0.96, 1.389)1.238 ± 0.345N=13; d=78
",TRUE,TRUE
92,"1.182(0.928, 1.49)1.177 ± 0.407N=18; d=107","1.182(0.928, 1.49)1.177 ± 0.407N=18; d=107","
1.182(0.928, 1.49)1.177 ± 0.407N=18; d=107
",TRUE,TRUE
93,"1.154(0.801, 1.442)1.125 ± 0.354N=26; d=150","1.154(0.801, 1.442)1.125 ± 0.354N=26; d=150","
1.154(0.801, 1.442)1.125 ± 0.354N=26; d=150
",TRUE,TRUE
94,"1.48(0.869, 1.642)1.332 ± 0.477N=10; d=60","1.48(0.869, 1.642)1.332 ± 0.477N=10; d=60","
1.48(0.869, 1.642)1.332 ± 0.477N=10; d=60
",TRUE,TRUE
95,"1.251(0.999, 1.497)1.251 ± 0.413N=23; d=129","1.251(0.999, 1.497)1.251 ± 0.413N=23; d=129","
1.251(0.999, 1.497)1.251 ± 0.413N=23; d=129
",TRUE,TRUE
96,"1.359(0.95, 1.546)1.307 ± 0.415N=17; d=101","1.359(0.95, 1.546)1.307 ± 0.415N=17; d=101","
1.359(0.95, 1.546)1.307 ± 0.415N=17; d=101
",TRUE,TRUE
97,"1.399(1.282, 1.483)1.355 ± 0.256N=6; d=32","1.399(1.282, 1.483)1.355 ± 0.256N=6; d=32","
1.399(1.282, 1.483)1.355 ± 0.256N=6; d=32
",TRUE,TRUE
98,"1.324(1.029, 1.595)1.344 ± 0.413N=15; d=81","1.324(1.029, 1.595)1.344 ± 0.413N=15; d=81","
1.324(1.029, 1.595)1.344 ± 0.413N=15; d=81
",TRUE,TRUE
99,"Identity","Identity","Identity",TRUE,TRUE
100,"Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","
Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
101,"Exposure history","Exposure history","Exposure history",TRUE,TRUE
102,"melEDI doseIntensity–duration-weighted melanopic exposure; summarizes cumulative non-visual retinal light input.","melEDI doseIntensity–duration-weighted melanopic exposure; summarizes cumulative non-visual retinal light input.","
melEDI doseIntensity–duration-weighted melanopic exposure; summarizes cumulative non-visual retinal light input.
",TRUE,TRUE
103,"klx·h","klx·h","klx·h",TRUE,TRUE
104,"4.96(1.936, 12.313)10.358 ± 16.216N=141; d=761","4.96(1.936, 12.313)10.358 ± 16.216N=141; d=761","
4.96(1.936, 12.313)10.358 ± 16.216N=141; d=761
",TRUE,TRUE
105,"9.296(3.892, 21.895)19.923 ± 27.784N=13; d=71","9.296(3.892, 21.895)19.923 ± 27.784N=13; d=71","
9.296(3.892, 21.895)19.923 ± 27.784N=13; d=71
",TRUE,TRUE
106,"10.495(3.855, 17.395)15.881 ± 20.395N=13; d=74","10.495(3.855, 17.395)15.881 ± 20.395N=13; d=74","
10.495(3.855, 17.395)15.881 ± 20.395N=13; d=74
",TRUE,TRUE
107,"6.751(2.469, 14.435)13.809 ± 23.711N=18; d=97","6.751(2.469, 14.435)13.809 ± 23.711N=18; d=97","
6.751(2.469, 14.435)13.809 ± 23.711N=18; d=97
",TRUE,TRUE
108,"3.862(1.411, 10.217)7.719 ± 9.847N=26; d=137","3.862(1.411, 10.217)7.719 ± 9.847N=26; d=137","
3.862(1.411, 10.217)7.719 ± 9.847N=26; d=137
",TRUE,TRUE
109,"7.11(1.897, 15.789)10.055 ± 11.237N=10; d=55","7.11(1.897, 15.789)10.055 ± 11.237N=10; d=55","
7.11(1.897, 15.789)10.055 ± 11.237N=10; d=55
",TRUE,TRUE
110,"3.317(1.703, 6.29)6.115 ± 8.79N=23; d=125","3.317(1.703, 6.29)6.115 ± 8.79N=23; d=125","
3.317(1.703, 6.29)6.115 ± 8.79N=23; d=125
",TRUE,TRUE
111,"4.35(1.791, 10.625)7.49 ± 8.898N=17; d=96","4.35(1.791, 10.625)7.49 ± 8.898N=17; d=96","
4.35(1.791, 10.625)7.49 ± 8.898N=17; d=96
",TRUE,TRUE
112,"2.195(1.339, 4.117)3.281 ± 2.573N=6; d=30","2.195(1.339, 4.117)3.281 ± 2.573N=6; d=30","
2.195(1.339, 4.117)3.281 ± 2.573N=6; d=30
",TRUE,TRUE
113,"6.045(2.49, 14.907)10.016 ± 10.799N=15; d=76","6.045(2.49, 14.907)10.016 ± 10.799N=15; d=76","
6.045(2.49, 14.907)10.016 ± 10.799N=15; d=76
",TRUE,TRUE
114,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
115,"melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","
melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
116,"Level","Level","Level",TRUE,TRUE
117,"Mean melEDIGeometric average of daily melEDI values, including zeros; summarizes overall exposure while reducing peak influence.","Mean melEDIGeometric average of daily melEDI values, including zeros; summarizes overall exposure while reducing peak influence.","
Mean melEDIGeometric average of daily melEDI values, including zeros; summarizes overall exposure while reducing peak influence.
",TRUE,TRUE
118,"lx","lx","lx",TRUE,TRUE
119,"5.154(2.831, 9.225)7.587 ± 9.496N=141; d=816","5.154(2.831, 9.225)7.587 ± 9.496N=141; d=816","
5.154(2.831, 9.225)7.587 ± 9.496N=141; d=816
",TRUE,TRUE
120,"7.569(4.55, 11.613)9.171 ± 7.111N=13; d=78","7.569(4.55, 11.613)9.171 ± 7.111N=13; d=78","
7.569(4.55, 11.613)9.171 ± 7.111N=13; d=78
",TRUE,TRUE
121,"6.659(4.18, 11.674)8.274 ± 6.558N=13; d=78","6.659(4.18, 11.674)8.274 ± 6.558N=13; d=78","
6.659(4.18, 11.674)8.274 ± 6.558N=13; d=78
",TRUE,TRUE
122,"7.704(3.081, 13.924)12.017 ± 18.865N=18; d=107","7.704(3.081, 13.924)12.017 ± 18.865N=18; d=107","
7.704(3.081, 13.924)12.017 ± 18.865N=18; d=107
",TRUE,TRUE
123,"5.232(3.224, 8.188)7.221 ± 6.33N=26; d=150","5.232(3.224, 8.188)7.221 ± 6.33N=26; d=150","
5.232(3.224, 8.188)7.221 ± 6.33N=26; d=150
",TRUE,TRUE
124,"9.013(4.011, 15.089)12.102 ± 12.013N=10; d=60","9.013(4.011, 15.089)12.102 ± 12.013N=10; d=60","
9.013(4.011, 15.089)12.102 ± 12.013N=10; d=60
",TRUE,TRUE
125,"3.505(1.469, 6.211)4.166 ± 3.272N=23; d=129","3.505(1.469, 6.211)4.166 ± 3.272N=23; d=129","
3.505(1.469, 6.211)4.166 ± 3.272N=23; d=129
",TRUE,TRUE
126,"5.857(3.726, 7.986)7.778 ± 6.946N=17; d=101","5.857(3.726, 7.986)7.778 ± 6.946N=17; d=101","
5.857(3.726, 7.986)7.778 ± 6.946N=17; d=101
",TRUE,TRUE
127,"4.325(3.585, 6.77)5.248 ± 2.85N=6; d=32","4.325(3.585, 6.77)5.248 ± 2.85N=6; d=32","
4.325(3.585, 6.77)5.248 ± 2.85N=6; d=32
",TRUE,TRUE
128,"2.144(0.744, 4.042)3.019 ± 2.896N=15; d=81","2.144(0.744, 4.042)3.019 ± 2.896N=15; d=81","
2.144(0.744, 4.042)3.019 ± 2.896N=15; d=81
",TRUE,TRUE
129,"Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)","Symlog (base 10; threshold 1)",TRUE,TRUE
130,"Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","
Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.",TRUE,TRUE
131,"Brightest 10 h meanMean of the brightest 10 hours; reflects the strength of the main daytime light episode.","Brightest 10 h meanMean of the brightest 10 hours; reflects the strength of the main daytime light episode.","
Brightest 10 h meanMean of the brightest 10 hours; reflects the strength of the main daytime light episode.
",TRUE,TRUE
132,"lx","lx","lx",TRUE,TRUE
133,"110.566(41.513, 243.212)214.866 ± 508.56N=141; d=816","110.566(41.513, 243.212)214.866 ± 508.56N=141; d=816","
110.566(41.513, 243.212)214.866 ± 508.56N=141; d=816
",TRUE,TRUE
134,"252.689(104.514, 461.953)399.302 ± 518.102N=13; d=78","252.689(104.514, 461.953)399.302 ± 518.102N=13; d=78","
252.689(104.514, 461.953)399.302 ± 518.102N=13; d=78
",TRUE,TRUE
135,"175.974(78.625, 299.106)262.206 ± 329.201N=13; d=78","175.974(78.625, 299.106)262.206 ± 329.201N=13; d=78","
175.974(78.625, 299.106)262.206 ± 329.201N=13; d=78
",TRUE,TRUE
136,"156.184(67.783, 339.731)422.54 ± 1,209.616N=18; d=107","156.184(67.783, 339.731)422.54 ± 1,209.616N=18; d=107","
156.184(67.783, 339.731)422.54 ± 1,209.616N=18; d=107
",TRUE,TRUE
137,"100.057(33.255, 209.904)179.372 ± 241.53N=26; d=150","100.057(33.255, 209.904)179.372 ± 241.53N=26; d=150","
100.057(33.255, 209.904)179.372 ± 241.53N=26; d=150
",TRUE,TRUE
138,"130.78(54.044, 259.726)201.947 ± 194.042N=10; d=60","130.78(54.044, 259.726)201.947 ± 194.042N=10; d=60","
130.78(54.044, 259.726)201.947 ± 194.042N=10; d=60
",TRUE,TRUE
