placement,omitted_site,category_order,category_code,short_label,estimate_log_ratio_per_10deg,ratio_per_10deg,converged,error
Near-eye,MPI,6,sleep_darkness,Sleep darkness,0.3893671038938736,1.4760463142348286,TRUE,
Near-eye,MPI,7,sleep_external_light,External light during sleep,0.39076459018531673,1.4781105107317183,TRUE,
Near-eye,TUM,1,electric_indoor,Indoor electric,0.16796638298975763,1.1828968445240675,TRUE,
Near-eye,TUM,2,electric_outdoor,Outdoor electric,0.0889115077884417,1.0929839314814012,TRUE,
Near-eye,TUM,3,daylight_indoor,Indoor daylight,0.22838476401107546,1.2565687148498725,TRUE,
Near-eye,TUM,4,daylight_outdoor,Outdoor daylight,0.306053884320386,1.3580554824730768,TRUE,
Near-eye,TUM,5,display,Emissive display,0.16849898068840827,1.1835270204614328,TRUE,
Near-eye,TUM,6,sleep_darkness,Sleep darkness,0.27286872301009496,1.313727771276715,TRUE,
Near-eye,TUM,7,sleep_external_light,External light during sleep,0.3958349959426286,1.4856241633115483,TRUE,
Near-eye,FUSPCEU,1,electric_indoor,Indoor electric,0.18430028556598335,1.2023768252972233,TRUE,
Near-eye,FUSPCEU,2,electric_outdoor,Outdoor electric,0.12282973284049428,1.1306918848611567,TRUE,
Near-eye,FUSPCEU,3,daylight_indoor,Indoor daylight,0.21806012050301404,1.243661834946611,TRUE,
Near-eye,FUSPCEU,4,daylight_outdoor,Outdoor daylight,0.2911568731183778,1.337974459713477,TRUE,
Near-eye,FUSPCEU,5,display,Emissive display,0.1746750777460878,1.1908592170824766,TRUE,
Near-eye,FUSPCEU,6,sleep_darkness,Sleep darkness,0.3787295398481296,1.460427994747161,TRUE,
Near-eye,FUSPCEU,7,sleep_external_light,External light during sleep,0.37588886530835647,1.456285280961877,TRUE,
Near-eye,IZTECH,1,electric_indoor,Indoor electric,0.17216444525274047,1.1878731572549786,TRUE,
Near-eye,IZTECH,2,electric_outdoor,Outdoor electric,0.1211111459433637,1.1287503614193803,TRUE,
Near-eye,IZTECH,3,daylight_indoor,Indoor daylight,0.2179213803351721,1.2434893010638588,TRUE,
Near-eye,IZTECH,4,daylight_outdoor,Outdoor daylight,0.305579634531974,1.357411577645795,TRUE,
Near-eye,IZTECH,5,display,Emissive display,0.14406670894170773,1.1549611521913106,TRUE,
Near-eye,IZTECH,6,sleep_darkness,Sleep darkness,0.3491153439593428,1.4178127170432866,TRUE,
Near-eye,IZTECH,7,sleep_external_light,External light during sleep,0.19872485971287263,1.2198462908644077,TRUE,
Near-eye,UCR,1,electric_indoor,Indoor electric,0.1730218096063266,1.1888920340685085,TRUE,
Near-eye,UCR,2,electric_outdoor,Outdoor electric,0.08368678514176835,1.0872882856236,TRUE,
Near-eye,UCR,3,daylight_indoor,Indoor daylight,0.2752464013257097,1.3168551097401964,TRUE,
Near-eye,UCR,4,daylight_outdoor,Outdoor daylight,0.30488684642186764,1.3564715047175542,TRUE,
Near-eye,UCR,5,display,Emissive display,0.13808090238694457,1.1480684279933138,TRUE,
Near-eye,UCR,6,sleep_darkness,Sleep darkness,0.38282858311603246,1.4664266382377182,TRUE,
Near-eye,UCR,7,sleep_external_light,External light during sleep,0.3716077993085738,1.4500641535894907,TRUE,
Near-eye,KNUST,1,electric_indoor,Indoor electric,0.1916592416894671,1.2112577005059313,TRUE,
Near-eye,KNUST,2,electric_outdoor,Outdoor electric,0.9173964461421563,2.502765814488483,TRUE,
Near-eye,KNUST,3,daylight_indoor,Indoor daylight,0.23201466583503486,1.2611382243378573,TRUE,
Near-eye,KNUST,4,daylight_outdoor,Outdoor daylight,0.5570903842560221,1.7455861193221547,TRUE,
Near-eye,KNUST,5,display,Emissive display,0.12706169732067513,1.1354870721303931,TRUE,
Near-eye,KNUST,6,sleep_darkness,Sleep darkness,0.11556816309083302,1.1225110257616393,TRUE,
Near-eye,KNUST,7,sleep_external_light,External light during sleep,0.3119512458746932,1.3660880889760119,TRUE,
Chest,RISE,1,electric_indoor,Indoor electric,0.14641374540196542,1.1576750717138995,TRUE,
Chest,RISE,2,electric_outdoor,Outdoor electric,0.2862423913755612,1.3314151396899019,TRUE,
Chest,RISE,3,daylight_indoor,Indoor daylight,-0.0031406980096165497,0.9968642288231296,TRUE,
Chest,RISE,4,daylight_outdoor,Outdoor daylight,0.13436076574362152,1.1438053910218127,TRUE,
Chest,RISE,5,display,Emissive display,0.29088381982989225,1.3376091712612188,TRUE,
Chest,RISE,6,sleep_darkness,Sleep darkness,-0.1937269777075051,0.8238828119388386,TRUE,
Chest,RISE,7,sleep_external_light,External light during sleep,0.7858819842245033,2.1943414620518715,TRUE,
Chest,THUAS,1,electric_indoor,Indoor electric,0.1036206190096597,1.1091795734383785,TRUE,
Chest,THUAS,2,electric_outdoor,Outdoor electric,0.2564310339661255,1.2923096372560745,TRUE,
Chest,THUAS,3,daylight_indoor,Indoor daylight,0.03760130526816902,1.0383171787542445,TRUE,
Chest,THUAS,4,daylight_outdoor,Outdoor daylight,0.24008160427498942,1.2713528939195506,TRUE,
Chest,THUAS,5,display,Emissive display,0.07665599494913146,1.0796706003616496,TRUE,
Chest,THUAS,6,sleep_darkness,Sleep darkness,-0.17587955235553185,0.8387189989812016,TRUE,
Chest,THUAS,7,sleep_external_light,External light during sleep,0.5640299638891714,1.7577418823636988,TRUE,
Chest,BAUA,1,electric_indoor,Indoor electric,0.14549087365400992,1.1566071789367323,TRUE,
Chest,BAUA,2,electric_outdoor,Outdoor electric,0.14850368697383426,1.1600970750141026,TRUE,
Chest,BAUA,3,daylight_indoor,Indoor daylight,0.056465228515427214,1.0580898228066233,TRUE,
Chest,BAUA,4,daylight_outdoor,Outdoor daylight,0.2557660913926102,1.2914506111932509,TRUE,
Chest,BAUA,5,display,Emissive display,0.13268778510819063,1.1418934265376546,TRUE,
Chest,BAUA,6,sleep_darkness,Sleep darkness,-0.18201775337137205,0.8335865413129301,TRUE,
Chest,BAUA,7,sleep_external_light,External light during sleep,0.6354404538314069,1.8878534706585188,TRUE,
Chest,TUM,1,electric_indoor,Indoor electric,0.1256262932327438,1.1338583585559734,TRUE,
Chest,TUM,2,electric_outdoor,Outdoor electric,0.13815905936501585,1.1481581610588518,TRUE,
Chest,TUM,3,daylight_indoor,Indoor daylight,0.05006635172173709,1.0513408523374694,TRUE,
Chest,TUM,4,daylight_outdoor,Outdoor daylight,0.243532020597084,1.2757471673726748,TRUE,
Chest,TUM,5,display,Emissive display,0.181205889568876,1.19866194588026,TRUE,
Chest,TUM,6,sleep_darkness,Sleep darkness,-0.3060165054683779,0.7363744651503453,TRUE,
Chest,TUM,7,sleep_external_light,External light during sleep,0.24288574502105262,1.2749229495018382,TRUE,
Chest,FUSPCEU,1,electric_indoor,Indoor electric,0.1270253696386343,1.1354458232663176,TRUE,
Chest,FUSPCEU,2,electric_outdoor,Outdoor electric,0.28562447520831785,1.3305926908781527,TRUE,
Chest,FUSPCEU,3,daylight_indoor,Indoor daylight,0.05015064212488956,1.0514294740166898,TRUE,
Chest,FUSPCEU,4,daylight_outdoor,Outdoor daylight,0.23753422737976732,1.268118400418,TRUE,
Chest,FUSPCEU,5,display,Emissive display,0.16826231768897357,1.1832469565485484,TRUE,
Chest,FUSPCEU,6,sleep_darkness,Sleep darkness,-0.18223250604149405,0.8334075455979971,TRUE,
Chest,FUSPCEU,7,sleep_external_light,External light during sleep,0.5532928576326984,1.7389697803736759,TRUE,
Chest,IZTECH,1,electric_indoor,Indoor electric,0.1395784632045499,1.1497890183097645,TRUE,
Chest,IZTECH,2,electric_outdoor,Outdoor electric,0.29879464924910115,1.3482327344397946,TRUE,
Chest,IZTECH,3,daylight_indoor,Indoor daylight,0.04914695303911339,1.0503746951527206,TRUE,
Chest,IZTECH,4,daylight_outdoor,Outdoor daylight,0.23486984637747466,1.2647441469877678,TRUE,
Chest,IZTECH,5,display,Emissive display,0.16867435946854992,1.1837346041889043,TRUE,
Chest,IZTECH,6,sleep_darkness,Sleep darkness,-0.19630272236998972,0.8217634308474869,TRUE,
Chest,IZTECH,7,sleep_external_light,External light during sleep,0.513094997089703,1.670453250500598,TRUE,
Chest,UCR,1,electric_indoor,Indoor electric,0.13260878712806948,1.1418032228264468,TRUE,
Chest,UCR,2,electric_outdoor,Outdoor electric,0.1765977764775243,1.193151083166445,TRUE,
Chest,UCR,3,daylight_indoor,Indoor daylight,0.32887758618021123,1.389407762465501,TRUE,
Chest,UCR,4,daylight_outdoor,Outdoor daylight,0.37381861578944486,1.4532735256777134,TRUE,
Chest,UCR,5,display,Emissive display,0.1389374180811365,1.1490521878626379,TRUE,
Chest,UCR,6,sleep_darkness,Sleep darkness,-0.36361440118815896,0.6951591956290533,TRUE,
Chest,UCR,7,sleep_external_light,External light during sleep,-0.0030299600779365474,0.9969746256184389,TRUE,
Chest,KNUST,1,electric_indoor,Indoor electric,0.13995038949005822,1.1502167346029983,TRUE,
Chest,KNUST,2,electric_outdoor,Outdoor electric,0.5418042007543761,1.7191056776621478,TRUE,
Chest,KNUST,3,daylight_indoor,Indoor daylight,0.01994222871506307,1.020142403386887,TRUE,
Chest,KNUST,4,daylight_outdoor,Outdoor daylight,0.2040377346797589,1.2263444282973979,TRUE,
Chest,KNUST,5,display,Emissive display,0.15775038365567606,1.1708738889672137,TRUE,
Chest,KNUST,6,sleep_darkness,Sleep darkness,0.26111630837854316,1.2983786689697545,TRUE,
Chest,KNUST,7,sleep_external_light,External light during sleep,0.5630203406183101,1.755968120821234,TRUE,
