site,section,characteristic,level,analysis_unit,unit,n_available,n_denominator,count,percent,mean,q1,median,q3,minimum,maximum,circular_resultant,display
THUAS,Chronotype,Social jetlag,,participant,hours,13,13,,,0.9262820512820513,0.5,0.75,1.5416666666666667,0,2,,"0.75 [0.5, 1.54]"
THUAS,Sleep diary,Participants with eligible sleep diary,,participant,n,13,13,13,100,,,,,,,,13 (100.0%)
THUAS,Sleep diary,Eligible sleep diary records,,diary record,n,85,85,85,100,,,,,,,,85
THUAS,Sleep diary,Sleep duration,,diary record,hours,85,85,,,7.987450980392157,7.416666666666667,7.95,8.733333333333333,4.916666666666667,11.166666666666666,,"7.95 [7.42, 8.73]"
BAUA,Sample,Participants,Main near-eye dataset,participant,n,18,18,18,100,,,,,,,,18
BAUA,Demographics,Age,,participant,years,18,18,,,35.611111111111114,24.5,35,42.5,20,62,,"35 [24.5, 42.5]"
BAUA,Demographics,Sex,Female,participant,n (%),18,18,9,50,,,,,,,,9 (50.0%)
BAUA,Demographics,Sex,Male,participant,n (%),18,18,9,50,,,,,,,,9 (50.0%)
BAUA,Demographics,Gender,Man,participant,n (%),18,18,9,50,,,,,,,,9 (50.0%)
BAUA,Demographics,Gender,Woman,participant,n (%),18,18,9,50,,,,,,,,9 (50.0%)
BAUA,Demographics,Employment status,Full time employed,participant,n (%),18,18,16,88.88888888888889,,,,,,,,16 (88.9%)
BAUA,Demographics,Employment status,Marginally employed (Minijob),participant,n (%),18,18,1,5.555555555555555,,,,,,,,1 (5.6%)
BAUA,Demographics,Employment status,Part time employed,participant,n (%),18,18,1,5.555555555555555,,,,,,,,1 (5.6%)
BAUA,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,18,18,,,53.27777777777778,45.5,55,60.5,38,71,,"55 [45.5, 60.5]"
BAUA,Chronotype,Chronotype group,Evening type,participant,n (%),18,18,2,11.11111111111111,,,,,,,,2 (11.1%)
BAUA,Chronotype,Chronotype group,Intermediate,participant,n (%),18,18,9,50,,,,,,,,9 (50.0%)
BAUA,Chronotype,Chronotype group,Morning type,participant,n (%),18,18,7,38.888888888888886,,,,,,,,7 (38.9%)
BAUA,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,18,18,,,221.26248402955014,167.85714286267756,227,263.6607142880559,,,0.9665219212488362,"03:47 [02:48, 04:24]"
BAUA,Chronotype,Social jetlag,,participant,hours,18,18,,,1.2398148148148147,0.8125,1.2708333333333335,1.53125,0.25,2.1083333333333334,,"1.27 [0.812, 1.53]"
BAUA,Sleep diary,Participants with eligible sleep diary,,participant,n,18,18,18,100,,,,,,,,18 (100.0%)
BAUA,Sleep diary,Eligible sleep diary records,,diary record,n,123,123,123,100,,,,,,,,123
BAUA,Sleep diary,Sleep duration,,diary record,hours,123,123,,,7.881029810298103,6.933333333333334,7.9,8.899999999999999,5,11.75,,"7.9 [6.93, 8.9]"
MPI,Sample,Participants,Main near-eye dataset,participant,n,26,26,26,100,,,,,,,,26
MPI,Demographics,Age,,participant,years,26,26,,,28,25,27,28.75,22,46,,"27 [25, 28.8]"
MPI,Demographics,Sex,Female,participant,n (%),26,26,14,53.84615384615385,,,,,,,,14 (53.8%)
MPI,Demographics,Sex,Male,participant,n (%),26,26,12,46.15384615384615,,,,,,,,12 (46.2%)
MPI,Demographics,Gender,Man,participant,n (%),26,26,12,46.15384615384615,,,,,,,,12 (46.2%)
MPI,Demographics,Gender,Woman,participant,n (%),26,26,14,53.84615384615385,,,,,,,,14 (53.8%)
MPI,Demographics,Employment status,Full time employed,participant,n (%),26,26,6,23.076923076923077,,,,,,,,6 (23.1%)
MPI,Demographics,Employment status,Not employed but studying or in training,participant,n (%),26,26,10,38.46153846153846,,,,,,,,10 (38.5%)
MPI,Demographics,Employment status,Part time employed,participant,n (%),26,26,3,11.538461538461538,,,,,,,,3 (11.5%)
MPI,Demographics,Employment status,Studying and employed,participant,n (%),26,26,7,26.923076923076923,,,,,,,,7 (26.9%)
MPI,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,26,26,,,49.80769230769231,41,49,59,28,70,,"49 [41, 59]"
MPI,Chronotype,Chronotype group,Evening type,participant,n (%),26,26,8,30.76923076923077,,,,,,,,8 (30.8%)
MPI,Chronotype,Chronotype group,Intermediate,participant,n (%),26,26,9,34.61538461538461,,,,,,,,9 (34.6%)
MPI,Chronotype,Chronotype group,Morning type,participant,n (%),26,26,9,34.61538461538461,,,,,,,,9 (34.6%)
MPI,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,26,26,,,275.5419238984781,244.10714285820723,273.25,321.4285714253783,,,0.9632472898429828,"04:33 [04:04, 05:21]"
MPI,Chronotype,Social jetlag,,participant,hours,26,26,,,0.9060897435897436,0.49374999999999997,0.8958333333333333,1.5,-0.3333333333333333,2,,"0.896 [0.494, 1.5]"
MPI,Sleep diary,Participants with eligible sleep diary,,participant,n,26,26,26,100,,,,,,,,26 (100.0%)
MPI,Sleep diary,Eligible sleep diary records,,diary record,n,181,181,181,100,,,,,,,,181
MPI,Sleep diary,Sleep duration,,diary record,hours,181,181,,,7.2283609576427255,6.433333333333334,7.433333333333334,8.083333333333334,0.9166666666666666,10.9,,"7.43 [6.43, 8.08]"
TUM,Sample,Participants,Main near-eye dataset,participant,n,10,10,10,100,,,,,,,,10
TUM,Demographics,Age,,participant,years,10,10,,,26.6,26,27.5,28,20,29,,"27.5 [26, 28]"
TUM,Demographics,Sex,Female,participant,n (%),10,10,6,60,,,,,,,,6 (60.0%)
TUM,Demographics,Sex,Male,participant,n (%),10,10,4,40,,,,,,,,4 (40.0%)
TUM,Demographics,Gender,Man,participant,n (%),10,10,4,40,,,,,,,,4 (40.0%)
TUM,Demographics,Gender,Woman,participant,n (%),10,10,6,60,,,,,,,,6 (60.0%)
TUM,Demographics,Employment status,Not employed but studying or in training,participant,n (%),10,10,2,20,,,,,,,,2 (20.0%)
TUM,Demographics,Employment status,Part time employed,participant,n (%),10,10,1,10,,,,,,,,1 (10.0%)
TUM,Demographics,Employment status,Studying and employed,participant,n (%),10,10,7,70,,,,,,,,7 (70.0%)
TUM,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,10,10,,,46.4,42.25,44.5,49.75,35,58,,"44.5 [42.2, 49.8]"
TUM,Chronotype,Chronotype group,Evening type,participant,n (%),10,10,2,20,,,,,,,,2 (20.0%)
TUM,Chronotype,Chronotype group,Intermediate,participant,n (%),10,10,8,80,,,,,,,,8 (80.0%)
TUM,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,10,10,,,310.1312417115146,273.5714285756151,307.5,350.2678571417928,,,0.9833839229834401,"05:08 [04:34, 05:50]"
TUM,Chronotype,Social jetlag,,participant,hours,10,10,,,1.1791666666666667,0.75,0.9375,1.375,0.5,2.75,,"0.938 [0.75, 1.38]"
TUM,Sleep diary,Participants with eligible sleep diary,,participant,n,10,10,10,100,,,,,,,,10 (100.0%)
TUM,Sleep diary,Eligible sleep diary records,,diary record,n,70,70,70,100,,,,,,,,70
TUM,Sleep diary,Sleep duration,,diary record,hours,70,70,,,7.834761904761905,6.95,7.8,8.908333333333333,1.9166666666666667,11.416666666666666,,"7.8 [6.95, 8.91]"
FUSPCEU,Sample,Participants,Main near-eye dataset,participant,n,23,23,23,100,,,,,,,,23
FUSPCEU,Demographics,Age,,participant,years,23,23,,,34.52173913043478,25.5,31,43.5,20,56,,"31 [25.5, 43.5]"
FUSPCEU,Demographics,Sex,Female,participant,n (%),23,23,15,65.21739130434783,,,,,,,,15 (65.2%)
FUSPCEU,Demographics,Sex,Male,participant,n (%),23,23,8,34.78260869565217,,,,,,,,8 (34.8%)
FUSPCEU,Demographics,Gender,Man,participant,n (%),23,23,8,34.78260869565217,,,,,,,,8 (34.8%)
FUSPCEU,Demographics,Gender,Woman,participant,n (%),23,23,15,65.21739130434783,,,,,,,,15 (65.2%)
FUSPCEU,Demographics,Employment status,Full time employed,participant,n (%),23,23,19,82.6086956521739,,,,,,,,19 (82.6%)
FUSPCEU,Demographics,Employment status,Marginally employed (Minijob),participant,n (%),23,23,1,4.3478260869565215,,,,,,,,1 (4.3%)
FUSPCEU,Demographics,Employment status,Part time employed,participant,n (%),23,23,1,4.3478260869565215,,,,,,,,1 (4.3%)
FUSPCEU,Demographics,Employment status,Studying and employed,participant,n (%),23,23,2,8.695652173913043,,,,,,,,2 (8.7%)
FUSPCEU,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,23,23,,,52.391304347826086,48,52,56.5,36,67,,"52 [48, 56.5]"
FUSPCEU,Chronotype,Chronotype group,Evening type,participant,n (%),23,23,1,4.3478260869565215,,,,,,,,1 (4.3%)
FUSPCEU,Chronotype,Chronotype group,Intermediate,participant,n (%),23,23,17,73.91304347826087,,,,,,,,17 (73.9%)
FUSPCEU,Chronotype,Chronotype group,Morning type,participant,n (%),23,23,5,21.73913043478261,,,,,,,,5 (21.7%)
FUSPCEU,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,22,23,,,295.342838442138,250.0714285706481,288.39285714129613,323.57142857462173,,,0.9373906508776009,"04:48 [04:10, 05:24]"
FUSPCEU,Chronotype,Social jetlag,,participant,hours,22,23,,,1.6056818181818182,0.8020833333333334,1.375,2.3541666666666665,0,3.8333333333333335,,"1.38 [0.802, 2.35]"
FUSPCEU,Sleep diary,Participants with eligible sleep diary,,participant,n,23,23,23,100,,,,,,,,23 (100.0%)
FUSPCEU,Sleep diary,Eligible sleep diary records,,diary record,n,149,149,149,100,,,,,,,,149
FUSPCEU,Sleep diary,Sleep duration,,diary record,hours,149,149,,,8.118008948545862,7.1,7.816666666666666,8.833333333333334,4,13.933333333333334,,"7.82 [7.1, 8.83]"
IZTECH,Sample,Participants,Main near-eye dataset,participant,n,17,17,17,100,,,,,,,,17
IZTECH,Demographics,Age,,participant,years,17,17,,,24.647058823529413,23,24,26,21,32,,"24 [23, 26]"
IZTECH,Demographics,Sex,Female,participant,n (%),17,17,11,64.70588235294117,,,,,,,,11 (64.7%)
IZTECH,Demographics,Sex,Male,participant,n (%),17,17,6,35.294117647058826,,,,,,,,6 (35.3%)
IZTECH,Demographics,Gender,Man,participant,n (%),17,17,6,35.294117647058826,,,,,,,,6 (35.3%)
IZTECH,Demographics,Gender,Woman,participant,n (%),17,17,11,64.70588235294117,,,,,,,,11 (64.7%)
IZTECH,Demographics,Employment status,Full time employed,participant,n (%),17,17,5,29.41176470588235,,,,,,,,5 (29.4%)
IZTECH,Demographics,Employment status,Part time employed,participant,n (%),17,17,2,11.764705882352942,,,,,,,,2 (11.8%)
IZTECH,Demographics,Employment status,Studying and employed,participant,n (%),17,17,10,58.8235294117647,,,,,,,,10 (58.8%)
IZTECH,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,17,17,,,48.23529411764706,40,52,57,30,62,,"52 [40, 57]"
IZTECH,Chronotype,Chronotype group,Evening type,participant,n (%),17,17,5,29.41176470588235,,,,,,,,5 (29.4%)
IZTECH,Chronotype,Chronotype group,Intermediate,participant,n (%),17,17,10,58.8235294117647,,,,,,,,10 (58.8%)
IZTECH,Chronotype,Chronotype group,Morning type,participant,n (%),17,17,2,11.764705882352942,,,,,,,,2 (11.8%)
IZTECH,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,17,17,,,321.52050067624606,307.50000000000006,328.57142856717115,356.42857143282896,,,0.9649747062065995,"05:29 [05:08, 05:56]"
IZTECH,Chronotype,Social jetlag,,participant,hours,17,17,,,1.16078431372549,0.875,1.0833333333333333,1.75,0.16666666666666666,2.4166666666666665,,"1.08 [0.875, 1.75]"
IZTECH,Sleep diary,Participants with eligible sleep diary,,participant,n,17,17,17,100,,,,,,,,17 (100.0%)
IZTECH,Sleep diary,Eligible sleep diary records,,diary record,n,137,137,137,100,,,,,,,,137
IZTECH,Sleep diary,Sleep duration,,diary record,hours,137,137,,,7.841119221411192,6.583333333333333,7.833333333333333,9,1.8666666666666667,14.166666666666666,,"7.83 [6.58, 9]"
UCR,Sample,Participants,Main near-eye dataset,participant,n,6,6,6,100,,,,,,,,6
UCR,Demographics,Age,,participant,years,6,6,,,28.833333333333332,23,25,33.75,22,42,,"25 [23, 33.8]"
UCR,Demographics,Sex,Female,participant,n (%),6,6,4,66.66666666666667,,,,,,,,4 (66.7%)
UCR,Demographics,Sex,Male,participant,n (%),6,6,2,33.333333333333336,,,,,,,,2 (33.3%)
UCR,Demographics,Gender,Man,participant,n (%),6,6,2,33.333333333333336,,,,,,,,2 (33.3%)
UCR,Demographics,Gender,Woman,participant,n (%),6,6,4,66.66666666666667,,,,,,,,4 (66.7%)
UCR,Demographics,Employment status,Full time employed,participant,n (%),6,6,2,33.333333333333336,,,,,,,,2 (33.3%)
UCR,Demographics,Employment status,Not employed but studying or in training,participant,n (%),6,6,1,16.666666666666668,,,,,,,,1 (16.7%)
UCR,Demographics,Employment status,Studying and employed,participant,n (%),6,6,3,50,,,,,,,,3 (50.0%)
UCR,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,6,6,,,57.5,55,58,61.75,47,65,,"58 [55, 61.8]"
UCR,Chronotype,Chronotype group,Intermediate,participant,n (%),6,6,4,66.66666666666667,,,,,,,,4 (66.7%)
UCR,Chronotype,Chronotype group,Morning type,participant,n (%),6,6,2,33.333333333333336,,,,,,,,2 (33.3%)
UCR,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,6,6,,,219.33657846372006,189.99999999999994,202.67857142488157,224.7321428497632,,,0.9736561647547173,"03:23 [03:10, 03:45]"
UCR,Chronotype,Social jetlag,,participant,hours,6,6,,,0.9166666666666666,0.6875,0.75,1.125,0.5833333333333334,1.5,,"0.75 [0.688, 1.12]"
UCR,Sleep diary,Participants with eligible sleep diary,,participant,n,6,6,6,100,,,,,,,,6 (100.0%)
UCR,Sleep diary,Eligible sleep diary records,,diary record,n,39,39,39,100,,,,,,,,39
UCR,Sleep diary,Sleep duration,,diary record,hours,39,39,,,7.492307692307692,6.916666666666666,7.416666666666667,8.2,3.3333333333333335,10.416666666666666,,"7.42 [6.92, 8.2]"
KNUST,Sample,Participants,Main near-eye dataset,participant,n,15,15,15,100,,,,,,,,15
KNUST,Demographics,Age,,participant,years,15,15,,,23,22,23,24.5,18,25,,"23 [22, 24.5]"
KNUST,Demographics,Sex,Female,participant,n (%),15,15,8,53.333333333333336,,,,,,,,8 (53.3%)
KNUST,Demographics,Sex,Male,participant,n (%),15,15,7,46.666666666666664,,,,,,,,7 (46.7%)
KNUST,Demographics,Gender,Man,participant,n (%),15,15,7,46.666666666666664,,,,,,,,7 (46.7%)
KNUST,Demographics,Gender,Woman,participant,n (%),15,15,8,53.333333333333336,,,,,,,,8 (53.3%)
KNUST,Demographics,Employment status,Marginally employed (Minijob),participant,n (%),15,15,1,6.666666666666667,,,,,,,,1 (6.7%)
KNUST,Demographics,Employment status,Not employed,participant,n (%),15,15,1,6.666666666666667,,,,,,,,1 (6.7%)
KNUST,Demographics,Employment status,Not employed but studying or in training,participant,n (%),15,15,12,80,,,,,,,,12 (80.0%)
KNUST,Demographics,Employment status,Studying and employed,participant,n (%),15,15,1,6.666666666666667,,,,,,,,1 (6.7%)
KNUST,Chronotype,Morningness–Eveningness Questionnaire score,,participant,score,15,15,,,62.4,59,62,68.5,45,73,,"62 [59, 68.5]"
KNUST,Chronotype,Chronotype group,Intermediate,participant,n (%),15,15,4,26.666666666666668,,,,,,,,4 (26.7%)
KNUST,Chronotype,Chronotype group,Morning type,participant,n (%),15,15,11,73.33333333333333,,,,,,,,11 (73.3%)
KNUST,Chronotype,Sleep-corrected midsleep on free days,,participant,clock time,15,15,,,147.35652121332873,110,139.28571428259215,187.14285714129608,,,0.9811218074494764,"02:19 [01:50, 03:07]"
KNUST,Chronotype,Social jetlag,,participant,hours,15,15,,,0.49000000000000005,0,0.25,0.875,0,1.4333333333333333,,"0.25 [0, 0.875]"
KNUST,Sleep diary,Participants with eligible sleep diary,,participant,n,15,15,15,100,,,,,,,,15 (100.0%)
KNUST,Sleep diary,Eligible sleep diary records,,diary record,n,104,104,104,100,,,,,,,,104
KNUST,Sleep diary,Sleep duration,,diary record,hours,104,104,,,7.733173076923077,6.395833333333333,7.616666666666667,8.8,3.8333333333333335,12.083333333333334,,"7.62 [6.4, 8.8]"
