section,characteristic,site,reader_site,display,denominator_definition,placement,n_participants,n_participant_days,n_observations
Site specifics,Coordinates,TUM,Munich (DE),"48.1°N, 11.6°E",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,FUSPCEU,Madrid (ES),"40.4°N, 3.7°W",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,IZTECH,Izmir (TR),"38.3°N, 26.6°E",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,UCR,San José (CR),"9.9°N, 84.1°W",Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,KNUST,Kumasi (GH),"6.7°N, 1.6°W",Verified site coordinates,mixed_or_not_applicable,,,
Data collection,Participants,Overall,Overall,191 roster (near-eye 143; chest 157; paired 116),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,191,,
Data collection,Participants,RISE,Borås (SE),17 roster (near-eye 14; chest 17; paired 14),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,17,,
Data collection,Participants,THUAS,Delft (NL),20 roster (near-eye 13; chest 15; paired 13),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,20,,
Data collection,Participants,BAUA,Dortmund (DE),24 roster (near-eye 19; chest 22; paired 19),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,24,,
Data collection,Participants,MPI,Tübingen (DE),26 roster (near-eye 26; chest 0; paired 0),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,26,,
Data collection,Participants,TUM,Munich (DE),10 roster (near-eye 10; chest 10; paired 10),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,10,,
Data collection,Participants,FUSPCEU,Madrid (ES),23 roster (near-eye 23; chest 22; paired 22),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,23,,
Data collection,Participants,IZTECH,Izmir (TR),17 roster (near-eye 17; chest 17; paired 17),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,17,,
Data collection,Participants,UCR,San José (CR),39 roster (near-eye 6; chest 39; paired 6),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,39,,
Data collection,Participants,KNUST,Kumasi (GH),15 roster (near-eye 15; chest 15; paired 15),Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,15,,
Data collection,Participant-days,Overall,Overall,1478 roster (near-eye 1134; chest 1246; paired 902),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,184,1478,
Data collection,Participant-days,RISE,Borås (SE),137 roster (near-eye 107; chest 137; paired 107),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,17,137,
Data collection,Participant-days,THUAS,Delft (NL),125 roster (near-eye 107; chest 124; paired 106),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,15,125,
Data collection,Participant-days,BAUA,Dortmund (DE),176 roster (near-eye 145; chest 163; paired 132),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,22,176,
Data collection,Participant-days,MPI,Tübingen (DE),208 roster (near-eye 208; chest 0; paired 0),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,26,208,
Data collection,Participant-days,TUM,Munich (DE),80 roster (near-eye 80; chest 80; paired 80),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,10,80,
Data collection,Participant-days,FUSPCEU,Madrid (ES),182 roster (near-eye 182; chest 174; paired 174),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,23,182,
Data collection,Participant-days,IZTECH,Izmir (TR),138 roster (near-eye 138; chest 138; paired 138),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,17,138,
Data collection,Participant-days,UCR,San José (CR),312 roster (near-eye 48; chest 312; paired 48),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,39,312,
Data collection,Participant-days,KNUST,Kumasi (GH),120 roster (near-eye 119; chest 118; paired 117),All participant-days with recorded data except exact all-zero melEDI days; roster is the union across placements,mixed_or_not_applicable,15,120,
Data collection,Weekday / weekend,Overall,Overall,Near-eye 850 / 284; chest 935 / 311,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,1478,
Data collection,Weekday / weekend,RISE,Borås (SE),Near-eye 81 / 26; chest 103 / 34,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,137,
Data collection,Weekday / weekend,THUAS,Delft (NL),Near-eye 79 / 28; chest 93 / 31,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,125,
Data collection,Weekday / weekend,BAUA,Dortmund (DE),Near-eye 109 / 36; chest 123 / 40,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,176,
Data collection,Weekday / weekend,MPI,Tübingen (DE),Near-eye 156 / 52; chest 0 / 0,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,208,
Data collection,Weekday / weekend,TUM,Munich (DE),Near-eye 60 / 20; chest 60 / 20,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,80,
Data collection,Weekday / weekend,FUSPCEU,Madrid (ES),Near-eye 136 / 46; chest 130 / 44,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,182,
Data collection,Weekday / weekend,IZTECH,Izmir (TR),Near-eye 104 / 34; chest 104 / 34,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,138,
Data collection,Weekday / weekend,UCR,San José (CR),Near-eye 36 / 12; chest 233 / 79,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,312,
Data collection,Weekday / weekend,KNUST,Kumasi (GH),Near-eye 89 / 30; chest 89 / 29,Available non-all-zero participant-days; placements remain separate,mixed_or_not_applicable,,120,
Data collection,Workday / free-day diaries,Overall,Overall,824 work / 451 free; n=1275 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,184,,1275
Data collection,Workday / free-day diaries,RISE,Borås (SE),77 work / 40 free; n=117 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,17,,117
Data collection,Workday / free-day diaries,THUAS,Delft (NL),70 work / 31 free; n=101 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,15,,101
Data collection,Workday / free-day diaries,BAUA,Dortmund (DE),95 work / 54 free; n=149 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,22,,149
Data collection,Workday / free-day diaries,MPI,Tübingen (DE),115 work / 66 free; n=181 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,26,,181
Data collection,Workday / free-day diaries,TUM,Munich (DE),38 work / 32 free; n=70 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,10,,70
Data collection,Workday / free-day diaries,FUSPCEU,Madrid (ES),95 work / 54 free; n=149 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,23,,149
Data collection,Workday / free-day diaries,IZTECH,Izmir (TR),99 work / 38 free; n=137 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,17,,137
Data collection,Workday / free-day diaries,UCR,San José (CR),180 work / 87 free; n=267 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,39,,267
Data collection,Workday / free-day diaries,KNUST,Kumasi (GH),55 work / 49 free; n=104 eligible diary records,Eligible normalized sleep-diary records from the whole roster,mixed_or_not_applicable,15,,104
Data collection,Participant time,Overall,Overall,116w 4d,Near-eye eligible real minutes on screened participant-days,near_eye,,816,
Data collection,Participant time,RISE,Borås (SE),11w 23h,Near-eye eligible real minutes on screened participant-days,near_eye,,78,
Data collection,Participant time,THUAS,Delft (NL),11w 23h,Near-eye eligible real minutes on screened participant-days,near_eye,,78,
Data collection,Participant time,BAUA,Dortmund (DE),15w 2d,Near-eye eligible real minutes on screened participant-days,near_eye,,107,
Data collection,Participant time,MPI,Tübingen (DE),21w 3d,Near-eye eligible real minutes on screened participant-days,near_eye,,150,
Data collection,Participant time,TUM,Munich (DE),8w 4d,Near-eye eligible real minutes on screened participant-days,near_eye,,60,
Data collection,Participant time,FUSPCEU,Madrid (ES),18w 3d,Near-eye eligible real minutes on screened participant-days,near_eye,,129,
Data collection,Participant time,IZTECH,Izmir (TR),14w 3d,Near-eye eligible real minutes on screened participant-days,near_eye,,101,
Data collection,Participant time,UCR,San José (CR),4w 4d,Near-eye eligible real minutes on screened participant-days,near_eye,,32,
Data collection,Participant time,KNUST,Kumasi (GH),11w 4d,Near-eye eligible real minutes on screened participant-days,near_eye,,81,
Data collection,Declared non-wear,Overall,Overall,Near-eye 4w 1d (3.66%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,816,
Data collection,Declared non-wear,RISE,Borås (SE),Near-eye 2d 14h (3.34%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,78,
Data collection,Declared non-wear,THUAS,Delft (NL),Near-eye 3d 1h (3.92%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,78,
Data collection,Declared non-wear,BAUA,Dortmund (DE),Near-eye 3d 15h (3.42%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,107,
Data collection,Declared non-wear,MPI,Tübingen (DE),Near-eye 6d 10h (4.30%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,150,
Data collection,Declared non-wear,TUM,Munich (DE),Near-eye 2d 17h (4.55%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,60,
Data collection,Declared non-wear,FUSPCEU,Madrid (ES),Near-eye 2d 20h (2.20%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,129,
Data collection,Declared non-wear,IZTECH,Izmir (TR),Near-eye 3d 3h (3.13%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,101,
Data collection,Declared non-wear,UCR,San José (CR),Near-eye 1d 11h (4.66%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,32,
Data collection,Declared non-wear,KNUST,Kumasi (GH),Near-eye 3d 21h (4.80%),Near-eye wear-log off outside diary sleep divided by eligible real minutes on screened days,near_eye,,81,
Data collection,Screened days,Overall,Overall,Near-eye 816; chest 902,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,816,
Data collection,Screened days,RISE,Borås (SE),Near-eye 78; chest 96,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,78,
Data collection,Screened days,THUAS,Delft (NL),Near-eye 78; chest 93,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,78,
Data collection,Screened days,BAUA,Dortmund (DE),Near-eye 107; chest 114,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,107,
Data collection,Screened days,MPI,Tübingen (DE),Near-eye 150; chest 0,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,150,
Data collection,Screened days,TUM,Munich (DE),Near-eye 60; chest 60,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,60,
Data collection,Screened days,FUSPCEU,Madrid (ES),Near-eye 129; chest 123,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,129,
Data collection,Screened days,IZTECH,Izmir (TR),Near-eye 101; chest 102,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,101,
Data collection,Screened days,UCR,San José (CR),Near-eye 32; chest 230,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,32,
Data collection,Screened days,KNUST,Kumasi (GH),Near-eye 81; chest 84,Final participant-days after completeness and exact-all-zero screens,mixed_or_not_applicable,,81,
Data collection,Collection dates,Overall,Overall,23/08/14–25/10/20; n=1478 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,RISE,Borås (SE),25/03/03–25/10/20; n=137 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,THUAS,Delft (NL),25/02/21–25/10/14; n=125 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,BAUA,Dortmund (DE),25/06/10–25/10/20; n=176 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,MPI,Tübingen (DE),23/08/14–23/11/13; n=208 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,TUM,Munich (DE),24/05/13–24/07/29; n=80 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,FUSPCEU,Madrid (ES),24/10/07–25/02/10; n=182 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,IZTECH,Izmir (TR),24/12/23–25/06/02; n=138 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,UCR,San José (CR),25/06/16–25/09/07; n=312 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Collection dates,KNUST,Kumasi (GH),24/10/07–25/02/03; n=120 participant-days,Total local-date span across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,Overall,Overall,13.25 h (10.62–18.20); n=1478 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,RISE,Borås (SE),14.81 h (11.80–20.49); n=137 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,THUAS,Delft (NL),14.00 h (11.88–18.09); n=125 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,BAUA,Dortmund (DE),17.88 h (11.76–18.22); n=176 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,MPI,Tübingen (DE),12.07 h (10.55–15.41); n=208 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,TUM,Munich (DE),17.20 h (16.45–17.45); n=80 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,FUSPCEU,Madrid (ES),11.01 h (10.35–12.22); n=182 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,IZTECH,Izmir (TR),13.13 h (10.52–15.57); n=138 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,UCR,San José (CR),13.34 h (13.01–13.47); n=312 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Data collection,Civil photoperiod,KNUST,Kumasi (GH),12.54 h (12.49–12.68); n=120 participant-days,Median (5th–95th percentile) verified civil photoperiod across the whole available roster,mixed_or_not_applicable,,,
Participant information,Age,Overall,Overall,28 y (21 y–52 y); n=191 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,191,,
Participant information,Age,RISE,Borås (SE),38 y (22.6 y–64.8 y); n=17 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Age,THUAS,Delft (NL),30.5 y (19.9 y–57.1 y); n=20 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,20,,
Participant information,Age,BAUA,Dortmund (DE),35.5 y (20.1 y–58.5 y); n=24 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,24,,
Participant information,Age,MPI,Tübingen (DE),27 y (22 y–37 y); n=26 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,26,,
Participant information,Age,TUM,Munich (DE),27.5 y (22.2 y–29 y); n=10 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,10,,
Participant information,Age,FUSPCEU,Madrid (ES),31 y (20.2 y–54.3 y); n=23 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,23,,
Participant information,Age,IZTECH,Izmir (TR),24 y (21 y–29.6 y); n=17 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,17,,
Participant information,Age,UCR,San José (CR),34 y (22 y–48.1 y); n=39 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,39,,
Participant information,Age,KNUST,Kumasi (GH),23 y (20.1 y–25 y); n=15 participants,Whole participant roster; median (5th–95th percentile),mixed_or_not_applicable,15,,
Participant information,Sex,Overall,Overall,Female 105 / Male 86; n=191,Whole roster participants with normalized sex,mixed_or_not_applicable,191,,
Participant information,Sex,RISE,Borås (SE),Female 6 / Male 11; n=17,Whole roster participants with normalized sex,mixed_or_not_applicable,17,,
Participant information,Sex,THUAS,Delft (NL),Female 8 / Male 12; n=20,Whole roster participants with normalized sex,mixed_or_not_applicable,20,,
Participant information,Sex,BAUA,Dortmund (DE),Female 13 / Male 11; n=24,Whole roster participants with normalized sex,mixed_or_not_applicable,24,,
Participant information,Sex,MPI,Tübingen (DE),Female 14 / Male 12; n=26,Whole roster participants with normalized sex,mixed_or_not_applicable,26,,
Participant information,Sex,TUM,Munich (DE),Female 6 / Male 4; n=10,Whole roster participants with normalized sex,mixed_or_not_applicable,10,,
Participant information,Sex,FUSPCEU,Madrid (ES),Female 15 / Male 8; n=23,Whole roster participants with normalized sex,mixed_or_not_applicable,23,,
Participant information,Sex,IZTECH,Izmir (TR),Female 11 / Male 6; n=17,Whole roster participants with normalized sex,mixed_or_not_applicable,17,,
Participant information,Sex,UCR,San José (CR),Female 24 / Male 15; n=39,Whole roster participants with normalized sex,mixed_or_not_applicable,39,,
Participant information,Sex,KNUST,Kumasi (GH),Female 8 / Male 7; n=15,Whole roster participants with normalized sex,mixed_or_not_applicable,15,,
Participant information,Gender,Overall,Overall,Woman 106 / Man 84 / Non-binary 1; n=191,Whole roster participants with normalized gender,mixed_or_not_applicable,191,,
Participant information,Gender,RISE,Borås (SE),Woman 6 / Man 11 / Non-binary 0; n=17,Whole roster participants with normalized gender,mixed_or_not_applicable,17,,
Participant information,Gender,THUAS,Delft (NL),Woman 9 / Man 10 / Non-binary 1; n=20,Whole roster participants with normalized gender,mixed_or_not_applicable,20,,
Participant information,Gender,BAUA,Dortmund (DE),Woman 13 / Man 11 / Non-binary 0; n=24,Whole roster participants with normalized gender,mixed_or_not_applicable,24,,
Participant information,Gender,MPI,Tübingen (DE),Woman 14 / Man 12 / Non-binary 0; n=26,Whole roster participants with normalized gender,mixed_or_not_applicable,26,,
Participant information,Gender,TUM,Munich (DE),Woman 6 / Man 4 / Non-binary 0; n=10,Whole roster participants with normalized gender,mixed_or_not_applicable,10,,
Participant information,Gender,FUSPCEU,Madrid (ES),Woman 15 / Man 8 / Non-binary 0; n=23,Whole roster participants with normalized gender,mixed_or_not_applicable,23,,
Participant information,Gender,IZTECH,Izmir (TR),Woman 11 / Man 6 / Non-binary 0; n=17,Whole roster participants with normalized gender,mixed_or_not_applicable,17,,
Participant information,Gender,UCR,San José (CR),Woman 24 / Man 15 / Non-binary 0; n=39,Whole roster participants with normalized gender,mixed_or_not_applicable,39,,
Participant information,Gender,KNUST,Kumasi (GH),Woman 8 / Man 7 / Non-binary 0; n=15,Whole roster participants with normalized gender,mixed_or_not_applicable,15,,
Participant information,Employment status,Overall,Overall,Full/studying 163 / Part/marginal 26 / Not employed 2; n=191,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,191,,
Participant information,Employment status,RISE,Borås (SE),Full/studying 16 / Part/marginal 0 / Not employed 1; n=17,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,17,,
Participant information,Employment status,THUAS,Delft (NL),Full/studying 11 / Part/marginal 9 / Not employed 0; n=20,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,20,,
Participant information,Employment status,BAUA,Dortmund (DE),Full/studying 21 / Part/marginal 3 / Not employed 0; n=24,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,24,,
Participant information,Employment status,MPI,Tübingen (DE),Full/studying 23 / Part/marginal 3 / Not employed 0; n=26,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,26,,
Participant information,Employment status,TUM,Munich (DE),Full/studying 9 / Part/marginal 1 / Not employed 0; n=10,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,10,,
Participant information,Employment status,FUSPCEU,Madrid (ES),Full/studying 21 / Part/marginal 2 / Not employed 0; n=23,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,23,,
Participant information,Employment status,IZTECH,Izmir (TR),Full/studying 15 / Part/marginal 2 / Not employed 0; n=17,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,17,,
Participant information,Employment status,UCR,San José (CR),Full/studying 34 / Part/marginal 5 / Not employed 0; n=39,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,39,,
Participant information,Employment status,KNUST,Kumasi (GH),Full/studying 13 / Part/marginal 1 / Not employed 1; n=15,Whole roster; categories reproduce the earlier grouped presentation,mixed_or_not_applicable,15,,
Participant information,Chronotype group,Overall,Overall,Morning 62 / Intermediate 94 / Evening 30; n=186,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,186,,
Participant information,Chronotype group,RISE,Borås (SE),Morning 8 / Intermediate 4 / Evening 5; n=17,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,17,,
Participant information,Chronotype group,THUAS,Delft (NL),Morning 3 / Intermediate 9 / Evening 3; n=15,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,15,,
Participant information,Chronotype group,BAUA,Dortmund (DE),Morning 8 / Intermediate 13 / Evening 3; n=24,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,24,,
Participant information,Chronotype group,MPI,Tübingen (DE),Morning 9 / Intermediate 9 / Evening 8; n=26,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,26,,
Participant information,Chronotype group,TUM,Munich (DE),Morning 0 / Intermediate 8 / Evening 2; n=10,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,10,,
Participant information,Chronotype group,FUSPCEU,Madrid (ES),Morning 5 / Intermediate 17 / Evening 1; n=23,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,23,,
Participant information,Chronotype group,IZTECH,Izmir (TR),Morning 2 / Intermediate 10 / Evening 5; n=17,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,17,,
Participant information,Chronotype group,UCR,San José (CR),Morning 16 / Intermediate 20 / Evening 3; n=39,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,39,,
Participant information,Chronotype group,KNUST,Kumasi (GH),Morning 11 / Intermediate 4 / Evening 0; n=15,Whole roster with Morningness–Eveningness Questionnaire category,mixed_or_not_applicable,15,,
Participant information,Sleep-corrected midsleep on free days,Overall,Overall,04:03 (02:08–06:15); n=185 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,185,,
Participant information,Sleep-corrected midsleep on free days,RISE,Borås (SE),02:55 (02:04–05:09); n=17 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,17,,
Participant information,Sleep-corrected midsleep on free days,THUAS,Delft (NL),04:31 (03:05–05:37); n=15 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,15,,
Participant information,Sleep-corrected midsleep on free days,BAUA,Dortmund (DE),03:47 (02:17–04:49); n=24 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,24,,
Participant information,Sleep-corrected midsleep on free days,MPI,Tübingen (DE),04:33 (02:41–06:04); n=26 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,26,,
Participant information,Sleep-corrected midsleep on free days,TUM,Munich (DE),05:08 (04:12–06:04); n=10 participants,Whole roster; circular median and circular 5th–95th interval,mixed_or_not_applicable,10,,
