site,work_free_day,clock_hour_bin,residual_mean,one_hour_observations,display_order,display_name,color_hex
THUAS,Free day,9,-15.039858348242113,19,2,Delft (NL),#117733
THUAS,Free day,10,-5.97380861993146,16,2,Delft (NL),#117733
THUAS,Free day,11,64.04756552098479,17,2,Delft (NL),#117733
THUAS,Free day,12,60.881988768661095,19,2,Delft (NL),#117733
THUAS,Free day,13,38.107082834486455,19,2,Delft (NL),#117733
THUAS,Free day,14,95.59070134301099,19,2,Delft (NL),#117733
THUAS,Free day,15,62.4361169648169,19,2,Delft (NL),#117733
THUAS,Free day,16,49.85004509836207,18,2,Delft (NL),#117733
THUAS,Free day,17,16.31813680726132,18,2,Delft (NL),#117733
THUAS,Free day,18,-11.097088026602338,17,2,Delft (NL),#117733
THUAS,Free day,23,-18.547965318731308,18,2,Delft (NL),#117733
THUAS,Work day,0,-16.070382184948798,40,2,Delft (NL),#117733
THUAS,Work day,1,-16.231223745392963,40,2,Delft (NL),#117733
THUAS,Work day,2,-16.345776984650584,39,2,Delft (NL),#117733
THUAS,Work day,3,-16.345750305162813,39,2,Delft (NL),#117733
THUAS,Work day,4,-16.231234405982406,40,2,Delft (NL),#117733
THUAS,Work day,5,-16.225349387472342,40,2,Delft (NL),#117733
THUAS,Work day,6,-15.983264097278212,40,2,Delft (NL),#117733
THUAS,Work day,7,-15.137633779385913,40,2,Delft (NL),#117733
THUAS,Work day,8,-5.939018019705147,39,2,Delft (NL),#117733
THUAS,Work day,9,3.891194401716916,38,2,Delft (NL),#117733
THUAS,Work day,10,-1.1528478495964498,38,2,Delft (NL),#117733
THUAS,Work day,11,19.656437912959788,39,2,Delft (NL),#117733
THUAS,Work day,12,13.038530867025509,35,2,Delft (NL),#117733
THUAS,Work day,13,34.895613343936816,39,2,Delft (NL),#117733
THUAS,Work day,14,9.258944376910486,39,2,Delft (NL),#117733
THUAS,Work day,15,32.39859614102956,40,2,Delft (NL),#117733
THUAS,Work day,16,19.42599506438803,39,2,Delft (NL),#117733
THUAS,Work day,17,20.8585873040408,37,2,Delft (NL),#117733
THUAS,Work day,18,-7.010946446001089,35,2,Delft (NL),#117733
THUAS,Work day,19,-10.46457967144011,36,2,Delft (NL),#117733
THUAS,Work day,20,-13.67038967560352,37,2,Delft (NL),#117733
THUAS,Work day,21,-15.458044318645243,37,2,Delft (NL),#117733
THUAS,Work day,22,-16.03280022791068,38,2,Delft (NL),#117733
THUAS,Work day,23,-15.792578931442014,39,2,Delft (NL),#117733
THUAS,Free day,19,-12.37387958456164,17,2,Delft (NL),#117733
THUAS,Free day,20,-17.321728250162177,16,2,Delft (NL),#117733
THUAS,Free day,21,-18.918157473040193,15,2,Delft (NL),#117733
THUAS,Free day,22,-18.399420614425356,16,2,Delft (NL),#117733
BAUA,Work day,0,-16.837815582807696,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,1,-16.848199406491066,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,2,-16.854250693252116,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,3,-16.854062907326927,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,4,-16.853282947029516,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,5,-16.49098776379618,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,6,-12.598542746843227,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,7,-5.555198552788488,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,8,-1.116764989350268,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,9,1.8127943249458083,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,10,-1.873188036354005,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,11,2.5296116346062254,52,3,Dortmund (DE),#DDCC77
BAUA,Work day,12,2.4870384557737606,51,3,Dortmund (DE),#DDCC77
BAUA,Work day,13,1.5541572146488034,48,3,Dortmund (DE),#DDCC77
BAUA,Work day,14,2.88864039945506,51,3,Dortmund (DE),#DDCC77
BAUA,Work day,15,37.802462262459,47,3,Dortmund (DE),#DDCC77
BAUA,Work day,16,22.82999027892457,48,3,Dortmund (DE),#DDCC77
BAUA,Work day,17,23.792118115936056,44,3,Dortmund (DE),#DDCC77
BAUA,Work day,18,10.11791175530692,47,3,Dortmund (DE),#DDCC77
BAUA,Work day,19,0.532573507175602,49,3,Dortmund (DE),#DDCC77
BAUA,Work day,20,-12.113629613890875,47,3,Dortmund (DE),#DDCC77
BAUA,Work day,21,-16.065104975629595,48,3,Dortmund (DE),#DDCC77
BAUA,Work day,22,-16.726614563055833,49,3,Dortmund (DE),#DDCC77
BAUA,Work day,23,-16.84418463172681,51,3,Dortmund (DE),#DDCC77
BAUA,Free day,0,-20.77055865044217,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,1,-20.808114025216625,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,2,-20.823982322228346,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,3,-20.82403098202184,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,4,-20.824064180266525,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,5,-20.7750895313606,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,6,-19.6326474455217,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,7,-17.053776995942137,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,8,-12.354018129959078,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,9,4.942546924550223,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,10,12.412183588054647,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,11,35.58806342070698,33,3,Dortmund (DE),#DDCC77
BAUA,Free day,12,62.589817287540455,34,3,Dortmund (DE),#DDCC77
BAUA,Free day,14,36.59965476112777,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,15,12.88652467929215,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,16,65.99241770805111,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,17,41.23264291140803,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,18,24.40702509565298,34,3,Dortmund (DE),#DDCC77
BAUA,Free day,19,4.844360628066298,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,20,-12.949713544393044,36,3,Dortmund (DE),#DDCC77
BAUA,Free day,21,-19.99673530088622,35,3,Dortmund (DE),#DDCC77
BAUA,Free day,22,-20.78289540693529,33,3,Dortmund (DE),#DDCC77
BAUA,Free day,23,-20.791399336179694,32,3,Dortmund (DE),#DDCC77
BAUA,Free day,13,52.15165729277011,34,3,Dortmund (DE),#DDCC77
MPI,Work day,0,-11.06783110162541,86,4,Tübingen (DE),#DDCC77
MPI,Work day,1,-11.283751352272557,86,4,Tübingen (DE),#DDCC77
MPI,Work day,2,-11.337101411480633,86,4,Tübingen (DE),#DDCC77
MPI,Work day,3,-11.362608753028578,86,4,Tübingen (DE),#DDCC77
MPI,Work day,4,-11.366855730851563,86,4,Tübingen (DE),#DDCC77
MPI,Work day,5,-11.364068340133734,86,4,Tübingen (DE),#DDCC77
MPI,Work day,6,-11.250482762687987,86,4,Tübingen (DE),#DDCC77
MPI,Work day,7,-7.462369570292301,86,4,Tübingen (DE),#DDCC77
MPI,Work day,8,0.8979567861586136,85,4,Tübingen (DE),#DDCC77
MPI,Work day,9,9.632403371493332,85,4,Tübingen (DE),#DDCC77
MPI,Work day,10,10.325131436197024,85,4,Tübingen (DE),#DDCC77
MPI,Work day,11,26.257954197275197,86,4,Tübingen (DE),#DDCC77
MPI,Work day,12,25.437404002013206,85,4,Tübingen (DE),#DDCC77
MPI,Work day,13,26.477687400442264,82,4,Tübingen (DE),#DDCC77
MPI,Work day,14,13.519419823133104,83,4,Tübingen (DE),#DDCC77
MPI,Work day,15,11.490271880354259,84,4,Tübingen (DE),#DDCC77
MPI,Work day,16,15.960193948607891,81,4,Tübingen (DE),#DDCC77
MPI,Work day,17,15.135629320506064,80,4,Tübingen (DE),#DDCC77
MPI,Work day,18,25.030003157242284,78,4,Tübingen (DE),#DDCC77
MPI,Work day,19,-2.553847415566541,77,4,Tübingen (DE),#DDCC77
MPI,Work day,20,-9.952584007150218,75,4,Tübingen (DE),#DDCC77
MPI,Work day,21,-10.53217948420606,78,4,Tübingen (DE),#DDCC77
MPI,Work day,22,-10.55590891098267,82,4,Tübingen (DE),#DDCC77
MPI,Work day,23,-10.808969974471035,80,4,Tübingen (DE),#DDCC77
MPI,Free day,0,-12.162465494211588,59,4,Tübingen (DE),#DDCC77
MPI,Free day,1,-12.371270580279253,61,4,Tübingen (DE),#DDCC77
MPI,Free day,2,-12.452780064567513,61,4,Tübingen (DE),#DDCC77
MPI,Free day,3,-12.481255160916783,62,4,Tübingen (DE),#DDCC77
MPI,Free day,4,-12.50030119336443,62,4,Tübingen (DE),#DDCC77
MPI,Free day,5,-12.498310015033871,62,4,Tübingen (DE),#DDCC77
MPI,Free day,6,-12.462655647777517,62,4,Tübingen (DE),#DDCC77
MPI,Free day,7,-11.141158473914796,62,4,Tübingen (DE),#DDCC77
MPI,Free day,8,-7.708153578069021,61,4,Tübingen (DE),#DDCC77
MPI,Free day,9,-1.2266474469296442,60,4,Tübingen (DE),#DDCC77
MPI,Free day,10,4.5459438638361735,59,4,Tübingen (DE),#DDCC77
MPI,Free day,11,8.172932537368741,58,4,Tübingen (DE),#DDCC77
MPI,Free day,12,10.977383221243267,59,4,Tübingen (DE),#DDCC77
MPI,Free day,13,11.611739579983528,61,4,Tübingen (DE),#DDCC77
MPI,Free day,14,3.67383597422591,60,4,Tübingen (DE),#DDCC77
MPI,Free day,15,11.477879384999932,56,4,Tübingen (DE),#DDCC77
MPI,Free day,16,33.82266450315706,55,4,Tübingen (DE),#DDCC77
MPI,Free day,17,17.073298270682905,57,4,Tübingen (DE),#DDCC77
MPI,Free day,18,-0.4589426199881615,60,4,Tübingen (DE),#DDCC77
MPI,Free day,19,-9.006535545868584,58,4,Tübingen (DE),#DDCC77
MPI,Free day,20,-11.373019622550654,60,4,Tübingen (DE),#DDCC77
MPI,Free day,21,-11.18521926209646,59,4,Tübingen (DE),#DDCC77
MPI,Free day,22,-11.645572844612207,58,4,Tübingen (DE),#DDCC77
MPI,Free day,23,-11.761544562346259,58,4,Tübingen (DE),#DDCC77
TUM,Work day,0,-11.460184437229342,30,5,Munich (DE),#DDCC77
TUM,Work day,1,-11.571584292203678,30,5,Munich (DE),#DDCC77
TUM,Work day,2,-11.687309587228079,30,5,Munich (DE),#DDCC77
TUM,Work day,3,-11.729111158983313,30,5,Munich (DE),#DDCC77
TUM,Work day,4,-11.739889033054768,30,5,Munich (DE),#DDCC77
TUM,Work day,5,-11.565871030351241,30,5,Munich (DE),#DDCC77
TUM,Work day,6,-9.75153391057811,30,5,Munich (DE),#DDCC77
TUM,Work day,7,-1.2697394325980806,30,5,Munich (DE),#DDCC77
TUM,Work day,8,34.05112943741128,30,5,Munich (DE),#DDCC77
TUM,Work day,9,4.991289261662974,30,5,Munich (DE),#DDCC77
TUM,Work day,10,13.758597982496314,29,5,Munich (DE),#DDCC77
TUM,Work day,11,8.805240630441691,28,5,Munich (DE),#DDCC77
TUM,Work day,12,34.437829738247025,28,5,Munich (DE),#DDCC77
TUM,Work day,13,20.497934419013138,28,5,Munich (DE),#DDCC77
TUM,Work day,14,13.053565619099032,28,5,Munich (DE),#DDCC77
TUM,Work day,15,8.369788244362027,29,5,Munich (DE),#DDCC77
TUM,Work day,16,11.961290547615913,28,5,Munich (DE),#DDCC77
TUM,Work day,17,3.6058690624927214,28,5,Munich (DE),#DDCC77
TUM,Work day,18,8.401204493826354,26,5,Munich (DE),#DDCC77
TUM,Work day,19,13.62726856058897,28,5,Munich (DE),#DDCC77
TUM,Work day,20,-5.282935525055676,28,5,Munich (DE),#DDCC77
TUM,Work day,21,-9.653675032646023,30,5,Munich (DE),#DDCC77
TUM,Work day,22,-10.10201497612761,30,5,Munich (DE),#DDCC77
TUM,Work day,23,-11.080099999380693,29,5,Munich (DE),#DDCC77
TUM,Free day,0,-13.347859404197497,30,5,Munich (DE),#DDCC77
TUM,Free day,1,-13.447811329323752,30,5,Munich (DE),#DDCC77
TUM,Free day,2,-13.522542955530275,30,5,Munich (DE),#DDCC77
TUM,Free day,3,-13.51604903065895,30,5,Munich (DE),#DDCC77
TUM,Free day,4,-13.56115652708391,30,5,Munich (DE),#DDCC77
TUM,Free day,5,-13.476401515351435,30,5,Munich (DE),#DDCC77
TUM,Free day,6,-10.392032319036073,30,5,Munich (DE),#DDCC77
TUM,Free day,7,-4.158521450176589,30,5,Munich (DE),#DDCC77
TUM,Free day,8,4.859263257562201,30,5,Munich (DE),#DDCC77
TUM,Free day,9,12.186613988202994,30,5,Munich (DE),#DDCC77
TUM,Free day,10,13.607424440435858,29,5,Munich (DE),#DDCC77
TUM,Free day,11,-0.17349598624608437,27,5,Munich (DE),#DDCC77
TUM,Free day,12,2.162769573283189,28,5,Munich (DE),#DDCC77
TUM,Free day,13,36.724792111898445,28,5,Munich (DE),#DDCC77
TUM,Free day,14,31.33723748739475,30,5,Munich (DE),#DDCC77
TUM,Free day,15,14.528823371943297,30,5,Munich (DE),#DDCC77
TUM,Free day,16,2.3840363993854896,28,5,Munich (DE),#DDCC77
TUM,Free day,17,4.838986102579963,29,5,Munich (DE),#DDCC77
TUM,Free day,18,-5.13316831076764,27,5,Munich (DE),#DDCC77
TUM,Free day,19,-9.18456409104269,28,5,Munich (DE),#DDCC77
TUM,Free day,20,-11.89177359864208,27,5,Munich (DE),#DDCC77
TUM,Free day,21,-12.797726341444674,29,5,Munich (DE),#DDCC77
TUM,Free day,22,-12.74606767683657,27,5,Munich (DE),#DDCC77
TUM,Free day,23,-13.229772386646385,26,5,Munich (DE),#DDCC77
FUSPCEU,Work day,0,-9.643910324149237,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,1,-9.659849200916833,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,2,-9.690795646532889,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,3,-9.690795646532889,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,4,-9.690795646532889,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,5,-9.690795646532889,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,6,-9.68603856930733,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,7,-9.417357239517171,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,8,-4.013222898656865,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,9,10.01974552588508,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,10,11.327025115578495,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,11,14.241718541601404,55,6,Madrid (ES),#CC6677
FUSPCEU,Work day,12,18.388108369032977,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,13,37.93091163954945,57,6,Madrid (ES),#CC6677
FUSPCEU,Work day,14,62.16421284596106,55,6,Madrid (ES),#CC6677
FUSPCEU,Work day,15,20.469019913634792,55,6,Madrid (ES),#CC6677
FUSPCEU,Work day,16,21.76532923859961,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,17,9.542259936083385,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,22,-8.503081768347851,55,6,Madrid (ES),#CC6677
FUSPCEU,Work day,23,-9.298842812381224,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,18,-1.0919056934264204,56,6,Madrid (ES),#CC6677
FUSPCEU,Work day,19,-6.378068676332897,53,6,Madrid (ES),#CC6677
FUSPCEU,Work day,20,-6.813820188621897,52,6,Madrid (ES),#CC6677
FUSPCEU,Work day,21,-7.706759950100325,54,6,Madrid (ES),#CC6677
FUSPCEU,Free day,0,-12.462531008119903,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,1,-12.493847504816351,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,2,-12.495096162469478,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,3,-12.495095179987656,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,4,-12.495096162469478,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,5,-12.495096162469478,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,6,-12.49391350040567,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,7,-12.370473769359185,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,8,-11.986015741186675,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,9,-8.286256606947124,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,10,-4.8776807038181085,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,11,18.744216151050185,30,6,Madrid (ES),#CC6677
FUSPCEU,Free day,12,13.990662209087775,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,13,59.83423840436651,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,14,10.341773975745305,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,15,4.059590623100513,28,6,Madrid (ES),#CC6677
FUSPCEU,Free day,16,-6.482165782098927,27,6,Madrid (ES),#CC6677
FUSPCEU,Free day,17,-5.9338799595812235,28,6,Madrid (ES),#CC6677
FUSPCEU,Free day,18,-10.951277467593126,28,6,Madrid (ES),#CC6677
FUSPCEU,Free day,19,-11.438632023949426,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,20,-11.209874573752895,28,6,Madrid (ES),#CC6677
FUSPCEU,Free day,21,-11.238543009978896,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,22,-11.74627957069328,29,6,Madrid (ES),#CC6677
FUSPCEU,Free day,23,-12.28705620353545,30,6,Madrid (ES),#CC6677
IZTECH,Work day,0,-8.6256800244882,61,7,Izmir (TR),#332288
IZTECH,Work day,1,-9.007520159596238,63,7,Izmir (TR),#332288
IZTECH,Work day,2,-9.01600172602302,63,7,Izmir (TR),#332288
IZTECH,Work day,3,-9.016662577797218,63,7,Izmir (TR),#332288
IZTECH,Work day,4,-9.251287813794942,63,7,Izmir (TR),#332288
IZTECH,Work day,5,-9.301430555778245,63,7,Izmir (TR),#332288
IZTECH,Work day,6,-8.902184466676406,63,7,Izmir (TR),#332288
IZTECH,Work day,7,-8.226945310168391,63,7,Izmir (TR),#332288
IZTECH,Work day,8,-3.390147158712161,63,7,Izmir (TR),#332288
IZTECH,Work day,9,2.3821255711995972,61,7,Izmir (TR),#332288
IZTECH,Work day,10,11.385595991449016,62,7,Izmir (TR),#332288
IZTECH,Work day,11,39.0736976405065,62,7,Izmir (TR),#332288
IZTECH,Work day,12,29.324883995023335,62,7,Izmir (TR),#332288
IZTECH,Work day,13,29.18823567904025,62,7,Izmir (TR),#332288
IZTECH,Work day,14,18.456977981506448,61,7,Izmir (TR),#332288
IZTECH,Work day,15,21.254232143546453,60,7,Izmir (TR),#332288
IZTECH,Work day,16,18.319354402738565,60,7,Izmir (TR),#332288
IZTECH,Work day,17,8.235830098049583,57,7,Izmir (TR),#332288
IZTECH,Work day,18,-1.3418815304848324,61,7,Izmir (TR),#332288
IZTECH,Work day,19,-4.920056798858493,59,7,Izmir (TR),#332288
IZTECH,Work day,20,-6.65234585708554,60,7,Izmir (TR),#332288
IZTECH,Work day,21,-7.024870037520084,59,7,Izmir (TR),#332288
IZTECH,Work day,22,-7.707145096949983,61,7,Izmir (TR),#332288
IZTECH,Work day,23,-8.286356512131423,58,7,Izmir (TR),#332288
IZTECH,Free day,0,-10.234896266401154,33,7,Izmir (TR),#332288
IZTECH,Free day,1,-10.542571803903007,33,7,Izmir (TR),#332288
IZTECH,Free day,2,-10.221552900023841,33,7,Izmir (TR),#332288
IZTECH,Free day,3,-10.834181954926047,33,7,Izmir (TR),#332288
IZTECH,Free day,4,-10.874816650767094,33,7,Izmir (TR),#332288
IZTECH,Free day,5,-10.874564575444394,33,7,Izmir (TR),#332288
IZTECH,Free day,6,-10.738415018309073,33,7,Izmir (TR),#332288
IZTECH,Free day,7,-8.701690697315234,33,7,Izmir (TR),#332288
IZTECH,Free day,8,-7.217799741883785,33,7,Izmir (TR),#332288
IZTECH,Free day,9,-7.4254997503407605,33,7,Izmir (TR),#332288
IZTECH,Free day,10,-3.0302017356312247,32,7,Izmir (TR),#332288
IZTECH,Free day,11,4.82564859374542,33,7,Izmir (TR),#332288
IZTECH,Free day,12,17.761877172044407,32,7,Izmir (TR),#332288
IZTECH,Free day,13,10.703200901217931,32,7,Izmir (TR),#332288
IZTECH,Free day,14,24.903615022484026,28,7,Izmir (TR),#332288
IZTECH,Free day,15,11.639836003108961,31,7,Izmir (TR),#332288
IZTECH,Free day,16,0.7945794273418888,30,7,Izmir (TR),#332288
IZTECH,Free day,17,-4.006277717447189,32,7,Izmir (TR),#332288
IZTECH,Free day,18,-3.974234408156608,31,7,Izmir (TR),#332288
IZTECH,Free day,19,-4.8175380757829895,31,7,Izmir (TR),#332288
IZTECH,Free day,20,-7.467234624098534,32,7,Izmir (TR),#332288
IZTECH,Free day,21,-8.376245163306091,31,7,Izmir (TR),#332288
IZTECH,Free day,22,-8.719881674946036,32,7,Izmir (TR),#332288
IZTECH,Free day,23,-9.3128558624458,28,7,Izmir (TR),#332288
UCR,Work day,0,-6.828726524107135,19,8,San José (CR),#44AA99
UCR,Work day,1,-7.332085687737928,19,8,San José (CR),#44AA99
UCR,Work day,2,-7.3631754837202354,19,8,San José (CR),#44AA99
UCR,Work day,3,-7.632948974676242,19,8,San José (CR),#44AA99
UCR,Work day,4,-7.59320345726474,19,8,San José (CR),#44AA99
UCR,Work day,5,-7.875345607216817,19,8,San José (CR),#44AA99
UCR,Work day,6,-6.5912909168395855,19,8,San José (CR),#44AA99
UCR,Work day,7,14.997708052144905,19,8,San José (CR),#44AA99
UCR,Work day,8,11.123656338322439,19,8,San José (CR),#44AA99
UCR,Work day,9,31.006975245357342,19,8,San José (CR),#44AA99
UCR,Work day,10,12.390267118089028,19,8,San José (CR),#44AA99
UCR,Work day,11,16.193787177399418,19,8,San José (CR),#44AA99
UCR,Work day,12,27.377328145756085,19,8,San José (CR),#44AA99
UCR,Work day,13,5.448216633916253,18,8,San José (CR),#44AA99
UCR,Work day,14,8.258762202397337,19,8,San José (CR),#44AA99
UCR,Work day,15,7.214597568602812,19,8,San José (CR),#44AA99
UCR,Work day,17,-3.5507017748327487,17,8,San José (CR),#44AA99
UCR,Work day,18,-6.526091231796799,17,8,San José (CR),#44AA99
UCR,Work day,19,-6.826945009248732,19,8,San José (CR),#44AA99
UCR,Work day,20,-6.8531763422106255,17,8,San José (CR),#44AA99
UCR,Work day,21,-6.493598898149412,17,8,San José (CR),#44AA99
UCR,Work day,22,-7.295187927936671,18,8,San José (CR),#44AA99
UCR,Work day,23,-7.382586242457391,18,8,San José (CR),#44AA99
UCR,Work day,16,1.6366747186759898,17,8,San José (CR),#44AA99
UCR,Free day,0,-9.630720367433971,8,8,San José (CR),#44AA99
UCR,Free day,1,-9.699629584625255,8,8,San José (CR),#44AA99
UCR,Free day,2,-9.702476435969773,8,8,San José (CR),#44AA99
UCR,Free day,3,-9.702476435969773,8,8,San José (CR),#44AA99
UCR,Free day,4,-9.702476435969773,8,8,San José (CR),#44AA99
UCR,Free day,5,-9.624238570911388,8,8,San José (CR),#44AA99
UCR,Free day,6,-8.247273439515,7,8,San José (CR),#44AA99
UCR,Free day,7,-7.252604417783373,8,8,San José (CR),#44AA99
UCR,Free day,8,-3.1084744045163104,8,8,San José (CR),#44AA99
UCR,Free day,9,1.3252265971697303,8,8,San José (CR),#44AA99
UCR,Free day,10,52.73689470268548,8,8,San José (CR),#44AA99
