placement,recovery_item,recovered_value,recovered_text,source_locator,source_sha256,verification_status
glasses,day_night_term_share,0.0034,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
glasses,participant_term_share,0.1013,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
glasses,participant_day_term_share,0.0105,,"docs/RQ1.html, frozen H02 AIC and partial-R2 tables",989a961ebcea5707dc68a9dd3379c7ed914fa0bdf81e7e69100be1d47ce49480,verified_exact_rendered_value
chest,selected_fREML_model_AIC,81644.58,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
chest,time_term_share,0.8464,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
chest,site_term_share,0.0519,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
chest,day_night_term_share,0.0041,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
chest,participant_term_share,0.0817,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
chest,participant_day_term_share,0.0159,,"docs/RQ1_chest.html, frozen H02 AIC and partial-R2 tables",d7237b3bb89162e3d5554d673c94e2f707b263f729a229c576c660a3c9d38bd6,verified_exact_rendered_value
both,clock_midpoint,,Time = numeric(Time)/3600 + 0.25,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
both,AR_start,,first row within participant only,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
both,base_formula,,overall + site sz + participant fs + participant-day random effect,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
both,selected_formula,,base formula + day/night state smooth labelled photoperiod,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
both,candidate_comparison,,separately fREML-fitted AIC values,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
both,reported_term_share_definition,,variance of isolated term predictions divided by their sum,RQ1.qmd:584-760; chest duplicate,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643,verified_exact_source_contract
