run_id,model_role,site,work_free_day,activity_status,clock_hour_bin,one_hour_observations,participant_days,participants,residual_mean,residual_sd,fitted_mean,observed_mean,zero_fraction
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",16,23,23,9,25.121557723933023,86.9400828964145,288.6876741929084,714.7250704020905,0.043478260869565216
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",17,22,22,9,43.00939314576815,142.47461057474854,288.62058382091396,1021.0712295226465,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",18,22,22,8,7.945797856684069,77.97042317295244,289.0119719452595,426.8867131432779,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",19,22,22,9,-8.000608281394804,34.83854923052587,287.4891076683548,153.86804580550785,0.045454545454545456
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",20,24,24,10,-12.967150722386354,17.881808496324332,287.31044315690303,68.59649447927183,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",21,23,23,10,-16.735814955700967,0.5273705616193544,286.8235882373482,3.272136370490156,0
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",22,22,22,10,-16.801091934131186,0.5339939177474651,287.1084301392853,2.301139393985365,0.09090909090909091
employment_eligible__glasses__all_available,additive,RISE,Work day,"Active (light, moderate, or vigorous exercise)",23,23,23,10,-16.89601631928914,0.47767028692579433,288.0392255878188,1.1870990849025989,0.4782608695652174
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",0,16,16,10,-19.947891239244623,0.5734887866646287,399.28121829335,0.5303240729143194,0.6875
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",1,16,16,10,-19.964054889763574,0.5923147330297938,399.28121829335,0.19509278422213505,0.9375
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",2,15,15,10,-19.98656188138924,0.6036174716393097,400.25882413805726,0.2289329127493877,0.9333333333333333
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",3,15,15,10,-19.996716088626595,0.6231950528421676,400.25882413805726,0.013845836740262987,0.7333333333333333
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",4,16,16,10,-19.886363251029508,0.6287183007643715,399.28121829335,1.7432839554609436,0.8125
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",5,16,16,10,-19.40122750522811,1.4015807756611713,399.28121829335,11.454621155701737,0.625
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",6,16,16,10,-18.55275830119932,2.576277837867283,399.28121829335,28.549923366040886,0.1875
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",7,16,16,10,-14.74636346215055,15.240222890038774,399.28121829335,105.7904809779516,0.0625
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",8,16,16,10,-9.436523439011522,17.95673509884463,399.28121829335,208.42008073345272,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",9,16,16,10,53.58534445035176,233.23808996735343,399.28121829335,1448.60123524695,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",10,16,16,10,85.61453712536611,255.8521772241528,399.28121829335,2094.562404996885,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",11,16,16,10,60.02118204164188,207.55944353955968,399.28121829335,1575.4067302781186,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",13,15,15,9,50.01362873934277,117.3746841447936,401.499988423372,1392.5137512589822,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",16,15,15,10,14.90616666426188,63.37934798395955,398.52135461429253,691.2661889305673,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",17,15,15,10,40.94841932809859,197.75218861922542,400.0535445087012,1229.1341340313536,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",18,16,16,10,-17.179515444410928,3.8139225176118767,399.28121829335,55.33490794525802,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",19,16,16,10,-18.322660804156826,2.7830869726769962,399.28121829335,32.88332216233833,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",20,16,16,10,-19.279537234280877,1.072384905498841,399.28121829335,13.921015572448752,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",21,16,16,10,-19.71448283230601,0.5018429924069462,399.28121829335,5.265024577739344,0.125
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",22,15,15,10,-19.764694950825596,0.5553387753981709,396.14351282818876,2.6462566764102164,0.13333333333333333
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",23,16,16,10,-19.885663533656903,0.6059921809158766,399.28121829335,1.7643169716201967,0.375
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",12,15,15,10,36.64679732153975,109.64400838044946,398.0812206449508,1124.5348133331454,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",14,13,13,9,32.25275067564137,82.29918753374973,399.635888327638,1041.8205939424872,0
employment_eligible__glasses__all_available,additive,RISE,Free day,"Active (light, moderate, or vigorous exercise)",15,14,14,10,77.91893074673322,268.39950703534123,397.181366871075,1935.6744749648722,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),0,15,15,8,-12.266583032929931,0.3937525690372451,150.62572490294264,0.005982015759254578,0.9333333333333333
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),1,15,15,8,-12.266759368262528,0.39385274723017116,150.62572490294264,0.003781113309328671,0.9333333333333333
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),2,15,15,8,-12.267062309391523,0.394027555846392,150.62572490294264,0,1
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),3,15,15,8,-12.266860248940981,0.39383328411020774,150.62572490294264,0.0025502484471122675,0.8
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),4,15,15,8,-12.18099246908096,0.3586914453826471,150.62572490294264,1.0854234836277963,0.8
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),5,15,15,8,-11.86224268475829,0.7705868803446696,150.62572490294264,5.103081423010148,0.6
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),6,15,15,8,-7.959375119972652,9.602109911573695,150.62572490294264,54.167492969423506,0.13333333333333333
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),7,14,14,7,0.7989081509311117,15.138591216945152,151.1373944783716,159.26389754432327,0.07142857142857142
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),8,15,15,8,10.13721416322277,32.876051304116196,150.62572490294264,269.3644157484744,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),9,14,14,8,7.578784086915954,27.135382867044434,149.93727583166554,237.72310899527469,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),10,14,14,8,11.36714010243801,26.032369419300498,149.93727583166554,284.2054266188122,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),11,15,15,8,12.513669329553082,24.57427823736948,150.62572490294264,301.91102985459025,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),12,15,15,8,11.11950989092859,24.745824880084587,150.62572490294264,285.27087743527744,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),13,15,15,8,20.0727033685879,29.66333099205405,150.62572490294264,396.7821659911349,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),14,14,14,8,38.81093857870377,129.4231084315906,150.34565250449646,624.1625696094397,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),15,14,14,8,29.5347077448638,56.792322445313374,150.13833741894953,513.4287085855834,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),16,12,12,7,12.843505745775618,28.822506031171475,151.9500094789861,305.865101601293,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),17,14,14,8,4.657214058759616,26.693363379938106,151.73654387668688,210.53197912290508,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),18,14,14,8,-4.468987312051833,8.647005392264772,150.13833741894953,95.37155829150106,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),19,15,15,8,-8.73263429270348,5.954835967403462,150.62572490294264,43.33386850842086,0
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),20,15,15,8,-11.067207071433856,1.7097059001972936,150.62572490294264,14.706344427815607,0.06666666666666667
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),21,15,15,8,-12.078191700092262,0.3646540414848756,150.62572490294264,2.369838487698324,0.13333333333333333
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),22,15,15,8,-12.20533317395993,0.3908359045312925,150.62572490294264,0.768422423818796,0.4
employment_eligible__glasses__all_available,additive,RISE,Work day,Sedentary (no reported exercise),23,14,14,7,-12.241266850460622,0.3989618656148971,150.07839259360807,0.041015692138372584,0.7857142857142857
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),0,8,8,5,-14.276465061289393,0.48575510372530883,204.5678460085666,0.2729174558126309,0.625
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),1,8,8,5,-14.288188636729286,0.4840859272923912,204.5678460085666,0.1054107453827477,0.625
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),2,8,8,5,-14.295535300379347,0.4846400539717437,204.5678460085666,0,1
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),3,8,8,5,-14.295535300379347,0.4846400539717437,204.5678460085666,0,1
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),4,8,8,5,-14.295535300379347,0.4846400539717437,204.5678460085666,0,1
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),5,8,8,5,-14.295406875700888,0.48461573509657085,204.5678460085666,0.0018462696541308547,0.875
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),6,8,8,5,-14.270254835592736,0.48318928650254606,204.5678460085666,0.3634897087475213,0.625
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),7,8,8,5,-12.946997910007662,3.102910248418813,204.5678460085666,19.871552201564963,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),8,8,8,5,-9.746837358989318,5.560137267052401,204.5678460085666,66.58632019243002,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),9,7,7,5,4.9367383453597755,26.88548170976863,204.05644179159202,280.09050760531466,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),10,7,7,5,47.351258830396894,121.40437984097868,204.83639598296932,904.699163038316,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),11,7,7,5,65.33926641992757,171.5778143707046,204.83639598296932,1172.807461295653,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),12,7,7,5,34.810497954946825,81.8634301838183,204.83639598296932,718.974746016069,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),13,8,8,5,0.3855944548686874,25.61957659327119,204.5678460085666,214.7415081823009,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),14,8,8,5,13.29422041438317,42.557793674038884,204.5678460085666,404.9030617866248,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),15,8,8,5,-1.8695995075582368,16.754345299952632,204.5678460085666,181.3463216642865,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),16,7,7,5,-6.126052113683705,9.162949466947108,204.57871128347165,119.5049165342619,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),17,8,8,5,-7.364386997289681,6.375507593050367,204.5678460085666,101.24366117657355,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),18,8,8,5,-5.874766121318833,15.248833462368484,204.5678460085666,123.77101259594636,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),19,8,8,5,-12.015080069367274,2.62419370327607,204.5678460085666,33.426798482611545,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),20,8,8,5,-13.858980282379653,0.5763721317453461,204.5678460085666,6.2566284800343865,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),21,8,8,5,-14.100914275964683,0.7139205715116433,204.5678460085666,2.6910348604745393,0
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),22,7,7,5,-14.371419718649218,0.3743347052692293,208.5518800726237,0.9550843862993207,0.2857142857142857
employment_eligible__glasses__all_available,additive,RISE,Free day,Sedentary (no reported exercise),23,8,8,5,-14.26225124561797,0.495179953892347,204.5678460085666,0.472792127233008,0.625
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",0,14,14,10,-20.343943445532794,0.6352623596290581,416.02636209658544,0.8916192225088161,0.42857142857142855
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",1,14,14,10,-20.368113468358263,0.6390095330981866,416.02636209658544,0.3946638811956252,0.6428571428571429
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",2,14,14,10,-20.38240891643771,0.6433719295126048,416.02636209658544,0.09986309036089096,0.9285714285714286
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",3,14,14,10,-20.38526903599034,0.6458030279642415,416.02636209658544,0.039973606862689956,0.8571428571428571
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",4,14,14,10,-20.386636998161247,0.647005021082633,416.02636209658544,0.011341859990780976,0.9285714285714286
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",5,14,14,10,-20.376198823801147,0.6522855813873658,416.02636209658544,0.22164080432888217,0.5714285714285714
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",6,14,14,10,-20.175118956572085,0.87241277946249,416.02636209658544,4.3256304426699375,0.42857142857142855
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",7,14,14,10,-19.779480342337546,1.570207605446743,416.02636209658544,12.446799608156965,0.2857142857142857
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",8,14,14,10,-19.276549483001705,2.502860104610211,416.02636209658544,22.5884933949353,0.14285714285714285
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",9,14,14,10,-16.175989970915595,4.611662161096916,416.02636209658544,86.68050326281671,0.07142857142857142
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",10,12,12,9,-6.050469071049517,19.05935905456289,420.7028884844538,300.1768567053087,0
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",11,13,13,9,85.07556753045883,239.40947540883283,417.1143402978004,2151.837920067969,0
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",12,14,14,10,17.523091771680292,64.9664395920628,416.02636209658544,790.3056259094867,0
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",13,14,14,10,49.25159885547845,100.01930013202426,416.02636209658544,1426.6511054444763,0
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",14,14,14,10,130.0633758463701,303.05699060421057,416.02636209658544,3079.653394436934,0
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",15,14,14,10,84.28988091199015,170.43816720899585,416.02636209658544,2147.960512514403,0.07142857142857142
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",16,13,13,9,70.89618934860434,158.63736914947282,417.0320615337295,1845.7895124983427,0.07692307692307693
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",17,13,13,9,26.02258178134637,90.64227134972948,417.0320615337295,949.6115471213495,0.07692307692307693
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",18,13,13,9,-10.960676901120848,11.859466645063579,417.0320615337295,191.66223504964898,0.07692307692307693
employment_eligible__glasses__all_available,additive,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",23,13,13,10,-20.28131179333724,0.6513516602664208,414.3101587073127,1.2994464817042828,0.46153846153846156
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),0,5,5,4,-12.334423529817666,0.2943797902983104,153.22382111684405,0.5107485775824339,0.2
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),1,5,5,4,-12.375266359066654,0.3094423593280779,153.22382111684405,0,1
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),2,4,4,4,-12.383712216511611,0.35664718552396585,153.45172617258552,0,1
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),3,4,4,4,-12.383712216511611,0.35664718552396585,153.45172617258552,0,1
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),4,5,5,4,-12.37521558808057,0.30952924344304533,153.22382111684405,6.067966041884643e-4,0.6
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),5,5,5,4,-12.375259961805877,0.3094432326852174,153.22382111684405,7.895168466547087e-5,0.8
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),6,5,5,4,-12.375266359066654,0.3094423593280779,153.22382111684405,0,1
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),7,5,5,4,-12.360370021152871,0.29372212650434715,153.22382111684405,0.1884191574292269,0.4
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),8,5,5,4,-8.859914382098433,5.08670099387854,153.22382111684405,44.38584513458203,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),9,5,5,4,-8.096864566786296,4.884302043378264,153.22382111684405,53.63141365007559,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),10,5,5,4,-1.7893234481425155,14.64507343511324,153.22382111684405,133.00797711300336,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),11,5,5,4,0.755191929601216,15.465076882052893,153.22382111684405,164.94724764059947,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),12,5,5,4,11.140818895934274,14.964449285636963,153.22382111684405,291.397898567083,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),13,5,5,4,21.767536475506123,40.432994248185075,153.22382111684405,425.1549896083527,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),14,5,5,4,13.10798766477096,38.517896463168306,153.22382111684405,320.561423521536,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),15,5,5,4,-6.314904360222887,3.83898369647621,153.22382111684405,74.36901845940889,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),16,5,5,4,-5.976698433606888,8.768531923677429,153.22382111684405,80.14532431265165,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),17,5,5,4,-1.6911823395646264,13.693027091293816,153.22382111684405,133.63856937065702,0.2
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),18,5,5,4,-8.82324084552894,3.966722511137158,153.22382111684405,43.96626553998488,0.2
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),19,4,4,4,-11.944249064956942,0.9872424618154761,153.45172617258552,5.284818216743895,0.25
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),20,4,4,3,-12.27348788364445,0.3525571708314757,156.18275675389293,2.76490356418047,0.25
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),21,4,4,3,-11.77545238056665,0.6942685684254004,156.18275675389293,9.016040515657457,0.25
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),22,4,4,3,-12.41527672342711,0.27180987661260475,156.18275675389293,1.0045632260006816,0.25
employment_eligible__glasses__all_available,additive,THUAS,Work day,Sedentary (no reported exercise),23,5,5,4,-12.337420097683184,0.3217240878374063,153.22382111684405,0.46748308063227284,0.4
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",0,32,32,12,-16.70968401782268,0.958152331132041,285.76359631625695,3.3383055121498826,0.6875
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",1,32,32,12,-16.89941388141927,0.4206670216274051,285.76359631625695,9.880622670903985e-4,0.9375
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",2,32,32,12,-16.89946782310808,0.4207274530548277,285.76359631625695,5.1817285318012715e-5,0.9375
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",3,32,32,12,-16.899434872707953,0.4207602399036605,285.76359631625695,5.953178994722169e-4,0.96875
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",4,32,32,12,-16.899434255688213,0.42074693443347916,285.76359631625695,6.111692785384555e-4,0.96875
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",5,32,32,12,-16.89443877704812,0.418387725093666,285.76359631625695,0.08603324425602779,0.625
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",6,32,32,12,-16.622419530046916,0.6475828817537431,285.76359631625695,4.726593944857758,0.3125
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",7,32,32,12,-15.58687259073275,2.804682646778845,285.76359631625695,22.39197005336248,0.15625
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",8,31,31,12,-4.8392837372308755,15.846109978488348,285.65839236091284,205.7933646250146,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",9,31,31,12,4.2532035385839375,41.43954343832647,285.65839236091284,359.3486752714527,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",10,30,30,12,-2.359606086971328,12.70021194775725,285.6733656687159,245.4475047506123,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",11,31,31,12,24.594116082154336,126.41551521636588,284.7584749397814,702.5046857923928,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",12,28,28,12,14.183695141847528,32.61286606851114,285.82990951097355,523.2962912542046,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",13,31,31,12,6.765347725966163,29.526074000430725,285.91901663677123,399.7211604626018,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",14,31,31,12,9.412010803916806,37.426368753649676,286.3653387824008,443.9746660528166,0
employment_eligible__glasses__all_available,additive,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",15,32,32,12,33.36626270433595,96.587001945783,285.76359631625695,849.4999419101673,0
