"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","baseline_state","current_state","participant_days"
19,"D19","mapped_daily_metric","glasses","duration_above_250_wake","duration_above_250_wake","finite","missing_na",56
19,"D19","mapped_daily_metric","glasses","duration_above_250_wake","duration_above_250_wake","missing_na","missing_na",41
20,"D20","mapped_daily_metric","chest","duration_below_10_pre-sleep","duration_below_10_pre_sleep","finite","finite",736
20,"D20","mapped_daily_metric","chest","duration_below_10_pre-sleep","duration_below_10_pre_sleep","finite","missing_na",131
20,"D20","mapped_daily_metric","chest","duration_below_10_pre-sleep","duration_below_10_pre_sleep","missing_na","missing_na",30
20,"D20","mapped_daily_metric","glasses","duration_below_10_pre-sleep","duration_below_10_pre_sleep","finite","finite",645
20,"D20","mapped_daily_metric","glasses","duration_below_10_pre-sleep","duration_below_10_pre_sleep","finite","missing_na",135
20,"D20","mapped_daily_metric","glasses","duration_below_10_pre-sleep","duration_below_10_pre_sleep","missing_na","missing_na",31
21,"D21","mapped_daily_metric","chest","duration_below_1_sleep","duration_below_1_sleep_environment","finite","finite",854
21,"D21","mapped_daily_metric","chest","duration_below_1_sleep","duration_below_1_sleep_environment","finite","missing_na",24
21,"D21","mapped_daily_metric","chest","duration_below_1_sleep","duration_below_1_sleep_environment","missing_na","missing_na",19
21,"D21","mapped_daily_metric","glasses","duration_below_1_sleep","duration_below_1_sleep_environment","finite","finite",771
21,"D21","mapped_daily_metric","glasses","duration_below_1_sleep","duration_below_1_sleep_environment","finite","missing_na",19
21,"D21","mapped_daily_metric","glasses","duration_below_1_sleep","duration_below_1_sleep_environment","missing_na","missing_na",21
