"position","dataset_side","metric","analysis_unit","rows","mappings","mapping_status","note"
"chest","current","daily_geometric_mean_medi","participant_day",,1,"mapped",""
"chest","current","m10_mean_medi","participant_day",,1,"mapped",""
"chest","current","m10_midpoint","participant_day",,1,"mapped",""
"chest","current","m10_onset","participant_day",,1,"mapped",""
"chest","current","m10_offset","participant_day",,1,"mapped",""
"chest","current","l10_mean_medi","participant_day",,1,"mapped",""
"chest","current","l10_midpoint","participant_day",,1,"mapped",""
"chest","current","l10_onset","participant_day",,1,"mapped",""
"chest","current","l10_offset","participant_day",,1,"mapped",""
"chest","current","duration_above_1000","participant_day",,1,"mapped",""
"chest","current","duration_above_250_full_day","participant_day",,1,"mapped",""
"chest","current","longest_bout_above_250","participant_day",,1,"mapped",""
"chest","current","mean_timing_above_250","participant_day",,1,"mapped",""
"chest","current","first_timing_above_250","participant_day",,1,"mapped",""
"chest","current","last_timing_above_250","participant_day",,1,"mapped",""
"chest","current","dose_observed_medi","participant_day",,1,"mapped",""
"chest","current","dose_time_sensitive_corrected_medi","participant_day",,1,"mapped",""
"chest","current","duration_above_250_wake","participant_day",,1,"mapped",""
"chest","current","duration_below_10_pre_sleep","participant_day",,1,"mapped",""
"chest","current","duration_below_1_sleep_environment","participant_day",,1,"mapped",""
