"comparison_order","mapping_id","focus_group","position","baseline_metric","current_metric","comparison_unit","semantic_comparability","baseline_rows","current_rows","matched_keys","baseline_only_keys","current_only_keys","baseline_finite_all_rows","current_finite_all_rows","matched_both_finite","matched_baseline_finite_current_nonfinite","matched_baseline_nonfinite_current_finite","matched_both_nonfinite"
9,"D09","mapped_daily_metric","glasses","darkest_10h_onset","l10_onset","centered_decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
10,"D10","mapped_daily_metric","chest","darkest_10h_offset","l10_offset","centered_decimal_hour","same_construct_modified_window_support",897,897,897,0,0,897,894,894,3,0,0
10,"D10","mapped_daily_metric","glasses","darkest_10h_offset","l10_offset","centered_decimal_hour","same_construct_modified_window_support",811,811,811,0,0,811,809,809,2,0,0
11,"D11","mapped_daily_metric","chest","duration_above_1000","duration_above_1000","h","same_construct_modified_gap_handling",897,897,897,0,0,897,897,897,0,0,0
11,"D11","mapped_daily_metric","glasses","duration_above_1000","duration_above_1000","h","same_construct_modified_gap_handling",811,811,811,0,0,811,811,811,0,0,0
12,"D12","mapped_daily_metric","chest","duration_above_250","duration_above_250_full_day","h","same_construct_modified_gap_handling",897,897,897,0,0,897,897,897,0,0,0
12,"D12","mapped_daily_metric","glasses","duration_above_250","duration_above_250_full_day","h","same_construct_modified_gap_handling",811,811,811,0,0,811,811,811,0,0,0
13,"D13","mapped_daily_metric","chest","period_above_250","longest_bout_above_250","h","same_construct_modified_gap_handling",897,897,897,0,0,897,897,897,0,0,0
13,"D13","mapped_daily_metric","glasses","period_above_250","longest_bout_above_250","h","same_construct_modified_gap_handling",811,811,811,0,0,811,811,811,0,0,0
14,"D14","mapped_daily_metric","chest","mean_timing_above_250","mean_timing_above_250","decimal_hour","same_construct_modified_gap_handling",897,897,897,0,0,867,810,810,57,0,30
14,"D14","mapped_daily_metric","glasses","mean_timing_above_250","mean_timing_above_250","decimal_hour","same_construct_modified_gap_handling",811,811,811,0,0,778,714,714,64,0,33
15,"D15","mapped_daily_metric","chest","first_timing_above_250","first_timing_above_250","decimal_hour","same_construct_modified_gap_handling",897,897,897,0,0,867,786,786,81,0,30
15,"D15","mapped_daily_metric","glasses","first_timing_above_250","first_timing_above_250","decimal_hour","same_construct_modified_gap_handling",811,811,811,0,0,778,717,717,61,0,33
16,"D16","mapped_daily_metric","chest","last_timing_above_250","last_timing_above_250","decimal_hour","same_construct_modified_gap_handling",897,897,897,0,0,867,773,773,94,0,30
16,"D16","mapped_daily_metric","glasses","last_timing_above_250","last_timing_above_250","decimal_hour","same_construct_modified_gap_handling",811,811,811,0,0,778,679,679,99,0,33
17,"D17","mapped_daily_metric","chest","dose","dose_observed_medi","lx_h","same_construct_observed_integral_comparison",897,897,897,0,0,897,897,897,0,0,0
17,"D17","mapped_daily_metric","glasses","dose","dose_observed_medi","lx_h","same_construct_observed_integral_comparison",811,811,811,0,0,811,811,811,0,0,0
18,"D18","mapped_daily_metric","chest","dose","dose_time_sensitive_corrected_medi","lx_h","related_construct_support_corrected_estimand",897,897,897,0,0,897,827,827,70,0,0
18,"D18","mapped_daily_metric","glasses","dose","dose_time_sensitive_corrected_medi","lx_h","related_construct_support_corrected_estimand",811,811,811,0,0,811,736,736,75,0,0
19,"D19","mapped_daily_metric","chest","duration_above_250_wake","duration_above_250_wake","h","same_construct_metric_specific_support",897,897,897,0,0,839,798,783,56,15,43
19,"D19","mapped_daily_metric","glasses","duration_above_250_wake","duration_above_250_wake","h","same_construct_metric_specific_support",811,811,811,0,0,755,714,699,56,15,41
20,"D20","mapped_daily_metric","chest","duration_below_10_pre-sleep","duration_below_10_pre_sleep","h","same_construct_metric_specific_support",897,897,897,0,0,867,736,736,131,0,30
20,"D20","mapped_daily_metric","glasses","duration_below_10_pre-sleep","duration_below_10_pre_sleep","h","same_construct_metric_specific_support",811,811,811,0,0,780,645,645,135,0,31
21,"D21","mapped_daily_metric","chest","duration_below_1_sleep","duration_below_1_sleep_environment","h","same_construct_metric_specific_support",897,897,897,0,0,878,854,854,24,0,19
21,"D21","mapped_daily_metric","glasses","duration_below_1_sleep","duration_below_1_sleep_environment","h","same_construct_metric_specific_support",811,811,811,0,0,790,771,771,19,0,21
