data_scenario,placement,sample_scenario,metric_order,metric_id,manuscript_name,abbreviation,statistic,degrees_freedom,p_raw,comparison_method,comparison_status,predictor,estimand,term,estimate_model,standard_error,conf_low_model,conf_high_model,interval_distribution,estimate_status,estimate_practical,conf_low_practical,conf_high_practical,practical_effect_type,practical_unit,estimate_model_per_year,conf_low_model_per_year,conf_high_model_per_year,estimate_minutes,conf_low_minutes,conf_high_minutes,estimate_practical_per_year,conf_low_practical_per_year,conf_high_practical_per_year,response_model_scale_sd,standardized_estimate,standardized_conf_low,standardized_conf_high,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,final_converged,final_positive_definite_hessian,final_singular,final_max_gradient,final_convergence_message,reduced_formula,full_formula,reduced_warnings,full_ml_warnings,final_warnings,fit_errors,p_adjusted,raw_significant,adjusted_significant,p_raw_display,p_adjusted_display
primary,chest,preregistered_exclusions_applied,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,0.11448206050954468,1,0.7350979587548733,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-1.8355212300851453,5.530718878432763,-12.675531040429119,9.004488580258828,normal,ESTIMABLE,-1.8355212300851453,-12.675531040429119,9.004488580258828,difference,min,-0.18355212300851453,-1.267553104042912,0.9004488580258828,-1.8355212300851453,-12.675531040429119,9.004488580258828,-0.18355212300851453,-1.267553104042912,0.9004488580258828,118.05368396710669,-0.015548191029740137,-0.10737090630700609,0.0762745242475258,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,4.94765117764473e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.8253785223865917,FALSE,FALSE,0.735,0.825
primary,chest,preregistered_exclusions_applied,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,0.03544392088588211,1,0.8506684821251854,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-1.000907494787431,5.40865610462213,-11.601678664609505,9.599863675034644,normal,ESTIMABLE,-1.000907494787431,-11.601678664609505,9.599863675034644,difference,min,-0.10009074947874311,-1.1601678664609505,0.9599863675034644,-1.000907494787431,-11.601678664609505,9.599863675034644,-0.10009074947874311,-1.1601678664609505,0.9599863675034644,103.31649079476517,-0.009687780596184794,-0.11229261248967369,0.09291705129730411,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,9.795257938094437e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.8506684821251854,FALSE,FALSE,0.851,0.851
primary,chest,preregistered_exclusions_applied,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,0.22389792767899053,1,0.6360858091314596,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-2.427508024231727,5.136969248477836,-12.49578274093807,7.640766692474616,normal,ESTIMABLE,-2.427508024231727,-12.49578274093807,7.640766692474616,difference,min,-0.24275080242317268,-1.249578274093807,0.7640766692474615,-2.427508024231727,-12.49578274093807,7.640766692474616,-0.24275080242317268,-1.249578274093807,0.7640766692474615,116.60159695970863,-0.02081882313387651,-0.10716648027776116,0.06552883401000813,786,145,786,786,18285.083333333332,18863,8,82,63,18,64,TRUE,TRUE,FALSE,2.673914423212409e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.7723899110882009,FALSE,FALSE,0.636,0.772
primary,chest,preregistered_exclusions_applied,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,4.904764242935926,1,0.026782707421938824,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-16.696963710795956,7.717486818543601,-31.822959926304012,-1.5709674952878991,normal,ESTIMABLE,-16.696963710795956,-31.822959926304012,-1.5709674952878991,difference,min,-1.6696963710795956,-3.1822959926304013,-0.1570967495287899,-16.696963710795956,-31.822959926304012,-1.5709674952878991,-1.6696963710795956,-3.1822959926304013,-0.1570967495287899,147.32468237700468,-0.11333446263992841,-0.21600562385648917,-0.010663301423367638,761,145,761,761,17681.216666666667,18263,8,82,63,18,64,TRUE,TRUE,FALSE,2.1827872842550278e-7,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.06504371802470857,TRUE,FALSE,0.027,0.065
primary,chest,preregistered_exclusions_applied,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,1.070178107245738,1,0.3009052190653668,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,7.819656285951739,7.802187274019993,-7.4723497717641845,23.11166234366766,normal,ESTIMABLE,7.819656285951739,-7.4723497717641845,23.11166234366766,difference,min,0.7819656285951739,-0.7472349771764184,2.311166234366766,7.819656285951739,-7.4723497717641845,23.11166234366766,0.7819656285951739,-0.7472349771764184,2.311166234366766,143.833589369829,0.05436599559401675,-0.051951354370717025,0.16068334555875052,742,145,742,742,17313.166666666668,17807,8,82,63,18,64,TRUE,TRUE,FALSE,1.0732037480920553e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.42628239367593634,FALSE,FALSE,0.301,0.426
primary,chest,preregistered_exclusions_applied,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,17.845942558029037,1,2.3952945733063294e-5,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.14236734609409238,0.033706215036722796,0.07630437856695331,0.20843031362123143,normal,ESTIMABLE,1.3879293064642872,1.1920771916218198,1.6159589104474377,ratio,ratio,0.014236734609409238,0.007630437856695331,0.020843031362123142,,,,1.0333245191011913,1.0177249881453199,1.049163157250929,0.6441224933406522,0.2210252670353489,0.11846252747860303,0.3235880065920947,802,145,802,802,18671.35,19248,8,82,63,18,64,TRUE,TRUE,FALSE,2.559090717113577e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,2.03600038731038e-4,TRUE,TRUE,<0.001,<0.001
primary,chest,preregistered_exclusions_applied,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,1.3066085809264223,1,0.2530096094537624,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.009537329945772065,0.0085927584005812,-0.0073041670472210815,0.026378826938765212,normal,ESTIMABLE,0.009537329945772065,-0.0073041670472210815,0.026378826938765212,difference,dimensionless,9.537329945772065e-4,-7.304167047221082e-4,0.002637882693876521,,,,9.537329945772065e-4,-7.304167047221082e-4,0.002637882693876521,0.12178378082515835,0.07831362995261701,-0.0599765173796622,0.21660377728489622,693,143,693,693,10582.35,16632,8,80,63,18,64,TRUE,TRUE,FALSE,1.9667822925839573e-7,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.3910148509739964,FALSE,FALSE,0.253,0.391
primary,chest,preregistered_exclusions_applied,1,interdaily_stability,Interdaily stability,IS,0.046625230276579055,1,0.8293691915606292,nested partial F test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,0.015580537124274018,0.0721559137235727,-0.12712165620397683,0.15828273045252486,t(135),ESTIMABLE,1.015702546526575,0.8806265323991013,1.1714973658697612,odds ratio,odds ratio,,,,,,,,,,0.4160143156013009,0.03745192542654245,-0.3055703888945194,0.38047423974760425,144,144,,848,19639.55,20352,8,81,63,18,64,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + biological_sex,,,,,0.8812047660331684,FALSE,FALSE,0.829,0.881
primary,chest,preregistered_exclusions_applied,2,intradaily_variability,Intradaily variability,IV,0.22015889752646642,1,0.6396757692530055,nested partial F test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,0.03114431928264838,0.06637594574681285,-0.10012687601527437,0.16241551458057113,t(135),ESTIMABLE,0.03114431928264838,-0.10012687601527437,0.16241551458057113,difference,dimensionless,,,,,,,,,,0.40153566429280535,0.07756302130098588,-0.24935985746526482,0.4044859000672366,144,144,,848,19639.55,20352,8,81,63,18,64,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + biological_sex,,,,,0.836499082869315,FALSE,FALSE,0.640,0.836
primary,chest,preregistered_exclusions_applied,3,daily_geometric_mean_medi,Mean melEDI,Mean,9.57312154288661,1,0.001974467741816425,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.15269043457875525,0.0501159942805219,-0.2509159784179935,-0.05446489073951702,normal,ESTIMABLE,0.7035736489953074,0.5611565307132533,0.8821351128737399,ratio,ratio,,,,,,,,,,0.44272788578231626,-0.34488551429044434,-0.5667498851458518,-0.12302114343503703,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,2.03942818188807e-5,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.01678297580543961,TRUE,TRUE,0.002,0.017
primary,chest,preregistered_exclusions_applied,4,m10_mean_medi,Brightest 10 h mean,M10mean,6.794839343432159,1,0.00914217499387504,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.18526367920929424,0.07250852756643832,-0.327377781811543,-0.04314957660704549,normal,ESTIMABLE,0.6527341288262786,0.4705678132429812,0.9054207086505524,ratio,ratio,,,,,,,,,,0.6857262239865662,-0.2701714951664495,-0.4774176199770894,-0.06292537035580954,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,9.029122338688467e-5,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.05180565829862523,TRUE,FALSE,0.009,0.052
primary,chest,preregistered_exclusions_applied,5,l10_mean_medi,Darkest 10 h mean,L10mean,11.32818044463096,1,7.633966609931338e-4,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.12649019872162306,0.03804777419543309,-0.20106246583658433,-0.05191793160666179,normal,ESTIMABLE,0.7473254998502119,0.6294156456660125,0.8873236732706261,ratio,ratio,,,,,,,,,,0.3268313319649561,-0.3870198060912524,-0.6151872423851422,-0.1588523697973626,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,1.2314131936363992e-4,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.012977743236883273,TRUE,TRUE,<0.001,0.013
primary,chest,preregistered_exclusions_applied,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,2.4893161539539506,1,0.11462151847937893,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.19284999562390462,0.12169747960545535,-0.43137267265989476,0.045672681412085525,normal,ESTIMABLE,0.824605659319668,0.6496167712481079,1.0467317401236274,ratio,ratio,,,,,,,,,,1.4270203219698196,-0.13514173039785432,-0.30228908868266136,0.03200562788695273,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.27836654487849166,FALSE,FALSE,0.115,0.278
primary,chest,preregistered_exclusions_applied,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,1.8057180895166312,1,0.17902274011239835,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.13151905874494482,0.09747475233896788,-0.3225660627312832,0.05952794524139354,normal,ESTIMABLE,0.8767625649844568,0.7242880817774632,1.0613354198396294,ratio,ratio,,,,,,,,,,2.250278961115013,-0.05844566874489958,-0.14334492225419543,0.026453584764396253,772,145,772,772,9735.45,10142.816666666668,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.3043386581910772,FALSE,FALSE,0.179,0.304
primary,chest,preregistered_exclusions_applied,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,0.24719192471411588,1,0.6190593069641812,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,0.05493119580820135,0.11534614487051081,-0.17114309389353927,0.281005485509942,normal,ESTIMABLE,0.05493119580820135,-0.17114309389353927,0.281005485509942,difference,h,,,,3.2958717484920808,-10.268585633612355,16.86032913059652,,,,0.9976057712978795,0.05506302929336122,-0.17155383300447738,0.2816798915911998,698,144,698,698,2049.516666666667,2073.9333333333334,8,81,63,18,64,TRUE,TRUE,FALSE,3.980176188633777e-6,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.836499082869315,FALSE,FALSE,0.619,0.836
primary,chest,preregistered_exclusions_applied,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,4.386623442415839,1,0.03622198125536015,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,0.06183862558895542,0.029289644304456183,0.004431977632232603,0.11924527354567824,normal,ESTIMABLE,1.0637906622842288,1.004441813370321,1.1266462209154342,ratio,ratio,,,,,,,,,,1.9199112146187918,0.03220910692020401,0.0023084284306931326,0.062109785409714895,811,145,811,811,6455.533333333334,6457.533333333334,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.15394342033528063,TRUE,FALSE,0.036,0.154
primary,chest,preregistered_exclusions_applied,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,3.6215038040145373,1,0.05703729506433284,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.07138223493670941,0.038463409097387935,-0.14676913149022,0.004004661616801186,normal,ESTIMABLE,0.8484334159285867,0.713232079538904,1.0092637192225253,ratio,ratio,,,,,,,,,,0.37225817788436333,-0.1917546455054193,-0.39426704424425496,0.010757753233416344,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,1.1064003047067672e-5,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.19392680321873165,FALSE,FALSE,0.057,0.194
primary,chest,preregistered_exclusions_applied,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,0.6727190787132713,1,0.41210521571559244,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,8.30485194034227,10.472044706184468,-12.219978528272614,28.829682408957154,normal,ESTIMABLE,8.30485194034227,-12.219978528272614,28.829682408957154,difference,min,,,,8.30485194034227,-12.219978528272614,28.829682408957154,,,,118.05368396710669,0.07034809640211016,-0.1035120473807278,0.24420824018494816,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,7.248672773130238e-6,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.6368898788331883,FALSE,FALSE,0.412,0.637
primary,chest,preregistered_exclusions_applied,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,0.1483621113384288,1,0.700105522826192,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,3.836149920602418,10.264930872262525,-16.28274489282545,23.95504473403028,normal,ESTIMABLE,3.836149920602418,-16.28274489282545,23.95504473403028,difference,min,,,,3.836149920602418,-16.28274489282545,23.95504473403028,,,,103.31649079476517,0.03713008340771856,-0.15760063826761778,0.23186080508305487,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,9.786162991076708e-6,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.8501281348603759,FALSE,FALSE,0.700,0.850
primary,chest,preregistered_exclusions_applied,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,1.9120372044999385,1,0.16673713819319105,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-13.154625593666413,9.744062985042087,-32.25263810743875,5.943386920105922,normal,ESTIMABLE,-13.154625593666413,-32.25263810743875,5.943386920105922,difference,min,,,,-13.154625593666413,-32.25263810743875,5.943386920105922,,,,116.60159695970863,-0.11281685617232119,-0.27660545780160767,0.050971745456965256,786,145,786,786,18285.083333333332,18863,8,82,63,18,64,TRUE,TRUE,FALSE,7.185008144006133e-7,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.3043386581910772,FALSE,FALSE,0.167,0.304
primary,chest,preregistered_exclusions_applied,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,0.04980167732173868,1,0.8234087298968624,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-3.1896283562431855,15.005588693072387,-32.60004176148651,26.22078504900014,normal,ESTIMABLE,-3.1896283562431855,-32.60004176148651,26.22078504900014,difference,min,,,,-3.1896283562431855,-32.60004176148651,26.22078504900014,,,,147.32468237700468,-0.021650332481837016,-0.2212802446643857,0.17797957970071168,761,145,761,761,17681.216666666667,18263,8,82,63,18,64,TRUE,TRUE,FALSE,1.0340954759158194e-5,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.8812047660331684,FALSE,FALSE,0.823,0.881
primary,chest,preregistered_exclusions_applied,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,2.2780662736477097,1,0.13121538358092685,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-21.700783005754815,14.718301351724367,-50.54812356874176,7.1465575572321285,normal,ESTIMABLE,-21.700783005754815,-50.54812356874176,7.1465575572321285,difference,min,,,,-21.700783005754815,-50.54812356874176,7.1465575572321285,,,,143.833589369829,-0.1508742366844308,-0.3514347642313993,0.04968629086253765,742,145,742,742,17313.166666666668,17807,8,82,63,18,64,TRUE,TRUE,FALSE,1.0822986951097846e-6,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.27883269010946954,FALSE,FALSE,0.131,0.279
primary,chest,preregistered_exclusions_applied,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,2.786631934209254,1,0.09505382014203281,maximum-likelihood likelihood-ratio test,ESTIMABLE,biological_sex,Female minus Male,biological_sexFemale,-0.11007280059878079,0.06763064703655472,-0.24262643304156856,0.022480831844006968,normal,ESTIMABLE,0.7761170055611261,0.5719704167617304,1.0531272049548974,ratio,ratio,,,,,,,,,,0.6441224933406522,-0.17088799372290733,-0.37667747291857506,0.03490148547276038,802,145,802,802,18671.35,19248,8,82,63,18,64,TRUE,TRUE,FALSE,1.8212631403002888e-6,,response ~ site + (1 | site:Id),response ~ site + biological_sex + (1 | site:Id),,,,,0.269319157069093,FALSE,FALSE,0.095,0.269
