metric_order,metric_id,manuscript_name,placement_label,question_order,question_id,question_label,support_status,support_symbol
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Chest,2,photoperiod,Photoperiod,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Chest,3,latitude,Latitude,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Chest,4,adequacy,Site versus linear latitude,Supported,✓
14,first_timing_above_250,First light timing above 250 lx melEDI,Chest,1,site,Overall site,Supported,✓
14,first_timing_above_250,First light timing above 250 lx melEDI,Chest,2,photoperiod,Photoperiod,Not supported,–
14,first_timing_above_250,First light timing above 250 lx melEDI,Chest,3,latitude,Latitude,Supported,✓
14,first_timing_above_250,First light timing above 250 lx melEDI,Chest,4,adequacy,Site versus linear latitude,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Chest,1,site,Overall site,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Chest,2,photoperiod,Photoperiod,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Chest,3,latitude,Latitude,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Chest,4,adequacy,Site versus linear latitude,Not supported,–
16,dose_time_sensitive_corrected_medi,melEDI dose,Chest,1,site,Overall site,Supported,✓
16,dose_time_sensitive_corrected_medi,melEDI dose,Chest,2,photoperiod,Photoperiod,Supported,✓
16,dose_time_sensitive_corrected_medi,melEDI dose,Chest,3,latitude,Latitude,Not supported,–
16,dose_time_sensitive_corrected_medi,melEDI dose,Chest,4,adequacy,Site versus linear latitude,Supported,✓
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Chest,1,site,Overall site,Supported,✓
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Chest,2,photoperiod,Photoperiod,Supported,✓
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Chest,3,latitude,Latitude,Supported,✓
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Chest,4,adequacy,Site versus linear latitude,Not supported,–
1,interdaily_stability,Interdaily stability,Near eye,1,site,Overall site,Not supported,–
1,interdaily_stability,Interdaily stability,Near eye,2,photoperiod,Photoperiod,Not supported,–
1,interdaily_stability,Interdaily stability,Near eye,3,latitude,Latitude,Not supported,–
1,interdaily_stability,Interdaily stability,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
2,intradaily_variability,Intradaily variability,Near eye,1,site,Overall site,Not supported,–
2,intradaily_variability,Intradaily variability,Near eye,2,photoperiod,Photoperiod,Not supported,–
2,intradaily_variability,Intradaily variability,Near eye,3,latitude,Latitude,Not supported,–
2,intradaily_variability,Intradaily variability,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
3,daily_geometric_mean_medi,Mean melEDI,Near eye,1,site,Overall site,Supported,✓
3,daily_geometric_mean_medi,Mean melEDI,Near eye,2,photoperiod,Photoperiod,Supported,✓
3,daily_geometric_mean_medi,Mean melEDI,Near eye,3,latitude,Latitude,Supported,✓
3,daily_geometric_mean_medi,Mean melEDI,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Near eye,1,site,Overall site,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Near eye,2,photoperiod,Photoperiod,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Near eye,3,latitude,Latitude,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
5,l10_mean_medi,Darkest 10 h mean,Near eye,1,site,Overall site,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Near eye,2,photoperiod,Photoperiod,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Near eye,3,latitude,Latitude,Not supported,–
5,l10_mean_medi,Darkest 10 h mean,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Near eye,1,site,Overall site,Not supported,–
6,duration_above_1000,"Time above 1,000 lx melEDI",Near eye,2,photoperiod,Photoperiod,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Near eye,3,latitude,Latitude,Not supported,–
6,duration_above_1000,"Time above 1,000 lx melEDI",Near eye,4,adequacy,Site versus linear latitude,Not supported,–
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Near eye,1,site,Overall site,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Near eye,2,photoperiod,Photoperiod,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Near eye,3,latitude,Latitude,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Near eye,1,site,Overall site,Not supported,–
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Near eye,2,photoperiod,Photoperiod,Supported,✓
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Near eye,3,latitude,Latitude,Not supported,–
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Near eye,1,site,Overall site,Not supported,–
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Near eye,2,photoperiod,Photoperiod,Not supported,–
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Near eye,3,latitude,Latitude,Not supported,–
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Near eye,1,site,Overall site,Not supported,–
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Near eye,2,photoperiod,Photoperiod,Supported,✓
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Near eye,3,latitude,Latitude,Not supported,–
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
11,m10_midpoint,Midpoint of the brightest 10 hours,Near eye,1,site,Overall site,Supported,✓
11,m10_midpoint,Midpoint of the brightest 10 hours,Near eye,2,photoperiod,Photoperiod,Not supported,–
11,m10_midpoint,Midpoint of the brightest 10 hours,Near eye,3,latitude,Latitude,Supported,✓
11,m10_midpoint,Midpoint of the brightest 10 hours,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Near eye,1,site,Overall site,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Near eye,2,photoperiod,Photoperiod,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Near eye,3,latitude,Latitude,Not supported,–
12,l10_midpoint,Midpoint of the darkest 10 hours,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Near eye,1,site,Overall site,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Near eye,2,photoperiod,Photoperiod,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Near eye,3,latitude,Latitude,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
14,first_timing_above_250,First light timing above 250 lx melEDI,Near eye,1,site,Overall site,Not supported,–
14,first_timing_above_250,First light timing above 250 lx melEDI,Near eye,2,photoperiod,Photoperiod,Not supported,–
14,first_timing_above_250,First light timing above 250 lx melEDI,Near eye,3,latitude,Latitude,Not supported,–
14,first_timing_above_250,First light timing above 250 lx melEDI,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
15,last_timing_above_250,Last light timing above 250 lx melEDI,Near eye,1,site,Overall site,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Near eye,2,photoperiod,Photoperiod,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Near eye,3,latitude,Latitude,Supported,✓
15,last_timing_above_250,Last light timing above 250 lx melEDI,Near eye,4,adequacy,Site versus linear latitude,Supported,✓
16,dose_time_sensitive_corrected_medi,melEDI dose,Near eye,1,site,Overall site,Not supported,–
16,dose_time_sensitive_corrected_medi,melEDI dose,Near eye,2,photoperiod,Photoperiod,Supported,✓
16,dose_time_sensitive_corrected_medi,melEDI dose,Near eye,3,latitude,Latitude,Not supported,–
16,dose_time_sensitive_corrected_medi,melEDI dose,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Near eye,1,site,Overall site,Not supported,–
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Near eye,2,photoperiod,Photoperiod,Supported,✓
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Near eye,3,latitude,Latitude,Not supported,–
17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Near eye,4,adequacy,Site versus linear latitude,Not supported,–
