"order","link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","status"
11,"Complete site-specific interaction estimates","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv",TRUE,"",TRUE,FALSE,"PASS"
12,"Free versus Work day","","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,"PASS"
13,"Activity status","","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,"PASS"
14,"Previous-night sleep duration","","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,"PASS"
15,"gap result source CSV","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv",TRUE,"",TRUE,FALSE,"PASS"
16,"","#cb2-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb2-1",TRUE,FALSE,"PASS"
17,"","#cb2-2","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb2-2",TRUE,FALSE,"PASS"
18,"Complete common-sample stability results","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv",TRUE,"",TRUE,FALSE,"PASS"
19,"conditional site estimates","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv",TRUE,"",TRUE,FALSE,"PASS"
20,"mgcv::bam()","https://rdrr.io/pkg/mgcv/man/bam.html","external","",TRUE,"",TRUE,FALSE,"PASS"
21,"","#cb3-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-1",TRUE,FALSE,"PASS"
22,"","#cb3-2","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-2",TRUE,FALSE,"PASS"
23,"","#cb3-3","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-3",TRUE,FALSE,"PASS"
24,"","#cb3-4","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-4",TRUE,FALSE,"PASS"
25,"","#cb3-5","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-5",TRUE,FALSE,"PASS"
26,"","#cb3-6","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-6",TRUE,FALSE,"PASS"
27,"","#cb3-7","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-7",TRUE,FALSE,"PASS"
28,"","#cb3-8","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb3-8",TRUE,FALSE,"PASS"
29,"Source data for the temporal GAMM figure","../../artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv",TRUE,"",TRUE,FALSE,"PASS"
30,"preregistration-deviations page","../../notebooks/preregistration_deviations.html#dev-015","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-015",TRUE,FALSE,"PASS"
31,"main H06 report","../../notebooks/hypotheses/H06.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"",TRUE,FALSE,"PASS"
32,"primary predictor scope","../../notebooks/preregistration_deviations.html#dev-030","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-030",TRUE,FALSE,"PASS"
33,"model and site structure","../../notebooks/preregistration_deviations.html#dev-031","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-031",TRUE,FALSE,"PASS"
34,"multiplicity and contrast decisions","../../notebooks/preregistration_deviations.html#dev-032","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-032",TRUE,FALSE,"PASS"
35,"complete primary results","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv",TRUE,"",TRUE,FALSE,"PASS"
36,"complete complementary placement results","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv",TRUE,"",TRUE,FALSE,"PASS"
37,"complete gap-timing-unaware results","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv",TRUE,"",TRUE,FALSE,"PASS"
38,"primary site-specific interaction estimates","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv",TRUE,"",TRUE,FALSE,"PASS"
39,"mutually adjusted common-sample stability results","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv",TRUE,"",TRUE,FALSE,"PASS"
40,"mutually adjusted site estimates","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv",TRUE,"",TRUE,FALSE,"PASS"
41,"main hourly H06 comparison","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv",TRUE,"",TRUE,FALSE,"PASS"
42,"30-minute temporal GAMM summary","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv",TRUE,"",TRUE,FALSE,"PASS"
43,"12-family primary and sensitivity summary","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv",TRUE,"",TRUE,FALSE,"PASS"
44,"model-check classification summary","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv",TRUE,"",TRUE,FALSE,"PASS"
