run_id,data_scenario_id,placement,sample_scenario,site,participant_key,local_date,value,metric_support_valid_minutes,metric_support_expected_minutes,.model_row_id
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S011,2025-04-16,1.1562328737640244,,,IZTECH::IZTECH_S011::2025-04-16
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-05-27,1.0995896022215514,,,IZTECH::IZTECH_S017::2025-05-27
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,IZTECH,IZTECH::IZTECH_S017,2025-06-01,1.0720087955344595,,,IZTECH::IZTECH_S017::2025-06-01
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,RISE,RISE::RISE_S012,2025-06-11,1.0645496973891768,,,RISE::RISE_S012::2025-06-11
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,RISE,RISE::RISE_S013,2025-06-29,1.0602230789021303,,,RISE::RISE_S013::2025-06-29
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,RISE,RISE::RISE_S001,2025-03-05,1.8572919415446438,,,RISE::RISE_S001::2025-03-05
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,BAUA,BAUA::BAUA_S012,2025-07-17,1.083830731151436,,,BAUA::BAUA_S012::2025-07-17
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,IZTECH,IZTECH::IZTECH_S016,2025-05-11,1.0172684139708794,,,IZTECH::IZTECH_S016::2025-05-11
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,BAUA,BAUA::BAUA_S012,2025-07-16,1.0142069265321927,,,BAUA::BAUA_S012::2025-07-16
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,KNUST,KNUST::KNUST_S007,2024-11-20,1.0045338173907754,,,KNUST::KNUST_S007::2024-11-20
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,RISE,RISE::RISE_S001,2025-03-05,1.8572919415446438,,,RISE::RISE_S001::2025-03-05
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,BAUA,BAUA::BAUA_S012,2025-07-17,1.083830731151436,,,BAUA::BAUA_S012::2025-07-17
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,IZTECH,IZTECH::IZTECH_S016,2025-05-11,1.0172684139708794,,,IZTECH::IZTECH_S016::2025-05-11
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,BAUA,BAUA::BAUA_S012,2025-07-16,1.0142069265321927,,,BAUA::BAUA_S012::2025-07-16
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,BAUA,BAUA::BAUA_S009,2025-06-25,0.9879535093192938,,,BAUA::BAUA_S009::2025-06-25
