run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,attempt,error,warning_count,warnings
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,1307,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00412421 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,1164,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.0048568 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,1230,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00637115 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,696,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00418992 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,197,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00500937 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,1290,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00545926 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,11,m10_midpoint,participant_day,gaussian,clock_hours,1234,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,1201,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00458669 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,154,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00488303 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,1229,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,15,last_timing_above_250,participant_day,gaussian,clock_hours,957,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.0051433 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,565,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00580566 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,1456,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00591709 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,67,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,200,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,206,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,212,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,253,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,274,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,466,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,1247,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,1472,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,1110,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00447292 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
