path,sha256,bytes,exists,observed_sha256,observed_bytes,status
audit/hypotheses/H09/report018_order56a_display_repair/preimage_to_postimage_ledger.csv,3681444ba064370898bde4fd256ed066fe8afba025750d669e551b91d2b3a4b0,2544,TRUE,3681444ba064370898bde4fd256ed066fe8afba025750d669e551b91d2b3a4b0,2544,PASS
audit/hypotheses/H09/report018_order56a_display_repair/source_forward_reverse_proof.csv,925aaa9b491eb8e24b633945e3ec8524089288d377d16080c0410db58de46510,460,TRUE,925aaa9b491eb8e24b633945e3ec8524089288d377d16080c0410db58de46510,460,PASS
scripts/hypotheses/H09/refresh_h09_order56_figures.R,ceaf4771c8a8e3248f690930325cd7ecc2522e2bee464a321e783395029f1ffe,19346,TRUE,ceaf4771c8a8e3248f690930325cd7ecc2522e2bee464a321e783395029f1ffe,19346,PASS
tests/hypotheses/H09/test_h09_order56_display_repair.R,eefa3e278abdb2208181cdc1e70529dbb5295b1a58cf0d1d5b4fcbe98b925642,21431,TRUE,eefa3e278abdb2208181cdc1e70529dbb5295b1a58cf0d1d5b4fcbe98b925642,21431,PASS
scripts/hypotheses/H09/run_h09_stage2.R,4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c,92080,TRUE,4711057eacebdfc7ee9295d9f895e8ab73f60c0f7a51d0b03ea61459b7ac611c,92080,PASS
artifacts/12_manifests/H09/H09_figure_manifest.csv,74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce,4360,TRUE,74c0f444f5670ec86b319f09836e2fb670ebba768f81b0bbdeeaf989159f15ce,4360,PASS
artifacts/10_figures/H09/H09_primary_effects.png,8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd,162887,TRUE,8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd,162887,PASS
artifacts/10_figures/H09/H09_primary_effects.pdf,69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f,17941,TRUE,69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f,17941,PASS
artifacts/10_figures/H09/H09_paired_placement_effects.png,ae6fc387a28a840d57ad5088dc446f3ab902136cb9038a7f119ace2db7a6a4be,131504,TRUE,ae6fc387a28a840d57ad5088dc446f3ab902136cb9038a7f119ace2db7a6a4be,131504,PASS
artifacts/10_figures/H09/H09_paired_placement_effects.pdf,e3371426b6a2c7a3d2db32ce5641697fad1aec6592b86a80d316ec81d54a7ea2,16853,TRUE,e3371426b6a2c7a3d2db32ce5641697fad1aec6592b86a80d316ec81d54a7ea2,16853,PASS
artifacts/10_figures/H09/H09_diagnostics_near_eye.png,cfb7136446dabf79334933f0677ba0db89b4a3052f1871ced3e90dbc3ed7d5b5,2795403,TRUE,cfb7136446dabf79334933f0677ba0db89b4a3052f1871ced3e90dbc3ed7d5b5,2795403,PASS
artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf,e63794d0eaad64d0fe8fd65f31e9e4a8162a6dbf50f047a1af2caf18f78f3db5,628572,TRUE,e63794d0eaad64d0fe8fd65f31e9e4a8162a6dbf50f047a1af2caf18f78f3db5,628572,PASS
artifacts/10_figures/H09/H09_diagnostics_chest.png,dcced15b55b9f4abd912f1fbad0ccd3eaddcbabe820b41591350601df29f0f1a,2874977,TRUE,dcced15b55b9f4abd912f1fbad0ccd3eaddcbabe820b41591350601df29f0f1a,2874977,PASS
artifacts/10_figures/H09/H09_diagnostics_chest.pdf,1f8dd115d2e249f23acaa7560c8df432418f129c97f733cea5177f675997f09c,696614,TRUE,1f8dd115d2e249f23acaa7560c8df432418f129c97f733cea5177f675997f09c,696614,PASS
notebooks/hypotheses/H09.qmd,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,36970,TRUE,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,36970,PASS
_build/nathealth/notebooks/hypotheses/H09.html,dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa,244127,TRUE,dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa,244127,PASS
audit/hypotheses/H09/H09_analysis_preparation.qmd,7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46,47901,TRUE,7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46,47901,PASS
_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05,593181,TRUE,4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05,593181,PASS
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,TRUE,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,PASS
scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,TRUE,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453,PASS
scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,TRUE,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747,PASS
renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,TRUE,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,PASS
audit/report_harmonization/owner_orders/56a_h09_consolidated_figure_typography_repair_and_result_rerender.md,7515c2539bb2841bf18af3293bfaff1820494a145381db696db6a2a72220b635,11137,TRUE,7515c2539bb2841bf18af3293bfaff1820494a145381db696db6a2a72220b635,11137,PASS
audit/report_harmonization/report018_h09_order56a_dispatch_manifest.csv,c53b3304ced86c0c453cc4b0a642b1d44c8987e2c6a5cc1248f99caa194808a3,7034,TRUE,c53b3304ced86c0c453cc4b0a642b1d44c8987e2c6a5cc1248f99caa194808a3,7034,PASS
audit/report_harmonization/report018_h09_order56_consolidated_display_repair_concurrence.md,d874576ef3250e139dfc65b68af54742cb0f0ccc444cd1ec19cfbf3b5115d192,13031,TRUE,d874576ef3250e139dfc65b68af54742cb0f0ccc444cd1ec19cfbf3b5115d192,13031,PASS
audit/report_harmonization/report018_h09_order56_consolidated_display_repair_concurrence_manifest.csv,23c38a47b6d177218f734ac2f09b3ad4f36bc67627da5891941b8a5203ba0265,4123,TRUE,23c38a47b6d177218f734ac2f09b3ad4f36bc67627da5891941b8a5203ba0265,4123,PASS
audit/report_harmonization/report018_h09_order56_stopped_independent_acceptance.md,1c470541bcd7a125a7332d256389f4b5776075b5923de6f88019c5d0c5b75c28,4643,TRUE,1c470541bcd7a125a7332d256389f4b5776075b5923de6f88019c5d0c5b75c28,4643,PASS
audit/report_harmonization/report018_h09_order56_stopped_independent_acceptance_manifest.csv,02dcf6491b22fa154a7036c6badb4f0ea510f54978f92665210cf9dfd43029f5,6637,TRUE,02dcf6491b22fa154a7036c6badb4f0ea510f54978f92665210cf9dfd43029f5,6637,PASS
