"id","occurrences","owning_endpoints","all_within_gt_tables"
"stub_1_7",21,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_8",21,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-site-deviation-matrix; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_9",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_10",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Timing",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_11",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_12",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_13",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_14",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_15",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Exposure history",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_16",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Spectrum",8,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2",TRUE
"stub_1_17",20,"tbl-h01-metric-registry; tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-primary-r2; tbl-h01-chest-tests; tbl-h01-chest-effects; tbl-h01-chest-r2; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Photoperiod",5,"tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Latitude",5,"tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Photoperiod-FDR-adjusted-p",5,"tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Latitude-FDR-adjusted-p",5,"tbl-h01-primary-publication-summary; tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Photoperiod-effect-(95%-CI)",3,"tbl-h01-primary-publication-summary; tbl-h01-primary-effects; tbl-h01-chest-effects",TRUE
"Photoperiod-raw-p",4,"tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Latitude-effect-per-10°-(95%-CI)",3,"tbl-h01-primary-publication-summary; tbl-h01-primary-effects; tbl-h01-chest-effects",TRUE
"Latitude-raw-p",4,"tbl-h01-primary-tests; tbl-h01-primary-effects; tbl-h01-chest-tests; tbl-h01-chest-effects",TRUE
"Overall site",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Site versus linear latitude",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Site-statistic",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Site-raw-p",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Site-FDR-adjusted-p",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Photoperiod-statistic",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Latitude-statistic",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Adequacy-statistic",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Adequacy-raw-p",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Adequacy-FDR-adjusted-p",2,"tbl-h01-primary-tests; tbl-h01-chest-tests",TRUE
"Exact fitted sample",2,"tbl-h01-primary-effects; tbl-h01-chest-effects",TRUE
"Participants",12,"tbl-h01-primary-effects; tbl-h01-chest-effects; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-paired-placement; tbl-h01-period-sensitivity",TRUE
"Participant-days",4,"tbl-h01-primary-effects; tbl-h01-chest-effects; tbl-h01-paired-placement; tbl-h01-period-sensitivity",TRUE
"Observations",12,"tbl-h01-primary-effects; tbl-h01-chest-effects; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-paired-placement; tbl-h01-period-sensitivity",TRUE
"Sites",12,"tbl-h01-primary-effects; tbl-h01-chest-effects; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-paired-placement; tbl-h01-period-sensitivity",TRUE
"Site",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Difference-or-ratio-(95%-CI)",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Raw-p",5,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts; tbl-h01-l10-noon-support; tbl-h01-l10-noon-effects; tbl-h01-scope-sensitivity",TRUE
"Within-metric-adjusted-p",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Supported",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Mean melEDI",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Brightest 10 h mean",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Darkest 10 h mean",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Time above 250 lx melEDI during wake",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Midpoint of the brightest 10 hours",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Midpoint of the darkest 10 hours",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Mean timing of exposure above 250 lx melEDI",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Last light timing above 250 lx melEDI",2,"tbl-h01-primary-site-contrasts; tbl-h01-chest-site-contrasts",TRUE
"Complete model",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Variance partition",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Non-additive term summaries",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Model-R²",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Fixed-effects-R²",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Participant-associated",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Not-represented",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Site-part-R²",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Photoperiod-part-R²",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Latitude-part-R²",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"Grand average",2,"tbl-h01-primary-r2; tbl-h01-chest-r2",TRUE
"stub_1_18",6,"tbl-h01-primary-r2; tbl-h01-chest-r2; tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Unit",9,"tbl-h01-metric-registry; tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched",TRUE
"Days",8,"tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched",TRUE
"Support-hours",8,"tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched",TRUE
"Status",10,"tbl-h01-samples-primary-near-eye; tbl-h01-samples-primary-chest; tbl-h01-samples-primary-near-eye-matched; tbl-h01-samples-primary-chest-matched; tbl-h01-samples-gap-near-eye; tbl-h01-samples-gap-chest; tbl-h01-samples-gap-near-eye-matched; tbl-h01-samples-gap-chest-matched; tbl-h01-sensitivity-support; tbl-h01-scope-sensitivity",TRUE
"Prediction-bound-check",2,"tbl-h01-diagnostic-assessment; tbl-h01-representative-diagnostics",TRUE
"Question",3,"tbl-h01-sensitivity-support; tbl-h01-l10-noon-support; tbl-h01-scope-sensitivity",TRUE
"Near eye — all available",4,"tbl-h01-sensitivity-support; tbl-h01-l10-noon-support; tbl-h01-l10-noon-effects; tbl-h01-scope-sensitivity",TRUE
"Chest — all available",3,"tbl-h01-sensitivity-support; tbl-h01-l10-noon-support; tbl-h01-l10-noon-effects",TRUE
"Conversion",2,"tbl-h01-l10-noon-support; tbl-h01-l10-noon-effects",TRUE
"Scenario",2,"tbl-h01-sensitivity-classification; tbl-h01-period-sensitivity",TRUE
"Metric",2,"tbl-h01-paired-placement; tbl-h01-scope-sensitivity",TRUE
"FDR-adjusted-p",2,"tbl-h01-l10-noon-support; tbl-h01-scope-sensitivity",TRUE
"Difference",2,"tbl-h01-paired-placement; tbl-h01-marginalization",TRUE
"Near eye",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Chest",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_19",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_20",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_21",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_22",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_23",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_24",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_25",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_26",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_27",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_28",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_29",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_30",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_31",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_32",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_33",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"stub_1_34",4,"tbl-h01-diagnostic-assessment; tbl-h01-marginalization; tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Term",2,"tbl-h01-l10-noon-effects; tbl-h01-influence",TRUE
"Successful-refits",2,"tbl-h01-influence; tbl-h01-latitude-loo",TRUE
"Model",4,"tbl-h01-participant-formulas; tbl-h01-participant-day-formulas; tbl-h01-preregistered-scope-formulas; tbl-h01-formula-manifest",TRUE
"Formula",4,"tbl-h01-participant-formulas; tbl-h01-participant-day-formulas; tbl-h01-preregistered-scope-formulas; tbl-h01-formula-manifest",TRUE
"Model-unit",2,"tbl-h01-metric-registry; tbl-h01-preregistered-scope-formulas",TRUE
"Family",2,"tbl-h01-representative-diagnostics; tbl-h01-formula-manifest",TRUE
