"cell","before","after","exact"
72,"12.3% 10,618 / 86,400","12.3% 10,618 / 86,400",TRUE
73,"34.7% 29,951 / 86,400","34.7% 29,951 / 86,400",TRUE
74,"0.0% 0 / 86,400","0.0% 0 / 86,400",TRUE
75,"Madrid (ES)","Madrid (ES)",TRUE
76,"24.2% 21,067 / 87,030","24.2% 21,067 / 87,030",TRUE
77,"62.7% 12,766 / 20,366","62.7% 12,766 / 20,366",TRUE
78,"95.9% 58,374 / 60,891","95.9% 58,374 / 60,891",TRUE
79,"54.8% 92,207 / 168,287","54.8% 92,207 / 168,287",TRUE
80,"48.4% 89,948 / 185,880","48.4% 89,948 / 185,880",TRUE
81,"11.7% 21,684 / 185,880","11.7% 21,684 / 185,880",TRUE
82,"32.8% 60,891 / 185,880","32.8% 60,891 / 185,880",TRUE
83,"7.2% 13,357 / 185,880","7.2% 13,357 / 185,880",TRUE
84,"Izmir (TR)","Izmir (TR)",TRUE
85,"17.8% 12,708 / 71,562","17.8% 12,708 / 71,562",TRUE
86,"55.1% 9,221 / 16,736","55.1% 9,221 / 16,736",TRUE
87,"79.0% 39,936 / 50,556","79.0% 39,936 / 50,556",TRUE
88,"44.6% 61,865 / 138,854","44.6% 61,865 / 138,854",TRUE
89,"51.5% 74,926 / 145,440","51.5% 74,926 / 145,440",TRUE
90,"12.3% 17,883 / 145,440","12.3% 17,883 / 145,440",TRUE
91,"34.8% 50,556 / 145,440","34.8% 50,556 / 145,440",TRUE
92,"1.4% 2,075 / 145,440","1.4% 2,075 / 145,440",TRUE
93,"San José (CR)","San José (CR)",TRUE
94,"13.8% 3,266 / 23,640","13.8% 3,266 / 23,640",TRUE
95,"64.6% 3,124 / 4,839","64.6% 3,124 / 4,839",TRUE
96,"87.1% 12,438 / 14,275","87.1% 12,438 / 14,275",TRUE
97,"44.0% 18,828 / 42,754","44.0% 18,828 / 42,754",TRUE
98,"54.9% 25,285 / 46,080","54.9% 25,285 / 46,080",TRUE
99,"11.5% 5,320 / 46,080","11.5% 5,320 / 46,080",TRUE
100,"31.0% 14,275 / 46,080","31.0% 14,275 / 46,080",TRUE
101,"2.6% 1,200 / 46,080","2.6% 1,200 / 46,080",TRUE
102,"Kumasi (GH)","Kumasi (GH)",TRUE
103,"14.0% 8,372 / 59,695","14.0% 8,372 / 59,695",TRUE
104,"75.2% 9,353 / 12,439","75.2% 9,353 / 12,439",TRUE
105,"95.5% 36,893 / 38,626","95.5% 36,893 / 38,626",TRUE
106,"49.3% 54,618 / 110,760","49.3% 54,618 / 110,760",TRUE
107,"54.5% 63,584 / 116,640","54.5% 63,584 / 116,640",TRUE
108,"12.3% 14,370 / 116,640","12.3% 14,370 / 116,640",TRUE
109,"33.2% 38,686 / 116,640","33.2% 38,686 / 116,640",TRUE
110,"0.0% 0 / 116,640","0.0% 0 / 116,640",TRUE
111,"1 Near eye participant and participant-day sample sizes are reported in the participant table; every percentage cell gives its exact minute denominator.","1 Near eye participant and participant-day sample sizes are reported in the participant table; every percentage cell gives its exact minute denominator.",TRUE
112,"2 Recommended ranges follow Brown et al. (2022): Daytime ≥250 lx melanopic EDI, Pre-sleep ≤10 lx melanopic EDI, and Sleep ≤1 lx melanopic EDI. Daytime, Pre-sleep, and Sleep identify the recommendation windows. Each grey numerator/denominator gives minutes within the applicable recommendation range over all valid one-minute observations in that window. Sleep describes the bedside sleep environment.","2 Recommended ranges follow Brown et al. (2022): Daytime ≥250 lx melanopic EDI, Pre-sleep ≤10 lx melanopic EDI, and Sleep ≤1 lx melanopic EDI. Daytime, Pre-sleep, and Sleep identify the recommendation windows. Each grey numerator/denominator gives minutes within the applicable recommendation range over all valid one-minute observations in that window. Sleep describes the bedside sleep environment.",TRUE
113,"3 Each grey relevant / all count gives minutes in the displayed diary state over all eligible real minutes before classification by diary state or measurement availability.","3 Each grey relevant / all count gives minutes in the displayed diary state over all eligible real minutes before classification by diary state or measurement availability.",TRUE
114,"4 During diary-defined sleep the bedside sensor describes the sleep environment rather than direct ocular exposure.","4 During diary-defined sleep the bedside sensor describes the sleep environment rather than direct ocular exposure.",TRUE
115,"5 Total pools all classified valid minutes.","5 Total pools all classified valid minutes.",TRUE
116,"6 Unclassified time can result from missing diary state, missing or removed melEDI measurements, or both.","6 Unclassified time can result from missing diary state, missing or removed melEDI measurements, or both.",TRUE
