"page","visually_reviewed","status","observation","image","image_sha256","main_docx_sha256","review_basis"
11,TRUE,"PASS","Results prose and references to displays are complete.","qa/main_round2/page-11.png","06dd81a3096092319dc02ca2dec0bd9af2dce39f9c95db5b02611913b3a202d3","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
12,TRUE,"PASS_WITH_EXISTING_WHITESPACE","Two-line prose continuation before Figure 2; no content is missing.","qa/main_round2/page-12.png","fdf2908490099044788b569411d8864b00aa5845be0b51974c55b9d10f72ea1e","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
13,TRUE,"PASS","Figure 2, caption and following heading fit without clipping.","qa/main_round2/page-13.png","3cfcc06fed2a662a04ba0e20207e0d86548ac3408b4a11a6585774fa78d4b84f","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
14,TRUE,"PASS","Geography text is complete and readable.","qa/main_round2/page-14.png","a30a089b1c74985004a8ae6a1ea2205c1efd7464d4fa40c6d0a3d8803a51e2c9","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
15,TRUE,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract.","qa/main_round2/page-15.png","1bd2162f3f8d5ca34dae40df7531d03eff5f01b34876a4d73e843d327134ec03","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
16,TRUE,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract.","qa/main_round2/page-16.png","2a971a0e6a3bfcc75093a5a90682ad9d47cf73e4838dd1c96dfbec2c27c183c4","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
17,TRUE,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract.","qa/main_round2/page-17.png","18b5a9f763df69d907637e4f2c70325f2c255141a3da798ac33af13751bf0bf3","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
18,TRUE,"PASS","All four Table 3 parts fit on A3 portrait pages; the caption is now before the first part and final notes are on the last part. Lower whitespace preserves the ordered four-part contract.","qa/main_round2/page-18.png","aae688a71206ba3e13ffa444ddb8118891d040a7e8722169e7a7a9753c561db0","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
19,TRUE,"PASS","Immediate-environment and routine Results are complete and readable.","qa/main_round2/page-19.png","248c9bc8c12982bf8572b4a37b41c982df80c49c87725a7cfb45b188f7b8fff5","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
20,TRUE,"PASS","Immediate-environment and routine Results are complete and readable.","qa/main_round2/page-20.png","9ce268ef30e07ee27bf2f1bdcc517986177b2062bf62c0f92c5862acd2ff8a5c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
21,TRUE,"PASS","Enlarged main Figure 3 fits its A3 portrait page, including all four panels, embedded table, notes and caption.","qa/main_round2/page-21.png","9201ec9a083829d63571a536e3b2af615cf258777ef35af2477cef81227d0bce","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
22,TRUE,"PASS","Remaining Results prose is complete and readable.","qa/main_round2/page-22.png","373ae5e99c0d3a50402c9bde3aaae4280c573dd41603c01826053499615d33ea","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
23,TRUE,"PASS","Remaining Results prose is complete and readable.","qa/main_round2/page-23.png","2ac57c999d93d96322161074d8a6ac8f206e32def506409dcf877f063a3bbaa2","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
24,TRUE,"PASS_WITH_EXISTING_WHITESPACE","Short Results continuation before the author-required Discussion page start.","qa/main_round2/page-24.png","dbeb80078daf7c04e94f970788594643e9091a92239107d78e07767c11fb898a","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
25,TRUE,"PASS","Discussion pages are complete and readable.","qa/main_round2/page-25.png","de8ba55c6e0254d8fa8749b8981b140599a29e67b6ca087801b28a7e497294e9","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
26,TRUE,"PASS","Discussion pages are complete and readable.","qa/main_round2/page-26.png","8530b5d419d97f38be830652357b38fee4593cdecfed0abafe6e257614f0581d","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
27,TRUE,"PASS","Discussion pages are complete and readable.","qa/main_round2/page-27.png","1d0b9c386e7620a52843db84c7eb0d3a0da2c1a6543e5a9faf86897ea9071768","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
28,TRUE,"PASS_WITH_EXISTING_WHITESPACE","Discussion continuation ends before the author-required Methods page start.","qa/main_round2/page-28.png","0a62d054c419b578faaafaa3b61530f15166d9e5528283156445a2b09d402734","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
29,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-29.png","34040232a0023307900161eea06bd8adcd0b63af3178afe4a1654803e75cbaef","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
30,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-30.png","bddc99ecc19bf3a5ff571e789283fe5977bc6e76ec5aa1f2aad6f014edfd183a","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
31,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-31.png","146fd68efa6e7b4f2416db003f18b3d5e6142c248781690f69936c97e70aa180","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
32,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-32.png","9561f44793e7e176aad25165a97af6b37bc4f434a5844fe1e9369ab91a23580b","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
33,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-33.png","a55788cd7753ad7e7ceaf68778fdb3206c03bd5b099d3f008ee7b0c8e4feb487","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
34,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-34.png","8deeb7e3dfb6ef77e827a675decc01a0082fce3ab8fd7ad4b3f9bb60f52d2430","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
35,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-35.png","5411ce36469a352bbdeae9345ec74773908ffdc325bb2ea8aff75b0f2a931fa3","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
36,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-36.png","c509a895fb178d64ba01da911ccd450dcd124a951eaf00bb54042daff60b1a14","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
37,TRUE,"PASS","Methods, subheadings, citations and technical expressions are complete and readable.","qa/main_round2/page-37.png","f794f502afb0a9290acabc32ec7c59c4c024a6aa8732cab11f9737a107388c67","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
38,TRUE,"PASS","Methods ending and AI statement remain present and readable.","qa/main_round2/page-38.png","5a17b0329f052f2ee73ebef110f9161fa1d5baa453bdecdf2d83cebb5bce6029","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
39,TRUE,"PASS_WITH_EXISTING_WHITESPACE","Two final AI-statement lines continue onto this page; no statement was removed.","qa/main_round2/page-39.png","ed5d45385c478d337ee735a13386f238b42991b8295d2f517900c3714f283768","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
40,TRUE,"PASS","Data availability has the author-required new-page start.","qa/main_round2/page-40.png","d506546c269cbc5bb2e042b6e0dc996bc648311160ac279385d95837533005c1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
41,TRUE,"PASS","Code availability has the author-required new-page start.","qa/main_round2/page-41.png","fbabfe826f317a933ac2a6ddb5496d95bfcd99a64c7b25303afcd11d2fc814f1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
42,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-42.png","198e3c23810f5312cf89b59a4bf0c76766a24c80f4a4e55416d5ff1970438080","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
43,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-43.png","008d16532f9ac63967e864c84d25a9819c984dc4346d3f12778f23c90f6fff9c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
44,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-44.png","4bde73e2fa25d52867914f191d596d9b7232ff3ee58d01e25219a41c93ade473","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
45,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-45.png","3cf15e95834b211b117f81d04951523745212939d4e03838ba7d0a0a2aab1ec1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
46,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-46.png","a5c7d598513069fd657d3df0b6c6fdbda51b68846dd2ac6d13dcd6974cad6156","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
47,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-47.png","3a13761e39640e8332978860229c7c2c78e58cf7cb90cefba2e7cc99969dd407","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
48,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-48.png","159616d7343dd272e60b8608ac29991cc86796a8b73934d3baeb0df15c09ff03","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
49,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-49.png","a7eb010a62e494336a6292fb8f615a368266aca06191b027aa7f0fb19c8e78a9","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
50,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-50.png","5a5adcb7ee7927deee40b64177d47163c573135e4526570ab88ede7aa1699e86","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
51,TRUE,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text.","qa/main_round2/page-51.png","1d5317311152603643e38e3a2b4f72dfa9b742444a463a0bf4197ea23b779111","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
52,TRUE,"PASS","Acknowledgements are complete on their requested section page.","qa/main_round2/page-52.png","5b88ce226aeff547a135634256d74a5880b3d37bd5d878bbd4ad4421fc7bfd1f","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
53,TRUE,"PASS","Funding is complete on its requested section page.","qa/main_round2/page-53.png","11cb1664c6d00c4e5f0d7c9fd715d73e3a2daacb4e5126767840aa8cc9743d02","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
54,TRUE,"PASS","The CRediT contributions list fits completely on one page.","qa/main_round2/page-54.png","e5c71385c075fd99b3adb0b1c8a7030614cb55c7bf761e0ee5b20f510c99b11d","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
55,TRUE,"PASS","Competing-interest declarations are complete across the two pages.","qa/main_round2/page-55.png","9c93d420afdfea535bb2505aaa32d15cfdc88177cfae37768369cef7e4bcad02","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
56,TRUE,"PASS","Competing-interest declarations are complete across the two pages.","qa/main_round2/page-56.png","50072ac84cc1391ba3a6261a4a50d0073b1767fb0d1625412ed4c1016ea57194","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
57,TRUE,"PASS","Table S1, all sample-flow rows, notes and caption now fit together on one A3 page.","qa/main_round2/page-57.png","3434c25afdcc8811d21a3af5aefd6d9d65baa335ab721a80abdd559971c3ca39","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
58,TRUE,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages.","qa/main_round2/page-58.png","a75d712d76eca41892247bfca10cee0e887050b6e962cb6d38847423fa3e034d","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
59,TRUE,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages.","qa/main_round2/page-59.png","ddcb7c28b62ceaddbb17528f34c8701a15a4930173060b3199afd8b8bfb36235","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
60,TRUE,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages.","qa/main_round2/page-60.png","149751431494424f3ec6ac9a53f28d642d74fc50cb26015fb3d7adef5628de41","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
61,TRUE,"PASS","New Table S3 image has all nine columns, every denominator, all six notes and its caption on one A3 page.","qa/main_round2/page-61.png","b9b8c745711ec838d6dc4ece7ee75187f9e1e5ee9a7bbdeb9798c138db96a25f","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
62,TRUE,"PASS","Figure S1 has all 16 panels, labels and caption.","qa/main_round2/page-62.png","f6a4624a8ffc3d065cac986911b09164f77fb5973bb6889914d939eca2ffcf0f","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
63,TRUE,"PASS","Figure S2 has all worked-example panels, notes and caption.","qa/main_round2/page-63.png","7172e92e5b23dada1bce82b1521279783e59ed28eec107ce886a8b116c800725","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
64,TRUE,"PASS","Figure S3 retains its accepted smaller display size with all content visible.","qa/main_round2/page-64.png","39d889f345f26ae2e0afa0792c671f05d31f931ac5b0a5baf131083eee9fe8e8","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
65,TRUE,"PASS","Figure S4, section heading, introduction and caption fit completely.","qa/main_round2/page-65.png","6499e84e144a4035307197d964a8fac30d47408075188037f6002a2928d0ae83","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
66,TRUE,"PASS","Both separate Figure S5 appearances have complete three-window forests, labels and bottom notes.","qa/main_round2/page-66.png","caa94dbc93f44b33f334a9f058e28dad3312242a2cc4b10525ca74214990768d","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
67,TRUE,"PASS","Both separate Figure S5 appearances have complete three-window forests, labels and bottom notes.","qa/main_round2/page-67.png","dc80e7d6f1ffad7555b4d3c391c1b8df4d1503b1edf43e83c18237131217289c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
68,TRUE,"PASS_WITH_PROTECTED_ARRANGEMENT","The unchanged shared Figure S5 caption has its own following page. Shared-caption identity and arrangement were preserved, not silently redesigned.","qa/main_round2/page-68.png","0a42eb30e1b0585a8d30f5082407597feb0eec03a4033025fcde02a75a560a01","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
69,TRUE,"PASS","Table S4 has two complete ordered parts and its final notes and caption.","qa/main_round2/page-69.png","b9d461695fbcaa6a49433ee3e72538b1fd6fe53bf1086ab8b664e13e86da605c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
70,TRUE,"PASS","Table S4 has two complete ordered parts and its final notes and caption.","qa/main_round2/page-70.png","846e07e209ba0ef1b8b96e8aae396670aa7c9ae68c2b056954c94be501930c58","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
71,TRUE,"PASS","Figure S6 raincloud, labels and caption are complete.","qa/main_round2/page-71.png","483c4c14a80c963c8b23155c6817eb10733f10d61d688e6700af92b9fe8a41c5","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
72,TRUE,"PASS","Table S5 has complete rows, notes and the accepted sans-serif appearance.","qa/main_round2/page-72.png","6f5b86fde3dfdb9c530c8ae7fd0c4c2dca595862f0292ddb1ed55117c802a71c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
73,TRUE,"PASS","Table S6 has complete rows, notes and the accepted sans-serif appearance.","qa/main_round2/page-73.png","d66a5dac81b2b16678a755283f93fe344b4d3bb3644e71df7c423c45c357fd92","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
74,TRUE,"PASS","Figure S7A and its shared caption are complete.","qa/main_round2/page-74.png","3da4b4edd771fa7ee33313772e2111ffb9304e466adf9dac09c8ee564c2d2d81","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
75,TRUE,"PASS","Enlarged Figure S7B has all nine rows and both columns of panels, labels and notes on A3 portrait.","qa/main_round2/page-75.png","0b97c8f7a3052953f2141e92377f596a80e7787e68af9b55d89ba5f49c9934f1","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
76,TRUE,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged.","qa/main_round2/page-76.png","183dfea29e1c3e469daa3b29cf50e64b13d1df6cdd47981725705135d384533c","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
77,TRUE,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged.","qa/main_round2/page-77.png","d31976cc7a92a777130ab05ff971d497ea2917cbe01c8c590bf0359a072047cb","d6dd418054fb8287efe2a4d49fc2d4adaf5a4a56b8a6ded503645ca34c599701","Actual full-page PNG inspection, supplemented only by the explicitly recorded native/browser adjudications"
