"path","historical_sha256","current_sha256","historical_bytes","current_bytes","classification","status"
"audit/hypotheses/H08/report018_order54_result_render/table_endpoint_audit.csv","c0c893a1104af0e3635ff23a74786f90e3a0e837d118fd2e968e5342ccf0298c","c0c893a1104af0e3635ff23a74786f90e3a0e837d118fd2e968e5342ccf0298c",2049,2049,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/figure_endpoint_audit.csv","22009265f1c4afb02434c241a9f080ca3661530bc9a484e9a866f404dd2681d3","22009265f1c4afb02434c241a9f080ca3661530bc9a484e9a866f404dd2681d3",4202,4202,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/table_header_reference_audit.csv","27142c5d1b79b110b006962de8fd1074afcec5f60bc475335a401c2cb24008b0","27142c5d1b79b110b006962de8fd1074afcec5f60bc475335a401c2cb24008b0",50103,50103,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/reader_link_audit.csv","34ab032736d9d2a28370859af4e221d22b9c8333334a4a7a33a62d76a0babd66","34ab032736d9d2a28370859af4e221d22b9c8333334a4a7a33a62d76a0babd66",5756,5756,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/visual_qa_status.csv","2c529e6e8304d0b09ac28eb5d92e424de731bb920821b91b921a5500fb5715c3","2c529e6e8304d0b09ac28eb5d92e424de731bb920821b91b921a5500fb5715c3",3639,3639,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/loopback_lifecycle.csv","1d4aea3c72c829f3a254b9f207d15f350c08613c3c7e18e497cf27c597660c28","1d4aea3c72c829f3a254b9f207d15f350c08613c3c7e18e497cf27c597660c28",1422,1422,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/build_inventory_postqa.csv","bb919e09794ae969e39ddca0b3f1a21b1a46148d0c5da50503da37bc31d7fb02","bb919e09794ae969e39ddca0b3f1a21b1a46148d0c5da50503da37bc31d7fb02",185785,185785,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/report018_order54_result_render/protected_inventory_postqa.csv","c104b0149860c2cd7715fd49f779593aeead3fa55142401ef7558ececeada4a8","c104b0149860c2cd7715fd49f779593aeead3fa55142401ef7558ececeada4a8",29580,29580,"accepted result package member remains exact","PASS"
"notebooks/hypotheses/H08.qmd","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1","1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1",44031,44031,"accepted result package member remains exact","PASS"
"_build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,340040,"accepted result package member remains exact","PASS"
"audit/hypotheses/H08/H08_analysis_preparation.qmd","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d","3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d",57777,57777,"accepted result package member remains exact","PASS"
"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135","cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",675700,732155,"authorized companion historical-to-fresh transition","PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"accepted result package member remains exact","PASS"
"artifacts/12_manifests/H08/H08_stage3_artifacts.csv","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2",23368,23368,"accepted result package member remains exact","PASS"
"audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,11937,"accepted result package member remains exact","PASS"
"audit/report_harmonization/owner_orders/54_h08_result_report018_render.md","e41c03bc8cf003cb49ee4e6d000d9153e909012a0a6f04a3183a9a5b5383be06","e41c03bc8cf003cb49ee4e6d000d9153e909012a0a6f04a3183a9a5b5383be06",9509,9509,"accepted result package member remains exact","PASS"
"audit/report_harmonization/report018_h08_order54_dispatch_manifest.csv","87acae3e4d8e9951a0ee8e329b9bdbededbe0c23a5112757a924b5d11bcad715","87acae3e4d8e9951a0ee8e329b9bdbededbe0c23a5112757a924b5d11bcad715",5024,5024,"accepted result package member remains exact","PASS"
"audit/report_harmonization/report018_h08_result_release.md","c729a0917cbaa7cd51f41b259b7016a6936abdad4fbb99ad5617589c5ced4ccd","c729a0917cbaa7cd51f41b259b7016a6936abdad4fbb99ad5617589c5ced4ccd",10386,10386,"accepted result package member remains exact","PASS"
"audit/report_harmonization/report018_h08_result_release_manifest.csv","71e1fb067205453e462255b6bd3bb5e687c50f3be26e120ce544f5afc333e279","71e1fb067205453e462255b6bd3bb5e687c50f3be26e120ce544f5afc333e279",4478,4478,"accepted result package member remains exact","PASS"
"tests/hypotheses/H08/test_h08_stage3_reader_report.R","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f","3049ecd80bc7f6c83dce7370b2877a92c6693dd9585f1f45ed7ac19fdf64be8f",18954,18954,"accepted result package member remains exact","PASS"
"tests/hypotheses/H08/test_h08_preparation_report.R","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4","2e83542b120021e0c337a3769127e6eba2fe61ebc4d56014693b34066a3fc2a4",13024,13024,"accepted result package member remains exact","PASS"
