"order","source_target","rendered_href","resolved_path","file_exists","fragment","fragment_resolution_count","status"
11,"../../../notebooks/preregistration_deviations.qmd#dev-035","../../../notebooks/preregistration_deviations.html#dev-035","_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-035",1,"PASS"
12,"../../../notebooks/preregistration_deviations.qmd#dev-036","../../../notebooks/preregistration_deviations.html#dev-036","_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-036",1,"PASS"
13,"../../../notebooks/hypotheses/H08.qmd#h08-preregistration-deviations","../../../notebooks/hypotheses/H08.html#h08-preregistration-deviations","_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"h08-preregistration-deviations",1,"PASS"
14,"../../../artifacts/08_diagnostics/H08/H08_model_diagnostics.csv","../../../artifacts/08_diagnostics/H08/H08_model_diagnostics.csv","_build/nathealth/artifacts/08_diagnostics/H08/H08_model_diagnostics.csv",TRUE,"",,"PASS"
15,"../../../artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv","../../../artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv","_build/nathealth/artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv",TRUE,"",,"PASS"
16,"../../../artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv","../../../artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv","_build/nathealth/artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv",TRUE,"",,"PASS"
17,"../../../artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv","../../../artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv","_build/nathealth/artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv",TRUE,"",,"PASS"
18,"../../../artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv","../../../artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv","_build/nathealth/artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv",TRUE,"",,"PASS"
19,"../../../artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv","../../../artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv","_build/nathealth/artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv",TRUE,"",,"PASS"
20,"../../../artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv","../../../artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv","_build/nathealth/artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv",TRUE,"",,"PASS"
21,"../../decisions/l10_numerical_zero_normalization.md","../../decisions/l10_numerical_zero_normalization.md","_build/nathealth/audit/decisions/l10_numerical_zero_normalization.md",TRUE,"",,"PASS"
22,"../../../artifacts/09_tables/H08/H08_metric011_result_comparison.csv","../../../artifacts/09_tables/H08/H08_metric011_result_comparison.csv","_build/nathealth/artifacts/09_tables/H08/H08_metric011_result_comparison.csv",TRUE,"",,"PASS"
23,"../../../artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv","../../../artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv","_build/nathealth/artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv",TRUE,"",,"PASS"
24,"../../../artifacts/12_manifests/H08/H08_metric011_reconciliation.csv","../../../artifacts/12_manifests/H08/H08_metric011_reconciliation.csv","_build/nathealth/artifacts/12_manifests/H08/H08_metric011_reconciliation.csv",TRUE,"",,"PASS"
25,"../../../notebooks/hypotheses/H08.qmd","../../../notebooks/hypotheses/H08.html","_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"",,"PASS"
