"role","path","expected_sha256","current_sha256","expected_bytes","current_bytes","classification","status"
"historical_stage3_manifest","artifacts/12_manifests/H08/H08_stage3_artifacts.csv","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2","e8dcec4bfdaf129002c875681f22b0f9d226ebbc95f706309c98ae4e21244af2",23368,23368,"hard pin preserved","PASS"
"figure_physical_size_qa","artifacts/12_manifests/H08/H08_figure_physical_size_qa.csv","f4680525e3252153bf3020caf436fd6eb701dd9fa21d2c34011ce5799636670b","f4680525e3252153bf3020caf436fd6eb701dd9fa21d2c34011ce5799636670b",7582,7582,"hard pin preserved","PASS"
"stale_sample_support_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-sample-support-1.png","a07550980585fc1d0e87edf1edff539be1ffc6ada6bf0ce2a4af18d3b8239fd4","858a691e5c49b786a5983f38547b9502c1d244da1df52849869c6a13850e3a49",106003,101098,"authorized historical-to-fresh transition","PASS"
"stale_site_range_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-site-range-1.png","fdbc12328301366532f9ae5ac38e0e2e6e6aca5f06ff454a4210bcf229a6b02e","fdbc12328301366532f9ae5ac38e0e2e6e6aca5f06ff454a4210bcf229a6b02e",89133,89133,"hard pin preserved","PASS"
"stale_vlsq_distribution_png","_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation_files/figure-html/fig-h08-prep-vlsq-distribution-1.png","6782b1b24f7e54a00c6e8631a4f9251d67821368097d0add26fc0d7999ff2f1d","6782b1b24f7e54a00c6e8631a4f9251d67821368097d0add26fc0d7999ff2f1d",44589,44589,"hard pin preserved","PASS"
"sample_support_source","artifacts/11_source_data/H08/H08_preparation_sample_support.csv","89f57863882aa8c178f3f55f86f08c3f9e7c3b2a893abb7ee3fdd33359e27a16","89f57863882aa8c178f3f55f86f08c3f9e7c3b2a893abb7ee3fdd33359e27a16",4313,4313,"hard pin preserved","PASS"
"vlsq_distribution_source","artifacts/11_source_data/H08/H08_preparation_vlsq_score_distribution.csv","d1b2299c8d76fd7e4a203fc04cab3d4d7e6ab9992b64179bb844cea22d899b05","d1b2299c8d76fd7e4a203fc04cab3d4d7e6ab9992b64179bb844cea22d899b05",610,610,"hard pin preserved","PASS"
"vlsq_site_support_source","artifacts/11_source_data/H08/H08_preparation_vlsq_site_support.csv","436f1dfd14e9f9995c86da8cb3347828a90e51514c59004392490626c3853ccd","436f1dfd14e9f9995c86da8cb3347828a90e51514c59004392490626c3853ccd",730,730,"hard pin preserved","PASS"
"site_support_source","artifacts/11_source_data/H08/H08_preparation_site_support.csv","0a65c59d5f3da48e701174e26ff87d6713e7fe1a4da95fa98584bdd624a79ff4","0a65c59d5f3da48e701174e26ff87d6713e7fe1a4da95fa98584bdd624a79ff4",22217,22217,"hard pin preserved","PASS"
"site_support_summary_source","artifacts/11_source_data/H08/H08_preparation_site_support_summary.csv","7941ccc71e9aef5524fdbca88ec0c5a75d2e753de08e8d99cdc1bac09f8c1a7e","7941ccc71e9aef5524fdbca88ec0c5a75d2e753de08e8d99cdc1bac09f8c1a7e",1174,1174,"hard pin preserved","PASS"
"metric_availability_source","artifacts/11_source_data/H08/H08_preparation_metric_availability.csv","43978d5ba574b3bbb39908f26e8f8fdd20e89d7d4e068621fdceabb6461c08f3","43978d5ba574b3bbb39908f26e8f8fdd20e89d7d4e068621fdceabb6461c08f3",7173,7173,"hard pin preserved","PASS"
"handoff","audit/handoffs/H08_worker_handoff.md","8a7be6d71075cd4e4bb3884c24ee2465fbb333bc3dc042192b03dd3897005642","8a7be6d71075cd4e4bb3884c24ee2465fbb333bc3dc042192b03dd3897005642",6017,6017,"hard pin preserved","PASS"
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"hard pin preserved","PASS"
"semantic_wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,21453,"hard pin preserved","PASS"
"semantic_engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,17747,"hard pin preserved","PASS"
"lockfile","renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,603493,"hard pin preserved","PASS"
"phase4_manifest","audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,11937,"hard pin preserved","PASS"
"source_order","audit/report_harmonization/owner_orders/10_h08.md","a667fcb756a46dd6c3b92e0eed7f3d61fe914252b38191952dcf7bd7b6598922","a667fcb756a46dd6c3b92e0eed7f3d61fe914252b38191952dcf7bd7b6598922",14131,14131,"hard pin preserved","PASS"
"result_owner_completion","audit/hypotheses/H08/report018_order54_result_render/ORDER54_COMPLETION.md","d2594bd1b63cac66ead98c378cdc05686fc79cc9c4988ec523c60d330c39b15d","d2594bd1b63cac66ead98c378cdc05686fc79cc9c4988ec523c60d330c39b15d",7062,7062,"hard pin preserved","PASS"
"result_owner_manifest","audit/hypotheses/H08/report018_order54_result_render/order54_evidence_manifest.csv","f89ae6a67f8f2c965ce8d4e071c7d826973a9d791e4f382a7f0c1b8a518ee829","f89ae6a67f8f2c965ce8d4e071c7d826973a9d791e4f382a7f0c1b8a518ee829",30043,30043,"hard pin preserved","PASS"
"supplementary_target","_build/nathealth/supplementary_information.html","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,49234,"hard pin preserved","PASS"
