"path","live_exact","classification","status"
"artifacts/09_tables/H08/H08_site_specific_slopes.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_v0_reproduction.csv",TRUE,"live exact","PASS"
"artifacts/09_tables/H08/H08_v0_to_new_comparison.csv",TRUE,"live exact","PASS"
"audit/hypotheses/H03-H11_gated_workflow.qmd",TRUE,"live exact","PASS"
"audit/hypotheses/H05-H08_migration_map.md",TRUE,"live exact","PASS"
"audit/evidence/preregistration_contract.md",TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/H08_execution_environment.csv",TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/H08_figure_manifest.csv",TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/H08_metric011_reconciliation.csv",TRUE,"live exact","PASS"
"artifacts/12_manifests/H08/H08_stage2_artifacts.csv",TRUE,"live exact","PASS"
"_build/nathealth/notebooks/hypotheses/H08.html",FALSE,"accepted historical transition","PASS"
"notebooks/hypotheses/H08.qmd",FALSE,"accepted historical transition","PASS"
"config/metric_display_registry.csv",TRUE,"live exact","PASS"
"config/site_display_registry.csv",TRUE,"live exact","PASS"
"scripts/pipeline/paths_io.R",TRUE,"live exact","PASS"
"audit/reconciliation/l10_METRIC-011/METRIC-011_evidence_manifest.csv",TRUE,"live exact","PASS"
"audit/reconciliation/l10_METRIC-011/primary_scientific_cell_changes.csv",TRUE,"live exact","PASS"
"_quarto-nathealth.yml",FALSE,"accepted historical transition","PASS"
"_quarto.yml",TRUE,"live exact","PASS"
"audit/decisions/bootstrap_execution_policy.md",TRUE,"live exact","PASS"
"audit/decisions/gap_timing_unaware_dataset_terminology.md",TRUE,"live exact","PASS"
"audit/decisions/l10_numerical_zero_normalization.md",TRUE,"live exact","PASS"
"audit/decisions/model_reporting.md",TRUE,"live exact","PASS"
"audit/decisions/p_value_display_conventions.md",TRUE,"live exact","PASS"
"audit/decisions/paired_placement_comparison_display.md",TRUE,"live exact","PASS"
"audit/decisions/site_display_conventions.md",TRUE,"live exact","PASS"
"scripts/pipeline/p_value_display.R",TRUE,"live exact","PASS"
