run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,inferential_run,metric_order,metric_id,manuscript_name,participants,participant_days,sites,metric_support_valid_hours,metric_support_expected_hours,metric_support_missing_rows,site_levels,site_contrasts,score_center,score_participant_sd,row_key_hash
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,2,m10_mean_medi,Brightest 10 h mean,154,902,8,,,902,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,3,l10_mean_medi,Darkest 10 h mean,154,902,8,,,902,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",154,902,8,20891.75,21648,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,154,818,8,10297.716666666667,10727.6,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,9866d96dc5cde14dd0ea6908bfe5f100ffb2ecd58e84bbe86a684fa16eec388a
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,153,743,8,2180.1,2205.5,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,797cba2a91bb3e82d683f6f2e082d4237fa95a4659083b6945cde91ae37a7634
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,154,861,8,6871.416666666667,6873.866666666667,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,f3cac6989c6f1f291fc69c0dd96d36e988017d9c671a1430f8b6e8e31a7ebc6d
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,154,902,8,20891.75,21648,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099
2,main__chest__all_available,main,Primary dataset,chest,Chest,all_available,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,154,851,8,19814.9,20424,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,cd7805caba6dede5d964ca1c97a5b7f3d81876d9fcdd07b3f87acf6bc6da847b
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,1,daily_geometric_mean_medi,Mean melEDI,112,643,8,14874.116666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,2,m10_mean_medi,Brightest 10 h mean,112,643,8,,,643,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,3,l10_mean_medi,Darkest 10 h mean,112,643,8,,,643,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,4,duration_above_1000,"Time above 1,000 lx melEDI",112,643,8,14874.116666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,112,578,8,7172.933333333333,7477.166666666667,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,991170bd4b51bd6ebbb91285341801b70446bf7309787e98156e380c7e5c225a
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,110,505,8,1479.2833333333333,1499.8333333333333,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64057daefd07dcf172d314765593821d787d7bc721af3e893eed25bddfd60ffd
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,112,608,8,4966.2,4969.216666666666,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,c4ea0239b2e5ccafdc9787b87be967d8d1350c2483f8fc3ecb28506c1357b9aa
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,112,643,8,14874.116666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
3,main__glasses__paired_common_sample,main,Primary dataset,glasses,Near eye,paired_common_sample,FALSE,9,dose_time_sensitive_corrected_medi,melEDI dose,112,598,8,13912.883333333333,14352,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8ba25bbb390c4b9f930209d44f6863deb26cf04faa9199de9d0e417884f8856d
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,1,daily_geometric_mean_medi,Mean melEDI,112,643,8,14873.716666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,2,m10_mean_medi,Brightest 10 h mean,112,643,8,,,643,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,3,l10_mean_medi,Darkest 10 h mean,112,643,8,,,643,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,4,duration_above_1000,"Time above 1,000 lx melEDI",112,643,8,14873.716666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,112,578,8,7170.2,7477.166666666667,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,991170bd4b51bd6ebbb91285341801b70446bf7309787e98156e380c7e5c225a
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,110,505,8,1479.1833333333334,1499.8333333333333,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64057daefd07dcf172d314765593821d787d7bc721af3e893eed25bddfd60ffd
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,112,608,8,4966.766666666666,4969.216666666666,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,c4ea0239b2e5ccafdc9787b87be967d8d1350c2483f8fc3ecb28506c1357b9aa
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,112,643,8,14873.716666666667,15432,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,64013f092d80cfe82958b5fe2d6613591d6bf6b2562fe189da44e701cfb02516
4,main__chest__paired_common_sample,main,Primary dataset,chest,Chest,paired_common_sample,FALSE,9,dose_time_sensitive_corrected_medi,melEDI dose,112,598,8,13915.166666666666,14352,0,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8ba25bbb390c4b9f930209d44f6863deb26cf04faa9199de9d0e417884f8856d
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,2,m10_mean_medi,Brightest 10 h mean,141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,3,l10_mean_medi,Darkest 10 h mean,141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,140,755,9,,,755,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,0685311f69640083b09993c0f3ec818ab040314cdc8d2ed922d83ce230dbdd71
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,141,780,9,,,780,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,f2d1d578349c41e7e7fd61aea76d6264f96f88ce5f1f219c4541513424976ef5
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,141,790,9,,,790,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,5e9367064155630c75ec88613ea4ff9ad765f117fdb15dcf51c04109bd230da6
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
5,gap_timing_unaware__glasses__all_available,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,all_available,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,141,811,9,,,811,RISE|THUAS|BAUA|MPI|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(9),21.597826086956523,5.53984036898639,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,1,daily_geometric_mean_medi,Mean melEDI,154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,2,m10_mean_medi,Brightest 10 h mean,154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,3,l10_mean_medi,Darkest 10 h mean,154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,4,duration_above_1000,"Time above 1,000 lx melEDI",154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,153,839,8,,,839,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,c72461c5a340301968c9ca533a809e318d51862321de6ca8d142879cf4161eeb
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,154,867,8,,,867,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,1bdae35ae4ac254fbc706c6cc6bf896e1e34a249075cf59912cfa42493356177
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,154,878,8,,,878,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,fd3b873824ab80303dc2297404d43ef285b31bd0dcd332e540492cb81ee66fa2
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
6,gap_timing_unaware__chest__all_available,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,all_available,TRUE,9,dose_time_sensitive_corrected_medi,melEDI dose,154,897,8,,,897,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,1,daily_geometric_mean_medi,Mean melEDI,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,2,m10_mean_medi,Brightest 10 h mean,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,3,l10_mean_medi,Darkest 10 h mean,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,4,duration_above_1000,"Time above 1,000 lx melEDI",112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,111,592,8,,,592,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,7855326bf2e3319cf76e73c6f3e6b6dde34094dc309be0cc210e4e3e46fcbae2
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,112,615,8,,,615,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,f2e3fb2b13a2a9174a54bd39f8d3b6d460b424b792ee6be2d59c70964e650ba3
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,112,621,8,,,621,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,1f1a4719b2b6f85697aa3a55bd075a00aa90b91501f864e4df6a1d5a1bb4e0c5
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
7,gap_timing_unaware__glasses__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,paired_common_sample,FALSE,9,dose_time_sensitive_corrected_medi,melEDI dose,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
8,gap_timing_unaware__chest__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,paired_common_sample,FALSE,1,daily_geometric_mean_medi,Mean melEDI,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
8,gap_timing_unaware__chest__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,paired_common_sample,FALSE,2,m10_mean_medi,Brightest 10 h mean,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
8,gap_timing_unaware__chest__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,paired_common_sample,FALSE,3,l10_mean_medi,Darkest 10 h mean,112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
8,gap_timing_unaware__chest__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,paired_common_sample,FALSE,4,duration_above_1000,"Time above 1,000 lx melEDI",112,640,8,,,640,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,764d389aea9d27a926994dbf1d9b46e443272175be3f7276ac73e23251e74af7
8,gap_timing_unaware__chest__paired_common_sample,gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,paired_common_sample,FALSE,5,duration_above_250_wake,Time above 250 lx melEDI during wake,111,592,8,,,592,RISE|THUAS|BAUA|TUM|FUSPCEU|IZTECH|UCR|KNUST,contr.sum(8),21.597826086956523,5.53984036898639,7855326bf2e3319cf76e73c6f3e6b6dde34094dc309be0cc210e4e3e46fcbae2
