placement,site,participant,participant_day,hours,exact_zero_hours,categories,ar_sequences,boundary_hours
Near-eye,BAUA,BAUA.BAUA_S007,BAUA.BAUA_S007.2025-06-30,23,7,3,2,3
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-25,22,5,4,2,2
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-26,22,6,3,1,5
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-27,24,9,4,1,5
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-28,24,6,5,1,3
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-29,24,6,3,1,3
Near-eye,BAUA,BAUA.BAUA_S009,BAUA.BAUA_S009.2025-06-30,24,5,3,1,2
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-25,24,7,3,1,2
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-26,24,7,3,1,3
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-27,24,8,2,1,1
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-28,24,7,3,1,1
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-29,24,6,3,1,3
Near-eye,BAUA,BAUA.BAUA_S011,BAUA.BAUA_S011.2025-06-30,24,7,3,1,0
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-16,20,4,4,1,1
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-17,23,5,4,2,2
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-18,24,4,5,1,1
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-19,21,4,5,1,3
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-20,20,2,5,2,2
Near-eye,BAUA,BAUA.BAUA_S012,BAUA.BAUA_S012.2025-07-21,22,5,4,2,5
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-16,24,5,3,1,2
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-17,24,4,5,1,1
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-18,24,3,3,1,1
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-19,24,3,4,1,3
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-20,24,6,4,1,2
Near-eye,BAUA,BAUA.BAUA_S013,BAUA.BAUA_S013.2025-07-21,22,3,6,2,2
Near-eye,BAUA,BAUA.BAUA_S014,BAUA.BAUA_S014.2025-07-16,24,6,3,1,1
Near-eye,BAUA,BAUA.BAUA_S014,BAUA.BAUA_S014.2025-07-18,24,6,3,1,3
Near-eye,BAUA,BAUA.BAUA_S014,BAUA.BAUA_S014.2025-07-19,24,14,3,1,2
Near-eye,BAUA,BAUA.BAUA_S014,BAUA.BAUA_S014.2025-07-20,24,7,3,1,4
Near-eye,BAUA,BAUA.BAUA_S014,BAUA.BAUA_S014.2025-07-21,24,6,3,1,3
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-23,24,5,5,1,3
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-24,23,1,5,2,4
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-25,19,3,4,2,3
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-26,24,5,5,1,3
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-27,23,4,5,2,3
Near-eye,BAUA,BAUA.BAUA_S015,BAUA.BAUA_S015.2025-07-28,21,4,5,3,5
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-23,22,7,4,3,4
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-24,22,6,4,2,3
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-25,24,6,3,1,4
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-26,22,8,3,3,5
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-27,22,9,4,2,3
Near-eye,BAUA,BAUA.BAUA_S016,BAUA.BAUA_S016.2025-07-28,22,6,3,3,4
Near-eye,BAUA,BAUA.BAUA_S018,BAUA.BAUA_S018.2025-09-09,24,6,5,1,3
Near-eye,BAUA,BAUA.BAUA_S018,BAUA.BAUA_S018.2025-09-10,24,5,4,1,3
Near-eye,BAUA,BAUA.BAUA_S018,BAUA.BAUA_S018.2025-09-11,23,6,5,2,3
Near-eye,BAUA,BAUA.BAUA_S018,BAUA.BAUA_S018.2025-09-12,23,5,4,2,5
Near-eye,BAUA,BAUA.BAUA_S018,BAUA.BAUA_S018.2025-09-13,23,9,6,2,3
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-24,24,7,3,1,3
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-25,24,8,2,1,1
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-26,23,7,4,2,0
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-27,24,8,4,1,4
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-28,24,10,4,1,2
Near-eye,BAUA,BAUA.BAUA_S022,BAUA.BAUA_S022.2025-09-29,24,8,5,1,3
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-14,24,7,3,1,3
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-15,23,9,3,2,3
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-16,21,8,4,2,4
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-17,24,11,3,1,1
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-18,24,10,2,1,2
Near-eye,BAUA,BAUA.BAUA_S024,BAUA.BAUA_S024.2025-10-19,24,10,2,1,4
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-14,24,9,5,1,2
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-15,24,8,3,1,3
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-16,24,10,4,1,5
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-17,24,8,4,1,1
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-18,24,7,5,1,0
Near-eye,BAUA,BAUA.BAUA_S025,BAUA.BAUA_S025.2025-10-19,24,10,5,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-08,20,9,4,2,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-09,23,8,4,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-10,24,9,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-11,24,8,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-12,24,8,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S003,FUSPCEU.FUSPCEU_S003.2024-10-13,24,8,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S004,FUSPCEU.FUSPCEU_S004.2024-10-08,24,8,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S004,FUSPCEU.FUSPCEU_S004.2024-10-09,24,8,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S004,FUSPCEU.FUSPCEU_S004.2024-10-11,24,7,5,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S004,FUSPCEU.FUSPCEU_S004.2024-10-12,22,9,5,2,5
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S004,FUSPCEU.FUSPCEU_S004.2024-10-13,24,10,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-15,24,8,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-16,18,11,3,4,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-17,22,12,2,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-18,24,8,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-19,23,10,4,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S005,FUSPCEU.FUSPCEU_S005.2024-10-20,24,16,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S006,FUSPCEU.FUSPCEU_S006.2024-10-15,22,7,4,2,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S006,FUSPCEU.FUSPCEU_S006.2024-10-16,24,8,4,1,5
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S006,FUSPCEU.FUSPCEU_S006.2024-10-17,24,9,3,1,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S006,FUSPCEU.FUSPCEU_S006.2024-10-18,23,6,3,2,5
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S006,FUSPCEU.FUSPCEU_S006.2024-10-19,23,8,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-22,24,9,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-23,24,9,5,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-24,22,7,4,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-25,8,8,1,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-26,24,11,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S007,FUSPCEU.FUSPCEU_S007.2024-10-27,22,10,3,3,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S008,FUSPCEU.FUSPCEU_S008.2024-10-22,15,0,3,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S008,FUSPCEU.FUSPCEU_S008.2024-10-23,15,2,4,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S008,FUSPCEU.FUSPCEU_S008.2024-10-24,15,0,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S008,FUSPCEU.FUSPCEU_S008.2024-10-25,8,1,2,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S008,FUSPCEU.FUSPCEU_S008.2024-10-26,9,0,1,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-04,9,0,2,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-05,24,7,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-06,24,7,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-07,24,7,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-08,24,7,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-09,24,8,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S009,FUSPCEU.FUSPCEU_S009.2024-11-10,24,8,5,1,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S010,FUSPCEU.FUSPCEU_S010.2024-11-04,9,1,1,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S010,FUSPCEU.FUSPCEU_S010.2024-11-05,24,8,4,1,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S010,FUSPCEU.FUSPCEU_S010.2024-11-06,24,8,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S010,FUSPCEU.FUSPCEU_S010.2024-11-07,24,7,3,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S011,FUSPCEU.FUSPCEU_S011.2024-11-12,24,8,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S011,FUSPCEU.FUSPCEU_S011.2024-11-13,24,7,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S011,FUSPCEU.FUSPCEU_S011.2024-11-14,23,8,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S011,FUSPCEU.FUSPCEU_S011.2024-11-16,22,7,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S011,FUSPCEU.FUSPCEU_S011.2024-11-17,24,10,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-03,24,7,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-04,24,7,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-05,24,7,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-06,24,6,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-07,24,8,3,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S012,FUSPCEU.FUSPCEU_S012.2024-12-08,24,10,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-19,24,7,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-20,24,6,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-21,24,6,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-22,24,7,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-23,24,8,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S013,FUSPCEU.FUSPCEU_S013.2024-11-24,24,8,4,1,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S014,FUSPCEU.FUSPCEU_S014.2024-11-20,24,6,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S014,FUSPCEU.FUSPCEU_S014.2024-11-21,23,7,3,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S014,FUSPCEU.FUSPCEU_S014.2024-11-22,24,6,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S014,FUSPCEU.FUSPCEU_S014.2024-11-23,22,9,4,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S014,FUSPCEU.FUSPCEU_S014.2024-11-24,20,8,3,3,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-11-26,24,8,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-11-27,24,6,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-11-28,24,7,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-11-29,24,6,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-11-30,22,7,5,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S015,FUSPCEU.FUSPCEU_S015.2024-12-01,24,10,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S016,FUSPCEU.FUSPCEU_S016.2024-11-26,24,10,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S016,FUSPCEU.FUSPCEU_S016.2024-11-27,23,10,3,2,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S016,FUSPCEU.FUSPCEU_S016.2024-11-29,21,11,3,2,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S016,FUSPCEU.FUSPCEU_S016.2024-11-30,24,12,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S016,FUSPCEU.FUSPCEU_S016.2024-12-01,22,10,4,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-03,24,15,4,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-04,24,10,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-05,24,10,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-06,24,21,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-07,21,12,3,2,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S017,FUSPCEU.FUSPCEU_S017.2024-12-08,22,13,3,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-10,12,0,3,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-11,15,9,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-12,14,4,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-13,11,1,3,2,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-14,9,0,3,2,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S018,FUSPCEU.FUSPCEU_S018.2024-12-15,12,0,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-10,24,9,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-11,24,10,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-12,24,10,3,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-13,24,9,5,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-14,24,10,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S019,FUSPCEU.FUSPCEU_S019.2024-12-15,24,9,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-21,24,7,2,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-22,24,8,2,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-23,24,7,3,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-24,24,9,3,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-25,19,9,3,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S020,FUSPCEU.FUSPCEU_S020.2025-01-26,19,7,3,1,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S021,FUSPCEU.FUSPCEU_S021.2025-01-21,11,1,5,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S021,FUSPCEU.FUSPCEU_S021.2025-01-23,17,2,4,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S021,FUSPCEU.FUSPCEU_S021.2025-01-26,12,1,4,2,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-01-28,14,0,4,1,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-01-29,15,0,3,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-01-30,12,0,4,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-01-31,14,0,4,2,2
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-02-01,11,0,3,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S022,FUSPCEU.FUSPCEU_S022.2025-02-02,12,0,2,2,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-01-28,10,0,2,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-01-29,14,0,2,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-01-30,15,3,2,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-01-31,13,0,2,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-02-01,9,0,2,1,1
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S023,FUSPCEU.FUSPCEU_S023.2025-02-02,9,0,2,1,0
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S024,FUSPCEU.FUSPCEU_S024.2025-02-04,24,12,4,1,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S024,FUSPCEU.FUSPCEU_S024.2025-02-05,22,6,2,3,4
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S024,FUSPCEU.FUSPCEU_S024.2025-02-06,23,11,2,2,3
Near-eye,FUSPCEU,FUSPCEU.FUSPCEU_S024,FUSPCEU.FUSPCEU_S024.2025-02-08,24,10,3,1,3
