run_id,dataset_label,placement_label,reader_role,stage,lag_30_minute_bins,lag_minutes,correlation,eligible_pairs
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,11,330,-0.06762775466513445,25611
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,preliminary_rho0_response,12,360,-0.0893964490265198,24622
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,1,30,0.08192172069986946,36424
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,2,60,-0.01637773725766002,35255
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,3,90,-0.00464421258792985,34114
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,4,120,-7.474175522786024e-4,32978
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,5,150,-4.5879548903854806e-4,31877
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,6,180,-0.01351426189017277,30777
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,7,210,-0.01029086329153777,29716
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,8,240,-8.009705781538043e-6,28658
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,9,270,-0.00666236706269355,27629
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,10,300,8.227580261480634e-5,26603
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,11,330,0.00113809637310365,25611
alternative_preprocessing__glasses__all_available,Gap-timing-unaware dataset,Near eye,Sensitivity,final_AR1_standardized,12,360,-0.00192455565715342,24622
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,1,30,0.6008576376044172,40382
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,2,60,0.32522772907377157,39107
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,3,90,0.1828856995315976,37868
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,4,120,0.09930027258206713,36634
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,5,150,0.05359168312256948,35426
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,6,180,0.02438769712348675,34221
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,7,210,7.075949005171473e-4,33052
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,8,240,-0.02167678338980504,31886
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,9,270,-0.04421346798328228,30751
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,10,300,-0.0670372172503356,29620
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,11,330,-0.08437322475389882,28524
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,preliminary_rho0_response,12,360,-0.10122267271648444,27430
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,1,30,0.07056220210092531,40382
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,2,60,-0.00711006384447758,39107
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,3,90,0.01480761637678938,37868
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,4,120,-4.6577830444998863e-4,36634
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,5,150,-0.00161114121102502,35426
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,6,180,-0.00471495575965565,34221
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,7,210,-0.00824446801117772,33052
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,8,240,-0.01180460357220683,31886
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,9,270,-0.01359545770475689,30751
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,10,300,-0.01658617043158231,29620
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,11,330,-0.01107395243417127,28524
alternative_preprocessing__chest__all_available,Gap-timing-unaware dataset,Chest,Sensitivity,final_AR1_standardized,12,360,-0.01113350833431727,27430
