key,target,current_exists,preimage_sha256,source,source_sha256,proposed_action,scope,acceptance_check,owner,release_status
editable_Table_S4,_build/nathealth/editable_tables/Table_S4.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S4.docx,449372acfb60acba928d40240792575a20be572622fcdb8bac7ae619dac38f5e,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S5,_build/nathealth/editable_tables/Table_S5.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S5.docx,2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S6,_build/nathealth/editable_tables/Table_S6.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S6.docx,2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S7,_build/nathealth/editable_tables/Table_S7.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S7.docx,9ec20d78bffd51bc6e27fe08e255cb6450a04e732e2d8da830d3d6cb4c4fe96a,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S8,_build/nathealth/editable_tables/Table_S8.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S8.docx,1c00fca20c863747c2ca6f3905277475a38be90f5c908233df038f9d20034372,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S9,_build/nathealth/editable_tables/Table_S9.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S9.docx,1c6ce0a02661d80199f5e0fd9795827dfe4ad249f5918e0b53391ab1bb5027e3,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S10,_build/nathealth/editable_tables/Table_S10.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S10.docx,fcd5d7eaf77bba2b4e4bcdfc82a01dd914de2c828a1579849d62e413418b0726,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S11a,_build/nathealth/editable_tables/Table_S11a.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S11a.docx,241ed7f67b4d6ae4c093ca6f3ac86f7e8977a2181fbcb24ae7304ccb6b2bd165,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S11b,_build/nathealth/editable_tables/Table_S11b.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S11b.docx,c73e527237637cf3014a509a924a66ecf76eab3f80054f679b051edf013590c5,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S12,_build/nathealth/editable_tables/Table_S12.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S12.docx,c45851bcf66a334c058725ce91e04b3b24562436c0207ba290e3bcb566e176a3,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S13,_build/nathealth/editable_tables/Table_S13.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S13.docx,504735337df61c5538c0017401eea9a6676c477d4b728a6fb329f56783794a5f,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S14,_build/nathealth/editable_tables/Table_S14.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S14.docx,65b3e8ab6a75a4bae9e43c22361631466a4fc9bb16761d0b7d529c59fd7f1a8c,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
editable_Table_S15,_build/nathealth/editable_tables/Table_S15.docx,False,,audit/manuscript_nature_health/final_format_completion_2026_09_14/editable_tables/Table_S15.docx,9666c69401331ffdddc8b1c1e2b97324151a23f568d83a0a6f6e46c2aaf8e12b,BYTE_EXACT_ADDITION,Accepted native one-table file only; do not export/render or copy absolute-path provenance metadata,19/19 hashes and download anchors; one link per requested native table,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
passage_change_csv,_build/nathealth/manuscript_changes.csv,False,,audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/evidence/cumulative_passage_changes.csv,abaa25cc7f25ecfc8a54895d6e375030ed08dbbd63fac8b7eccf68bd23b298d8,BYTE_EXACT_ADDITION,"Existing accepted passage-change artifact, no prose revision",Exact file identity; visible position/old_text/new_text fields retain all 20 ordered source rows,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
passage_change_md,_build/nathealth/manuscript_changes.md,False,,audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/evidence/cumulative_passage_changes.md,341a8d7a92843c5d8188a433a628bc943eeae7572c54af248f5ce8559e58ff24,BYTE_EXACT_ADDITION,"Existing accepted passage-change artifact, no prose revision",Exact file identity; visible position/old_text/new_text fields retain all 20 ordered source rows,Coordinator-designated site integration owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
corpus_reseal,audit/report_harmonization/phase4_corpus_manifest.csv,True,01a2fdc1f1d11db45e28834893c79d620aa5321be1f49cff612b34589e068008,,DERIVED_AFTER_RELEASE,TWO_HTML_HASH_ONLY_RESEAL_WITH_ADDITIVE_AUTHORITY_SIDECAR,37 rows/order and all historical source metadata preserved; update only index/SI html_sha256 after accepted staging; new sidecar states accepted HTML authority and current source gaps,Raw reverse to current 01a2fdc1...; exactly two changed HTML cells; all 37 live output hashes match; never run the generic manifest builder against changed live sources,Coordinator or explicitly designated manifest owner,PROPOSED_ONLY_NOT_AUTHORIZED_OR_EXECUTED
