objectID,href,page_exists,fragment_exists,affected_entrypoint
notebooks/preparation/03_reference_profiles.html#what-the-pooled-profiles-look-like,notebooks/preparation/03_reference_profiles.html#what-the-pooled-profiles-look-like,True,True,False
notebooks/preparation/03_reference_profiles.html#exact-inputs-and-clock-handling,notebooks/preparation/03_reference_profiles.html#exact-inputs-and-clock-handling,True,True,False
notebooks/preparation/03_reference_profiles.html#support-for-the-intensity-profiles,notebooks/preparation/03_reference_profiles.html#support-for-the-intensity-profiles,True,True,False
notebooks/preparation/03_reference_profiles.html#probability-of-exceeding-250-lx-by-time-of-day,notebooks/preparation/03_reference_profiles.html#probability-of-exceeding-250-lx-by-time-of-day,True,True,False
notebooks/preparation/03_reference_profiles.html#how-preparation-04-may-use-each-map,notebooks/preparation/03_reference_profiles.html#how-preparation-04-may-use-each-map,True,True,False
notebooks/preparation/03_reference_profiles.html#what-is-verified-for-the-current-artifacts,notebooks/preparation/03_reference_profiles.html#what-is-verified-for-the-current-artifacts,True,False,False
notebooks/preparation/03_reference_profiles.html#producing-scripts-in-execution-order,notebooks/preparation/03_reference_profiles.html#producing-scripts-in-execution-order,True,True,False
notebooks/preparation/03_reference_profiles.html#artifacts-passed-to-metric-derivation,notebooks/preparation/03_reference_profiles.html#artifacts-passed-to-metric-derivation,True,True,False
notebooks/preparation/03_reference_profiles.html#handoff-to-preparation-04,notebooks/preparation/03_reference_profiles.html#handoff-to-preparation-04,True,True,False
notebooks/preparation/04_metric_derivation.html,notebooks/preparation/04_metric_derivation.html,True,True,False
notebooks/preparation/04_metric_derivation.html#purpose-and-position-in-the-preparation-chain,notebooks/preparation/04_metric_derivation.html#purpose-and-position-in-the-preparation-chain,True,True,False
notebooks/preparation/04_metric_derivation.html#exact-inputs,notebooks/preparation/04_metric_derivation.html#exact-inputs,True,True,False
notebooks/preparation/04_metric_derivation.html#production-sequence-and-stored-hand-offs,notebooks/preparation/04_metric_derivation.html#production-sequence-and-stored-hand-offs,True,True,False
notebooks/preparation/04_metric_derivation.html#scientific-rules-applied-during-production,notebooks/preparation/04_metric_derivation.html#scientific-rules-applied-during-production,True,True,False
notebooks/preparation/04_metric_derivation.html#cohort-and-time-grid-outputs,notebooks/preparation/04_metric_derivation.html#cohort-and-time-grid-outputs,True,True,False
notebooks/preparation/04_metric_derivation.html#which-metric-values-are-available,notebooks/preparation/04_metric_derivation.html#which-metric-values-are-available,True,True,False
notebooks/preparation/04_metric_derivation.html#gaps-and-daylight-saving-changes,notebooks/preparation/04_metric_derivation.html#gaps-and-daylight-saving-changes,True,True,False
notebooks/preparation/04_metric_derivation.html#exact-artifacts-passed-forward,notebooks/preparation/04_metric_derivation.html#exact-artifacts-passed-forward,True,True,False
notebooks/preparation/04_metric_derivation.html#current-file-checks-and-version-specific-verification,notebooks/preparation/04_metric_derivation.html#current-file-checks-and-version-specific-verification,True,False,False
notebooks/preparation/05_model_input_acquisition.html,notebooks/preparation/05_model_input_acquisition.html,True,True,False
notebooks/preparation/05_model_input_acquisition.html#purpose-and-position-in-the-preparation-chain,notebooks/preparation/05_model_input_acquisition.html#purpose-and-position-in-the-preparation-chain,True,True,False
notebooks/preparation/05_model_input_acquisition.html#exact-inputs-that-fix-the-acquisition,notebooks/preparation/05_model_input_acquisition.html#exact-inputs-that-fix-the-acquisition,True,False,False
notebooks/preparation/05_model_input_acquisition.html#fixed-source-releases-by-site,notebooks/preparation/05_model_input_acquisition.html#fixed-source-releases-by-site,True,False,False
notebooks/preparation/05_model_input_acquisition.html#what-the-acquired-objects-contain,notebooks/preparation/05_model_input_acquisition.html#what-the-acquired-objects-contain,True,False,False
notebooks/preparation/05_model_input_acquisition.html#how-files-were-obtained-in-the-recorded-run,notebooks/preparation/05_model_input_acquisition.html#how-files-were-obtained-in-the-recorded-run,True,True,False
notebooks/preparation/05_model_input_acquisition.html#production-sequence,notebooks/preparation/05_model_input_acquisition.html#production-sequence,True,True,False
notebooks/preparation/05_model_input_acquisition.html#exact-stored-artifacts-passed-to-preparation-06,notebooks/preparation/05_model_input_acquisition.html#exact-stored-artifacts-passed-to-preparation-06,True,True,False
notebooks/preparation/05_model_input_acquisition.html#checks-tied-to-the-current-stored-files,notebooks/preparation/05_model_input_acquisition.html#checks-tied-to-the-current-stored-files,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html,audit/hypotheses/H01/H01_analysis_preparation.html,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#purpose,audit/hypotheses/H01/H01_analysis_preparation.html#purpose,True,False,False
audit/hypotheses/H01/H01_analysis_preparation.html#analysis-map,audit/hypotheses/H01/H01_analysis_preparation.html#analysis-map,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#what-is-calculated-when-this-page-opens,audit/hypotheses/H01/H01_analysis_preparation.html#what-is-calculated-when-this-page-opens,True,False,False
audit/hypotheses/H01/H01_analysis_preparation.html#data-entering-the-analysis,audit/hypotheses/H01/H01_analysis_preparation.html#data-entering-the-analysis,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#the-17-metric-response-package,audit/hypotheses/H01/H01_analysis_preparation.html#the-17-metric-response-package,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#model-frame-and-sample-construction,audit/hypotheses/H01/H01_analysis_preparation.html#model-frame-and-sample-construction,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#model-construction,audit/hypotheses/H01/H01_analysis_preparation.html#model-construction,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#estimands-uncertainty-and-multiplicity,audit/hypotheses/H01/H01_analysis_preparation.html#estimands-uncertainty-and-multiplicity,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#bootstrap-diagnostics-and-influence,audit/hypotheses/H01/H01_analysis_preparation.html#bootstrap-diagnostics-and-influence,True,False,False
audit/hypotheses/H01/H01_analysis_preparation.html#sensitivity-branches,audit/hypotheses/H01/H01_analysis_preparation.html#sensitivity-branches,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#code-map-and-execution-order,audit/hypotheses/H01/H01_analysis_preparation.html#code-map-and-execution-order,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#output-provenance-and-file-identities,audit/hypotheses/H01/H01_analysis_preparation.html#output-provenance-and-file-identities,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#how-to-examine-or-reproduce-h01,audit/hypotheses/H01/H01_analysis_preparation.html#how-to-examine-or-reproduce-h01,True,True,False
audit/hypotheses/H01/H01_analysis_preparation.html#environment,audit/hypotheses/H01/H01_analysis_preparation.html#environment,True,True,False
notebooks/preparation/07_example_days.html,notebooks/preparation/07_example_days.html,True,True,False
notebooks/preparation/07_example_days.html#purpose-and-position-in-the-preparation-chain,notebooks/preparation/07_example_days.html#purpose-and-position-in-the-preparation-chain,True,True,False
notebooks/preparation/07_example_days.html#exact-inputs,notebooks/preparation/07_example_days.html#exact-inputs,True,False,False
notebooks/preparation/07_example_days.html#how-the-example-days-were-produced,notebooks/preparation/07_example_days.html#how-the-example-days-were-produced,True,False,False
notebooks/preparation/07_example_days.html#selected-participant-days,notebooks/preparation/07_example_days.html#selected-participant-days,True,True,False
notebooks/preparation/07_example_days.html#one-minute-profiles,notebooks/preparation/07_example_days.html#one-minute-profiles,True,True,False
notebooks/preparation/07_example_days.html#checks-on-the-current-stored-bundle,notebooks/preparation/07_example_days.html#checks-on-the-current-stored-bundle,True,False,False
notebooks/preparation/07_example_days.html#stored-display-artifacts-and-analytical-handoff,notebooks/preparation/07_example_days.html#stored-display-artifacts-and-analytical-handoff,True,True,False
notebooks/hypotheses/H08.html,notebooks/hypotheses/H08.html,True,True,False
notebooks/hypotheses/H08.html#hypothesis-and-analytical-question,notebooks/hypotheses/H08.html#hypothesis-and-analytical-question,True,False,False
notebooks/hypotheses/H08.html#what-was-analysed,notebooks/hypotheses/H08.html#what-was-analysed,True,False,False
notebooks/hypotheses/H08.html#statistical-models,notebooks/hypotheses/H08.html#statistical-models,True,True,False
notebooks/hypotheses/H08.html#exact-fitted-samples,notebooks/hypotheses/H08.html#exact-fitted-samples,True,True,False
notebooks/hypotheses/H08.html#primary-near-eye-results,notebooks/hypotheses/H08.html#primary-near-eye-results,True,True,False
notebooks/hypotheses/H08.html#complementary-chest-results,notebooks/hypotheses/H08.html#complementary-chest-results,True,True,False
notebooks/hypotheses/H08.html#site-specific-heterogeneity,notebooks/hypotheses/H08.html#site-specific-heterogeneity,True,False,False
notebooks/hypotheses/H08.html#exact-paired-placement-comparison,notebooks/hypotheses/H08.html#exact-paired-placement-comparison,True,False,False
notebooks/hypotheses/H08.html#model-adequacy-and-influence,notebooks/hypotheses/H08.html#model-adequacy-and-influence,True,False,False
