"order","kind","label","part","source","source_sha256","image","image_sha256","crop_top_fraction","crop_bottom_fraction","status"
11,"TABLE_IMAGE","supp_table_s1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/406ac771d781_supp_table_s1_part_01.png","406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689",0,0,"REUSE image byte-exact"
12,"TABLE_IMAGE","supp_table_s2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s2_complete.html","c94065ef7dd03c00a2b7107ef526c00cb9899667445457965819756d876faa8f","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
13,"TABLE_IMAGE","supp_table_s2",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s2_complete.html","c94065ef7dd03c00a2b7107ef526c00cb9899667445457965819756d876faa8f","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
14,"TABLE_IMAGE","supp_table_s2",3,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s2_complete.html","c94065ef7dd03c00a2b7107ef526c00cb9899667445457965819756d876faa8f","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
15,"TABLE_IMAGE","supp_table_s3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s3_recommendation_windows.html","33ebc99f976acffb54082eb7afd4a6b44549b3f9de330dea998ce2f69c4ba6e6","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/8139eb4ea512_supp_table_s3_part_01.png","8139eb4ea512629f6457ad4f5dc6c586304b65c14f3324f22b6707a118b1cb4b",0,0,"REUSE image byte-exact"
16,"FIGURE_SVG","Supplementary Figure S1",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/63c21b0d084b_near_eye_metric_distributions.svg","63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/63c21b0d084b_near_eye_metric_distributions.svg","63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05",0,0,"reuse_byte_exact; inspect_at_intended_size"
17,"FIGURE_SVG","Supplementary Figure S2",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/61de5a9df7dd_time_series_to_metrics.svg","61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/61de5a9df7dd_time_series_to_metrics.svg","61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe",0,0,"reuse_byte_exact; inspect_at_intended_size"
18,"FIGURE_SVG","Supplementary Figure S3",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/58b7263ac915_latitude_photoperiod_diagnostic.svg","58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/58b7263ac915_latitude_photoperiod_diagnostic.svg","58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa",0,0,"reuse_byte_exact; inspect_at_intended_size"
19,"FIGURE_SVG","Supplementary Figure S4",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_adherence_levels.svg","11b008bda0e8cfce327a943e23107ec26d31bc7c434184f6636aec4d48861353","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_adherence_levels.svg","11b008bda0e8cfce327a943e23107ec26d31bc7c434184f6636aec4d48861353",0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified"
20,"FIGURE_SVG","Supplementary Figure S5A",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_workday.svg","ecca6b95391659817dee792c9abd35acf3a7a93aaf184203ad0c284258708b86","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_workday.svg","ecca6b95391659817dee792c9abd35acf3a7a93aaf184203ad0c284258708b86",0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified"
21,"FIGURE_SVG","Supplementary Figure S5B",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_free_work.svg","62414031116e794769d6f59ba4e5ac73fd2d44d698b54ff9ef1f0c3344c5c8b5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/brown_final_integration_2026_09_13/source/brown_assets/main_site_free_work.svg","62414031116e794769d6f59ba4e5ac73fd2d44d698b54ff9ef1f0c3344c5c8b5",0,0,"REPLACE with exact final accepted SVG; do not regenerate; Word visibility/readability still unverified"
22,"TABLE_IMAGE","supp_table_s4",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/dc86d71f8a47_supp_table_s4_part_01.png","dc86d71f8a4731871bba6638fe979b0a38ad6da32e15e4f1d28d77e6a3443872",0,0,"REUSE image byte-exact"
23,"TABLE_IMAGE","supp_table_s4",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/fe8e98ad60b1_supp_table_s4_part_02.png","fe8e98ad60b10b6308253c2fa676137311b245796001b97d33aa6163ec364018",0,0,"REUSE image byte-exact"
24,"FIGURE_SVG","Supplementary Figure S6",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/200e85cb494e_brown_participant_state_raincloud.svg","200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/200e85cb494e_brown_participant_state_raincloud.svg","200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653",0,0,"REUSE byte-exact; final accepted anonymous 139-profile raincloud unchanged"
25,"TABLE_IMAGE","supp_table_s5",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","1147881a649557c66e9f494193bbe521ef429eec533e5c3787e41b9817bb0a28","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/capture_attempt1/supp_table_s5_part_01.png","da4420467049b14411cbf564300b6aff329816a75d489045a0abfb4c999083c6",0,0,"REUSE image byte-exact"
26,"TABLE_IMAGE","supp_table_s6",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","1fd4579929dcacccbd6258e007f29367d9738d1a3b162abfe23936fc922ac3d8","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/capture_attempt1/supp_table_s6_part_01.png","4aa092ae5b952c3508e049e4452e59ec68f34d94e68ae6c95b7ab9eb9688f5a4",0,0,"REUSE image byte-exact"
27,"FIGURE_SVG","Supplementary Figure S7A",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4ddf972fc4c8_H01_stage3_model_support.svg","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4ddf972fc4c8_H01_stage3_model_support.svg","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e",0,0,"reuse_byte_exact; inspect_at_intended_size"
28,"FIGURE_SVG","Supplementary Figure S7B",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/f12465fd629c_H07_revised_smooth_derivative_pairs_near_eye.svg","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/f12465fd629c_H07_revised_smooth_derivative_pairs_near_eye.svg","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57",0,0,"reuse_byte_exact; inspect_at_intended_size"
29,"TABLE_IMAGE","supp_table_s7",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s6_geographic_associations.html","f18fdc5b9912d1d0ab0ff7be6fdcd230223837f4dfa2f32456583e3055f70a78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/99283fa8c24e_supp_table_s7_part_01.png","99283fa8c24ed435ff669e6b8328ff0b76ba28b4c88cc21dfa972464a9ed7a73",0,0,"REUSE image byte-exact"
30,"TABLE_IMAGE","supp_table_s7",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s6_geographic_associations.html","f18fdc5b9912d1d0ab0ff7be6fdcd230223837f4dfa2f32456583e3055f70a78","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/2f63ea9d1590_supp_table_s7_part_02.png","2f63ea9d1590953d6301f7672c0130c43ad7fa0b1f6aaae99f653420d8ab1445",0,0,"REUSE image byte-exact"
31,"TABLE_IMAGE","supp_table_s7",3,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s7_complete.html","536229026ac290f24fcc89616f1b6904d535c0177143d2d29e312f9e82e55c4c","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
32,"TABLE_IMAGE","supp_table_s7",4,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/table_layout_visual_corrections_2026_09_14/attempt_02/source/supp_table_s7_complete.html","536229026ac290f24fcc89616f1b6904d535c0177143d2d29e312f9e82e55c4c","","",0,0,"Full-page visual QA complete; optional table-only capture not a gate; production remains held"
33,"TABLE_IMAGE","supp_table_s8",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/display_assets/table_s6_photoperiod_classification.html","cc5f08ad52f4b30ee153c1591896015b04effaafa1410a0d878f88747995fa05","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/resources/08ad149d4a85_supp_table_s8_part_01.png","08ad149d4a8538efec7173f73b1f0f2dc0ceb2e8b4fcb368f910d971f7c559e8",0,0,"REUSE image byte-exact"
34,"FIGURE_SVG","Supplementary Figure S8",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3",0,0.57695,"reuse_byte_exact; inspect_at_intended_size"
35,"FIGURE_SVG","Supplementary Figure S8",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3",0.42305,0,"reuse_byte_exact; inspect_at_intended_size"
36,"FIGURE_SVG","Supplementary Figure S9",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/e9d44034ace6_H06_paired_placement_effects.svg","e9d44034ace69fc82f67079fdabb266827cc06e053f948bd47e90d6ce1a47e14","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/e9d44034ace6_H06_paired_placement_effects.svg","e9d44034ace69fc82f67079fdabb266827cc06e053f948bd47e90d6ce1a47e14",0,0,"reuse_byte_exact; inspect_at_intended_size"
37,"FIGURE_SVG","Supplementary Figure S10",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/3005cbcd8c8b_H06_reader_temporal_day_type.svg","3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/3005cbcd8c8b_H06_reader_temporal_day_type.svg","3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3",0,0,"reuse_byte_exact; inspect_at_intended_size"
38,"FIGURE_SVG","Supplementary Figure S11",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/07b54b298f8c_H06_reader_temporal_activity.svg","07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/07b54b298f8c_H06_reader_temporal_activity.svg","07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0",0,0,"reuse_byte_exact; inspect_at_intended_size"
