"figure_order","label","appearance","source","sha256","crop_top_fraction","crop_bottom_fraction","crop_left_fraction","crop_right_fraction","disposition","geometry","crop_authority"
11,"Supplementary Figure S7A",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/4ddf972fc4c8_H01_stage3_model_support.svg","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
12,"Supplementary Figure S7B",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/f12465fd629c_H07_revised_smooth_derivative_pairs_near_eye.svg","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
13,"Supplementary Figure S8",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3",0,0.57695,0,0,"reuse_byte_exact; inspect_at_intended_size","Retain existing two complementary Word crops of the same SVG","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/Nature_Health_non_S5_preview_attempt1.docx :: word/document.xml; /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/svg_embedding_attempt1.json"
14,"Supplementary Figure S8",2,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a510c6bc356b_H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3",0.42305,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Retain existing two complementary Word crops of the same SVG","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/Nature_Health_non_S5_preview_attempt1.docx :: word/document.xml; /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/svg_embedding_attempt1.json"
15,"Supplementary Figure S9",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/e9d44034ace6_H06_paired_placement_effects.svg","e9d44034ace69fc82f67079fdabb266827cc06e053f948bd47e90d6ce1a47e14",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
16,"Supplementary Figure S10",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/3005cbcd8c8b_H06_reader_temporal_day_type.svg","3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
17,"Supplementary Figure S11",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/07b54b298f8c_H06_reader_temporal_activity.svg","07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
18,"Supplementary Figure S12",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/2b955196ce35_H06_stage3_site_specific_significance_screen.svg","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
19,"Supplementary Figure S13",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/e9d7d6010040_H05_reader_near_eye_effects.svg","e9d7d60100403aea3ac25282f9be33f981b182a09e74479cd160bdc296ae63b3",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
20,"Supplementary Figure S14",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/f0f77bbd8967_H08_near_eye_effects.svg","f0f77bbd896739941d8ae63bb24ed889528a410a963c2123b07ca3a825f7ddee",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
21,"Supplementary Figure S15A",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/a3f9bdb969c0_H09_primary_effects.svg","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
22,"Supplementary Figure S15B",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/c937252509c5_H09_observed_timing_patterns.svg","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
23,"Supplementary Figure S16",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/134049139070_H10_age_site_significant_associations_selection_candidate.svg","1340491390703f642e30b0284bd4e0416a704015bc717dd2a6e56a8073901799",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
24,"Supplementary Figure S17",1,"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/revision_2026_09_11/consolidated_display_repair_order72k/project/resources/ee82f8f1ef3f_H11_reader_primary_near_eye_curves.svg","ee82f8f1ef3f360a584a92712ea1e9e1e48341617d5d0e332743c72c956cdbfe",0,0,0,0,"reuse_byte_exact; inspect_at_intended_size","Preserve accepted display geometry; new Brown extents require QA, not a scientific redraw","No crop"
