check,passed,detail
main page 6 A4 and reviewed pixel identity,True,
main page 7 A4 and reviewed pixel identity,True,
main page 8 A4 and reviewed pixel identity,True,
main page 9 A4 and reviewed pixel identity,True,
main page 10 A4 and reviewed pixel identity,True,
main page 11 A4 and reviewed pixel identity,True,
main page 12 A4 and reviewed pixel identity,True,
main page 13 A4 and reviewed pixel identity,True,
main page 14 A4 and reviewed pixel identity,True,
main page 15 A4 and reviewed pixel identity,True,
main page 16 A4 and reviewed pixel identity,True,
main page 17 A4 and reviewed pixel identity,True,
main page 18 A4 and reviewed pixel identity,True,
main page 19 A4 and reviewed pixel identity,True,
main page 20 A4 and reviewed pixel identity,True,
main page 21 A4 and reviewed pixel identity,True,
main page 22 A4 and reviewed pixel identity,True,
main page 23 A4 and reviewed pixel identity,True,
main page 24 A4 and reviewed pixel identity,True,
main page 25 A4 and reviewed pixel identity,True,
main page 26 A4 and reviewed pixel identity,True,
main page 27 A4 and reviewed pixel identity,True,
main page 28 A4 and reviewed pixel identity,True,
main page 29 A4 and reviewed pixel identity,True,
main page 30 A4 and reviewed pixel identity,True,
main page 31 A4 and reviewed pixel identity,True,
main page 32 A4 and reviewed pixel identity,True,
main page 33 A4 and reviewed pixel identity,True,
main page 34 A4 and reviewed pixel identity,True,
main page 35 A4 and reviewed pixel identity,True,
main page 36 A4 and reviewed pixel identity,True,
main page 37 A4 and reviewed pixel identity,True,
main page 38 A4 and reviewed pixel identity,True,
main page 39 A4 and reviewed pixel identity,True,
main page 40 A4 and reviewed pixel identity,True,
main page 41 A4 and reviewed pixel identity,True,
main page 42 A4 and reviewed pixel identity,True,
main page 43 A4 and reviewed pixel identity,True,
main page 44 A4 and reviewed pixel identity,True,
main page 45 A4 and reviewed pixel identity,True,
main page 46 A4 and reviewed pixel identity,True,
main page 47 A4 and reviewed pixel identity,True,
main page 48 A4 and reviewed pixel identity,True,
main page 49 A4 and reviewed pixel identity,True,
main page 50 A4 and reviewed pixel identity,True,
main page 51 A4 and reviewed pixel identity,True,
main page 52 A4 and reviewed pixel identity,True,
main page 53 A4 and reviewed pixel identity,True,
main page 54 A4 and reviewed pixel identity,True,
main page 55 A4 and reviewed pixel identity,True,
main page 56 A4 and reviewed pixel identity,True,
main page 57 A4 and reviewed pixel identity,True,
main page 58 A4 and reviewed pixel identity,True,
main page 59 A4 and reviewed pixel identity,True,
main page 60 A4 and reviewed pixel identity,True,
main page 61 A4 and reviewed pixel identity,True,
main page 62 A4 and reviewed pixel identity,True,
main page 63 A4 and reviewed pixel identity,True,
main page 64 A4 and reviewed pixel identity,True,
main page 65 A4 and reviewed pixel identity,True,
main page 66 A4 and reviewed pixel identity,True,
main page 67 A4 and reviewed pixel identity,True,
main page 68 A4 and reviewed pixel identity,True,
main page 69 A4 and reviewed pixel identity,True,
main page 70 A4 and reviewed pixel identity,True,
main page 71 A4 and reviewed pixel identity,True,
main page 72 A4 and reviewed pixel identity,True,
main page 73 A4 and reviewed pixel identity,True,
main page 74 A4 and reviewed pixel identity,True,
main page 75 A4 and reviewed pixel identity,True,
main page 76 A4 and reviewed pixel identity,True,
main page 77 A4 and reviewed pixel identity,True,
main page 78 A4 and reviewed pixel identity,True,
main page 79 A4 and reviewed pixel identity,True,
main page 80 A4 and reviewed pixel identity,True,
main page 81 A4 and reviewed pixel identity,True,
main page 82 A4 and reviewed pixel identity,True,
main page 83 A4 and reviewed pixel identity,True,
main page 84 A4 and reviewed pixel identity,True,
main page 85 A4 and reviewed pixel identity,True,
main page 86 A4 and reviewed pixel identity,True,
main page 87 A4 and reviewed pixel identity,True,
main page 88 A4 and reviewed pixel identity,True,
main page 89 A4 and reviewed pixel identity,True,
main page 90 A4 and reviewed pixel identity,True,
main page 91 A4 and reviewed pixel identity,True,
main page 92 A4 and reviewed pixel identity,True,
main page 93 A4 and reviewed pixel identity,True,
main page 94 A4 and reviewed pixel identity,True,
main page 95 A4 and reviewed pixel identity,True,
main page 96 A4 and reviewed pixel identity,True,
main page 97 A4 and reviewed pixel identity,True,
main page 98 A4 and reviewed pixel identity,True,
S4 actual PDF count,True,
S4 page 1 A4 and reviewed pixel identity,True,
S7 actual PDF count,True,
S7 page 1 A4 and reviewed pixel identity,True,
S7 page 2 A4 and reviewed pixel identity,True,
19 exact native download ZIP members,True,
Unique HTML replacement supp-table-s4,True,
HTML operation changed text supp-table-s4,True,
Unique HTML replacement supp-table-s7,True,
HTML operation changed text supp-table-s7,True,
Exact regex match count existing_figure_anchors,True,
HTML operation changed text existing_figure_anchors,True,
Exact regex match count existing_figure_labels,True,
HTML operation changed text existing_figure_labels,True,
Exact regex match count existing_section_ids,True,
HTML operation changed text existing_section_ids,True,
Unique HTML replacement Results short reference S17,True,
HTML operation changed text Results short reference S17,True,
Unique HTML replacement Results short reference S18,True,
HTML operation changed text Results short reference S18,True,
Unique HTML replacement split_S15_into_S15_S16,True,
HTML operation changed text split_S15_into_S15_S16,True,
Unique HTML replacement S15 heading,True,
HTML operation changed text S15 heading,True,
Unique HTML replacement Results chronotype references,True,
HTML operation changed text Results chronotype references,True,
Complete exact HTML forward proof,True,
Unique literal reverse,True,
Unique literal reverse,True,
Unique literal reverse,True,
Unique literal reverse,True,
Unique literal reverse,True,
Unique literal reverse,True,
Unique literal reverse,True,
Complete exact HTML reverse proof,True,
Owner package unchanged after read-only audit,True,
