center_group,data_scenario_id,model_implementation_id,scenario,placement_scope,metric_id,photoperiod_center_hours,photoperiod_center_rows,absolute_latitude_center_10deg,latitude_center_sites,latitude_center_weighting
main::hypothesis_models::all_available::chest::duration_below_10_pre_sleep,main,hypothesis_models,all_available,chest,duration_below_10_pre_sleep,13.866551074260675,743,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::duration_below_1_sleep_environment,main,hypothesis_models,all_available,chest,duration_below_1_sleep_environment,13.901840826543259,861,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::longest_bout_above_250,main,hypothesis_models,all_available,chest,longest_bout_above_250,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::m10_midpoint,main,hypothesis_models,all_available,chest,m10_midpoint,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::l10_midpoint,main,hypothesis_models,all_available,chest,l10_midpoint,13.888324994918056,902,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::mean_timing_above_250,main,hypothesis_models,all_available,chest,mean_timing_above_250,13.883680983475703,831,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::first_timing_above_250,main,hypothesis_models,all_available,chest,first_timing_above_250,13.947461189195023,802,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::last_timing_above_250,main,hypothesis_models,all_available,chest,last_timing_above_250,13.898772297347735,787,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::dose_time_sensitive_corrected_medi,main,hypothesis_models,all_available,chest,dose_time_sensitive_corrected_medi,13.84829494628439,851,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::all_available::chest::mder_mean_of_viable_ratios,main,hypothesis_models,all_available,chest,mder_mean_of_viable_ratios,14.046162262518404,732,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::daily_geometric_mean_medi,main,hypothesis_models,paired_common_sample,paired_placements,daily_geometric_mean_medi,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::m10_mean_medi,main,hypothesis_models,paired_common_sample,paired_placements,m10_mean_medi,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::l10_mean_medi,main,hypothesis_models,paired_common_sample,paired_placements,l10_mean_medi,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::duration_above_1000,main,hypothesis_models,paired_common_sample,paired_placements,duration_above_1000,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::duration_above_250_wake,main,hypothesis_models,paired_common_sample,paired_placements,duration_above_250_wake,14.160992817244978,1156,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::duration_below_10_pre_sleep,main,hypothesis_models,paired_common_sample,paired_placements,duration_below_10_pre_sleep,14.14412493908838,1010,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::duration_below_1_sleep_environment,main,hypothesis_models,paired_common_sample,paired_placements,duration_below_1_sleep_environment,14.16762688087452,1216,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::longest_bout_above_250,main,hypothesis_models,paired_common_sample,paired_placements,longest_bout_above_250,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::m10_midpoint,main,hypothesis_models,paired_common_sample,paired_placements,m10_midpoint,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::l10_midpoint,main,hypothesis_models,paired_common_sample,paired_placements,l10_midpoint,14.146291223639482,1286,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::mean_timing_above_250,main,hypothesis_models,paired_common_sample,paired_placements,mean_timing_above_250,14.157512665130682,1146,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::first_timing_above_250,main,hypothesis_models,paired_common_sample,paired_placements,first_timing_above_250,14.254200690740872,1126,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::last_timing_above_250,main,hypothesis_models,paired_common_sample,paired_placements,last_timing_above_250,14.231705072926983,1048,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::dose_time_sensitive_corrected_medi,main,hypothesis_models,paired_common_sample,paired_placements,dose_time_sensitive_corrected_medi,14.076226391395487,1196,3.8088435803529714,8,equal_across_observed_sites
main::hypothesis_models::paired_common_sample::mder_mean_of_viable_ratios,main,hypothesis_models,paired_common_sample,paired_placements,mder_mean_of_viable_ratios,14.435043465590455,978,3.8088435803529714,8,equal_across_observed_sites
