site,Id,position,source_modality,source_commit,source_doi,source_sha256,stream_epoch_seconds,expected_subepochs_per_minute,required_finite_subepochs_per_signal,minute_rows,source_observations,implicit_source_observations,complete_native_minute_schedules,incomplete_native_minute_schedules,finite_medi_minutes,finite_light_minutes
IZTECH,IZTECH_S003,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,8754,11520,0,10061,10061
IZTECH,IZTECH_S004,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,11497,11520,0,9603,9603
IZTECH,IZTECH_S005,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,8550,11520,0,10095,10095
IZTECH,IZTECH_S006,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,9204,11520,0,9986,9986
IZTECH,IZTECH_S007,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,9810,11520,0,9884,9884
IZTECH,IZTECH_S008,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,10428,11520,0,9782,9782
IZTECH,IZTECH_S009,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,15840,95040,9012,15840,0,14338,14338
IZTECH,IZTECH_S010,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,8958,11520,0,10026,10026
IZTECH,IZTECH_S011,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,10289,11520,0,9805,9805
IZTECH,IZTECH_S012,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,9714,11520,0,9900,9900
IZTECH,IZTECH_S013,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,9648,11520,0,9911,9911
IZTECH,IZTECH_S014,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,9635,11520,0,9914,9914
IZTECH,IZTECH_S015,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,11172,11520,0,9657,9657
IZTECH,IZTECH_S016,glasses,light_glasses,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,10,6,6,11520,69120,10146,11520,0,9828,9828
