"source","line","kind","label","content"
"notebooks/preparation/01_import_state_alignment.qmd",640,"table",,"#| tbl-cap: ""Fixed source releases used for the Preparation 01 production build. The displayed revision is shortened for readability; the stored audit retains the complete revision, URL, byte size, and SHA-256 fingerprint."""
"notebooks/preparation/01_import_state_alignment.qmd",665,"table","tbl-preparation01-source-file-check","#| label: tbl-preparation01-source-file-check"
"notebooks/preparation/01_import_state_alignment.qmd",666,"table",,"#| tbl-cap: ""Identity check for the fixed local source files."""
"notebooks/preparation/01_import_state_alignment.qmd",699,"table","tbl-preparation01-aggregation-regimes","#| label: tbl-preparation01-aggregation-regimes"
"notebooks/preparation/01_import_state_alignment.qmd",700,"table",,"#| tbl-cap: ""Original logger recording intervals and the completeness requirement used to create one-minute values."""
"notebooks/preparation/01_import_state_alignment.qmd",738,"table","tbl-preparation01-state-rules","#| label: tbl-preparation01-state-rules"
"notebooks/preparation/01_import_state_alignment.qmd",739,"table",,"#| tbl-cap: ""Rules used to translate sleep-diary and wear-log information into measurement context and signal availability."""
"notebooks/preparation/01_import_state_alignment.qmd",757,"table","tbl-preparation01-state-intervals","#| label: tbl-preparation01-state-intervals"
"notebooks/preparation/01_import_state_alignment.qmd",758,"table",,"#| tbl-cap: ""Usable sleep and wear periods stored for each study site, with source entries retained for review."""
"notebooks/preparation/01_import_state_alignment.qmd",808,"table","tbl-preparation01-state-outcomes","#| label: tbl-preparation01-state-outcomes"
"notebooks/preparation/01_import_state_alignment.qmd",809,"table",,"#| tbl-cap: ""Stored sleep and wear outcomes after alignment to one-minute light records. Counts are minutes."""
"notebooks/preparation/01_import_state_alignment.qmd",835,"table","tbl-preparation01-saturation","#| label: tbl-preparation01-saturation"
"notebooks/preparation/01_import_state_alignment.qmd",836,"table",,"#| tbl-cap: ""One-minute values at or above the 100,000 lx melEDI operating limit."""
"notebooks/preparation/01_import_state_alignment.qmd",877,"table","tbl-preparation01-placement-sample","#| label: tbl-preparation01-placement-sample"
"notebooks/preparation/01_import_state_alignment.qmd",878,"table",,"#| tbl-cap: ""Overall measurement sample stored after one-minute aggregation and state alignment."""
"notebooks/preparation/01_import_state_alignment.qmd",894,"table","tbl-preparation01-site-sample","#| label: tbl-preparation01-site-sample"
"notebooks/preparation/01_import_state_alignment.qmd",895,"table",,"#| tbl-cap: ""Participants, participant-days, and one-minute grid rows by site and measurement placement."""
"notebooks/preparation/01_import_state_alignment.qmd",932,"table","tbl-preparation01-validation","#| label: tbl-preparation01-validation"
"notebooks/preparation/01_import_state_alignment.qmd",933,"table",,"#| tbl-cap: ""Validation outcomes recorded for the accepted Preparation 01 outputs."""
"notebooks/preparation/01_import_state_alignment.qmd",947,"table","tbl-preparation01-manifest-checks","#| label: tbl-preparation01-manifest-checks"
"notebooks/preparation/01_import_state_alignment.qmd",948,"table",,"#| tbl-cap: ""File-identity checks performed during this report render for accepted Preparation 01 artifacts."""
"notebooks/preparation/01_import_state_alignment.qmd",971,"table","tbl-preparation01-script-map","#| label: tbl-preparation01-script-map"
"notebooks/preparation/01_import_state_alignment.qmd",972,"table",,"#| tbl-cap: ""Producing scripts and function modules in execution order; none is executed while this report renders."""
"notebooks/preparation/01_import_state_alignment.qmd",991,"table","tbl-preparation01-handoff","#| label: tbl-preparation01-handoff"
"notebooks/preparation/01_import_state_alignment.qmd",992,"table",,"#| tbl-cap: ""Stored Preparation 01 artifacts passed to coverage assessment."""
"notebooks/preparation/01_import_state_alignment.qmd",1013,"table","tbl-preparation01-environment","#| label: tbl-preparation01-environment"
"notebooks/preparation/01_import_state_alignment.qmd",1014,"table",,"#| tbl-cap: ""Environment used for this documentation-only HTML render."""
"notebooks/preparation/02_coverage_sample_flow.qmd",65,"table",,"  output <- gt::gt(data, groupname_col = groupname_col) |>"
"notebooks/preparation/02_coverage_sample_flow.qmd",503,"figure",,"%%| fig-cap: ""Position of Preparation 02 in the data-to-analysis chain. Rendering reads the stored coverage outputs but does not recreate the grid or decisions."""
"notebooks/preparation/02_coverage_sample_flow.qmd",504,"figure",,"%%| fig-alt: ""Flow diagram from aligned near-eye and chest one-minute records through a complete local-clock grid, hourly and daily melEDI coverage decisions, a day-long flat-zero check, and stored coverage and sample-flow files passed to reference-profile and metric preparation."""
"notebooks/preparation/02_coverage_sample_flow.qmd",524,"table","tbl-preparation02-rules","#| label: tbl-preparation02-rules"
"notebooks/preparation/02_coverage_sample_flow.qmd",525,"table",,"#| tbl-cap: ""Coverage and plausibility decisions recorded in Preparation 02."""
"notebooks/preparation/02_coverage_sample_flow.qmd",550,"table","tbl-preparation02-overall","#| label: tbl-preparation02-overall"
"notebooks/preparation/02_coverage_sample_flow.qmd",551,"table",,"#| tbl-cap: ""Overall inputs and stored coverage outcomes by measurement placement."""
"notebooks/preparation/02_coverage_sample_flow.qmd",577,"table","tbl-preparation02-site-days","#| label: tbl-preparation02-site-days"
"notebooks/preparation/02_coverage_sample_flow.qmd",578,"table",,"#| tbl-cap: ""Daily coverage outcomes by site and measurement placement."""
"notebooks/preparation/02_coverage_sample_flow.qmd",613,"table","tbl-preparation02-day-distribution","#| label: tbl-preparation02-day-distribution"
"notebooks/preparation/02_coverage_sample_flow.qmd",614,"table",,"#| tbl-cap: ""Distribution of the valid melEDI fraction across all participant-days before applying the 80% decision."""
"notebooks/preparation/02_coverage_sample_flow.qmd",635,"table","tbl-preparation02-gaps","#| label: tbl-preparation02-gaps"
"notebooks/preparation/02_coverage_sample_flow.qmd",636,"table",,"#| tbl-cap: ""Continuous missing or unusable periods and daily coverage consequences."""
"notebooks/preparation/02_coverage_sample_flow.qmd",681,"table","tbl-preparation02-sample-flow","#| label: tbl-preparation02-sample-flow"
"notebooks/preparation/02_coverage_sample_flow.qmd",682,"table",,"#| tbl-cap: ""Participants, participant-days, actual-time minutes, and valid signal minutes at each coverage branch."""
"notebooks/preparation/02_coverage_sample_flow.qmd",714,"table","tbl-preparation02-validation","#| label: tbl-preparation02-validation"
"notebooks/preparation/02_coverage_sample_flow.qmd",715,"table",,"#| tbl-cap: ""Validation outcomes recorded for the accepted Preparation 02 outputs."""
"notebooks/preparation/02_coverage_sample_flow.qmd",729,"table","tbl-preparation02-manifest","#| label: tbl-preparation02-manifest"
"notebooks/preparation/02_coverage_sample_flow.qmd",730,"table",,"#| tbl-cap: ""File-identity checks performed during this render for accepted Preparation 02 artifacts."""
"notebooks/preparation/02_coverage_sample_flow.qmd",745,"table","tbl-preparation02-script-map","#| label: tbl-preparation02-script-map"
"notebooks/preparation/02_coverage_sample_flow.qmd",746,"table",,"#| tbl-cap: ""Producing scripts and function modules in execution order; none is executed while this report renders."""
"notebooks/preparation/02_coverage_sample_flow.qmd",760,"table","tbl-preparation02-handoff","#| label: tbl-preparation02-handoff"
"notebooks/preparation/02_coverage_sample_flow.qmd",761,"table",,"#| tbl-cap: ""Stored coverage and sample-flow artifacts passed to later preparation steps."""
"notebooks/preparation/02_coverage_sample_flow.qmd",782,"table","tbl-preparation02-environment","#| label: tbl-preparation02-environment"
"notebooks/preparation/02_coverage_sample_flow.qmd",783,"table",,"#| tbl-cap: ""Environment used for this documentation-only HTML render."""
"notebooks/preparation/03_reference_profiles.qmd",66,"table",,"  output <- gt::gt(data, groupname_col = groupname_col) |>"
"notebooks/preparation/03_reference_profiles.qmd",840,"figure",,"%%| fig-cap: ""Preparation 03 data flow. The production scripts ran before this report; rendering reads their stored outputs only."""
"notebooks/preparation/03_reference_profiles.qmd",841,"figure",,"%%| fig-alt: ""Flow diagram from near-eye and chest one-minute records that passed Preparation 02 Rule A, through an unchanged actual-time record and a separate local-clock learning copy, into participant-balanced 30-minute intensity profiles and strict greater-than-250-lux timing distributions. These produce metric-specific support maps and stored artifacts used in Preparation 04."""
"notebooks/preparation/03_reference_profiles.qmd",861,"table","tbl-learning-decisions","#| label: tbl-learning-decisions"
"notebooks/preparation/03_reference_profiles.qmd",862,"table",,"#| tbl-cap: ""Scientific decisions used to learn the fixed reference profiles."""
"notebooks/preparation/03_reference_profiles.qmd",884,"table","tbl-stored-profile-settings","#| label: tbl-stored-profile-settings"
"notebooks/preparation/03_reference_profiles.qmd",885,"table",,"#| tbl-cap: ""Exact settings recorded with the current Preparation 03 artifacts."""
"notebooks/preparation/03_reference_profiles.qmd",908,"figure","fig-pooled-reference-profiles","#| label: fig-pooled-reference-profiles"
"notebooks/preparation/03_reference_profiles.qmd",909,"figure",,"#| fig-cap: ""Pooled participant-balanced full-day reference profiles for near-eye and chest melEDI and illuminance. Each line connects the 48 stored 30-minute values; all displayed pooled full-day periods met the 20-participant support requirement."""
"notebooks/preparation/03_reference_profiles.qmd",910,"figure",,"#| fig-alt: ""Two vertically stacked line charts show pooled reference values across local clock time. The upper panel shows melEDI and the lower panel illuminance. Each panel has separate near-eye and chest lines, with low values overnight, increasing values during daytime, and declining values toward evening. All 48 half-hour periods are displayed for both placements."""
"notebooks/preparation/03_reference_profiles.qmd",983,"table","tbl-profile-inputs","#| label: tbl-profile-inputs"
"notebooks/preparation/03_reference_profiles.qmd",984,"table",,"#| tbl-cap: ""Exact Rule A inputs recorded for profile learning."""
"notebooks/preparation/03_reference_profiles.qmd",1012,"table","tbl-dst-profile-handling","#| label: tbl-dst-profile-handling"
"notebooks/preparation/03_reference_profiles.qmd",1013,"table",,"#| tbl-cap: ""Checks for repeated autumn local-clock values in the learning copy."""
"notebooks/preparation/03_reference_profiles.qmd",1038,"table","tbl-profile-support","#| label: tbl-profile-support"
"notebooks/preparation/03_reference_profiles.qmd",1039,"table",,"#| tbl-cap: ""Stored participant support for the melEDI and illuminance profiles."""
"notebooks/preparation/03_reference_profiles.qmd",1082,"table","tbl-threshold-timing-support","#| label: tbl-threshold-timing-support"
"notebooks/preparation/03_reference_profiles.qmd",1083,"table",,"#| tbl-cap: ""Stored support for strict melEDI >250 lx timing distributions."""
"notebooks/preparation/03_reference_profiles.qmd",1108,"table","tbl-map-use","#| label: tbl-map-use"
"notebooks/preparation/03_reference_profiles.qmd",1109,"table",,"#| tbl-cap: ""Stored relevance maps, their use, and whether they may change a metric value."""
"notebooks/preparation/03_reference_profiles.qmd",1149,"table","tbl-current-validation","#| label: tbl-current-validation"
"notebooks/preparation/03_reference_profiles.qmd",1150,"table",,"#| tbl-cap: ""Checks demonstrably tied to the current Preparation 03 manifest."""
"notebooks/preparation/03_reference_profiles.qmd",1192,"table","tbl-script-execution-map","#| label: tbl-script-execution-map"
"notebooks/preparation/03_reference_profiles.qmd",1193,"table",,"#| tbl-cap: ""Producing scripts and function modules in execution order; none is executed while this report renders."""
"notebooks/preparation/03_reference_profiles.qmd",1216,"table","tbl-artifact-handoff","#| label: tbl-artifact-handoff"
"notebooks/preparation/03_reference_profiles.qmd",1217,"table",,"#| tbl-cap: ""Stored Preparation 03 artifacts and their role in later metric derivation."""
"notebooks/preparation/03_reference_profiles.qmd",1234,"table","tbl-preparation-03-runtime","#| label: tbl-preparation-03-runtime"
"notebooks/preparation/03_reference_profiles.qmd",1235,"table",,"#| tbl-cap: ""R runtime and packages used for this documentation-only render."""
"notebooks/preparation/04_metric_derivation.qmd",70,"table",,"  output <- gt::gt(data, groupname_col = groupname_col) |>"
"notebooks/preparation/04_metric_derivation.qmd",1603,"table","tbl-preparation04-inputs","#| label: tbl-preparation04-inputs"
"notebooks/preparation/04_metric_derivation.qmd",1604,"table",,"#| tbl-cap: ""Exact stored inputs to metric derivation and the scientific role of each."""
"notebooks/preparation/04_metric_derivation.qmd",1634,"table","tbl-script-execution-map","#| label: tbl-script-execution-map"
"notebooks/preparation/04_metric_derivation.qmd",1635,"table",,"#| tbl-cap: ""Producing scripts and function modules in execution order; none is executed while this report renders."""
"notebooks/preparation/04_metric_derivation.qmd",1654,"table","tbl-metric-rules","#| label: tbl-metric-rules"
"notebooks/preparation/04_metric_derivation.qmd",1655,"table",,"#| tbl-cap: ""Metric construction, temporal support, and missing-data rules applied by the production scripts."""
"notebooks/preparation/04_metric_derivation.qmd",1682,"table","tbl-l10-numerical-zero","#| label: tbl-l10-numerical-zero"
"notebooks/preparation/04_metric_derivation.qmd",1683,"table",,"#| tbl-cap: ""Primary L10 values changed from positive floating-point roundoff to source-verified exact zero under METRIC-011."""
"notebooks/preparation/04_metric_derivation.qmd",1729,"table","tbl-current-metric-sample","#| label: tbl-current-metric-sample"
"notebooks/preparation/04_metric_derivation.qmd",1730,"table",,"#| tbl-cap: ""Participants, participant-days, and complete time-grid rows in the current stored metric outputs."""
"notebooks/preparation/04_metric_derivation.qmd",1769,"table","tbl-state-support","#| label: tbl-state-support"
"notebooks/preparation/04_metric_derivation.qmd",1770,"table",,"#| tbl-cap: ""Diary-period metric values retained at the fixed 70%, 80%, and 90% support cutoffs."""
"notebooks/preparation/04_metric_derivation.qmd",1835,"table","tbl-mder-support","#| label: tbl-mder-support"
"notebooks/preparation/04_metric_derivation.qmd",1836,"table",,"#| tbl-cap: ""Current MDER availability and distribution summaries under the same viable one-minute-ratio estimand."""
"notebooks/preparation/04_metric_derivation.qmd",1888,"figure","fig-mder-availability","#| label: fig-mder-availability"
"notebooks/preparation/04_metric_derivation.qmd",1889,"figure",,"#| fig-cap: ""Availability of the current MDER in the primary dataset. At least 720 viable one-minute ratios are required. Counts are read from the independently verified METRIC-010 summary; rendering does not reconstruct MDER."""
"notebooks/preparation/04_metric_derivation.qmd",1890,"figure",,"#| fig-alt: ""Two horizontal stacked bars show MDER availability in the primary dataset. Near-eye has 702 participant-days with MDER and 114 without, out of 816. Chest has 732 with MDER and 170 without, out of 902."""
"notebooks/preparation/04_metric_derivation.qmd",1943,"table","tbl-bin-support","#| label: tbl-bin-support"
"notebooks/preparation/04_metric_derivation.qmd",1944,"table",,"#| tbl-cap: ""Stored 30-minute and hourly values with and without enough valid melEDI data."""
"notebooks/preparation/04_metric_derivation.qmd",1979,"table","tbl-metric-availability","#| label: tbl-metric-availability"
"notebooks/preparation/04_metric_derivation.qmd",1980,"table",,"#| tbl-cap: ""Metric values calculated in the current stored outputs, shown as calculated / possible (percentage)."""
"notebooks/preparation/04_metric_derivation.qmd",2009,"table","tbl-gap-diagnostics","#| label: tbl-gap-diagnostics"
"notebooks/preparation/04_metric_derivation.qmd",2010,"table",,"#| tbl-cap: ""Actual-time coverage, missing periods, diary-state uncertainty, and daylight-saving diagnostics in the current metric outputs."""
"notebooks/preparation/04_metric_derivation.qmd",2037,"table","tbl-daylight-saving-diagnostics","#| label: tbl-daylight-saving-diagnostics"
"notebooks/preparation/04_metric_derivation.qmd",2038,"table",,"#| tbl-cap: ""Daylight-saving minutes represented on the separate actual-time and local-clock grids."""
"notebooks/preparation/04_metric_derivation.qmd",2071,"table","tbl-output-artifacts","#| label: tbl-output-artifacts"
"notebooks/preparation/04_metric_derivation.qmd",2072,"table",,"#| tbl-cap: ""Preparation 04 artifacts stored for Preparation 06 and for metric-specific audit."""
"notebooks/preparation/04_metric_derivation.qmd",2108,"table","tbl-current-manifest-validation","#| label: tbl-current-manifest-validation"
"notebooks/preparation/04_metric_derivation.qmd",2109,"table",,"#| tbl-cap: ""Bounded file-identity checks for the current metric, repaired gap-timing-unaware, diary-period, MDER-audit, and L10 numerical-zero artifacts."""
"notebooks/preparation/04_metric_derivation.qmd",2162,"table","tbl-version-specific-verification","#| label: tbl-version-specific-verification"
"notebooks/preparation/04_metric_derivation.qmd",2163,"table",,"#| tbl-cap: ""Which verification statements apply to the current and earlier Preparation 04 artifact versions."""
"notebooks/preparation/05_model_input_acquisition.qmd",68,"table",,"  output <- gt::gt(data, groupname_col = groupname_col) |>"
"notebooks/preparation/05_model_input_acquisition.qmd",726,"table","tbl-preparation05-inputs","#| label: tbl-preparation05-inputs"
"notebooks/preparation/05_model_input_acquisition.qmd",727,"table",,"#| tbl-cap: ""Stored registries that fix which questionnaire and diary files Preparation 05 acquires."""
"notebooks/preparation/05_model_input_acquisition.qmd",750,"table","tbl-site-releases","#| label: tbl-site-releases"
"notebooks/preparation/05_model_input_acquisition.qmd",751,"table",,"#| tbl-cap: ""Site data releases in submitted-manuscript order and colours."""
"notebooks/preparation/05_model_input_acquisition.qmd",779,"table","tbl-tum-exercise-pin","#| label: tbl-tum-exercise-pin"
