"authority","project_relative_path","bytes","sha256","role"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/final_manifest.csv",44950,"69033a670469ba3c511afdd0dce0caa9cf55bc946af548d795584043442e3a21","stage3_accepted_manifest"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_final_manifest.csv",54203,"80490b61df19ba5f20fdcb013fea6e6de3d28a337fae1db30aa0f7b7fcf040c2","stage4_accepted_manifest"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_final_manifest_verification.csv",29804,"60c582410460ac4f48a5ff8ff6498a96c5876ab286724395037073453690de38","stage4_manifest_verification"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/integrated_stage3_handoff.md",7519,"dba0eb267dc0b0c8b9dc3d90957f85f0f4d4bce8e9447ec2cc4f1abd09c4a8b7","stage3_handoff"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_handoff.md",7248,"2a7e132879c499d9d312b63c9a11a9a32fdc977d08eb43f1fda2ae7cdd11bebe","stage4_handoff"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/01_verify_integrated_source.R",33359,"c4e68358f328b6a528285383b961307ed14cea2711eb40b8f076305ef4414514","stage3_historical_source_verifier"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/03_verify_integrated_render.R",19860,"0f1e4559e884f3020c32e236bf9466ca6ee8231ab758da5d30ec9d555d3c9e40","stage3_historical_render_verifier"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/01_verify_stage4_source.R",10225,"c6a1310a2a991bfa8986a89f6e74bf3b886e331ba98f1f1a0a53433437894806","stage4_historical_source_verifier"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/02_verify_stage4_render.R",15004,"9c9fdb946d9778db24a8c07f0b2197d5218342f86b30d6dd481ae59349c4a31c","stage4_historical_render_verifier"
"brown","audit/analyses/brown_adherence/stage4_cross_state_association/author_gate.md",1437,"7c6e1b3bcc267ec527fbb8a52b753c41b3258edf7bc80ff4f7f63bb50c167453","stage4_author_gate"
"brown","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","brown_lockfile"
