"check","observed","expected","status","r_version","digest_version","xml2_version"
"table_endpoint_audit.csv all PASS","19/19","19/19","PASS","4.6.1","0.6.39","1.6.0"
"figure_endpoint_audit.csv all PASS","3/3","3/3","PASS","4.6.1","0.6.39","1.6.0"
"mermaid_endpoint_audit.csv all PASS","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"table_header_reference_audit.csv all PASS","1581/1581","1581/1581","PASS","4.6.1","0.6.39","1.6.0"
"semantic_reverse_audit.csv all PASS","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"semantic_invariance_audit.csv all PASS","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"reader_link_and_fragment_audit.csv all PASS","25/25","25/25","PASS","4.6.1","0.6.39","1.6.0"
"reader_phrase_audit.csv all PASS","12/12","12/12","PASS","4.6.1","0.6.39","1.6.0"
"source_data_contract_audit.csv all PASS","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"scientific_table_contract_audit.csv all PASS","12/12","12/12","PASS","4.6.1","0.6.39","1.6.0"
"exact_formula_table_audit.csv all PASS","9/9","9/9","PASS","4.6.1","0.6.39","1.6.0"
"model_setting_audit.csv all PASS","9/9","9/9","PASS","4.6.1","0.6.39","1.6.0"
"fdr_family_contract_audit.csv all PASS","1/1","1/1","PASS","4.6.1","0.6.39","1.6.0"
"score_and_sample_support_audit.csv all PASS","8/8","8/8","PASS","4.6.1","0.6.39","1.6.0"
"target_png_transition_audit.csv all PASS","3/3","3/3","PASS","4.6.1","0.6.39","1.6.0"
"visual_qa_status.csv all PASS","13/13","13/13","PASS","4.6.1","0.6.39","1.6.0"
"figure_final_size_typography_audit.csv all PASS","3/3","3/3","PASS","4.6.1","0.6.39","1.6.0"
"release_pin_reconciliation_postqa.csv all PASS","34/34","34/34","PASS","4.6.1","0.6.39","1.6.0"
"result_acceptance_reconciliation_postqa.csv all PASS","31/31","31/31","PASS","4.6.1","0.6.39","1.6.0"
"phase4_manifest_transition_audit.csv all PASS","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"stage3_manifest_historical_audit.csv all PASS","102/102","102/102","PASS","4.6.1","0.6.39","1.6.0"
"protected_reconciliation_postrender.csv all PASS","276/276","276/276","PASS","4.6.1","0.6.39","1.6.0"
"build_delta_postrender.csv all PASS","5/5","5/5","PASS","4.6.1","0.6.39","1.6.0"
"postqa_rehash_reconciliation.csv all PASS","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"render_and_helper_execution_audit.csv all PASS","9/9","9/9","PASS","4.6.1","0.6.39","1.6.0"
"helper_execution.csv all PASS","9/9","9/9","PASS","4.6.1","0.6.39","1.6.0"
"final_source_freeze_audit.csv all PASS","11/11","11/11","PASS","4.6.1","0.6.39","1.6.0"
"preparation manifest columns","path|role|artifact_class|sha256|bytes|producer|r_version","path|role|artifact_class|sha256|bytes|producer|r_version","PASS","4.6.1","0.6.39","1.6.0"
"preparation manifest rows and identities","258/258","258/258","PASS","4.6.1","0.6.39","1.6.0"
"post-QA build inventory identity","851/TRUE","851/TRUE","PASS","4.6.1","0.6.39","1.6.0"
"post-QA protected inventory identity","276/TRUE","276/TRUE","PASS","4.6.1","0.6.39","1.6.0"
"build symlinks absent throughout","0/0/0","0/0/0","PASS","4.6.1","0.6.39","1.6.0"
"semantic summary and ledger","19/193/878/1071","19/193/878/1071","PASS","4.6.1","0.6.39","1.6.0"
"unique main element","1","1","PASS","4.6.1","0.6.39","1.6.0"
"duplicate document IDs","0","0","PASS","4.6.1","0.6.39","1.6.0"
"native gt table count","19","19","PASS","4.6.1","0.6.39","1.6.0"
"unique table endpoints","1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1","1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1","PASS","4.6.1","0.6.39","1.6.0"
"unique figure endpoints","1/1/1","1/1/1","PASS","4.6.1","0.6.39","1.6.0"
"table header token count","1581","1581","PASS","4.6.1","0.6.39","1.6.0"
"table header token resolution","TRUE","TRUE","PASS","4.6.1","0.6.39","1.6.0"
"single render and helper execution","1/1","1/1","PASS","4.6.1","0.6.39","1.6.0"
"visual screenshot evidence","82/82","82/82","PASS","4.6.1","0.6.39","1.6.0"
"170-mm typography floor","8",">=7","PASS","4.6.1","0.6.39","1.6.0"
"single classified PNG transition","1","1","PASS","4.6.1","0.6.39","1.6.0"
"loopback lifecycle and teardown","9/10","9 PASS plus 1 no-server-created precheck","PASS","4.6.1","0.6.39","1.6.0"
