"action_id","target_path","target_kind","locator","preimage","postimage","expected_occurrences","classification","preservation_contract"
"BROWN-WINDOW-QMD-012","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_alt","fig-main-site-free-work-contrasts","Three vertically stacked panels for Wake, Pre-sleep, and Sleep. Each panel shows nine country-coded site estimates of Free-day minus Work-day adherence with 95% confidence intervals, a dotted black zero line, and a long-dashed blue site-average line. Five orange diamonds identify site-specific Free-minus-Work differences from zero. Three black asterisks identify departures from the site-average Free-minus-Work estimate: Wake in Dortmund, Wake in Madrid, and Sleep in Kumasi. Other estimates use open circles unless they carry only the orange difference-from-zero marker.","Three vertically stacked panels for Daytime, Pre-sleep, and Sleep. Each panel shows nine country-coded site estimates of Free-day minus Work-day adherence with 95% confidence intervals, a dotted black zero line, and a long-dashed blue window-specific site-average line. Five orange diamonds identify site-specific Free-minus-Work differences from zero. Three black asterisks identify departures from the window-specific site-average Free-minus-Work estimate: Daytime in Dortmund, Daytime in Madrid, and Sleep in Kumasi. Other estimates use open circles unless they carry only the orange difference-from-zero marker.",1,"alt_harmonization","Preserve nine sites, five diamonds, three asterisks, localization sites, lines, and intervals."
"BROWN-WINDOW-QMD-013","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_caption","fig-main-coverage-sensitivity","Free-minus-Work differences in the any-valid and at-least-80% samples.","Free-minus-Work differences in the any-valid and at-least-80% samples. Daytime, Pre-sleep, and Sleep identify the Brown et al. recommendation windows.",1,"caption_harmonization","Preserve both samples, the 80% threshold, estimates, intervals, and sensitivity interpretation."
"BROWN-WINDOW-QMD-014","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_alt","fig-main-coverage-sensitivity","Forest plot comparing the any-valid and at-least-80%-coverage estimates. Both samples show lower Wake and Sleep adherence on Free days and higher Pre-sleep adherence. All six 95% confidence intervals exclude zero, and the paired estimates are close.","Forest plot comparing the any-valid and at-least-80%-coverage estimates. Both samples show lower Daytime and Sleep adherence on Free days and higher Pre-sleep adherence. All six 95% confidence intervals exclude zero, and the paired estimates are close.",1,"alt_harmonization","Preserve both samples, all six intervals, directions, and qualification."
"BROWN-WINDOW-QMD-015","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","heading","line 1069","### Participant profiles across states","### Participant profiles across recommendation windows",1,"display_orientation","Preserve the participant-profile analysis and endpoint order."
"BROWN-WINDOW-QMD-016","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","lines 1071-1075","For the descriptive profile display, Wake was first deduplicated so that each<<NL>>participant-cycle contributed only one Wake value. Each plotted value is then<<NL>>that participant's unweighted mean across their observed cycles for the given<<NL>>state. Of 140 participants in the primary frame, 139 had observations in all<<NL>>three states and contribute three points each.","For the descriptive profile display, the source-data Wake state, shown as<<NL>>Daytime, was first deduplicated so that each participant-cycle contributed only<<NL>>one Wake value. Each plotted value is then that participant's unweighted mean<<NL>>across their observed cycles for the given recommendation window. Of 140<<NL>>participants in the primary frame, 139 had observations in all three windows<<NL>>and contribute three points each.",1,"display_translation_with_internal_state_preserved","Preserve Wake as the internal source-data state, 140 participants, 139 complete profiles, three points each, deduplication, and equal-cycle averaging."
"BROWN-WINDOW-QMD-017","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_caption","fig-participant-state-raincloud","Participant-average adherence across Brown states. Each colored point is one anonymous participant's equal-cycle mean in that state. Faint lines connect the same anonymous participant across the three state summaries; they are not time trajectories or ranks. Half-violin shapes show the state distributions, and dark bars with white points show interquartile ranges and medians. Because each state has its own Brown threshold and direction, absolute percentages should be interpreted within state.","Participant-average recommendation adherence across the Brown et al. recommendation windows. Daytime, Pre-sleep, and Sleep are the window labels. Each colored point is one anonymous participant's equal-cycle mean within that window. Faint lines connect the same anonymous participant across the three window summaries; they are not time trajectories or ranks. Half-violin shapes show the window distributions, and dark bars with white points show interquartile ranges and medians. Because each window has its own Brown et al. threshold and direction, absolute percentages should be interpreted within window.",1,"caption_harmonization","Preserve anonymity, equal-cycle means, pairing, distribution summaries, and the warning against trajectories or ranks."
"BROWN-WINDOW-QMD-018","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","figure_alt","fig-participant-state-raincloud","Raincloud plot for 139 participants. Sleep adherence is highest, with median 95.2% and interquartile range 80.7% to 99.6%. Wake is lowest, with median 21.9% and interquartile range 12.2% to 35.5%. Pre-sleep is intermediate and more dispersed, with median 63.8% and interquartile range 43.7% to 84.0%. Each participant has three points connected by a faint gray line. The connections pair the same anonymous participant across states and are not time trajectories or rankings.","Raincloud plot for 139 participants. Sleep adherence is highest, with median 95.2% and interquartile range 80.7% to 99.6%. Daytime is lowest, with median 21.9% and interquartile range 12.2% to 35.5%. Pre-sleep is intermediate and more dispersed, with median 63.8% and interquartile range 43.7% to 84.0%. Each participant has three points connected by a faint gray line. The connections pair the same anonymous participant across recommendation windows and are not time trajectories or rankings.",1,"alt_harmonization","Preserve 139 participants, all medians and interquartile ranges, three points, anonymity, and non-trajectory meaning."
"BROWN-WINDOW-QMD-019","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","qmd_prose","lines 1081-1084","The absolute adherence percentages differ markedly among states because the<<NL>>Brown recommendation, threshold direction, and behavioral context differ by<<NL>>state. The connecting lines therefore show paired participant profiles, not a<<NL>>single scale of overall performance.","The absolute adherence percentages differ markedly among windows because the<<NL>>Brown recommendation, threshold direction, and behavioral context differ by<<NL>>window. The connecting lines therefore show paired participant profiles, not a<<NL>>single scale of overall performance.",1,"display_orientation_with_genuine_context_preserved","Preserve the genuine behavioral-context qualification and the warning against a common performance scale."
"BROWN-WINDOW-BUILD-001","audit/analyses/brown_adherence/stage3/01_build_stage3_displays.R","builder_literal","after state_levels","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")<<NL>>state_display_labels <- c(<<NL>>  ""Wake"" = ""Daytime"",<<NL>>  ""Pre-sleep"" = ""Pre-sleep"",<<NL>>  ""Sleep"" = ""Sleep""<<NL>>)",1,"internal_to_display_mapping","Keep Wake as the internal value and ordering key; add a display-only mapping."
"BROWN-WINDOW-BUILD-002","audit/analyses/brown_adherence/stage3/01_build_stage3_displays.R","builder_literal","adherence plot scales","  ggplot2::scale_shape_manual(values = c(""Work day"" = 16, ""Free day"" = 17)) +","  ggplot2::scale_shape_manual(values = c(""Work day"" = 16, ""Free day"" = 17)) +<<NL>>  ggplot2::scale_x_discrete(labels = state_display_labels) +",1,"axis_mapping","Change only displayed state text; preserve values, order, shapes, and geometry."
"BROWN-WINDOW-BUILD-003","audit/analyses/brown_adherence/stage3/01_build_stage3_displays.R","builder_literal","adherence plot title and note","    title = ""Brown-recommendation adherence differs by state and day type"",<<NL>>    caption = ""Points are equal-site averages; bars are 95% confidence intervals.""","    title = ""Recommendation adherence differs by window and day type"",<<NL>>    caption = ""Points are site-average estimates with equal site weighting; bars are 95% confidence intervals.""",1,"artwork_language","Preserve the site-average estimand, equal weighting, and 95% intervals."
"BROWN-WINDOW-BUILD-004","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/01_build_displays.R","builder_literal","after state_levels","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")<<NL>>state_display_labels <- c(<<NL>>  ""Wake"" = ""Daytime"",<<NL>>  ""Pre-sleep"" = ""Pre-sleep"",<<NL>>  ""Sleep"" = ""Sleep""<<NL>>)",1,"internal_to_display_mapping","Keep Wake as the internal value and ordering key; add a display-only mapping shared by Work-day and coverage displays."
"BROWN-WINDOW-BUILD-005","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/01_build_displays.R","builder_literal","Work-day facet labels","    switch = ""y""<<NL>>  ) +","    switch = ""y"",<<NL>>    labeller = ggplot2::labeller(state = state_display_labels)<<NL>>  ) +",1,"facet_mapping","Change only facet-strip text; preserve rows, panels, order, scales, sites, and geometry."
"BROWN-WINDOW-BUILD-006","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/01_build_displays.R","builder_literal","Work-day subtitle and note","      ""Nine pooled-model site estimates per state; bars are 95% confidence intervals.\n"",<<NL>>      ""Diamond emphasis refers to the stored site-minus-equal-site contrast.""<<NL>>    ),<<NL>>    caption = paste(<<NL>>      ""Long-dashed blue line: state-specific equal-site Work-day mean.\n"",","      ""Nine pooled-model site estimates per window; bars are 95% confidence intervals.\n"",<<NL>>      ""Diamond emphasis refers to the stored site-minus-site-average contrast.""<<NL>>    ),<<NL>>    caption = paste(<<NL>>      ""Long-dashed blue line: window-specific site-average Work-day estimate.\n"",",1,"artwork_language","Preserve nine estimates per panel, 95% intervals, diamond meaning, and long-dashed reference line."
"BROWN-WINDOW-BUILD-007","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/01_build_displays.R","builder_literal","coverage y-axis labels","  ggplot2::scale_shape_manual(values = c(<<NL>>    ""Any-valid"" = 16,<<NL>>    ""At least 80% coverage"" = 17<<NL>>  )) +","  ggplot2::scale_shape_manual(values = c(<<NL>>    ""Any-valid"" = 16,<<NL>>    ""At least 80% coverage"" = 17<<NL>>  )) +<<NL>>  ggplot2::scale_y_discrete(labels = state_display_labels) +",1,"axis_mapping","Change only displayed state text; preserve both samples, shapes, estimates, intervals, and order."
"BROWN-WINDOW-BUILD-008","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R","builder_literal","after state_levels","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")","state_levels <- c(""Wake"", ""Pre-sleep"", ""Sleep"")<<NL>>state_display_labels <- c(<<NL>>  ""Wake"" = ""Daytime"",<<NL>>  ""Pre-sleep"" = ""Pre-sleep"",<<NL>>  ""Sleep"" = ""Sleep""<<NL>>)",1,"internal_to_display_mapping","Keep Wake, BA-M4, and BA-M6 as internal provenance values while retaining the already repaired reader-facing legend."
"BROWN-WINDOW-BUILD-009","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R","builder_literal","Free-minus-Work facet labels","    switch = ""y""<<NL>>  ) +","    switch = ""y"",<<NL>>    labeller = ggplot2::labeller(state = state_display_labels)<<NL>>  ) +",1,"facet_mapping","Change only facet-strip text; preserve 27 rows, five diamonds, three asterisks, panels, order, and geometry."
"BROWN-WINDOW-BUILD-010","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R","builder_literal","Free-minus-Work subtitle and note","      ""Nine site estimates per state; bars are 95% confidence intervals.\n"",<<NL>>      ""Orange diamonds: differences from zero; black asterisks: departures from the site average.""<<NL>>    ),<<NL>>    caption = paste(<<NL>>      ""Dotted black line: no difference. Long-dashed blue line:"",<<NL>>      ""state-specific site-average estimate.\n"",","      ""Nine site estimates per window; bars are 95% confidence intervals.\n"",<<NL>>      ""Orange diamonds: differences from zero; black asterisks: departures from the site average.""<<NL>>    ),<<NL>>    caption = paste(<<NL>>      ""Dotted black line: no difference. Long-dashed blue line:"",<<NL>>      ""window-specific site-average estimate.\n"",",1,"artwork_language","Preserve nine estimates per panel, intervals, marker meanings, both reference lines, and pooled-model note."
"BROWN-WINDOW-BUILD-011","audit/analyses/brown_adherence/stage3_cross_state_association/01_build_stage3_outputs.R","builder_literal","after state_levels","state_levels <- c(""Sleep"", ""Wake"", ""Pre-sleep"")","state_levels <- c(""Sleep"", ""Wake"", ""Pre-sleep"")<<NL>>state_display_labels <- c(<<NL>>  ""Sleep"" = ""Sleep"",<<NL>>  ""Wake"" = ""Daytime"",<<NL>>  ""Pre-sleep"" = ""Pre-sleep""<<NL>>)",1,"internal_to_display_mapping","Keep Wake as the internal state, profile key, color key, and deduplication identity."
"BROWN-WINDOW-BUILD-012","audit/analyses/brown_adherence/stage3_cross_state_association/01_build_stage3_outputs.R","builder_literal","raincloud x-axis labels","    labels = state_levels,","    labels = unname(state_display_labels[state_levels]),",1,"axis_mapping","Change only displayed labels; preserve source order Sleep, Wake, Pre-sleep and all geometry."
"BROWN-WINDOW-BUILD-013","audit/analyses/brown_adherence/stage3_cross_state_association/01_build_stage3_outputs.R","builder_literal","raincloud x-axis title","    x = ""Brown state"",","    x = ""Brown et al. recommendation window"",",1,"axis_title","Preserve participant-average adherence as the y-axis estimand."
"BROWN-WINDOW-ASSET-001","audit/analyses/brown_adherence/stage3/figures/adherence_levels.png","png_endpoint","fig-main-adherence-levels","94e1de12e9dfc9d8c696ebf49b4fb3c0d59b4ca89af323f9c30670d7ed099d1f","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve 1680 by 1000 pixels, 200 dpi, points, intervals, colors, shapes, order, and all scientific values; only approved text bands may change."
"BROWN-WINDOW-ASSET-002","audit/analyses/brown_adherence/stage3/figures/adherence_levels.svg","svg_endpoint","fig-main-adherence-levels","6dbcb16c7969386b76dd6093105a2a919a210290610a7c7872527dcc635ae2c5","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve SVG geometry and non-text structure; change only the approved display text and directly dependent text-length metadata."
"BROWN-WINDOW-ASSET-003","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/figures/main_site_workday_adherence_forest.png","png_endpoint","fig-main-site-workday-adherence","c0b68cfefb7e5b4686ed1849c0ed9a11c950abfcd677321d8037958aeab718a5","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve 2640 by 3360 pixels, 300 dpi, 27 site rows, seven diamonds, 20 open circles, intervals, line, and geometry; only approved text bands may change."
"BROWN-WINDOW-ASSET-004","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/figures/main_site_workday_adherence_forest.svg","svg_endpoint","fig-main-site-workday-adherence","23d2953af30adf6321af56da031a4a158e4f700a9d3de0167bfa03d3eeba7c92","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve SVG geometry and non-text structure; change only approved display text and text-length metadata."
"BROWN-WINDOW-ASSET-005","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.png","png_endpoint","fig-main-site-free-work-contrasts","2467061413fc1da4834eb92072598f5af46526631e573401bbe3fa874eb4695a","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve 2640 by 3360 pixels, 300 dpi, 27 rows, five diamonds, three asterisks, both reference lines, intervals, and data panel; only approved text bands may change."
"BROWN-WINDOW-ASSET-006","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.svg","svg_endpoint","fig-main-site-free-work-contrasts","8e5eee7e55b3e99953de87f6f00698c28903f5445db1bf01e15c662851123e8d","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve the accepted BA-M reader-label repair, SVG geometry, and non-text structure; change only approved window text and text-length metadata."
"BROWN-WINDOW-ASSET-007","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/figures/main_coverage_sensitivity_guides.png","png_endpoint","fig-main-coverage-sensitivity","64e81f96b1ec04d54dfdaf59b819a110dfd0ccf08c4538dcd54daf6334700643","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve 1680 by 919 pixels, 200 dpi, six rows, both samples, all intervals, shapes, and geometry; only approved axis text may change."
"BROWN-WINDOW-ASSET-008","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/workday_site_and_coverage_guides_amendment/figures/main_coverage_sensitivity_guides.svg","svg_endpoint","fig-main-coverage-sensitivity","ad18eca0aa3d1bd05b845ae4b1cfd4d2756a17aa205fb8de4c6a11a3de7ced67","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve SVG geometry and non-text structure; change only approved axis text and text-length metadata."
"BROWN-WINDOW-ASSET-009","audit/analyses/brown_adherence/stage3_cross_state_association/figures/participant_state_raincloud.png","png_endpoint","fig-participant-state-raincloud","f3a61b69e89b0933302694ccca4ea5ed5c4d1bb2e67d169f3e1542a644843228","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve 2944 by 1888 pixels, 320 dpi, 417 points, 139 three-window profiles, densities, pair lines, summaries, colors, seeds, and geometry; only approved axis text may change."
"BROWN-WINDOW-ASSET-010","audit/analyses/brown_adherence/stage3_cross_state_association/figures/participant_state_raincloud.svg","svg_endpoint","fig-participant-state-raincloud","48bf8f999bd3422ed1c6aef9209259cc4a4e96d1999d0a9563800f89682766fc","candidate_sha256_sealed_before_promotion",1,"candidate_first_display_refresh","Preserve SVG geometry, anonymity, and non-text structure; change only approved axis text and text-length metadata."
