document,locus,classification,current_issue,consolidated_action,scientific_preservation,verification
H05 result,Source data and provenance,optional hierarchy repair,Technical paths compete with interpretation,Keep concise source links and place subordinate implementation history in disclosure,All source targets and history retained,Target existence and endpoint checks
H05 result,Country-coded sites,mandatory consistency repair,All literal site names must remain country-coded,Retain country codes in prose captions alt text and tables,Site identities and order unchanged,Registry-backed site scan
H05 companion,HTML format,mandatory accessibility repair,Figures have no zoom affordance,Add lightbox true,No figure regeneration,YAML parse and later visual check
H05 companion,Opening purpose,mandatory hierarchy repair,About-this-record guidance appears only in Technical provenance,Move the existing callout to the opening and rename Purpose to About this analysis record,Computation boundary unchanged,Section-order and phrase checks
H05 companion,Reciprocal links,mandatory grammar repair,The registration-summary sentence uses plural agreement,Change are mapped to is mapped,Links and anchors unchanged,Exact link and grammar check
H05 companion,Input identity table,mandatory reader repair,PASS and FAIL are exposed as production states,Display Verified and Review needed while preserving stored checks,All 17 identities and fail-closed logic unchanged,Display mapping and identity checks
H05 companion,Integrity table,mandatory provenance repair,Expected input count says 12 while code requires and observes 17,Change only the visible expected label to 17 matches,No input identity or scientific result change,Exact 17-role and displayed-label check
H05 companion,Site wording,mandatory vocabulary repair,Submitted-manuscript site/order/registry wording remains visible,Use study sites country-coded study-site order and shared display registry,Site set order colours and values unchanged,Visible-prose and registry checks
H05 companion,Multiplicity table,mandatory vocabulary repair,Internal family IDs and PASS labels are reader-facing,Map to plain family descriptions FDR and sentence-case verification,All family members sizes alpha values and decisions unchanged,Exact family and vocabulary checks
H05 companion,Reader labels,mandatory table-readability repair,Several columns use underscore-delimited production labels,Display spaced plain labels including Calculated when rendered Reads or defines Why separate Entry point and Runs when page renders,Stored object names and values unchanged,Source mapping and endpoint checks
H05 companion,Model and estimand terms,mandatory clarity repair,Specialist terms are not always explained at first use,Explain random effect fixed site Tweedie back-transformation likelihood-ratio comparison and sensitivity analysis,No formula estimand or inference change,Approved-vocabulary scan
H05 companion,Output identity table,mandatory reader repair,A reader-facing row exposes an internal build-directory HTML path,Use notebooks/hypotheses/H05.qmd as Reader report source instead,No build output or scientific artifact change,No reader build-path scan and source target existence
H05 companion,Technical provenance,mandatory hierarchy repair,Implementation history and command detail are prominent,Keep technical filenames commands checksums and full method names in subordinate provenance,Reproducibility content retained,Technical-token preservation
H05 companion,Computation boundary,mandatory scientific protection,The page must remain display-only,Retain the explicit no-fit no-predict no-bootstrap no-simulation boundary,No scientific call or project write added,Parsed-call and write audit
H05 companion,Endpoint preservation,mandatory structural protection,Restructuring risks losing cross-reference targets,Retain exactly 22 tables and three figures each once,All content retained,Exact endpoint set and uniqueness
H05 tests,Existing Stage 2 test,mandatory provenance preservation,The scientific test is outside the editorial source pass,Preserve byte-for-byte and do not run in this order,Scientific verification unchanged,Exact hash and byte check
H05 tests,Existing Stage 3 reader test,mandatory historical preservation,The test is coupled to stale HTML,Preserve byte-for-byte for the later render gate,Historical HTML contract unchanged,Exact hash and byte check
H05 tests,Existing preparation test,mandatory historical preservation,The test is coupled to stale HTML and old source strings,Preserve byte-for-byte for the later render gate,Historical render contract unchanged,Exact hash and byte check
H05 tests,New source-only test,mandatory transition seal,No current test can validate revised sources without stale HTML,Add one source-only test covering both QMDs and all scientific protections,No QMD execution or scientific recomputation,R 4.6.1 single-suite pass
H05 manifests,Historical manifests,mandatory provenance preservation,Broad rebuilding would mix current source with stale HTML,Preserve all three current manifests byte-for-byte,Historical evidence retained,Exact identities and mismatch sets
H05 manifests,New source manifest,mandatory transition seal,A current non-circular source seal is needed,Create one H05-scoped source-only manifest excluding itself and circular dependencies,No claim of HTML acceptance,All-row hash and byte audit
H05 handoff,Owner closeout,mandatory coordination repair,Current handoff predates the consolidated pass,Record final source identities test result historical manifests output roles and render hold,Scientific closure unchanged,Handoff identity and content checks
H05 stored figures,Asset disposition,mandatory preservation,Polished figures need no baked-label repair,Pin all reader figures and builder without regenerating them,Every plotted value label colour and dimension unchanged,Hash and static image checks
H05 output roles,Main and supplemental catalog,mandatory role preservation,Roles remain provisional,Keep fig-h05-near-effects and the continued near-eye table as provisional main outputs,No output redesign,Catalog unchanged during owner order
