"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H03 companion","HTML format","mandatory accessibility repair","Dense descriptive figures lack a zoom affordance","Add lightbox: true","No asset regeneration or figure-content change","YAML parse and later desktop/narrow lightbox check"
"H03 companion","Opening heading","optional harmonization","Purpose is less reader-oriented than the shared template","Rename Purpose to About this analysis record","No content change","Exact heading check"
"H03 companion","Analysis map","mandatory vocabulary repair","The Mermaid map says Submitted site registry","Use Shared country-coded site registry, order, and colours","Every node, edge, and analytical dependency unchanged","Mermaid structure equality except approved label"
"H03 companion","Input description","mandatory vocabulary repair","Reader prose and table labels use submitted-manuscript site wording","Use shared country-coded site registry and country-coded study sites","All file identities, site names, order, and colours unchanged","Display-string and site-code checks"
"H03 companion","Input verification states","mandatory reader-language repair","PASS and FAIL are exposed as reader labels","Display Verified and Review needed","Stored values and verification logic unchanged","Source recode and stored-value preservation"
"H03 companion","Auxiliary input reads","mandatory synchronization","The companion does not load the six sealed auxiliary outputs","Read the accepted model, summary, Shapley, nested-model check, diagnostic, environment, and manifest outputs by exact path and identity","No model fitting, refitting, prediction, simulation, bootstrap, or Shapley recomputation","Static forbidden-call check and six-file manifest verification"
"H03 companion","Auxiliary subsection","mandatory synchronization","The accepted result has no companion provenance section","Add one subsection after fixed-effect R-squared with anchor sec-h03-prep-participant-random-intercept and one native gt table","All stored values and scientific qualifications preserved","Anchor, endpoint, formula, value, and source-path checks"
"H03 companion","Auxiliary model distinction","mandatory scientific-boundary wording","The companion does not distinguish the two participant analyses","State that the random-intercept model is descriptive and distinct from the population-mean within/between sensitivity, which is not mixed, random-slope, or variance-component analysis","Both accepted analyses and roles unchanged","Required phrase and forbidden-conflation checks"
"H03 companion","Auxiliary limitations","mandatory scientific qualification","Lag-one residual correlation, zero-mass mismatch, and absent random slopes/day/AR1 are not yet in the companion","Report the stored checks and the descriptive, model-dependent, non-causal, non-unique boundary","All stored values unchanged","Exact stored-output and required-qualification checks"
"H03 companion","Multiplicity table","mandatory reader-language repair","Internal family IDs are displayed","Display plain family descriptions and FDR labels; keep IDs only in code or technical provenance","Family membership, alpha, and adjustment unchanged","Row/value equality and no visible internal-ID check"
"H03 companion","Estimand table labels","mandatory table repair","Source_model, Reference_distribution, and Inferential_role display underscores","Label them Source model, Reference or comparison, and Inferential role","Rows and cell values unchanged","Native-gt data equality plus label assertions"
"H03 companion","Script map labels and rows","mandatory synchronization","Principal_outputs and Run_on_this_page display underscores and the auxiliary script is absent","Use reader labels and add the accepted auxiliary run script in analytical order","Existing rows unchanged; new row points only to accepted script/outputs","Old-row equality, one new row, no-run-on-page assertion"
"H03 companion","Output map labels and rows","mandatory synchronization","Output_group and Reader_use display underscores and auxiliary outputs are not mapped","Use reader labels and add the accepted auxiliary model, table, check, environment, and manifest locations","Existing rows unchanged; no new computation","Old-row equality, new paths resolve, exact manifest identity"
"H03 companion","Render-boundary labels","mandatory table repair","Calculated_on_render displays underscores","Display Calculated on render","All render-boundary classifications unchanged","Native-gt data equality plus label assertion"
"H03 companion","Reciprocal links","mandatory cross-link preservation","The dynamic result link is correct but an old test expects .html","Preserve dynamic .qmd source links and add the anchored result-to-companion link","No navigation or scientific change","Source target resolution and no internal .html scan"
"H03 companion","Endpoint preservation","mandatory structural gate","Adding the auxiliary table could duplicate or drop existing endpoints","Preserve all 26 current tables and four figures exactly once and add only one auxiliary table, for 27 tables and four figures","Every existing table and figure remains scientifically identical","Label set equality plus exact one-label addition"
"H03 handoff","Current closure and synchronization","mandatory provenance repair","The handoff predates H03-AUX-001 and the synchronized pair","Record final source identities, the two distinct participant analyses, dynamic link, auxiliary artifact map, and source-only evidence","No new ledger or scientific claim","Handoff phrase and identity checks"
"H03 tests","Source-only harmonization test","mandatory loop-prevention repair","Existing tests are coupled to stale HTML and historical manifests","Add one new H03_REPORT017 source-only test; preserve existing tests byte-for-byte","All existing scientific gates remain available","R 4.6.1 source test, R-chunk parse, protected identities"
"H03 manifests","Historical manifest preservation","mandatory provenance gate","Stage 3 and preparation manifests represent accepted earlier states","Preserve both existing manifests byte-for-byte and classify them as historical context","Every historical row and identity retained","Exact manifest hashes and known mismatch-set checks"
"H03 manifests","Current source seal","mandatory provenance repair","No current non-circular seal can represent revised source without stale HTML","Create a new non-circular order-34 source manifest under audit/hypotheses/H03","No build acceptance claimed","All-row hash/byte audit and self-exclusion"
"H03 stored figures","Site-context baked labels","deferred display-artifact repair","The site-context SVG contains BH-adjusted and internal family wording","Return exact PNG/PDF/SVG pins and minimal frozen-data display builder for a later bounded FDR-only refresh","Every plotted value and graphical element preserved","Static label inventory now; later pixel/SVG equivalence"
"H03 stored figures","Latitude baked label","deferred display-artifact repair","The latitude SVG contains BH adjustment wording","Return exact PNG/PDF/SVG pins and minimal frozen-data display builder for a later bounded FDR-only refresh","Every plotted value and graphical element preserved","Static label inventory now; later pixel/SVG equivalence"
