"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H04 result","Dynamic links","mandatory cross-link preservation","Existing links are correct but must survive reordering","Retain the companion links, five exact deviation links, preparation links, and all source-data links as relative .qmd or data paths","No target or anchor change","Target-existence and anchor checks"
"H04 result","Country-coded sites","mandatory vocabulary preservation","Country codes are scientifically required everywhere reader-facing","Retain all nine country-coded study-site labels in prose, tables, captions, alt text, and figures","Site identity and order unchanged","Literal and registry-driven site scan"
"H04 result","Prose punctuation","mandatory style repair","Some prose uses em dashes","Use punctuation or separate sentences; retain mathematical and missing-value dash symbols","Meaning and protected tokens unchanged","Reader-prose scan"
"H04 stored figure","H04_reader_heterogeneity_category_estimates","deferred mandatory display-artifact repair","Baked panel titles and footer use heterogeneity-model wording","Inventory exact PNG/PDF/SVG and frozen source; later rebuild labels only with activity-by-site interaction model","All plotted data and geometry preserved","Later pixel and normalized-SVG comparison"
"H04 stored figure","H04_site_activity_estimates","deferred mandatory display-artifact repair","Baked text uses equal-site, BH-adjusted, support-gated, and site-heterogeneity","Inventory exact PNG/PDF/SVG and frozen source; later rebuild labels only with site-average, FDR-adjusted, support-qualified, and activity-by-site interaction","All plotted data and geometry preserved","Later pixel and normalized-SVG comparison"
"H04 companion","HTML format","mandatory accessibility repair","Preparation figures have no zoom affordance","Add lightbox: true","No figure regeneration or scientific change","YAML parse and later lightbox check"
"H04 companion","Opening heading","mandatory structure repair","The top-level heading is Purpose","Rename it About this analysis record","Opening content unchanged","Heading-order check"
"H04 companion","Submitted wording","mandatory vocabulary repair","Visible prose and table strings call sites and categories submitted","Use shared country-coded site registry, country-coded study-site names, and reader-facing category","Inputs, categories, sites, and values unchanged","Visible-text and table-string scan"
"H04 companion","Other/unspecified wording","mandatory vocabulary repair","Other is called heterogeneous in prose and the transformation table","Use varied display-only category or not a coherent scientific category","Selection rule and no-claim boundary unchanged","Visible-text scan"
"H04 companion","Verification states","mandatory reader repair","Input table exposes all-capital PASS and VERIFIED CURRENT IDENTITY","Display Verified and Verified current identity while preserving stored checks","Hash and frame-invariance checks unchanged","Display mapping and fail-closed code check"
"H04 companion","Multiplicity table","mandatory reader repair","Stored scopes include site-heterogeneity and production-style decision roles","Map visible scopes and roles to plain reader descriptions and display FDR instead of BH","Family membership, methods, alpha, and decisions unchanged","Registry equality plus display mapping"
"H04 companion","Spaced labels","mandatory readability repair","Several native tables expose underscore-derived column names","Use reader labels with spaces for transformation, specification, estimand, script, output, and render-boundary tables","Rows, values, and native gt construction unchanged","Column-label and table-shape checks"
"H04 companion","Threshold wording","mandatory reader repair","Prose calls the covariance condition-number threshold a registered gate","Use predefined threshold","Threshold value and decision unchanged","Exact numeric-token and visible-text checks"
"H04 companion","Technical provenance language","optional harmonization","Reader prose repeatedly foregrounds artifacts, manifests, and execution mechanics","Use stored outputs and analysis record in narrative; retain exact technical paths and commands in subordinate provenance","Reproducibility content unchanged","Visible prose and path preservation"
"H04 companion","Endpoint preservation","mandatory structural contract","Large reorganization could lose table or figure labels","Retain exactly 37 table and four figure endpoints, each once","All endpoint content preserved","Exact endpoint-set equality"
"H04 tests","Source-only contract","mandatory verification repair","Current tests are render-coupled and would compare revised source with stale HTML","Preserve current tests; add one H04 source-only harmonization test","Existing scientific and rendered contracts unchanged","R 4.6.1 source-only test plus parse checks"
"H04 manifests","Source-only provenance","mandatory provenance repair","Broadly rebuilding current manifests would mix revised sources and stale build outputs","Preserve existing manifests; create one non-circular order-35 source manifest","Historical closure and render identities retained","Manifest audit and explicit stale-HTML classification"
"H04 handoff","Owner return","mandatory coordination repair","Current handoff predates the consolidated pass","Append final source identities, verification, deferred figure refresh, and render hold","Scientific closure unchanged","Handoff identity and content checks"
"H04 output roles","Main and supplemental catalog","mandatory role preservation","Principal and supplemental roles remain provisional","Keep fig-h04-primary-estimates and tbl-h04-primary-results as provisional main outputs; retain random-intercept and Mundlak tables as supplemental","No role or artifact redesign","Catalog unchanged during owner order"
