"document","hypothesis","type","label","source_line","caption","alt_text","source_qmd","render_path","artifact_path","source_data_hint","current_dimensions","current_style","proposed_role","polish_status","identifier_conforms"
"Descriptives","Descriptives","table","tbl-recommendation-context",382,"Fractions of primary near eye minutes in the Brown et al. light-context ranges, with explicit denominators.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-recommendation-context",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","table","tbl-descriptive-comparison-summary",437,"Complete cell-level comparison with the earlier manuscript-generating tables.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-descriptive-comparison-summary",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","table","tbl-descriptive-visual-export-comparison",502,"Original and rebuilt visual exports available for side-by-side comparison.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-descriptive-visual-export-comparison",,"artifacts/08_diagnostics/descriptives/superseded_report011_font_mark_pilot/visual_export_comparison.csv","semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"Descriptives","Descriptives","table","tbl-descriptive-figure-contract",558,"Deterministic dimensions and formats for the replicated descriptive figures.",,"notebooks/descriptives.qmd","_build/nathealth/notebooks/descriptives.html#tbl-descriptive-figure-contract",,"artifacts/08_diagnostics/descriptives/superseded_report011_font_mark_pilot/figure_specifications.csv | artifacts/12_manifests/descriptives/figure_specifications.csv","semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-deviations",1121,"H01 deviations from the preregistered or otherwise expected specification.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-deviations",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-metric-registry",1237,"H01 response package and fitted response families.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-metric-registry",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","figure","fig-h01-model-support",1292,"Support after FDR adjustment across four separate complete 17-test families for the primary near-eye and complementary chest analyses: overall site, photoperiod, latitude, and site-versus-linear-latitude adequacy. A check mark denotes FDR-adjusted p below 0.050 and a dash denotes FDR-adjusted p at least 0.050; symbols accompany colour throughout.","Two-panel matrix for near-eye and chest results. Rows are the 17 personal-light-exposure metrics and columns are overall site, photoperiod, latitude, and site-versus-linear-latitude adequacy. FDR adjustment was applied separately across each complete 17-test family. Blue cells with check marks indicate FDR-adjusted p below 0.050; grey cells with dashes indicate FDR-adjusted p at least 0.050, so colour is not the only cue.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-model-support","artifacts/10_figures/H01/stage3/H01_stage3_model_support.png",,"H01_stage3_model_support.png: 3360 x 2368 px; 320.000 dpi","inline Markdown external raster/vector figure","proposed main H01 figure","highly polished; visually reviewed; small harmonization only",TRUE
"H01","H01","table","tbl-h01-primary-publication-summary",1299,"Primary near-eye site, photoperiod, latitude, and site-versus-latitude results.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-publication-summary",,,"semantic HTML table; responsive width","semantic gt HTML table","proposed main H01 table","publication-formatted; retain semantic table styling",TRUE
"H01","H01","table","tbl-h01-primary-tests",1310,"Primary near-eye model-level tests with raw and FDR-adjusted p-values.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-tests",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-primary-effects",1319,"Primary near-eye photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-effects",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","figure","fig-h01-site-contrasts-near-eye",1327,"Primary near-eye site differences or ratios relative to the site-average estimate, which gives each site equal weight. Only metrics with a supported overall site test are shown. Panel A contains ratios and panel B contains differences. Every metric facet uses a symmetric scale around its null, placing 1 for ratios and 0 for differences at the same horizontal position. Filled circles with thicker 95% CIs denote within-metric adjusted p below 0.050; open circles with thinner intervals denote adjusted p at least 0.050. Site labels give exact fitted observations as n.","Two-panel near-eye forest plot. Panel A groups four ratio metrics and panel B groups four difference metrics. Within every metric facet, the dashed null line is horizontally centred: one for ratios and zero for differences. Each facet displays the nine study sites in registered north-to-south order, with the exact metric-and-site fitted observation count appended to each site label as n. Coloured filled circles with thicker horizontal 95% CIs indicate within-metric adjusted p below 0.050; coloured open circles with thinner intervals indicate adjusted p at least 0.050.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-site-contrasts-near-eye","artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_near_eye.png",,"H01_stage3_site_contrasts_near_eye.png: 3680 x 4640 px; 320.000 dpi","inline Markdown external raster/vector figure","supplement: methods or sample context","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H01","H01","table","tbl-h01-primary-site-deviation-matrix",1332,"Primary near-eye site-specific deviations for metrics with a supported overall site test.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-site-deviation-matrix",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-primary-site-contrasts",1339,"Primary near-eye site contrasts after a supported overall site test.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-site-contrasts",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-primary-r2",1356,"Primary near-eye R² and part-R² summaries with 95% joint-bootstrap intervals.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-primary-r2",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: detailed result or context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-chest-tests",1371,"Complementary chest model-level tests with raw and FDR-adjusted p-values.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-chest-tests",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-chest-effects",1380,"Complementary chest photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-chest-effects",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","figure","fig-h01-site-contrasts-chest",1388,"Complementary chest site differences or ratios relative to the site-average estimate, which gives each site equal weight. Only metrics with a supported overall site test are shown. Panel A contains ratios and panel B contains differences. Every metric facet uses a symmetric scale around its null, placing 1 for ratios and 0 for differences at the same horizontal position. Filled circles with thicker 95% CIs denote within-metric adjusted p below 0.050; open circles with thinner intervals denote adjusted p at least 0.050. Site labels give exact fitted observations as n.","Two-panel complementary chest forest plot. Panel A groups seven ratio metrics and panel B groups six difference metrics. Within every metric facet, the dashed null line is horizontally centred: one for ratios and zero for differences. Each facet displays the available study sites in registered north-to-south order, with the exact metric-and-site fitted observation count appended to each site label as n. Coloured filled circles with thicker horizontal 95% CIs indicate within-metric adjusted p below 0.050; coloured open circles with thinner intervals indicate adjusted p at least 0.050.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-site-contrasts-chest","artifacts/10_figures/H01/stage3/H01_stage3_site_contrasts_chest.png",,"H01_stage3_site_contrasts_chest.png: 3680 x 6720 px; 320.000 dpi","inline Markdown external raster/vector figure","supplement: complementary chest result","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H01","H01","table","tbl-h01-chest-site-contrasts",1393,"Complementary chest site contrasts after a supported overall site test.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-chest-site-contrasts",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-chest-r2",1402,"Complementary chest R² and part-R² summaries with 95% joint-bootstrap intervals.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-chest-r2",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","figure","fig-h01-r2-intervals",1408,"Marginal R², conditional R², participant-associated share, and unrepresented share for near-eye and chest models. Points are estimates and horizontal lines are 95% intervals from 1,000 successful joint bootstrap refits.","Two-panel forest plot for near-eye and chest models. Rows are the 17 metrics; coloured symbols and horizontal intervals show marginal R squared, conditional R squared, participant-associated share, and unrepresented share. Intervals are based on 1,000 successful joint bootstrap refits per target.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-r2-intervals","artifacts/10_figures/H01/stage3/H01_stage3_r2_intervals.png",,"H01_stage3_r2_intervals.png: 3360 x 2560 px; 320.000 dpi","inline Markdown external raster/vector figure","supplement: complementary chest result","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H01","H01","figure","fig-h01-paired-placement",1426,"Matched-sample near-eye and chest photoperiod and latitude estimands. Near-eye estimates are on the horizontal axis and chest estimates are on the vertical axis. Dashed diagonal lines show identity; dotted horizontal and vertical lines show the null.","Two-panel matched-sample sensor-position scatterplot. The same participants and participant-days contribute at near-eye and chest positions for each metric. The difference panel has null lines at zero and the ratio panel has null lines at one. Near-eye estimates are on the horizontal axes and chest estimates on the vertical axes, with equal axis geometry within each panel. A grey dashed 45-degree line shows identity. Green circles mark photoperiod estimands and purple triangles mark latitude-per-10-degree estimands. Each point is labelled by metric abbreviation and predictor. Component 95% CIs and exact matched samples are reported in the adjacent table.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-paired-placement","artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png",,"H01_stage3_paired_placement.png: 3840 x 2176 px; 320.000 dpi","inline Markdown external raster/vector figure","supplement: sensitivity or comparison","accepted current display; retain unless focused supplemental QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-primary-near-eye",1449,"Exact fitted samples: primary dataset, near eye, all available.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-primary-near-eye",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-primary-chest",1458,"Exact fitted samples: primary dataset, chest, all available.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-primary-chest",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-primary-near-eye-matched",1467,"Exact fitted samples: primary dataset, near eye, matched sample.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-primary-near-eye-matched",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-primary-chest-matched",1476,"Exact fitted samples: primary dataset, chest, matched sample.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-primary-chest-matched",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: complementary chest result","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-gap-near-eye",1485,"Exact fitted samples: gap-timing-unaware dataset, near eye, all available.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-gap-near-eye",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-gap-chest",1496,"Exact fitted samples: gap-timing-unaware dataset, chest, all available.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-gap-chest",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-gap-near-eye-matched",1507,"Exact fitted samples: gap-timing-unaware dataset, near eye, matched sample.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-gap-near-eye-matched",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-samples-gap-chest-matched",1518,"Exact fitted samples: gap-timing-unaware dataset, chest, matched sample.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-samples-gap-chest-matched",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","figure","fig-h01-diagnostic-assessment",1550,"Model-check assessment for each primary near-eye and complementary chest metric. P denotes pass, R denotes review, and a dash denotes a non-applicable check.","Two-panel model-check matrix for near-eye and chest models. Rows are the 17 metrics and columns are convergence and Hessian, random-effect singularity, residual distribution, prediction bounds, construct audit, and clock-time cut. Blue P cells pass, yellow R cells require review, and grey dashes mark non-applicable checks. Convergence and Hessian checks pass throughout; review signals are concentrated in residual distribution and a small number of prediction-bound checks.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-diagnostic-assessment","artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png",,"H01_stage3_diagnostic_assessment.png: 3680 x 2432 px; 320.000 dpi","inline Markdown external raster/vector figure","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","table","tbl-h01-diagnostic-assessment",1555,"Overall model-check assessment for each primary near-eye and complementary chest model.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-diagnostic-assessment",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","table","tbl-h01-representative-diagnostics",1598,"Stored model-check values for four representative primary near-eye review signals.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-representative-diagnostics",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","figure","fig-h01-diagnostic-mean-mel-edi",1608,"Residual-versus-fitted and normal Q–Q diagnostics for the primary near-eye mean melEDI Gaussian model.","Two diagnostic panels for the primary near-eye mean melEDI Gaussian model. The residual-versus-fitted panel shows a curved smooth and increasing residual spread at higher fitted values. The normal Q–Q panel shows departures in both tails, especially the upper tail.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-diagnostic-mean-mel-edi","artifacts/08_diagnostics/H01/main/glasses/all_available/daily_geometric_mean_medi_diagnostics.png",,"daily_geometric_mean_medi_diagnostics.png: 1800 x 810 px; 180.000 dpi","inline Markdown external raster/vector figure","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","figure","fig-h01-diagnostic-pre-sleep",1614,"Residual-versus-fitted and normal Q–Q diagnostics for the primary near-eye calendar-day cumulative time below 10 lx melEDI before sleep Gaussian model.","Two diagnostic panels for the primary near-eye Gaussian model of calendar-day cumulative time below 10 lx melEDI before sleep. The residual-versus-fitted panel shows mild curvature and changing spread. The normal Q–Q panel shows modest departures in the tails.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-diagnostic-pre-sleep","artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_10_pre_sleep_diagnostics.png",,"duration_below_10_pre_sleep_diagnostics.png: 1800 x 810 px; 180.000 dpi","inline Markdown external raster/vector figure","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","figure","fig-h01-diagnostic-wake-250",1620,"Residual-versus-fitted and Q–Q diagnostics for the primary near-eye time above 250 lx melEDI during wake Tweedie model.","Two descriptive Pearson-residual panels for the primary near-eye Tweedie model of time above 250 lx melEDI during wake. The residual-versus-fitted panel shows residual structure across the fitted range. The Q–Q panel shows tail departures; the formal review decision uses the stored simulation diagnostics in the adjacent table.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-diagnostic-wake-250","artifacts/08_diagnostics/H01/main/glasses/all_available/duration_above_250_wake_diagnostics.png",,"duration_above_250_wake_diagnostics.png: 1800 x 810 px; 180.000 dpi","inline Markdown external raster/vector figure","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","figure","fig-h01-diagnostic-sleep-below-1",1626,"Residual-versus-fitted and Q–Q diagnostics for the primary near-eye time below 1 lx melEDI during sleep Tweedie model.","Two descriptive Pearson-residual panels for the primary near-eye Tweedie model of time below 1 lx melEDI during sleep. Residual structure and upper-tail departures are visible. The stored simulation diagnostics show the strong review signal, and some fitted predictions crossed the verified physical upper bound.","notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#fig-h01-diagnostic-sleep-below-1","artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_1_sleep_environment_diagnostics.png",,"duration_below_1_sleep_environment_diagnostics.png: 1800 x 810 px; 180.000 dpi","inline Markdown external raster/vector figure","supplement: model checks","fit for a technical supplemental role; no redesign proposed",TRUE
"H01","H01","table","tbl-h01-sensitivity-classification",1643,"Support-level sensitivity classification relative to the primary near-eye analysis.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-sensitivity-classification",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-sensitivity-support",1666,"Supported metrics in each complete 17-test family across sensor position, dataset, and matched-sample analyses.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-sensitivity-support",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-paired-placement",1693,"Matched-sample near-eye and chest estimands with component 95% CIs and exact samples.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-paired-placement",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-l10-noon-support",1744,"Primary strict-after-16:00 and noon-cut sensitivity for the darkest-10-hour midpoint.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-l10-noon-support",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-l10-noon-effects",1784,"Photoperiod and latitude effects under the darkest-10-hour midpoint clock-cut sensitivity.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-l10-noon-effects",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-period-sensitivity",1826,"Exactly identified continuous-period sensitivity for the longest period above 250 lx melEDI.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-period-sensitivity",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-scope-sensitivity",1862,"Preregistered-scope sensitivity with raw and FDR-adjusted p-values.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-scope-sensitivity",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-marginalization",1903,"Site-average and observed-sample marginalization for primary and complementary models.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-marginalization",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: methods or sample context","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-influence",1923,"Participant-deletion influence summary for primary and complementary models.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-influence",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
"H01","H01","table","tbl-h01-latitude-loo",1943,"Leave-one-site-out latitude sensitivity for primary and complementary models.",,"notebooks/hypotheses/H01.qmd","_build/nathealth/notebooks/hypotheses/H01.html#tbl-h01-latitude-loo",,,"semantic HTML table; responsive width","semantic gt HTML table","supplement: sensitivity or comparison","reader-formatted; retain semantic styling unless focused QA finds a defect",TRUE
