"document","manuscript_role","label","caption","source_qmd","source_line","render_html","render_anchor","html_exists","anchor_count","rendered_table_count","rendered_gt_table_count","rendered_non_gt_table_count","caption_count","figcaption_count","table_caption_count","rendered_caption","caption_matches_source","reference_resolved","aria_describedby_count","caption_relation_valid","render_locator","identifier_conforms","thead_count","tbody_count","column_header_count","body_row_count","body_cell_count","stub_cell_count","row_group_count","spanner_count","footnote_block_count","source_note_block_count","semantic_core_present","quarto_caption_owned","current_implementation","native_gt_current","publication_structure_current","manual_visual_accessibility_review_required","manual_review_scope","target_implementation","conversion_required","required_action","evidence"
"H01","supplemental-table candidate","tbl-h01-participant-formulas","Exact participant-level Wilkinson formulas used by the H01 implementation.","notebooks/hypotheses/H01.qmd",1195,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-participant-formulas",TRUE,1,1,1,0,1,1,0,"Table 3: Exact participant-level Wilkinson formulas used by the H01 implementation.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,2,5,10,0,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-participant-day-formulas","Exact participant-day Wilkinson formulas used by the H01 implementation.","notebooks/hypotheses/H01.qmd",1214,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-participant-day-formulas",TRUE,1,1,1,0,1,1,0,"Table 4: Exact participant-day Wilkinson formulas used by the H01 implementation.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,2,5,10,0,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-preregistered-scope-formulas","Exact Wilkinson formulas used in the preregistered-scope sensitivity.","notebooks/hypotheses/H01.qmd",1233,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-preregistered-scope-formulas",TRUE,1,1,1,0,1,1,0,"Table 5: Exact Wilkinson formulas used in the preregistered-scope sensitivity.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,3,10,30,0,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-formula-manifest","Formula, engine, and estimation method recorded for every fitted and comparison model.","notebooks/hypotheses/H01.qmd",1260,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-formula-manifest",TRUE,1,1,1,0,1,1,0,"Table 6: Formula, engine, and estimation method recorded for every fitted and comparison model.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,6,29,164,0,2,0,0,0,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","main-table component","tbl-h01-primary-publication-summary","Publication summary of the primary near-eye H01 results. Exact fitted samples report italic n with participant and participant-day subscripts. For participant-day models, participant-days equal observations; the two participant-level dynamics models use one observation per participant and report participant-days as contributing-day support. All models include nine sites.","notebooks/hypotheses/H01.qmd",1336,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-publication-summary",TRUE,1,1,1,0,1,1,0,"Table 7: Publication summary of the primary near-eye H01 results. Exact fitted samples report italic n with participant and participant-day subscripts. For participant-day models, participant-days equal observations; the two participant-level dynamics models use one observation per participant and report participant-days as contributing-day support. All models include nine sites.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,10,23,142,17,6,2,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-primary-tests","Primary near-eye model-level tests with raw and vector-wide BH-adjusted p-values.","notebooks/hypotheses/H01.qmd",1345,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-tests",TRUE,1,1,1,0,1,1,0,"Table 8: Primary near-eye model-level tests with raw and vector-wide BH-adjusted p-values.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,17,23,227,17,6,4,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-primary-effects","Primary near-eye photoperiod and latitude effects, 95% confidence intervals, raw and BH-adjusted p-values, and exact fitted samples.","notebooks/hypotheses/H01.qmd",1354,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-effects",TRUE,1,1,1,0,1,1,0,"Table 9: Primary near-eye photoperiod and latitude effects, 95% confidence intervals, raw and BH-adjusted p-values, and exact fitted samples.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,14,23,193,17,6,3,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-primary-site-deviation-matrix","Primary near-eye site-specific deviations for metrics with a supported overall site test.","notebooks/hypotheses/H01.qmd",1367,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-site-deviation-matrix",TRUE,1,1,1,0,1,1,0,"Table 10: Primary near-eye site-specific deviations for metrics with a supported overall site test.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,8,80,8,0,1,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-primary-site-contrasts","Primary near-eye site contrasts after a supported overall site test.","notebooks/hypotheses/H01.qmd",1374,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-site-contrasts",TRUE,1,1,1,0,1,1,0,"Table 11: Primary near-eye site contrasts after a supported overall site test.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,5,80,368,0,8,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-primary-r2","Primary near-eye R² and part-R² summaries with 95% joint-bootstrap intervals.","notebooks/hypotheses/H01.qmd",1390,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-primary-r2",TRUE,1,1,1,0,1,1,0,"Table 12: Primary near-eye R² and part-R² summaries with 95% joint-bootstrap intervals.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,25,151,18,7,3,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-chest-tests","Complementary chest model-level tests with raw and vector-wide BH-adjusted p-values.","notebooks/hypotheses/H01.qmd",1405,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-chest-tests",TRUE,1,1,1,0,1,1,0,"Table 13: Complementary chest model-level tests with raw and vector-wide BH-adjusted p-values.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,17,23,227,17,6,4,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-chest-effects","Complementary chest photoperiod and latitude effects, 95% confidence intervals, raw and BH-adjusted p-values, and exact fitted samples.","notebooks/hypotheses/H01.qmd",1414,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-chest-effects",TRUE,1,1,1,0,1,1,0,"Table 14: Complementary chest photoperiod and latitude effects, 95% confidence intervals, raw and BH-adjusted p-values, and exact fitted samples.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,14,23,193,17,6,3,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-chest-site-contrasts","Complementary chest site contrasts after a supported overall site test.","notebooks/hypotheses/H01.qmd",1427,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-chest-site-contrasts",TRUE,1,1,1,0,1,1,0,"Table 15: Complementary chest site contrasts after a supported overall site test.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,5,117,533,0,13,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-chest-r2","Complementary chest R² and part-R² summaries with 95% joint-bootstrap intervals.","notebooks/hypotheses/H01.qmd",1436,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-chest-r2",TRUE,1,1,1,0,1,1,0,"Table 16: Complementary chest R² and part-R² summaries with 95% joint-bootstrap intervals.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,11,25,151,18,7,3,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-primary-near-eye","Exact fitted samples: primary dataset, near eye, all available.","notebooks/hypotheses/H01.qmd",1465,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-primary-near-eye",TRUE,1,1,1,0,1,1,0,"Table 17: Exact fitted samples: primary dataset, near eye, all available.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-primary-chest","Exact fitted samples: primary dataset, chest, all available.","notebooks/hypotheses/H01.qmd",1474,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-primary-chest",TRUE,1,1,1,0,1,1,0,"Table 18: Exact fitted samples: primary dataset, chest, all available.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-primary-near-eye-matched","Exact fitted samples: primary dataset, near eye, paired/common sample.","notebooks/hypotheses/H01.qmd",1483,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-primary-near-eye-matched",TRUE,1,1,1,0,1,1,0,"Table 19: Exact fitted samples: primary dataset, near eye, paired/common sample.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-primary-chest-matched","Exact fitted samples: primary dataset, chest, paired/common sample.","notebooks/hypotheses/H01.qmd",1492,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-primary-chest-matched",TRUE,1,1,1,0,1,1,0,"Table 20: Exact fitted samples: primary dataset, chest, paired/common sample.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-gap-near-eye","Exact fitted samples: gap-timing-unaware dataset, near eye, all available.","notebooks/hypotheses/H01.qmd",1501,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-gap-near-eye",TRUE,1,1,1,0,1,1,0,"Table 21: Exact fitted samples: gap-timing-unaware dataset, near eye, all available.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-gap-chest","Exact fitted samples: gap-timing-unaware dataset, chest, all available.","notebooks/hypotheses/H01.qmd",1512,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-gap-chest",TRUE,1,1,1,0,1,1,0,"Table 22: Exact fitted samples: gap-timing-unaware dataset, chest, all available.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-gap-near-eye-matched","Exact fitted samples: gap-timing-unaware dataset, near eye, paired/common sample.","notebooks/hypotheses/H01.qmd",1523,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-gap-near-eye-matched",TRUE,1,1,1,0,1,1,0,"Table 23: Exact fitted samples: gap-timing-unaware dataset, near eye, paired/common sample.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
"H01","supplemental-table candidate","tbl-h01-samples-gap-chest-matched","Exact fitted samples: gap-timing-unaware dataset, chest, paired/common sample.","notebooks/hypotheses/H01.qmd",1534,"_build/nathealth/notebooks/hypotheses/H01.html","tbl-h01-samples-gap-chest-matched",TRUE,1,1,1,0,1,1,0,"Table 24: Exact fitted samples: gap-timing-unaware dataset, chest, paired/common sample.",TRUE,TRUE,1,TRUE,"Quarto anchor",TRUE,1,1,8,17,136,17,0,0,0,1,TRUE,TRUE,"native gt: constructor visible in labelled chunk",TRUE,TRUE,TRUE,"Normal and narrow width; 200% zoom; clipping/wrapping; header/stub reading order; notes; contrast; and colour-independent meaning.","native gt_tbl printed from labelled knitr cell",FALSE,"Retain native gt; preserve prepared input, raw values, row order, Quarto caption ownership, and semantic table anatomy.","QMD source location plus current targeted Nature Health HTML"
