logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
14,hypothesis_companion,audit/hypotheses/H01/H01_analysis_preparation.qmd,H01 analysis preparation and provenance,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,12,14,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,f2f443e03d6166f3cccb42c5595dcba9c488fc56247d777a23bd28041d243be5
15,hypothesis_result,notebooks/hypotheses/H02.qmd,H02: Daily melEDI patterns across sites and people,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,13,15,_build/nathealth/notebooks/hypotheses/H02.html,TRUE,95e428566695e9f681b9988a754bfb69f1f90bdb332cc2c984cf79ab95638bf9
16,hypothesis_companion,audit/hypotheses/H02/H02_analysis_preparation.qmd,H02 analysis preparation and provenance,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,14,16,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,TRUE,ee605310b49fa4d684374f90b6da4ffc75ad46a723991f12afa111750fbd105d
17,hypothesis_result,notebooks/hypotheses/H03.qmd,H03: Self-reported light source and measured personal light exposure,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,15,17,_build/nathealth/notebooks/hypotheses/H03.html,TRUE,68bc4ae581cf58cdb82690f0053751bbbf14f6a4669b7d9ee4bf5224633326f0
18,hypothesis_companion,audit/hypotheses/H03/H03_analysis_preparation.qmd,H03 analysis preparation and provenance,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,16,18,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,TRUE,838d341c78f0d28cf67a902ae97132cfa603ec84bbba9559fb4dff871dfa2527
19,hypothesis_result,notebooks/hypotheses/H04.qmd,H04: Self-reported activity and measured personal light exposure,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,17,19,_build/nathealth/notebooks/hypotheses/H04.html,TRUE,92c26e8504b3a46b3ce3397daa96b6fc1abbc54c48e08ba37c7a53f53456465d
20,hypothesis_companion,audit/hypotheses/H04/H04_analysis_preparation.qmd,H04 analysis preparation and provenance,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,18,20,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,TRUE,eea87ba4f7039c3f2e72e2fe6a0a2d05132042e68b58698162cba1c4135f6a3a
21,hypothesis_result,notebooks/hypotheses/H05.qmd,H05: Habitual light-related behaviour and personal light exposure,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,19,21,_build/nathealth/notebooks/hypotheses/H05.html,TRUE,9abab1848432f1b5acf17a89c46cbc224880fffc008b6899d1e09df49422daac
22,hypothesis_companion,audit/hypotheses/H05/H05_analysis_preparation.qmd,H05 analysis preparation and provenance,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,20,22,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,TRUE,41989d53aeb276c67ef2327608d46eca6ffc91b8289953309c525df8fe637461
23,hypothesis_result,notebooks/hypotheses/H06.qmd,"H06: Day type, exercise, sleep, and personal light exposure",d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,21,23,_build/nathealth/notebooks/hypotheses/H06.html,TRUE,5e202881e6cc87bbd2b0e7fe3abdc1a23badf86f0baa1ec6b41e2bbab1a0e3b6
24,hypothesis_companion,audit/hypotheses/H06/H06_analysis_preparation.qmd,H06 analysis preparation and provenance,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,22,24,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,TRUE,83cdaddb633bbe0b5507fa360e78cb845458053106b0f9dff96a565a132b3605
25,shared,notebooks/hypotheses/H06_daily.qmd,H06 daily metrics: day-level context and personal light exposure,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,23,25,_build/nathealth/notebooks/hypotheses/H06_daily.html,TRUE,5498aa6c59769ba2da6bc368cc287479b7303d96e79aa259de82ca99e8097c3f
26,shared,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,H06 daily-metric analysis preparation and provenance,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,24,26,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,TRUE,5fc88c8775ebe3a3acc5e1b21b4c42c536868f61bd165a710efc2d0e6d8cb932
27,hypothesis_result,notebooks/hypotheses/H07.qmd,H07: Photoperiod and qualifying transitions in personal light exposure,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,25,27,_build/nathealth/notebooks/hypotheses/H07.html,TRUE,32bef622afb37422d851715394cd142426c347fa4af00d64280fe9a5542766c2
28,hypothesis_companion,audit/hypotheses/H07/H07_analysis_preparation.qmd,H07 analysis preparation and provenance,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,26,28,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,TRUE,bf67884517c4e347b392776b7fe5294b7e8dc103b68e0f36028cc4a0fce2324c
29,hypothesis_result,notebooks/hypotheses/H08.qmd,H08: Visual light sensitivity and personal light exposure,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,27,29,_build/nathealth/notebooks/hypotheses/H08.html,TRUE,f79dc80d1db29f6347dac86a9d1be9eaffadcd46ad2b5882835fd3376dc45d76
30,hypothesis_companion,audit/hypotheses/H08/H08_analysis_preparation.qmd,H08 analysis preparation and provenance,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,28,30,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,TRUE,cf2b78ce85cee4f72b9596c647a6846c32aac82e5711d44da02406b01635f97d
31,hypothesis_result,notebooks/hypotheses/H09.qmd,H09: Chronotype and timing of personal light exposure,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,29,31,_build/nathealth/notebooks/hypotheses/H09.html,TRUE,4247723a952cd6e7a61035907657d8e8ae75c2ecc28df5318a341ffeb318b537
32,hypothesis_companion,audit/hypotheses/H09/H09_analysis_preparation.qmd,H09 analysis preparation and provenance,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,30,32,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,TRUE,d36ea2ffcd0a0965cd0aac0ce438a77028bac80cd71c2820ce5ee5405766cf28
33,hypothesis_result,notebooks/hypotheses/H10.qmd,"H10: Age, measured biological sex, and personal light exposure",0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,31,33,_build/nathealth/notebooks/hypotheses/H10.html,TRUE,b76b9aed88790065650acbbebc622f28a43d207b369f831cbe53755211dc5e14
34,hypothesis_companion,audit/hypotheses/H10/H10_analysis_preparation.qmd,H10 analysis preparation and provenance,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,32,34,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,TRUE,eacba5195461bbabdc9724ae3b62f2123df7f197c518df3acb9cd755788da3a0
35,hypothesis_result,notebooks/hypotheses/H11.qmd,H11: Biological sex and daily personal light-exposure patterns,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,33,35,_build/nathealth/notebooks/hypotheses/H11.html,TRUE,80657c3de784597924393e3d28b3b0d8f3a9c1b621b25b5ee032869303a6ed8c
36,hypothesis_companion,audit/hypotheses/H11/H11_analysis_preparation.qmd,H11 analysis preparation and provenance,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,34,36,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,TRUE,c4de331621681c71cca4b5a3b433d75f73d2e2427521f95c709601c4225c1b11
