"document","source_qmd","source_sha256","source_line","chunk_end_line","label","caption","label_option_count","caption_option_count","label_conforms","caption_nonempty","source_native_gt_static","native_gt_evidence","prohibited_output_calls","duplicate_caption_call","backend_specific_markup_present","local_gt_tbl_assertion","manuscript_role","source_contract_complete"
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1298,1303,"tbl-h01-primary-publication-summary","Primary near-eye site, photoperiod, latitude, and site-versus-latitude results.",1,1,TRUE,TRUE,TRUE,"gt helper: primary_publication_gt","",FALSE,FALSE,FALSE,"main table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1309,1314,"tbl-h01-primary-tests","Primary near-eye model-level tests with raw and FDR-adjusted p-values.",1,1,TRUE,TRUE,TRUE,"gt helper: model_test_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1318,1323,"tbl-h01-primary-effects","Primary near-eye photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: effect_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1331,1336,"tbl-h01-primary-site-deviation-matrix","Primary near-eye site-specific deviations for metrics with a supported overall site test.",1,1,TRUE,TRUE,TRUE,"gt helper: site_deviation_matrix_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1338,1343,"tbl-h01-primary-site-contrasts","Primary near-eye site contrasts after a supported overall site test.",1,1,TRUE,TRUE,TRUE,"gt helper: site_contrast_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1355,1360,"tbl-h01-primary-r2","Primary near-eye R² and part-R² summaries with 95% joint-bootstrap intervals.",1,1,TRUE,TRUE,TRUE,"gt helper: r2_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1370,1375,"tbl-h01-chest-tests","Complementary chest model-level tests with raw and FDR-adjusted p-values.",1,1,TRUE,TRUE,TRUE,"gt helper: model_test_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1379,1384,"tbl-h01-chest-effects","Complementary chest photoperiod and latitude effects, 95% CIs, raw and FDR-adjusted p-values, and exact fitted samples.",1,1,TRUE,TRUE,TRUE,"gt helper: effect_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1392,1397,"tbl-h01-chest-site-contrasts","Complementary chest site contrasts after a supported overall site test.",1,1,TRUE,TRUE,TRUE,"gt helper: site_contrast_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1401,1406,"tbl-h01-chest-r2","Complementary chest R² and part-R² summaries with 95% joint-bootstrap intervals.",1,1,TRUE,TRUE,TRUE,"gt helper: r2_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1448,1453,"tbl-h01-samples-primary-near-eye","Exact fitted samples: primary dataset, near eye, all available.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1457,1462,"tbl-h01-samples-primary-chest","Exact fitted samples: primary dataset, chest, all available.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1466,1471,"tbl-h01-samples-primary-near-eye-matched","Exact fitted samples: primary dataset, near eye, matched sample.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1475,1480,"tbl-h01-samples-primary-chest-matched","Exact fitted samples: primary dataset, chest, matched sample.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1484,1491,"tbl-h01-samples-gap-near-eye","Exact fitted samples: gap-timing-unaware dataset, near eye, all available.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1495,1502,"tbl-h01-samples-gap-chest","Exact fitted samples: gap-timing-unaware dataset, chest, all available.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1506,1513,"tbl-h01-samples-gap-near-eye-matched","Exact fitted samples: gap-timing-unaware dataset, near eye, matched sample.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1517,1524,"tbl-h01-samples-gap-chest-matched","Exact fitted samples: gap-timing-unaware dataset, chest, matched sample.",1,1,TRUE,TRUE,TRUE,"gt helper: exact_sample_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1554,1586,"tbl-h01-diagnostic-assessment","Overall model-check assessment for each primary near-eye and complementary chest model.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1597,1602,"tbl-h01-representative-diagnostics","Stored model-check values for four representative primary near-eye review signals.",1,1,TRUE,TRUE,TRUE,"gt helper: diagnostic_example_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1642,1661,"tbl-h01-sensitivity-classification","Support-level sensitivity classification relative to the primary near-eye analysis.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1665,1682,"tbl-h01-sensitivity-support","Supported metrics in each complete 17-test family across sensor position, dataset, and matched-sample analyses.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1692,1735,"tbl-h01-paired-placement","Matched-sample near-eye and chest estimands with component 95% CIs and exact samples.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1743,1778,"tbl-h01-l10-noon-support","Primary strict-after-16:00 and noon-cut sensitivity for the darkest-10-hour midpoint.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1780,1814,"tbl-h01-l10-noon-effects","Photoperiod and latitude effects under the darkest-10-hour midpoint clock-cut sensitivity.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1822,1850,"tbl-h01-period-sensitivity","Exactly identified continuous-period sensitivity for the longest period above 250 lx melEDI.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1858,1889,"tbl-h01-scope-sensitivity","Preregistered-scope sensitivity with raw and FDR-adjusted p-values.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1899,1917,"tbl-h01-marginalization","Site-average and observed-sample marginalization for primary and complementary models.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1919,1937,"tbl-h01-influence","Participant-deletion influence summary for primary and complementary models.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1939,1957,"tbl-h01-latitude-loo","Leave-one-site-out latitude sensitivity for primary and complementary models.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",2063,2078,"tbl-h01-participant-formulas","Exact participant-level Wilkinson formulas used by the H01 implementation.",1,1,TRUE,TRUE,TRUE,"gt helper: formula_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",2082,2097,"tbl-h01-participant-day-formulas","Exact participant-day Wilkinson formulas used by the H01 implementation.",1,1,TRUE,TRUE,TRUE,"gt helper: formula_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",2101,2126,"tbl-h01-preregistered-scope-formulas","Exact Wilkinson formulas used in the preregistered-scope sensitivity.",1,1,TRUE,TRUE,TRUE,"gt helper: formula_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",2128,2157,"tbl-h01-formula-manifest","Formula, engine, and estimation method recorded for every fitted and comparison model.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",809,826,"tbl-h02-model-deviations","H02 estimand and model changes relative to the registered analysis.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",828,845,"tbl-h02-data-deviations","H02 data and implementation deviations or clarifications.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",961,982,"tbl-h02-near-sample","Exact fitted near-eye sample, overall and by site.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1017,1034,"tbl-h02-near-variation","Near-eye fitted-curve variation and participant-to-site ratios.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"main table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1046,1065,"tbl-h02-near-dominance","Near-eye conditional Shapley allocation of in-sample model fit.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1067,1075,"tbl-h02-near-relevance","Near-eye participant-versus-site comparisons from the Shapley allocation.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1094,1107,"tbl-h02-near-windows","Near-eye clock windows whose pointwise conditional 95% interval excludes the global time effect.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1127,1138,"tbl-h02-near-diagnostics","Near-eye fit and model-check summary.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1171,1192,"tbl-h02-chest-sample","Exact fitted chest sample, overall and by site.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1196,1213,"tbl-h02-chest-variation","Chest fitted-curve variation and participant-to-site ratios.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1224,1243,"tbl-h02-chest-dominance","Chest conditional Shapley allocation of in-sample model fit.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1245,1253,"tbl-h02-chest-relevance","Chest participant-versus-site comparisons from the Shapley allocation.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1286,1299,"tbl-h02-chest-windows","Chest clock windows whose pointwise conditional 95% interval excludes the global time effect.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1319,1330,"tbl-h02-chest-diagnostics","Chest fit and model-check summary.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H02","notebooks/hypotheses/H02.qmd","56f6ded2dae5420e36231958d0b1a50f5f938d0d9dd2172301b2340861a0ff20",1464,1484,"tbl-h02-sensitivity","Sensitivity of participant-to-site fitted-curve dispersion ratios.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",412,428,"tbl-h03-overall-samples","Exact fitted samples for the primary and complementary models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",430,451,"tbl-h03-category-support","Exact fitted support for every light-source category.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",515,565,"tbl-h03-primary-results","Site-average category means and ratios to indoor electric light from the light-source-category-by-site interaction model.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"main table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",587,615,"tbl-h03-omnibus","Category-association and category-by-site interaction omnibus tests.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",640,825,"tbl-h03-near-site-factorization","Near-eye category effects and site-specific deviations in one factorized display.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: site_factor_table","",FALSE,TRUE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",849,911,"tbl-h03-fixed-r2","Descriptive R² and hierarchy-respecting allocation for the category-by-site interaction model.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",925,960,"tbl-h03-primary-diagnostics","Numerical, residual, temporal, and zero-mass model checks.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1004,1083,"tbl-h03-sensitivities","Samples, omnibus tests, and category stability across predefined sensitivities.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1184,1227,"tbl-h03-temporal-fit","Exploratory temporal-model fit summaries.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1229,1260,"tbl-h03-temporal-allocation","Point allocation of fitted temporal linear-predictor variance.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1273,1327,"tbl-h03-temporal-diagnostics","Convergence, basis-capacity, residual, and zero-mass checks for the temporal models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1382,1437,"tbl-h03-latitude-slopes","Exploratory category-specific linear absolute-latitude associations.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H03","notebooks/hypotheses/H03.qmd","84625736235533fc80da6f4b24b6c9904c7e59db0cb9545da9ceebc1c2cfd093",1526,1552,"tbl-h03-formulas","Exact formulas supplied to the primary, category-by-site interaction, and exploratory models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",430,459,"tbl-h04-overall-samples","Exact fitted samples for the primary and complementary models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",467,489,"tbl-h04-sample-flow","Outcome availability and explicit accounting of hours outside the category models.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",491,529,"tbl-h04-category-support","Observed support and weighted totals for every displayed activity category.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",619,689,"tbl-h04-primary-results","Site-average activity-category means, ratios, and differences with participant-cluster-robust 95% CIs.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"main table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",709,760,"tbl-h04-named-contrasts","Additive-model named-category comparisons with At home; FDR adjustment forms one four-member family within each sensor position.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H04","notebooks/hypotheses/H04.qmd","3f56afe495a343218a8ae1803be4d56bd5768447a2e6bee4bd695f1ea1269837",764,802,"tbl-h04-omnibus","Primary five-named-category and secondary six-category robust omnibus tests.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor","",FALSE,FALSE,FALSE,"supplementary table",TRUE
