"change_id","document","section_or_endpoint","current_wording_or_structure","replacement_wording_or_rule","reason","protected_scientific_tokens","dependent_source_check"
"BROWN-LANG-S3-011","Stage 3","Endpoint calibration and coverage gate section","Endpoint calibration and coverage gate; temporal sensitivity; coverage gate; gate required","Heading becomes Endpoint model checks and coverage sensitivity analysis. Describe endpoint calibration as a model check and the temporal route as a temporal sensitivity analysis. Call the at-least-80% repetition a coverage sensitivity analysis. Replace gate required with the prespecified stability rule required. Caption Table 6 as Stability of the main Free-minus-Work results in the at-least-80% coverage sensitivity analysis.","Replace internal gate terminology with the corpus model-check and sensitivity terms.","five eligible endpoint comparisons; Wake all-yes qualification; 95% predictive envelopes; maximum shifts; two-percentage-point rule; all direction and interval decisions","Endpoint/table/figure IDs and order exact; inline values and source links unchanged; original scientific pass rules retained verbatim in meaning."
"BROWN-LANG-S3-012","Stage 3","Participant random effect section and tbl-main-random-effects","Retained random effect and descriptive decomposition; retained participant random effect","Heading becomes Participant-level variation and descriptive model-fit allocation. First use states that the participant random intercept represents remaining participant-level variation in baseline adherence after the reported predictors are considered. Table 7 caption becomes Participant-level variation represented by the retained random intercept in each main-analysis sample. Replace only reader-facing retained random effect labels where participant-level variation is clearer; retain the exact technical term in model details.","Explain the random intercept in plain language without changing its technical role.","0.317; 0.308; conditional logit scale; exact retained and failed random-effect structure","Random-effect data, standard deviations, structural-failure qualifications, table endpoint, and source path exact."
"BROWN-LANG-S3-013","Stage 3","tbl-main-r2-partition, tbl-main-shapley-global, tbl-main-shapley-within and surrounding prose","Point-only response-scale variance partition; participant-intercept increment; Shapley allocation lacks a plain first-use explanation in the result flow","Explain that marginal and conditional R² are descriptive response-scale point summaries, not causal shares; conditional R² includes participant-level variation represented by the random intercept. Rename the displayed participant-intercept increment to Participant-level variation increment. Explain that Shapley allocation averages a component contribution across all addition orders so shared fitted-model information is allocated rather than counted repeatedly. Retain point-only and non-causal qualifications in captions and notes.","Prevent causal or additive overinterpretation of descriptive model-fit summaries.","all R² values; 58.44%; 2.19 pp; 60.63%; 94.07%; 4.76%; 1.17%; all global and within-state Shapley rows","Two R² rows, six global rows, twelve within-state rows, all numeric fields, endpoints, source paths, and table order exact."
"BROWN-LANG-S3-014","Stage 3","Complementary chest placement section and tbl-main-placement","Complementary chest placement; Chest-worn measurements; Chest placement is complementary context","Use Complementary chest sensor position in the heading and caption. State that the chest sensor position measures chest-worn light, is analysed separately from the primary near-eye sensor position, and provides complementary context rather than ocular exposure or an equivalence test.","Apply the corpus sensor-position vocabulary and preserve the separate complementary role.","Wake and Pre-sleep only; separate fits; both directions and interval conclusions; no Sleep ocular claim","Two placement rows, estimates, CIs, shifts, statuses, endpoint, source path, and primary/complementary role exact."
"BROWN-LANG-S3-015","Stage 3","Exploratory cross-state heading and selected-model prose","## Exploratory cross-state extension; participant intercept; accepted interactions","Add {#sec-brown-cross-state} to the existing heading. Describe the participant intercept as participant-level variation and replace accepted interactions with prespecified interactions. Preserve the statement that the association-cycle intercept was not retained and serial dependence was assessed separately.","Keep the exploratory hierarchy visible and align the random-effect terminology.","primary rows, participants, cycles; exact 0% and 100%; F3/R3/Q2/Q1/D0; all model adjustments","Heading order, table endpoint, sample values, model structure, and temporal qualification exact."
"BROWN-LANG-S3-016","Stage 3","tbl-cross-state-effects","FDR q; One Benjamini-Hochberg false-discovery-rate adjustment covered all four displayed effects.","Display FDR-adjusted p. Table note becomes A false-discovery-rate (FDR) adjustment covered all four displayed effects; the Benjamini-Hochberg procedure is retained in the detailed methods.","Use the corpus display term while retaining the full procedure for reproducibility.","four effects; four CIs; four adjusted p-values; within and between levels; interval statuses","No data transformation beyond the column label; four rows and their order exact."
"BROWN-LANG-S3-017","Stage 3","Day-level and participant-level questions","prespecified temporal sensitivity models; observed between-participant association after the frozen adjustment","Use prespecified temporal sensitivity analyses. Replace frozen adjustment with prespecified adjustment. Retain the exact withheld day-level claim, the interval-includes-zero wording, the non-causal between-participant interpretation, and the statement that the result is not a within-person intervention effect.","Remove construction-history wording without changing either claim boundary.","all four response-scale effects and CIs; FDR conclusion; withheld claim; unresolved serial dependence","All inline R expressions exact; day-level and participant-level headings remain separate and in order."
"BROWN-LANG-S3-018","Stage 3","Coverage and stability checks","Endpoint calibration; diagnostic assessment; coverage gate; retained fits","Use Model checks and sensitivity analyses as the heading. Call endpoint calibration a model check, the at-least-80% repetition a coverage sensitivity analysis, and successfully estimated sensitivity models instead of retained fits. Change the source-link label to model-check assessment. Keep the table Result values and technical source field claim_gate_passed unchanged.","Use reader-facing check and sensitivity language while preserving technical source fields.","all six predictive envelopes; calibration differences; 0.60 maximum shift; five of nine; four of five; all direction and interval decisions","Table 16 endpoint and body exact; source CSV paths and technical variable names unchanged."
"BROWN-LANG-S3-019","Stage 3","Integrated interpretation","approved main model; population-average adherence; no releasable day-level conclusion","Use main analysis rather than approved main model; use site-average adherence estimates and explain equal site weighting by reference to the earlier definition; use the day-level claim remains withheld rather than no releasable conclusion. Retain the distinct-question, overlapping-data, non-replication, non-causal, no-trade-off, no-ranking, and exploratory qualifications.","End with the strongest defensible reader summary rather than process status.","all main and cross-state claim dispositions; overlapping MeLiDos observations; observed valid-minute scope","No claim strengthened or weakened; exact scientific qualification set required by focused test."
"BROWN-LANG-S3-020","Stage 3","Reproducibility note and reciprocal cross-link","Reader flow ends with frozen accepted reporting outputs, production-history narration, and links only to the two implementation reports and source-data records.","Rename the heading Detailed methods and provenance {#sec-brown-provenance}. State briefly that the page reads stored analysis outputs and source data and does not fit or refit models or recalculate estimates, intervals, FDR results, model checks, R² summaries, Shapley allocations, or sample membership. Add exactly one dynamic relative link to 14_cross_state_association_preparation_and_provenance.qmd#sec-purpose. Place implementation-report and source-data links inside one collapsed Technical records and source data callout, preserving every existing target.","Contain construction history in the provenance boundary and add the reciprocal reader link.","139-profile privacy; no scientific recomputation; all seven existing technical/source links","Exactly one Stage3-to-Stage4 QMD link; no .html, absolute, file, worktree, or build path; all existing links retained; no HTML changed in source-only order."
"BROWN-LANG-S4-001","Stage 4","YAML subtitle and first result link","Accepted main analysis and separate exploratory cross-state extension; unanchored Stage 3 link","Subtitle becomes Main Work-Free analysis and separate exploratory cross-state extension. The first Stage 3 link targets 13_cross_state_association_results_amendment.qmd#sec-brown-main-results.","Lead with the scientific hierarchy and make the cross-document link stable.","title; engine; format; main versus exploratory role","Exact subtitle and one anchor-suffix transition; all other YAML exact; target anchor declared once in prospective Stage 3."
"BROWN-LANG-S4-002","Stage 4","Purpose and Frozen-output boundary callout","accepted results were constructed and verified; Frozen-output boundary; accepted contracts; diagnostic assessments; regenerate an accepted figure","State that the companion documents how the Brown-recommendation results were prepared and checked. Rename the callout Stored-output boundary. Say that it reads stored measurement and sample definitions, model summaries, model checks, multiplicity records, covariance checks, and display provenance, and does not fit or refit models, calculate inferential results, regenerate figures, resample, simulate, or rerun influence analyses.","Explain the provenance role without exposing gate language in the reader opening.","all computation prohibitions; main endpoint-inflated analysis; separate exploratory extension","Purpose link, no-scientific-call boundary, and all technical source objects retained; no new execution call."
"BROWN-LANG-S4-003","Stage 4","Analysis path Mermaid and follow-on sentence","At least 80% coverage gate; Accepted main Brown results; Integrated Stage 3 report; Identity, calibration, sensitivity, multiplicity, privacy, and render checks; accepted dependency chain","Use At least 80% coverage sensitivity analysis; Main Brown results; Integrated results report; Measurement, model, sensitivity, multiplicity, privacy, and display checks; current dependency chain. Preserve every node, edge, direction, and the top-down layout.","Align diagram labels with reader terminology while preserving the dependency structure.","all analysis stages in the scientific dependency chain; withheld day-level claim","Mermaid node and edge counts exact; flowchart TD exact; no endpoint, code, or scientific path change."
"BROWN-LANG-S4-004","Stage 4","Top-level section hierarchy","Manual prefixes 1. through 6. are included in six H2 headings while number-sections also numbers them, producing doubled rendered numbering.","Remove only the literal manual prefixes from Measurement and outcome construction; Exact samples and privacy boundary; Model implementation; Model checks, sensitivity analyses, and interpretation limits; Multiplicity and stored-covariance provenance; Reproducibility: code, outputs, and environment. Preserve every existing anchor.","Prevent duplicated numbering while retaining the complete hierarchy and anchors.","all section content and source anchors","Exact six heading-only transitions; sec-measurement, sec-samples, sec-models, sec-diagnostics, sec-multiplicity, sec-provenance unchanged."
"BROWN-LANG-S4-005","Stage 4","Measurement section and tbl-stage4-measurement-contract","Accepted measurement and outcome contract; direct ocular measurement","Caption becomes Measurement and outcome definition. Use near-eye sensor position and bedside sleep-environment measurement consistently, while retaining the explicit statement that Sleep is not direct ocular exposure.","Use the shared measurement-role vocabulary without changing construct boundaries.","brown_check; Wake >=250 lx; Pre-sleep <=10 lx; Sleep <=1 lx; numerator, denominator, and coverage definitions","Three thresholds, inclusivity, state windows, endpoint rules, table rows, endpoint and source path exact."
"BROWN-LANG-S4-006","Stage 4","Behavioral-cycle and sample sections","frozen main-analysis construction; changing any frozen main row; Frozen main-analysis samples; Frozen pairwise samples","Use main-analysis construction, without changing the main-analysis rows, Main-analysis samples, and Pairwise samples for the exploratory cross-state extension. Retain frozen only in technical object or manifest names.","Keep provenance precision while removing construction-state adjectives from reader prose.","linkage-C ownership; actual dates; UTC timestamps; source_row provenance; Wake-anchor day type; sample counts","Chronology, sample tables, values, row order, endpoints, and source links exact."
"BROWN-LANG-S4-007","Stage 4","Selected model components and random-effect explanation","The retained random effect in each selected model is a participant intercept in the mean process.","Each selected model retains a participant random intercept, a random effect representing remaining participant-level variation in the mean after the reported predictors are considered. Keep the technical random-intercept and random-slope terms in the subsequent model specification.","Provide the corpus plain-language explanation before the technical model details.","all formulas; endpoint processes; fixed effects; failed random components; non-identifiable association-cycle variance","Model-components table, formulas, failure history, and no-zero-variance qualification exact."
"BROWN-LANG-S4-008","Stage 4","Prespecified transition history and Tables 8-9","Prespecified transition history; candidate paths; Recorded primary candidate path; Recorded candidate and sensitivity path","Heading becomes Model selection and structural checks. Explain that simpler structures were used only after prespecified structural checks failed while the primary fixed structure was retained. Captions become Model-selection path for the main Brown model and Model-selection and sensitivity path for the exploratory cross-state model.","Describe the prespecified simplification path as model selection rather than workflow history.","all steps, model IDs, rungs, outcomes, reasons, formulas, and structural failures","Two tabset labels and both table bodies exact; model_transition source unchanged."
"BROWN-LANG-S4-009","Stage 4","sec-diagnostics and Tables 10-11","Diagnostics, sensitivity, and release limits; accepted with limitations; registered temporal sensitivity; coverage gate; Accepted diagnostic and bounded-stability disposition; Accepted diagnostic and claim disposition","Heading becomes Model checks, sensitivity analyses, and interpretation limits. Use model checks for calibration and residual assessment, temporal sensitivity analysis for the temporal route, at-least-80% coverage sensitivity analysis for the coverage repetition, and interpretation remains limited rather than workflow-status accepted with limitations. Captions become Model checks and bounded sensitivity results for the main analysis and Model checks and interpretation limits for the exploratory extension. Change the source-link label from diagnostic disposition to model-check disposition.","Use consistent check, sensitivity, and limitation terms without changing any verdict.","all statuses and details in diagnostic_summary; five of nine; four of five; withheld day-level claim","Both table endpoints, all rows and values, temporal trigger, incomplete estimability, and source CSV exact."
"BROWN-LANG-S4-010","Stage 4","Separate inferential families and tbl-stage4-multiplicity","Each family was completed before its own Benjamini-Hochberg adjustment; site-versus-equal-site; claim gates; Accepted multiplicity families and coverage roles","State that each declared family received a separate false-discovery-rate (FDR) adjustment using the Benjamini-Hochberg procedure. Explain in plain language that BA-M4 tests site-specific Free-minus-Work differences against zero and BA-M6 compares them with the site-average Free-minus-Work estimate. Describe the at-least-80% repetitions as sensitivity analyses used to assess claim stability. Caption becomes Multiplicity families and coverage-sensitivity roles.","Explain multiplicity families and the BA-M4 versus BA-M6 distinction at first use.","BA-M1 through BA-M6; BA-CS-M1; family sizes; adjustment methods; coverage roles","Multiplicity registry rows and technical method names exact; no family merged or changed."
"BROWN-LANG-S4-011","Stage 4","BA-M6 derivation and tbl-stage4-ba-m6-localizations","BA-M6 from stored means and covariance; did not reopen; first 54 frozen means; site-versus-equal-site; accepted FDR localizations; Accepted BA-M6 localizations and coverage-gate identities; BH-adjusted p","Heading becomes Site-specific differences from the site-average estimate (BA-M6). State that BA-M6 was calculated from 54 stored cell means and their covariance without refitting the model, and that each state's nine deviations from the site-average effect sum to zero. Describe the three FDR-retained localizations as stored results, not Stage 4 recalculations. Caption becomes BA-M6 localizations and coverage-sensitivity identities. Display the existing BH-adjusted p source column as FDR-adjusted p while retaining the source name for reproducibility.","Make the BA-M6 estimand and stored-output boundary explicit in reader language.","27 contrast vectors; 54 means; 54 by 54 covariance; BA-M4 - BA-M1; BA-M5 reconciliation; three localizations; all estimates, CIs, p-values, and statuses","Derivation and localization source CSVs exact; no calculated value or row changed; display-only cols_label transition for p."
"BROWN-LANG-S4-012","Stage 4","sec-provenance, Tables 15-17, and artifact prose","Code, artifacts, and environment; Accepted execution chain and production boundaries; Accepted artifact identities; Principal accepted artifacts; accepted non-circular manifests; Consequential accepted package versions","Heading becomes Reproducibility: code, outputs, and environment. Use Execution and display chain; Execution chain and production boundaries; Stored output identities; Principal stored outputs used by this companion; non-circular manifests; Consequential package versions. Keep full hash, manifest, and production-boundary details in this provenance companion.","Retain full provenance while replacing acceptance-status adjectives with descriptive labels.","all paths, bytes, SHA-256 prefixes, package versions, production boundaries, R 4.6.1, TMB 1.9.21, C++17, Quarto 1.9.37","Tables 15-17 endpoints, rows, columns, paths, hashes, versions, and source links exact."
"BROWN-LANG-S4-013","Stage 4","Software environment and Examination order","accepted reader report; accepted renv.lock; Examination order; coverage gates; opening a live model fit","Use results report; recorded renv.lock identity; How to verify the analysis; coverage sensitivity analyses; without refitting a model. Keep the seven-step verification sequence and all BA family identifiers.","Make the verification sequence understandable without weakening reproducibility detail.","R, package and Quarto versions; seven verification steps; BA family separation; stored-covariance reconciliation","Seven ordered items retained; only approved terminology changes; all links remain dynamic relative QMD or source-data paths."
"BROWN-LANG-S4-014","Stage 4","sec-limits and closing cross-link","Provenance limits; accepted integrated Stage 3 report linked without anchor","Heading becomes Interpretation limits while retaining {#sec-limits}. Keep every seven-item limitation. Closing link becomes integrated results report and targets 13_cross_state_association_results_amendment.qmd#sec-brown-main-results. Preserve the two other existing Stage 3 links except for the same stable anchor suffix where required by the paired-link check.","End on scientific interpretation limits and a stable reciprocal reader link.","any-valid estimand; bedside context; pooled site model; temporal limitation; withheld day-level claim; non-causal and no-ranking limits","Seven limits exact in meaning and order; Stage4-to-Stage3 links remain relative .qmd links; target anchor unique."
