"source","line","category","term","in_code","content"
"index.qmd",333,"deviation","\bdeviation(s)?\b",FALSE,"@fig-H4 extends the previous pattern decomposition (see @fig-H2) by including activity context, showing when activity categories occur and how activity-related deviations contribute to observed daily patterns."
"index.qmd",335,"specialist","\bconfidence interval(s)?\b",FALSE,"![Model results from H4, showing daily light exposure patterns depending on activity and micro-environment (A), deviations from the average (B), and number of observations for a given context and time of day, e.g., the low number of sleeping participants between 12:00-20:00 (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.](assets/Fig10.png){#fig-H4}"
"index.qmd",335,"deviation","\bdeviation(s)?\b",FALSE,"![Model results from H4, showing daily light exposure patterns depending on activity and micro-environment (A), deviations from the average (B), and number of observations for a given context and time of day, e.g., the low number of sleeping participants between 12:00-20:00 (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.](assets/Fig10.png){#fig-H4}"
"index.qmd",343,"specialist","\binteraction(s)?\b",FALSE,"Day type, defined as workday versus free day, showed a significant but small association with personal light exposure (p \< 0.001, $R^2$ = 0.01), driven mainly by an interaction with site. On workdays, average exposure was 76 lx melanopic EDI and did not differ significantly by site, with exercise set to none and sleep duration to the average of 7.9 h. On free days, exposure was higher in Borås (SE), Delft (NL), and Dortmund (DE), by factors of 2.23, 2.62, and 2.24, and lower in San José (CR) and Kumasi (GH), by factors of 0.37 and 0.54. Exploratory analyses in @suppfig-H6 indicate that higher workday exposure occurred mainly before noon, when exposure was up to five times higher than on free days, and to a lesser extent in the afternoon, when exposure was consistently approximately two times higher. Exposure was lower after midnight on workdays, likely reflecting earlier bedtimes. An exploratory weekday–weekend model showed similar but weaker patterns and substantially less support, with an AIC approximately 33 points higher than the day-type model."
"index.qmd",345,"deviation","\bdeviation(s)?\b",FALSE,"Daily exercise level also showed a significant but small association with exposure (p \< 0.001, $R^2$ = 0.05). On days without exercise, average exposure was 76 lx melanopic EDI, with day type set to work day and sleep to 7.9 h. Borås (SE) and Dortmund (DE) showed higher values, by factors of 2.14 and 2.08, whereas Kumasi (GH) showed lower values, by a factor of 0.15. Light-exercise days were associated with a 1.85-fold increase in exposure; Borås (SE) and Delft (NL) showed higher values, by factors of 2.38 and 3.07, and Kumasi (GH) lower values, by a factor of 0.45. Moderate-exercise days were associated with a 1.74-fold increase; Delft (NL) was higher by a factor of 2.20, and San José (CR) lower by a factor of 0.23. Vigorous-exercise days were associated with a 1.50-fold increase and no significant site-specific deviations."
"index.qmd",353,"specialist","\bnonlinear\b",FALSE,"Photoperiod showed ceiling effects for selected metrics. For level-based metrics, exposure no longer increased significantly beyond approximately 14.7–16.4 h of photoperiod. A comparable ceiling occurred for duration above 1000 lx melanopic EDI, plateauing at approximately 16.6 h. In contrast, the longest continuous period above 250 lx melanopic EDI and cumulative melanopic EDI dose showed no ceiling within the observed photoperiod range. @suppfig-H7 shows these nonlinear relationships."
"index.qmd",367,"specialist","\binteraction(s)?\b",FALSE,"Across all 17 metrics, none were significantly associated with sex (all p ≥ 0.7). Only one metric was significantly associated with age, with all other age associations non-significant (all p ≥ 0.2). No significant age-by-site interactions were observed (all p ≥ 0.3)."
"index.qmd",375,"placement_sample","\bchest\b",FALSE,"## Chest-level analysis were broadly consistent with eye-level findings, but larger sample in Costa Rica makes a difference"
"index.qmd",377,"placement_sample","\bchest\b",FALSE,"Chest-level analyses were broadly consistent with the ocular-level findings, while providing additional evidence for the Costa Rica cohort owing to its larger sample size at this wearing location. In the chest-level data, Costa Rica showed up to five-fold higher morning light exposure than the other sites and approximately two-fold lower exposure in the afternoon approaching dusk. Duration above 1000 lx melanopic EDI was 1.40 times higher, and duration above 250 lx melanopic EDI was 1.28 times higher than the average across sites. This led to a daytime adherence level to recommendations of about 23% (compared to only 15% in the smaller glasses-level sample). Contextual light-source analyses further indicated lower exposure under indoor electric lighting (0.69×) and higher exposure under indoor daylight (1.59×), amongst others. The larger number of chest-level observations makes it expected that more Costa Rica-specific effects reached significance in this analysis. Overall, the only substantive discrepancy between the samples concerned daylight exposure in Costa Rica: ocular data showed lower outdoor (0.42×) and indoor (0.90×) daylight, while chest-level data trended higher for both outdoor (1.18×) and indoor daylight (1.59×). The increased daylight levels in Costa Rica further challenge the latitude dependency of daytime and overall 24h light levels, which was no longer significant. Apart from these differences, results across the 11 hypotheses were remarkably stable despite differences in sample size and sensor placement, supporting the robustness of the main findings."
"index.qmd",381,"specialist","\binteraction(s)?\b",FALSE,"This study positions personal ocular light exposure as a measurable component of the human exposome. Across 9 sites in 7 countries [@zauner2026a; @agbeshie2025; @akuffo2025; @baezamoyano2025; @broszio2025; @didikoglu2025; @guidolin2025; @sancho-salas2026; @hilden2025; @nilssontengelin2026; @aerts2025], harmonised near-eye light logging and repeated contextual reports showed that everyday melanopic exposure is not determined by geography alone. Site, latitude and photoperiod contributed to exposure structure, but participant-level patterns, activity context and micro-environment accounted for a larger share of variation. These findings support the central premise of the introduction: the health-relevant light environment is not simply the ambient outdoor exposure potential, but the light that reaches the eye as people move through homes, workplaces, transport systems and outdoor spaces. In this sense, personal light exposure is a modifiable environmental phenotype shaped by the interaction of biology, behaviour, built environments and social routines [@argentieri2025; @lucock2020]."
"index.qmd",381,"placement_sample","\bnear[- ]eye\b",FALSE,"This study positions personal ocular light exposure as a measurable component of the human exposome. Across 9 sites in 7 countries [@zauner2026a; @agbeshie2025; @akuffo2025; @baezamoyano2025; @broszio2025; @didikoglu2025; @guidolin2025; @sancho-salas2026; @hilden2025; @nilssontengelin2026; @aerts2025], harmonised near-eye light logging and repeated contextual reports showed that everyday melanopic exposure is not determined by geography alone. Site, latitude and photoperiod contributed to exposure structure, but participant-level patterns, activity context and micro-environment accounted for a larger share of variation. These findings support the central premise of the introduction: the health-relevant light environment is not simply the ambient outdoor exposure potential, but the light that reaches the eye as people move through homes, workplaces, transport systems and outdoor spaces. In this sense, personal light exposure is a modifiable environmental phenotype shaped by the interaction of biology, behaviour, built environments and social routines [@argentieri2025; @lucock2020]."
"index.qmd",385,"placement_sample","\bchest\b",FALSE,"The geographical findings further illustrate this distinction between ambient availability and personal exposure. Daytime pattern decomposition showed that sites diverged mainly in the morning and afternoon. Photoperiod predicted several classes of exposure metrics, and latitude explained some level-based metrics better than site-specific coefficients, but neither factor dominated the data structure. Contrary to a simple availability model, light exposure tended to increase with latitude, despite greater year-round solar availability at lower-latitude and tropical sites. This pattern is consistent with behavioural filtering: in brighter, hotter or higher-UV environments, people may seek shade, remain indoors, avoid direct sunlight or structure activities around thermal comfort and sun protection. Similar dissociations between ambient radiation and personal exposure have been described in work on UV exposure, shade use, outdoor thermal comfort and sun-protective behaviour [@diffey2008; @middel2016; @huang2015; @raymond-lezman2023]. The larger chest-level Costa Rica dataset partly challenged this trend, showing higher-than-average morning light levels, but afternoon exposure remained comparatively low. Together, these results suggest that climate and latitude provide the exposure opportunity, whereas behaviour and built environments determine the realised ocular dose."
"index.qmd",393,"specialist","\binteraction(s)?\b",FALSE,"Several limitations temper the interpretation. First, although the dataset is unusually broad for ocular light-dosimetry research, site-level sample sizes remain modest. Larger studies with more participants and participant-days are needed to stabilise site estimates, test interactions and evaluate subgroups. Second, the study population consisted of healthy working-age adults, limiting generalisability to children, adolescents, older adults, clinical populations, shift workers, unemployed or retired people, and people with restricted mobility or atypical living conditions. Third, the sampled latitude-by-photoperiod space remains sparse (@suppfig-phot), and future studies should include more sites, seasons and climate conditions to separate latitude, seasonality, culture, climate and built-environment effects. Fourth, activity and primary light-source reports were intentionally broad and collected retrospectively at an hourly scale. This enabled cross-site harmonisation but limited fine-grained analyses, for example distinguishing different activities within the same space, different types of work environments, or specific behaviours during home, office, or transport periods. Fifth, very low sensor readings, especially at night, should be interpreted cautiously. Although the light logger is rated by the manufacturer down to 1 lx, single-digit values should be understood as approximate low-light exposure rather than precise measurement [@ishihara2025]."
"index.qmd",395,"placement_sample","\bnear[- ]eye\b",FALSE,"In conclusion, everyday ocular light exposure is structured, measurable and strongly shaped by behaviour and micro-environment, but cannot be reduced to site, latitude or photoperiod. The findings extend the light-and-health literature from demonstrating biological relevance to identifying real-world determinants of exposure. Light exposure is a modifiable exposomic factor: it can potentially be improved through clinical advice, occupational health, building design, urban planning and public-health guidance, but only if interventions account for the contexts in which people actually receive light. Near-eye, time-resolved exposure measurement therefore offers a practical route from circadian biology to precision prevention and context-sensitive environmental health."
"index.qmd",399,"deviation","\bdeviation(s)?\b",FALSE,"The current study was preregistered with AsPredicted (#273407) [@zauner2026melidos_preregistration]. Deviations from the preregistration are documented in @sec-preregdev."
"index.qmd",399,"deviation","\bpreregister(ed|istration)?\b",FALSE,"The current study was preregistered with AsPredicted (#273407) [@zauner2026melidos_preregistration]. Deviations from the preregistration are documented in @sec-preregdev."
"index.qmd",465,"placement_sample","\bchest\b",FALSE,"Participants wore a near-corneal light logger mounted centrally on non-prescription spectacle frames and a chest-level pendant-mounted logger. Depending on site specific limitations for participant-recruitment and device-availability, only one position was assessed (see @sec-preregdev. Specifically, some participants were hesitant to wear the glasses-mounted logger for a week, which hindered some sites to reach the target number of participants, while the chest-position was more acceptable [@zauner2025]. The near-corneal configuration was designed to approximate retinal light exposure during daily activities and was therefore treated as the primary measurement configuration in the present analyses. The chest-mounted configuration provided an ambulatory estimate of personal environmental light exposure and was used in supplementary robustness analyses."
"index.qmd",510,"placement_sample","\bchest\b",FALSE,"The primary light exposure quantity was melanopic EDI, expressed in lux [@cies02]. The primary source of light exposure data was the near-corneal device, because it most closely approximates ocular light exposure. Chest-level light exposure data were used for supplementary robustness analyses."
"index.qmd",524,"placement_sample","\bchest\b",FALSE,"Light exposure preprocessing and metric derivation were performed in R statistical software [@base] using the LightLogR package [@LightLogR]. Raw unaggregated light exposure recordings from near-corneal and chest-mounted devices were first trimmed according to participant-specific study start and end times. After one-minute aggregation, melanopic EDI values at or above the manufacturer's reported upper operating boundary of 100,000 lx were flagged and recoded as missing for analysis; the pre-mask melanopic EDI values were retained for provenance [@condor2023actlumus]. This device-range rule was not applied to photopic illuminance."
"index.qmd",542,"legacy_history","\bV0\b",FALSE,"All statistical analyses were performed in R version 4.5.0 @base. Analyses used the *tidyverse* package (v2.0.0) [@tidyverse] for data processing and visualisation, *lme4* (v2.0-1) [@lme4], *glmmTMB* (v.1.1.14) [@glmmTMB] and related mixed-modelling packages for linear and generalized linear mixed-effects models, *mgcv* (v1.9-4) [@mgcv], *gratia* (v0.11.2) [@gratia], and *itsadug* (v2.5) [@itsadug] for generalized additive mixed models (HGAM), and *LightLogR* (v0.10.2) [@LightLogR] for light exposure preprocessing, visualisation, and metric derivation. All MeLiDos data were imported using the *melidosData* (v1.0.6) [@melidosData] package. The *performance* (0.16.0) [@performance] package was used for model diagnostics and mixed-effect $R^2$ calculations, and *emmeans* (v2.0.3) [@emmeans] to calculate marginal effects. For H5, a correlation matrix of Spearman-rank correlations was constructed using the *stats* (v4.5.0) [@stats] package."
"index.qmd",542,"specialist","\bdiagnostic(s)?\b",FALSE,"All statistical analyses were performed in R version 4.5.0 @base. Analyses used the *tidyverse* package (v2.0.0) [@tidyverse] for data processing and visualisation, *lme4* (v2.0-1) [@lme4], *glmmTMB* (v.1.1.14) [@glmmTMB] and related mixed-modelling packages for linear and generalized linear mixed-effects models, *mgcv* (v1.9-4) [@mgcv], *gratia* (v0.11.2) [@gratia], and *itsadug* (v2.5) [@itsadug] for generalized additive mixed models (HGAM), and *LightLogR* (v0.10.2) [@LightLogR] for light exposure preprocessing, visualisation, and metric derivation. All MeLiDos data were imported using the *melidosData* (v1.0.6) [@melidosData] package. The *performance* (0.16.0) [@performance] package was used for model diagnostics and mixed-effect $R^2$ calculations, and *emmeans* (v2.0.3) [@emmeans] to calculate marginal effects. For H5, a correlation matrix of Spearman-rank correlations was constructed using the *stats* (v4.5.0) [@stats] package."
"index.qmd",544,"specialist","\bdiagnostic(s)?\b",FALSE,"Unless otherwise specified, hypothesis tests were two-tailed. Statistical significance was evaluated using a hypothesis-wide type I error threshold of α = 0.05. Where multiple related tests were performed within a hypothesis, false discovery rate correction according to the Benjamini–Hochberg procedure was applied, and adjusted p-values are reported [@benjamini1995]. Model assumptions were evaluated using visual and quantitative model diagnostics. These included inspection of residual distributions, residuals plotted against fitted values, and method-specific diagnostics to assess homoscedasticity, linearity, approximate normality, mean-zero residual structure, distributional fit, and influential deviations. Where diagnostics indicated violations of model assumptions, model specifications were adjusted where possible."
"index.qmd",544,"specialist","\bfalse[- ]discovery[- ]rate\b",FALSE,"Unless otherwise specified, hypothesis tests were two-tailed. Statistical significance was evaluated using a hypothesis-wide type I error threshold of α = 0.05. Where multiple related tests were performed within a hypothesis, false discovery rate correction according to the Benjamini–Hochberg procedure was applied, and adjusted p-values are reported [@benjamini1995]. Model assumptions were evaluated using visual and quantitative model diagnostics. These included inspection of residual distributions, residuals plotted against fitted values, and method-specific diagnostics to assess homoscedasticity, linearity, approximate normality, mean-zero residual structure, distributional fit, and influential deviations. Where diagnostics indicated violations of model assumptions, model specifications were adjusted where possible."
"index.qmd",544,"deviation","\bdeviation(s)?\b",FALSE,"Unless otherwise specified, hypothesis tests were two-tailed. Statistical significance was evaluated using a hypothesis-wide type I error threshold of α = 0.05. Where multiple related tests were performed within a hypothesis, false discovery rate correction according to the Benjamini–Hochberg procedure was applied, and adjusted p-values are reported [@benjamini1995]. Model assumptions were evaluated using visual and quantitative model diagnostics. These included inspection of residual distributions, residuals plotted against fitted values, and method-specific diagnostics to assess homoscedasticity, linearity, approximate normality, mean-zero residual structure, distributional fit, and influential deviations. Where diagnostics indicated violations of model assumptions, model specifications were adjusted where possible."
"index.qmd",546,"specialist","\bdiagnostic(s)?\b",FALSE,"For analyses using linear mixed-effects models (LMM) and generalized linear mixed-effects models (GLMM) @lme4, full models were specified based on the preregistered hypotheses (H1, H3, H4, H6, H8, H9, H10) [@zauner2026melidos_preregistration] and adjusted for relevant demographic, behavioural, environmental, and sleep-related covariates where appropriate. Model selection was performed using backward and forward stepwise comparison of nested models. Nested models were compared using likelihood-ratio tests, with test statistics evaluated against a χ² distribution. If a model showed convergence problems, singularity, or unstable parameter estimates, the random-effects structure was simplified first by reducing random slopes. If instability persisted, higher-order interaction terms were reduced while retaining the main effects required for hypothesis testing. Depending on the distributional characteristics of each exposure metric and the corresponding model diagnostics, models were fitted using either a Gaussian or Tweedie error distribution. Where appropriate, metrics were modelled either on the original scale or after logarithmic transformation. A metric-specific overview of preprocessing transformations, the chosen error distribution family, and modelling engines, either *lmer* or *glmmTMB*, is provided in the supplementary analysis documentation for [Research Question 1, Hypothesis 1](RQ1.qmd)."
"index.qmd",546,"specialist","\binteraction(s)?\b",FALSE,"For analyses using linear mixed-effects models (LMM) and generalized linear mixed-effects models (GLMM) @lme4, full models were specified based on the preregistered hypotheses (H1, H3, H4, H6, H8, H9, H10) [@zauner2026melidos_preregistration] and adjusted for relevant demographic, behavioural, environmental, and sleep-related covariates where appropriate. Model selection was performed using backward and forward stepwise comparison of nested models. Nested models were compared using likelihood-ratio tests, with test statistics evaluated against a χ² distribution. If a model showed convergence problems, singularity, or unstable parameter estimates, the random-effects structure was simplified first by reducing random slopes. If instability persisted, higher-order interaction terms were reduced while retaining the main effects required for hypothesis testing. Depending on the distributional characteristics of each exposure metric and the corresponding model diagnostics, models were fitted using either a Gaussian or Tweedie error distribution. Where appropriate, metrics were modelled either on the original scale or after logarithmic transformation. A metric-specific overview of preprocessing transformations, the chosen error distribution family, and modelling engines, either *lmer* or *glmmTMB*, is provided in the supplementary analysis documentation for [Research Question 1, Hypothesis 1](RQ1.qmd)."
"index.qmd",546,"specialist","\bsingularity\b",FALSE,"For analyses using linear mixed-effects models (LMM) and generalized linear mixed-effects models (GLMM) @lme4, full models were specified based on the preregistered hypotheses (H1, H3, H4, H6, H8, H9, H10) [@zauner2026melidos_preregistration] and adjusted for relevant demographic, behavioural, environmental, and sleep-related covariates where appropriate. Model selection was performed using backward and forward stepwise comparison of nested models. Nested models were compared using likelihood-ratio tests, with test statistics evaluated against a χ² distribution. If a model showed convergence problems, singularity, or unstable parameter estimates, the random-effects structure was simplified first by reducing random slopes. If instability persisted, higher-order interaction terms were reduced while retaining the main effects required for hypothesis testing. Depending on the distributional characteristics of each exposure metric and the corresponding model diagnostics, models were fitted using either a Gaussian or Tweedie error distribution. Where appropriate, metrics were modelled either on the original scale or after logarithmic transformation. A metric-specific overview of preprocessing transformations, the chosen error distribution family, and modelling engines, either *lmer* or *glmmTMB*, is provided in the supplementary analysis documentation for [Research Question 1, Hypothesis 1](RQ1.qmd)."
"index.qmd",546,"deviation","\bpreregister(ed|istration)?\b",FALSE,"For analyses using linear mixed-effects models (LMM) and generalized linear mixed-effects models (GLMM) @lme4, full models were specified based on the preregistered hypotheses (H1, H3, H4, H6, H8, H9, H10) [@zauner2026melidos_preregistration] and adjusted for relevant demographic, behavioural, environmental, and sleep-related covariates where appropriate. Model selection was performed using backward and forward stepwise comparison of nested models. Nested models were compared using likelihood-ratio tests, with test statistics evaluated against a χ² distribution. If a model showed convergence problems, singularity, or unstable parameter estimates, the random-effects structure was simplified first by reducing random slopes. If instability persisted, higher-order interaction terms were reduced while retaining the main effects required for hypothesis testing. Depending on the distributional characteristics of each exposure metric and the corresponding model diagnostics, models were fitted using either a Gaussian or Tweedie error distribution. Where appropriate, metrics were modelled either on the original scale or after logarithmic transformation. A metric-specific overview of preprocessing transformations, the chosen error distribution family, and modelling engines, either *lmer* or *glmmTMB*, is provided in the supplementary analysis documentation for [Research Question 1, Hypothesis 1](RQ1.qmd)."
"index.qmd",548,"specialist","\bGAMM?\b",FALSE,"Generalized additive mixed models (HGAM) [@zauner2022; @hastie1986; @hastie1995] were constructed following the approach described by Pedersen and colleagues [@pedersen2019] (H2, H7, H11). These models included smooth functions of time of day to describe daily patterns of personal light exposure. For factor-specific temporal patterns, smooth terms were specified to estimate deviations from the overall temporal profile where appropriate (e.g., site, or participant). Model selection for GAMs and HGAMs was based on Akaike’s Information Criterion [@pedersen2019; @bozdogan1987]. A difference in AIC of at least 2 was interpreted as sufficient evidence favouring the model with the lower AIC, including when the lower-AIC model had greater complexity. Temporal autocorrelation was assessed as part of model diagnostics. First-order autocorrelation of residuals was significant and ranged between 0.4 and 0.8, depending on the model and underlying dataset. This was handled by an AR1 correction after which no significant autocorrelation remained. For GAM-based analyses, differences in smooth relationships were evaluated using difference smooths for comparisons between factor levels and derivative smooths for changes within a smooth over time. This approach allowed inference on both between-group differences in temporal exposure profiles and within-profile periods of significant increase or decrease. HGAMs were fitted using a Gaussian error distribution, with melanopic EDI transformed before modelling. Following the recommendations by Zauner et al. [@zauner2025a], values were offset by +0.1 before logarithmic transformation."
"index.qmd",548,"specialist","\bdiagnostic(s)?\b",FALSE,"Generalized additive mixed models (HGAM) [@zauner2022; @hastie1986; @hastie1995] were constructed following the approach described by Pedersen and colleagues [@pedersen2019] (H2, H7, H11). These models included smooth functions of time of day to describe daily patterns of personal light exposure. For factor-specific temporal patterns, smooth terms were specified to estimate deviations from the overall temporal profile where appropriate (e.g., site, or participant). Model selection for GAMs and HGAMs was based on Akaike’s Information Criterion [@pedersen2019; @bozdogan1987]. A difference in AIC of at least 2 was interpreted as sufficient evidence favouring the model with the lower AIC, including when the lower-AIC model had greater complexity. Temporal autocorrelation was assessed as part of model diagnostics. First-order autocorrelation of residuals was significant and ranged between 0.4 and 0.8, depending on the model and underlying dataset. This was handled by an AR1 correction after which no significant autocorrelation remained. For GAM-based analyses, differences in smooth relationships were evaluated using difference smooths for comparisons between factor levels and derivative smooths for changes within a smooth over time. This approach allowed inference on both between-group differences in temporal exposure profiles and within-profile periods of significant increase or decrease. HGAMs were fitted using a Gaussian error distribution, with melanopic EDI transformed before modelling. Following the recommendations by Zauner et al. [@zauner2025a], values were offset by +0.1 before logarithmic transformation."
"index.qmd",548,"specialist","\bautocorrelation\b",FALSE,"Generalized additive mixed models (HGAM) [@zauner2022; @hastie1986; @hastie1995] were constructed following the approach described by Pedersen and colleagues [@pedersen2019] (H2, H7, H11). These models included smooth functions of time of day to describe daily patterns of personal light exposure. For factor-specific temporal patterns, smooth terms were specified to estimate deviations from the overall temporal profile where appropriate (e.g., site, or participant). Model selection for GAMs and HGAMs was based on Akaike’s Information Criterion [@pedersen2019; @bozdogan1987]. A difference in AIC of at least 2 was interpreted as sufficient evidence favouring the model with the lower AIC, including when the lower-AIC model had greater complexity. Temporal autocorrelation was assessed as part of model diagnostics. First-order autocorrelation of residuals was significant and ranged between 0.4 and 0.8, depending on the model and underlying dataset. This was handled by an AR1 correction after which no significant autocorrelation remained. For GAM-based analyses, differences in smooth relationships were evaluated using difference smooths for comparisons between factor levels and derivative smooths for changes within a smooth over time. This approach allowed inference on both between-group differences in temporal exposure profiles and within-profile periods of significant increase or decrease. HGAMs were fitted using a Gaussian error distribution, with melanopic EDI transformed before modelling. Following the recommendations by Zauner et al. [@zauner2025a], values were offset by +0.1 before logarithmic transformation."
"index.qmd",548,"deviation","\bdeviation(s)?\b",FALSE,"Generalized additive mixed models (HGAM) [@zauner2022; @hastie1986; @hastie1995] were constructed following the approach described by Pedersen and colleagues [@pedersen2019] (H2, H7, H11). These models included smooth functions of time of day to describe daily patterns of personal light exposure. For factor-specific temporal patterns, smooth terms were specified to estimate deviations from the overall temporal profile where appropriate (e.g., site, or participant). Model selection for GAMs and HGAMs was based on Akaike’s Information Criterion [@pedersen2019; @bozdogan1987]. A difference in AIC of at least 2 was interpreted as sufficient evidence favouring the model with the lower AIC, including when the lower-AIC model had greater complexity. Temporal autocorrelation was assessed as part of model diagnostics. First-order autocorrelation of residuals was significant and ranged between 0.4 and 0.8, depending on the model and underlying dataset. This was handled by an AR1 correction after which no significant autocorrelation remained. For GAM-based analyses, differences in smooth relationships were evaluated using difference smooths for comparisons between factor levels and derivative smooths for changes within a smooth over time. This approach allowed inference on both between-group differences in temporal exposure profiles and within-profile periods of significant increase or decrease. HGAMs were fitted using a Gaussian error distribution, with melanopic EDI transformed before modelling. Following the recommendations by Zauner et al. [@zauner2025a], values were offset by +0.1 before logarithmic transformation."
"index.qmd",552,"deviation","\bdeviation(s)?\b",FALSE,"## Deviation from the preregistration and protocol {#sec-preregdev}"
"index.qmd",554,"deviation","\bdeviation(s)?\b",FALSE,"This section summarizes deviations from the preregistration (https://aspredicted.org/te3zw2.pdf)"
