"order","source","owner_task_at_phase1","scientific_status","phase2_disposition","mandatory_reader_repairs","optional_harmonization","approved_or_proposed_exception"
"11","notebooks/preparation/06_model_ready_datasets.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted and current after metric repairs.","mandatory major reader reframe","Describe the model-ready chain and sample consequences; remove repair chronology, gate/test IDs, hashes, and verifier mechanics; link every deviation mention to its exact entry; preserve current metric definitions and exclusions.","Add a compact flow diagram only if it materially reduces prose.","This page remains the principal bridge from prepared inputs to hypothesis-specific samples."
"12","notebooks/preparation/07_example_days.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted preparation/example page.","mandatory harmonization","Make the visual examples and how-to-read guidance primary; collapse seed, export, verifier, and production details; explain shaded states and metrics in accessible language.","Standardize panel labels and alt-text pattern with the descriptive figures.","Examples may be visually led and need less tabular structure."
"13","notebooks/hypotheses/H01.qmd","019fb4ce-d84c-73d1-be48-dc244be5b5f0","Accepted; current metric integration complete.","mandatory harmonization","Apply result template; use exact Answer in brief callout; add reciprocal dynamic companion link and exact deviation links; use site-average and plain model-check language; implement approved main-output roles.","Short glossary for R-squared partitions only if first-use prose cannot carry definitions.","H01 reports a 17-response package and needs more family/multiplicity context than a single-outcome report."
"14","audit/hypotheses/H01/H01_analysis_preparation.qmd","019fb4ce-d84c-73d1-be48-dc244be5b5f0","Accepted companion.","mandatory harmonization","Apply companion template; add reciprocal dynamic result link; move formulas, hashes, manifests, and implementation comparisons behind concise analysis-map and reproducibility sections; preserve all scientific qualifications.","Link H01 response definitions to Preparation 04 instead of repeating them.","Detailed bootstrap and response-family provenance may remain because H01 uses several model families."
"15","notebooks/hypotheses/H02.qmd","019fb4d0-9d07-75a2-bb73-71cd6b2d0e44","Accepted exemplar.","mandatory exemplar repair","Use exact note-style Answer in brief; convert reciprocal links to dynamic QMD links; correct the panel B/C source-description mismatch; explain Shapley allocation, pointwise intervals, and site-average terms; implement approved main outputs.","Use a short introductory glossary because several specialized curve/variance terms recur.","H02 legitimately retains fitted-curve and Shapley sections that do not apply to most reports."
"16","audit/hypotheses/H02/H02_analysis_preparation.qmd","019fb4d0-9d07-75a2-bb73-71cd6b2d0e44","Accepted exemplar companion.","mandatory harmonization","Apply companion template and dynamic reciprocal link; retain exact model/variance provenance; collapse workflow history; use plain first-use explanations for nonlinear models, Shapley allocation, and model checks.","Serve as the detailed temporal-model provenance reference for H11 where inheritance is material.","More variance-allocation detail remains than in other companions."
"17","notebooks/hypotheses/H03.qmd","019fbe52-c067-7521-b2cf-62d9398d173b","Author-approved Stage 3/4; locally verified.","mandatory harmonization","Apply result template; replace heterogeneity with predictor-by-site interaction and equal-site/site-standardized with site-average plus explanation; add reciprocal QMD and exact deviation links; implement approved outputs.","Add one glossary box only if category estimand terms remain dense.","A category cannot be standardized across all complementary chest sites and must remain explicitly absent."
"18","audit/hypotheses/H03/H03_analysis_preparation.qmd","019fbe52-c067-7521-b2cf-62d9398d173b","Accepted companion but omitted from current Nature Health navigation.","mandatory harmonization and navigation request","Apply companion template; add reciprocal dynamic link; remove gate/worker language from reader sections; preserve interaction-model, temporal, and support provenance; request config integration.","Link repeated metric definitions to preparation pages.","Retains temporal and latitude sensitivity provenance specific to H03."
"19","notebooks/hypotheses/H04.qmd","019febf4-4868-72f3-bd97-31a85e86f8f0","Author-approved Stage 3/4; locally verified.","mandatory harmonization","Apply result template; use activity-by-site interaction and site-average language; add reciprocal QMD and exact deviation links; distinguish the additive display-only Other category; implement approved outputs.","Glossary only if activity categories and estimands remain dense.","Other/unspecified remains a display-only additive estimate and must stay visually marked."
"20","audit/hypotheses/H04/H04_analysis_preparation.qmd","019febf4-4868-72f3-bd97-31a85e86f8f0","Accepted companion but omitted from current Nature Health navigation.","mandatory harmonization and navigation request","Apply companion template; add reciprocal dynamic link; collapse internal workflow history; preserve category support, interaction architecture, temporal analyses, and diagnostics; request config integration.","Link shared placement/sample definitions rather than duplicating them.","Retains temporal-allocation details specific to H04."
"21","notebooks/hypotheses/H05.qmd","019fba35-6fd8-73c3-970f-e41f8b759bb6","Accepted; current metric refreshes complete.","mandatory harmonization","Apply result template; foreground that none of 68 primary associations retained adjusted support and four sleep-environment fits are unfit; add dynamic companion/deviation links; remove repair history; implement main heatmap and one continued table.","Glossary for LEBA factors only if factor table is insufficient.","Null result and unfit models require a reasoned departure from result-first effect narration."
"22","audit/hypotheses/H05/H05_analysis_preparation.qmd","019fba35-6fd8-73c3-970f-e41f8b759bb6","Accepted companion.","mandatory harmonization","Apply companion template; add reciprocal link; separate scientific adequacy evidence from metric-repair history; keep unfit-model rationale and multiplicity family explicit.","Condense repeated formula listings behind a methods details section.","Model-adequacy documentation remains unusually prominent because four models are unfit."
"23","notebooks/hypotheses/H06.qmd","019fbd4a-288b-7a72-ac70-2d17ba6d2f04","Accepted main hourly H06 result.","mandatory harmonization now","Normalize heading levels and Answer in brief; repair all fig-/tbl- identifiers; use plain site-interaction/site-average language; add reciprocal QMD and exact deviation links; implement approved main outputs; preserve the daily complement as subordinate context.","Short glossary for cluster-robust inference and exploratory nonlinear timing only if needed.","Hourly analysis is main; exploratory time-varying displays remain clearly exploratory; accepted daily integration does not require reopening this result."
"24","audit/hypotheses/H06/H06_analysis_preparation.qmd","019fbd4a-288b-7a72-ac70-2d17ba6d2f04","Accepted main hourly companion.","mandatory harmonization now","Apply companion template; add reciprocal QMD link; replace frozen/gate/production wording in reader sections; preserve HC3, site-interaction, sensitivity, and exploratory-model provenance.","Link shared gap terminology decision rather than repeating history.","Remains the main hourly provenance chain; the accepted complementary daily provenance is separate."
"25","notebooks/hypotheses/H07.qmd","019fbe52-6781-7c32-bdcf-379c88ef1e78","Author-approved Stage 3/4; locally verified.","mandatory harmonization","Apply result template; introduce nonlinear model and derivative rule before jargon; use exact Answer in brief; add dynamic companion/deviation links; implement the tall main figure and classification table without redesign.","Use a short glossary because derivative, concurvity, pointwise intervals, and nonlinear terms recur.","Do not translate the accepted rule into a biological ceiling or general plateau claim."
"26","audit/hypotheses/H07/H07_analysis_preparation.qmd","019fbe52-6781-7c32-bdcf-379c88ef1e78","Accepted companion but omitted from current Nature Health navigation.","mandatory harmonization and navigation request","Apply companion template; add reciprocal link; explain nonlinear specification, derivative method, support, model checks, and sensitivities; collapse stage/gate mechanics; request config integration.","Keep technical derivative method ID only in reproducibility details.","More technical curve-method detail is necessary than in other companions."
"27","notebooks/hypotheses/H08.qmd","019fbdb6-b6a8-7e53-8e84-7a2967af9ea5","Accepted; current metric refresh complete.","mandatory harmonization","Rename Results in brief to exact Answer in brief; remove internal metric-audit callout from result flow; explain mixed scales and interactions; add dynamic companion/deviation links; implement approved outputs.","Brief glossary for VLSQ-8 and scale differences if first-use prose is insufficient.","One response remains a difference in hours while the others are percent changes."
"28","audit/hypotheses/H08/H08_analysis_preparation.qmd","019fbdb6-b6a8-7e53-8e84-7a2967af9ea5","Accepted companion.","mandatory harmonization","Apply companion template; add reciprocal QMD link; place metric refresh evidence in provenance rather than main narrative; retain response-family gate, interactions, and sensitivities.","Link shared metric definitions to Preparation 04.","Mixed response scales need a prominent but concise explanation."
"29","notebooks/hypotheses/H09.qmd","019fdc1b-b927-7fb1-ac61-88993c0a818a","Author-approved Stage 3/4; locally verified.","mandatory harmonization","Apply result template; expand chronotype instrument abbreviations; use model checks; add reciprocal QMD and exact deviation links; implement approved figure/table; preserve signed-hour direction.","Short glossary for MCTQ MSFsc and MEQ only if definitions cannot fit in the analysis paragraph.","Two chronotype instruments remain separate, not pooled."
"30","audit/hypotheses/H09/H09_analysis_preparation.qmd","019fdc1b-b927-7fb1-ac61-88993c0a818a","Accepted companion but omitted from current Nature Health navigation.","mandatory harmonization and navigation request","Apply companion template; add reciprocal link; remove workflow mechanics; retain scoring, formulas, diagnostic adjudication, paired placement, and sensitivity provenance; request config integration.","Link preparation definitions for timing outcomes.","Instrument-specific scoring provenance is scientifically necessary."
"31","notebooks/hypotheses/H10.qmd","019fdc1b-b77b-7972-aed0-784da328e115","Accepted; current metric refresh complete.","mandatory harmonization","Normalize heading levels and Answer in brief; replace heterogeneity with age-by-site interaction; remove internal open IDs and state the current input qualification plainly; add dynamic companion/deviation links; implement dense main figure and compact display-only main table.","Glossary for standardized display effects only if needed.","Site estimates are descriptive components of omnibus interactions, not individual site tests."
"32","audit/hypotheses/H10/H10_analysis_preparation.qmd","019fdc1b-b77b-7972-aed0-784da328e115","Accepted companion.","mandatory harmonization","Apply companion template; add reciprocal link; retain response contracts, multiplicity families, interactions, diagnostics, and sensitivity provenance; move metric-repair mechanics to audit detail.","Cross-link site display conventions.","Current diary-period support reconstruction qualification must remain explicit."
"33","notebooks/hypotheses/H11.qmd","019fba59-0f3c-74a0-ab3d-58d389365ad1","Author-approved Stage 3/4; locally verified.","mandatory harmonization","Use exact note-style Answer in brief; explain nonlinear whole-curve test, site-average means, shifted-value ratio, pointwise intervals, and symlog display; add reciprocal QMD/deviation links; implement main figure and combined global-test table.","Use a short glossary because several specialized temporal terms recur.","No scientifically valid common-sample placement figure exists; retain separate curves and the global-test versus pointwise-context distinction."
"34","audit/hypotheses/H11/H11_analysis_preparation.qmd","019fba59-0f3c-74a0-ab3d-58d389365ad1","Accepted companion but omitted from current Nature Health navigation.","mandatory harmonization and navigation request","Apply companion template; add reciprocal result link and a material link to the H02 temporal companion; replace gate/history language; preserve robust inference, level/shape decomposition, activity context, and sensitivity provenance; request config integration.","Reuse H02 definitions rather than restating the full inherited temporal architecture.","Inheritance from H02 and the invalid paired-placement display require explicit rationale."
"35","notebooks/sensitivity_battery.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Future-tense shared outline; final synthesis not accepted.","content completion hold","Do not imply that a planned battery has been completed; after accepted inputs exist, define stability categories plainly and link each hypothesis-specific analysis dynamically.","Use one cross-hypothesis scenario matrix.","Shared synthesis structure depends on final accepted analyses."
"36","notebooks/assemble_artifacts.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Internal assembly workflow currently exposed as reader content.","remove from reader navigation or reclassify","Do not expose task mechanics, output assembly commands, and gate language to scientific readers; retain as contributor documentation if needed.","A short reader-facing output index could be created separately after assembly.","Not a scientific report template target."
"37","audit/hypotheses/implementation_result_comparison_contract.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Internal comparison contract exposed in reader navigation.","remove from reader navigation","Keep as audit documentation; do not harmonize it into a scientific report or surface internal IDs in reader navigation.","Add a reader-facing link only if a specific scientific qualification requires it.","Audit-only document."
"38","audit/hypotheses/H03-H11_gated_workflow.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Internal gated workflow exposed in reader navigation.","remove from reader navigation","Keep as audit documentation; do not surface stages, gates, tasks, or owner mechanics to readers.","None.","Audit-only document."
"39","notebooks/hypotheses/H06_daily.qmd","019fec6a-20d3-7710-ab9b-a035e0874182","Author-accepted complementary H06 daily result; source harmonization accepted; targeted render pending its serial place.","late accepted source-only harmonization","Use site-average and predictor-by-site interaction language; add country codes to site names; explain GAMM, AR(1), FDR, common samples, transformed quantities, and model checks at first use; add dynamic links to the main hourly H06 result, companion, and exact deviation entries; preserve every accepted estimate, sample, multiplicity decision, diagnostic qualification, figure, table, and source-data link.","Keep the compact glossary because several specialized daily and temporal terms recur.","Complementary daily evidence remains subordinate to the main hourly H06 result; principal-output roles are supplemental and provisional pending focused render and author visual review."
"40","audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","019fec6a-20d3-7710-ab9b-a035e0874182","Author-accepted complementary H06 daily preparation and provenance companion; source harmonization accepted; targeted render pending its serial place.","late accepted source-only harmonization","Apply the companion structure; add reciprocal dynamic result and main-hourly links; replace hard-coded HTML and internal terminology in reader sections; explain GAMM, AR(1), FDR, transformed quantities, random effects, model checks, and symlog at first use; preserve formulas, samples, multiplicity, diagnostics, sensitivities, provenance, and accepted scientific qualifications.","Retain detailed technical provenance below the reader-facing analysis map.","Remains a separate provenance chain for complementary daily evidence and does not replace or reopen the main hourly H06 companion."
