document,locus,classification,current_issue,consolidated_action,scientific_preservation,verification
"H06 result","Figure QA status","mandatory terminology repair","Report_011 PASS is exposed as a reader status","Display Verified or Review needed from the same stored field","Underlying QA status and dimensions unchanged","Display mapping and hash checks"
"H06 result","Prose punctuation","mandatory style repair","One reader-facing em dash remains","Replace it with commas or separate sentences","Meaning and values unchanged","Visible-prose em-dash scan"
"H06 result","Site names","mandatory consistency repair","Country-coded names are already correct and must remain so","Preserve registry-backed names everywhere visible","Site identities order and colours unchanged","Country-code contract"
"H06 result","Main output role","mandatory catalog preservation","Output approval remains provisional","Keep fig-h06-core-effects and tbl-h06-primary-effects as provisional principal outputs","No promotion of another endpoint","Role and endpoint-order checks"
"H06 stored figures","Principal figure baked labels","deferred display-artifact repair","The PNG contains expected-hour and supported-hour shorthand","Return a pinned later label-only refresh specification; do not regenerate now","Every plotted value and graphical element preserved","Hash dimension PDF/SVG and frozen-source inventory"
"H06 stored figures","Site figure baked labels","deferred display-artifact repair","The PNG contains expected-hour equal-site BH heterogeneity and frozen wording","Return a pinned later label-only refresh specification; do not regenerate now","Every plotted value site and graphical element preserved","Hash dimension PDF and frozen-source inventory"
"H06 stored figures","Day-type timing baked labels","deferred display-artifact repair","The PNG contains dense expected-value and technical footer language","Return a pinned later label-only refresh specification; do not regenerate now","Every curve interval point bar and graphical element preserved","Hash dimension PDF/SVG and frozen-source inventory"
"H06 stored figures","Activity timing baked labels","deferred display-artifact repair","The PNG contains dense expected-value and technical footer language","Return a pinned later label-only refresh specification; do not regenerate now","Every curve interval point bar and graphical element preserved","Hash dimension PDF/SVG and frozen-source inventory"
"H06 companion","HTML format","mandatory accessibility repair","Three preparation figures have no zoom affordance","Add lightbox true","No figure regeneration or content change","YAML parse and later lightbox check"
"H06 companion","Opening purpose","mandatory hierarchy repair","The opening is accurate but the Execution boundary title is workflow-oriented","Use About this analysis record and state the display-only boundary plainly","No computation or provenance claim changes","Opening-text and no-call checks"
"H06 companion","Daily complement orientation","mandatory cross-link repair","The now accepted complementary daily report is absent","Add one dynamic link to the daily result and preserve hourly-main wording","No daily estimate enters the hourly companion","Exact target and hierarchy-language checks"
"H06 companion","Analysis path","mandatory preservation","The top-down map is useful and already readable","Retain flowchart TD and all scientific nodes and edges","No analytical dependency changes","Exact Mermaid node and edge comparison"
"H06 companion","Render-boundary table","mandatory terminology repair","Executed and Not executed read as task mechanics","Display Read from stored records and Not repeated here or equivalent reader labels","The same operations remain inside or outside the page","Exact row-role and display-label checks"
"H06 companion","Shared provenance table","mandatory terminology repair","Raw PASS states are exposed","Display Verified or Review needed while retaining stored status and checks","All identities and invariance evidence unchanged","Raw-value and display-mapping checks"
"H06 companion","Input provenance table","mandatory terminology repair","Boolean hash_verified is exposed","Display Verified or Review needed from the same boolean","All ten identity checks remain fail closed","Exact identity-count and mapping checks"
"H06 companion","Diary source display","optional harmonization","Raw FALSE for local rewrite is machine-like","Display No while retaining the stored logical value","Diary release row counts and identity unchanged","Raw-value and display-mapping checks"
"H06 companion","Frame integrity table","mandatory terminology repair","Boolean identity and provenance states are exposed","Use plain sentence-case verification labels","All six frame keys counts and identities unchanged","Exact six-frame and mapping checks"
"H06 companion","Primary model explanation","mandatory vocabulary repair","Several technical terms appear before plain explanations","Explain quasi-Poisson log mean fixed site participant-cluster HC3 interaction site-average and back-transformation at first use","Both formulas and inferential settings unchanged","Formula and vocabulary checks"
"H06 companion","Sensitivity map","mandatory clarity repair","Stored comparison labels are technical","Use plain names and state what changes in each sensitivity","All nine sensitivity roles and outputs unchanged","Exact registry-row and label mapping checks"
"H06 companion","Model-check displays","mandatory terminology repair","Logical and numerical-gate values are displayed as raw states","Map them to Meets numerical checks or Review needed","All convergence rank covariance and residual values unchanged","Raw-value and display-mapping checks"
"H06 companion","Temporal analysis","mandatory role clarity","Technical two-part details lead the subsection","Lead with nonlinear GAM timing context and keep technical formulas checks and AR explanation subordinate","No model or diagnostic change","Formula role and no-call checks"
"H06 companion","Technical code and output maps","optional harmonization","Accepted frozen and artifact-production labels dominate the late record","Use current scientific-role labels and keep exact paths hashes and commands in subordinate provenance","All files identities and producer relationships unchanged","Row-set and display-label checks"
"H06 companion","Endpoint preservation","mandatory scientific preservation","Structural movement could drop detailed outputs","Retain exactly 30 table and three figure endpoints once each","All captions alt text source links rows and values retained","Exact endpoint-set check"
"H06 pair","Dynamic links","mandatory navigation preservation","Existing relative links are correct and daily reciprocal context is now due","Retain hourly reciprocal Preparation 06 and deviation links; add only the approved daily result links","No hard-coded HTML build file or absolute page links","Target and anchor resolver"
"H06 pair","Existing tests","mandatory historical preservation","Current tests are render-coupled and contain historical wording and HTML expectations","Keep all three existing H06 tests byte-identical","Historical scientific and render evidence retained","Exact hash and byte checks"
"H06 pair","New source-only test","mandatory source seal","No current test validates the complete revised pair without stale HTML","Add one H06-scoped R 4.6.1 source-only harmonization test","No QMD execution or scientific recomputation","Parse endpoint formula token link vocabulary call and protection checks"
"H06 pair","Existing manifests","mandatory historical preservation","Current manifests are historical and have known mismatch sets","Keep all three manifests byte-identical and assert the exact current mismatch sets","Historical identities remain truthful","Exact hash byte row and mismatch-set checks"
"H06 pair","New source manifest","mandatory source seal","Revised sources need a non-circular current seal","Create a bounded order-37 source manifest without claiming live HTML","Scientific and historical artifacts pinned without rewrite","All-row hash and byte audit"
"H06 handoff","Current state","mandatory provenance repair","The handoff still leads with an obsolete author gate and older reader vocabulary","Refresh it for accepted hourly-main status final sources source-only evidence daily complement and later artifact/render holds","Scientific closure and all accepted values preserved","Handoff hash statement and role checks"
"H06 ownership","Disjoint scope","mandatory concurrency control","Parallel source work is allowed only for path-disjoint owner files","Restrict edits to H06 QMDs handoff new H06 test and H06 order evidence","No shared profile catalog matrix build daily or other-hypothesis edit","Scoped status and name-only diff"
"H06 rendering","REPORT-017 queue","mandatory hold","Shared build outputs and semantic hook require strict serialization","Do not render in order 37; request a separate result and companion release after source and artifact acceptance","No HTML search sitemap or semantic-hook mutation","Build inventory and no-render evidence"
