"logical_order","category","hypothesis","source","owner_task","scientific_status","safe_to_review","line_count","prose_nonblank_line_count","title","source_sha256","in_profile_render","render_position","in_sidebar","sidebar_position","expected_html","html_exists","html_sha256"
11,"preparation",,"notebooks/preparation/06_model_ready_datasets.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,2425,239,"Preparation 06: Build model-ready datasets","434b5e7ae4839b248b457253bb581ba867cbaa933dda0ba568a47645c092358b",TRUE,6,TRUE,8,"_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"8211aff02f0f886211347e1d363d721036bb08017bc06b773dacfd36320cd401"
12,"preparation",,"notebooks/preparation/07_example_days.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,965,102,"Preparation 07: Inspect example days from each study site","2285e7d173fb504b7ec47c247b4c8ad48bd0ec5304cacd60f022075a95d13a09",TRUE,7,TRUE,9,"_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,"e37609f5adab0a5b57ce96d0229e4bac07dae3c713fe28aca3da68066ba12bdc"
13,"result","H01","notebooks/hypotheses/H01.qmd","019fb4ce-d84c-73d1-be48-dc244be5b5f0","accepted; METRIC-011 integration complete",TRUE,2089,334,"H01: Site differences in personal light exposure","6a9c81d63e6b8b8ab67aa6886fe1bde36712f54f05b438a3298331eec92b8ed8",TRUE,12,TRUE,12,"_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"53a216ff0ae82b2e9177671d6330862832c1c5f2a9e79251e0da0acb5671260f"
14,"companion","H01","audit/hypotheses/H01/H01_analysis_preparation.qmd","019fb4ce-d84c-73d1-be48-dc244be5b5f0","accepted; METRIC-011 integration complete",TRUE,1305,171,"H01 analysis preparation and provenance","85d51304a3a5808efa6ec4cf7bded79a07a31ff639a6643ec49be67fb8ed6dcc",TRUE,13,TRUE,13,"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38"
15,"result","H02","notebooks/hypotheses/H02.qmd","019fb4d0-9d07-75a2-bb73-71cd6b2d0e44","accepted; no unresolved scientific gate",TRUE,1454,250,"H02: Daily melEDI patterns across sites and people","d2cc99a30ee9e6c8ece97e55bee05f4ff6d930fd10557a2407ff58f5335aaac1",TRUE,14,TRUE,14,"_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"df73f2f87d6d3bdc9acd44493a113e18b510884f0ecb8e2214b39dc3d71cb164"
16,"companion","H02","audit/hypotheses/H02/H02_analysis_preparation.qmd","019fb4d0-9d07-75a2-bb73-71cd6b2d0e44","accepted exemplar; no unresolved scientific gate",TRUE,1390,247,"H02 analysis preparation and provenance","52a1b3b85c4a375c44c0a2a83f542ea2663c7d233a6de18ed689cb2b7a0be557",TRUE,15,TRUE,15,"_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa"
17,"result","H03","notebooks/hypotheses/H03.qmd","019fbe52-c067-7521-b2cf-62d9398d173b","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1490,283,"H03: Self-reported light source and measured personal light exposure","c0bdeb080f143ad9d57520ab0eec0b9369138e0241f23c674318e2bef527324f",TRUE,16,TRUE,16,"_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"48a1f7d78ab7ce1f5aa25bd37e169c38a9fc121ab210077056b9f6db5a1a1d13"
18,"companion","H03","audit/hypotheses/H03/H03_analysis_preparation.qmd","019fbe52-c067-7521-b2cf-62d9398d173b","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1728,271,"H03 analysis preparation and provenance","dfc17bbb68db4815f3678e43b76f773007799692ea98a3880c3d47b532d77f76",FALSE,,FALSE,,"_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,"813492b5b1941716c1996f8a0c1b88c658e6eefb52e2569be62744fe965308bf"
19,"result","H04","notebooks/hypotheses/H04.qmd","019febf4-4868-72f3-bd97-31a85e86f8f0","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1593,254,"H04: Self-reported activity and measured personal light exposure","227d06605a098d9d317fe094bbd29c245065d37c5b217df533a7c2d18ac9e9cf",TRUE,17,TRUE,17,"_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"8e594ce56d9c3624a9b6bbd8b733d8544c64b4f7a125b57b2ff70597322e33e0"
20,"companion","H04","audit/hypotheses/H04/H04_analysis_preparation.qmd","019febf4-4868-72f3-bd97-31a85e86f8f0","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,2035,274,"H04 analysis preparation and provenance","72f7555edbbe5034b4638ab7f76405ad34144d5bada39438a8158108d02b1f05",FALSE,,FALSE,,"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,"df061eaf604e9acf3ff40e09c7b4bf22339368adad5c6e22181eb17aa6f765cd"
21,"result","H05","notebooks/hypotheses/H05.qmd","019fba35-6fd8-73c3-970f-e41f8b759bb6","accepted; METRIC-010/011 refresh complete",TRUE,1776,338,"H05: Habitual light-related behaviour and personal light exposure","3aab2f527d1024a05422bba061e9f8f27a5c9a2a316e439b7c6f535627ca476c",TRUE,18,TRUE,18,"_build/nathealth/notebooks/hypotheses/H05.html",TRUE,"58be9b4da8bb67a4322af7096472de1bf97c47d17c79f39078692577a2788b96"
22,"companion","H05","audit/hypotheses/H05/H05_analysis_preparation.qmd","019fba35-6fd8-73c3-970f-e41f8b759bb6","accepted; METRIC-010/011 refresh complete",TRUE,1813,285,"H05 analysis preparation and provenance","f8087740def5e4e75e5bf5eff82d9f58acf1865954a16919719a7280f3447bfc",TRUE,19,TRUE,19,"_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html",TRUE,"c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866"
23,"result","H06","notebooks/hypotheses/H06.qmd","019fbd4a-288b-7a72-ac70-2d17ba6d2f04","accepted main hourly H06 result; H06_daily is separate and deferred",TRUE,1414,215,"H06: Day type, exercise, sleep, and personal light exposure","44a461a44e26413bc919268de20a218b1a272cf442177ae4a732f2805f53f18b",TRUE,20,TRUE,20,"_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"ff3518c09a4322dc8a2c23a961f2ef3ffc8d124843874547a40415c8330fd555"
24,"companion","H06","audit/hypotheses/H06/H06_analysis_preparation.qmd","019fbd4a-288b-7a72-ac70-2d17ba6d2f04","accepted main hourly H06 companion; H06_daily is separate and deferred",TRUE,1408,191,"H06 analysis preparation and provenance","a4b35a1997fdae48b2e751d31a70147bd4149354eddd2a703d6473abbc67ea97",TRUE,21,TRUE,21,"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,"222894f4416f6f4d48bace8e9bfa9c08d22f22d613bf2b0c1e5440b0485efcae"
25,"result","H07","notebooks/hypotheses/H07.qmd","019fbe52-6781-7c32-bdcf-379c88ef1e78","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1118,205,"H07: Photoperiod and possible plateaus in personal light exposure","dab8e92873d0a128c8b0fe423cc28375aade3f3a926167be8c113c224fbe1cb0",TRUE,22,TRUE,22,"_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"c45058b98da10a0e86d8fc6ed6183cabe7997fdb33414942874102faf953068d"
26,"companion","H07","audit/hypotheses/H07/H07_analysis_preparation.qmd","019fbe52-6781-7c32-bdcf-379c88ef1e78","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1246,220,"H07 analysis preparation and provenance","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663",FALSE,,FALSE,,"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f"
27,"result","H08","notebooks/hypotheses/H08.qmd","019fbdb6-b6a8-7e53-8e84-7a2967af9ea5","accepted; METRIC-011 refresh complete",TRUE,1168,203,"H08: Visual light sensitivity and personal light exposure","13b3547cad0eb7eba37d090cc8f611de99407e71a7b7a0a6a5a29670c06834c0",TRUE,23,TRUE,23,"_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"a08a888a40ec58669c61a47b7500159388577eaad49ece5440b9bee9da6a93e1"
28,"companion","H08","audit/hypotheses/H08/H08_analysis_preparation.qmd","019fbdb6-b6a8-7e53-8e84-7a2967af9ea5","accepted; METRIC-011 refresh complete",TRUE,1342,203,"H08 analysis preparation and provenance","1a3c9ee012f58647556a5f397d8945e03633b7966522dc6996a23c231e30596d",TRUE,24,TRUE,24,"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html",TRUE,"95f5ba0aede0ee6cf0d1b65fcdc53623d52810f8316c846cb214b4fb34a5f135"
29,"result","H09","notebooks/hypotheses/H09.qmd","019fdc1b-b927-7fb1-ac61-88993c0a818a","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,907,194,"H09: Chronotype and timing of personal light exposure","bd365fb4f9e0e23fd1555e0a8db62f7d3a0ff9ad076eaaaf738ec22e698d50ff",TRUE,25,TRUE,25,"_build/nathealth/notebooks/hypotheses/H09.html",TRUE,"ce6c4c644af675e5feb25dcbc834b55c3ddfc87ec3dc581c95366edc0de067b1"
30,"companion","H09","audit/hypotheses/H09/H09_analysis_preparation.qmd","019fdc1b-b927-7fb1-ac61-88993c0a818a","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1073,183,"H09 analysis preparation and provenance","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",FALSE,,FALSE,,"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html",TRUE,"4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05"
31,"result","H10","notebooks/hypotheses/H10.qmd","019fdc1b-b77b-7972-aed0-784da328e115","accepted; METRIC-011 refresh complete",TRUE,904,108,"H10: Age, measured biological sex, and personal light exposure","b2589ca72b71782bfa0af1faa2634166a963948e84166fe8dba38d1d79350527",TRUE,26,TRUE,26,"_build/nathealth/notebooks/hypotheses/H10.html",TRUE,"6bd3da932b7f743c2c28b2b5abe7a3772fc2ee6587c75f6fff1dca8910332c84"
32,"companion","H10","audit/hypotheses/H10/H10_analysis_preparation.qmd","019fdc1b-b77b-7972-aed0-784da328e115","accepted; METRIC-011 refresh complete",TRUE,1388,213,"H10 analysis preparation and provenance","52742f1ce080649c0c3008a00c8fe5122e7acf645202a14bd86d3ea82fe90623",TRUE,27,TRUE,27,"_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,"efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8"
33,"result","H11","notebooks/hypotheses/H11.qmd","019fba59-0f3c-74a0-ab3d-58d389365ad1","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1208,303,"H11: Biological sex and daily personal light-exposure patterns","e4f13510317e62888f7fd785bacd8bd20ad9f3e90d24fa7bc9dc59e7215ec2e7",TRUE,28,TRUE,28,"_build/nathealth/notebooks/hypotheses/H11.html",TRUE,"c5724711ad1aa94631df0b6186fee92398d414ae02690ade08f320b29d6b6db7"
34,"companion","H11","audit/hypotheses/H11/H11_analysis_preparation.qmd","019fba59-0f3c-74a0-ab3d-58d389365ad1","author-approved Stage 3/4; locally verified; shared navigation integration pending",TRUE,1359,247,"H11 analysis preparation and provenance","a2d25df408b7282691342a19b030427c2fea6111a04719ffb8c6e382bab92def",FALSE,,FALSE,,"_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html",TRUE,"fd6307a6a2e9365f95f18f1fd668165cf833847cab58bac9d3be1e8a9b6dde11"
35,"shared",,"notebooks/sensitivity_battery.qmd","019faf58-3df3-7383-8034-f715cdfdd154","shared sensitivity page; reviewable but assembly-dependent",TRUE,79,50,"Planned sensitivity checks","d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70",TRUE,29,TRUE,31,"_build/nathealth/notebooks/sensitivity_battery.html",TRUE,"b9af89c035391db6e39c55064b1de7309220702d626fa2fa274000b22b879780"
36,"shared",,"notebooks/assemble_artifacts.qmd","019faf58-3df3-7383-8034-f715cdfdd154","shared assembly page; reviewable but output-dependent",TRUE,40,17,"Build publication tables and figures","fa3426b7bafdebcb3fc34bdf979393e2b0d1d993eca033a72af2df42c8315314",TRUE,30,TRUE,32,"_build/nathealth/notebooks/assemble_artifacts.html",FALSE,
37,"internal_workflow",,"audit/hypotheses/implementation_result_comparison_contract.qmd","019faf58-3df3-7383-8034-f715cdfdd154","internal production contract currently exposed in reader navigation",TRUE,308,242,"How each hypothesis will be compared","77da56a05dcb2627b712932bc1782d45d1e441f60ca80e2b061edfa4d217ce3b",TRUE,8,TRUE,29,"_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html",TRUE,"f866ce43ee767c92cde2fb39f88fa2f89925b34dff3936666f377841dbac8e7d"
38,"internal_workflow",,"audit/hypotheses/H03-H11_gated_workflow.qmd","019faf58-3df3-7383-8034-f715cdfdd154","internal production workflow currently exposed in reader navigation",TRUE,407,323,"How H03–H11 will be reviewed and rebuilt","ba749fea6d198aaeef58c45e2b46a30b3f248f0a2eb8bb38d22d6b68077ae68e",TRUE,9,TRUE,30,"_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html",TRUE,"63710ee8e266136ddce389d974e8ae7138421d25277c2ce650425c1598adafda"
