"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"audit/hypotheses/H07/H07_analysis_preparation.qmd","released companion source","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,49762,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","stale build companion source","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663",45382,45382,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","stale companion HTML","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,641597,"PASS"
"audit/hypotheses/H07/H07_analysis_preparation.html","source-side historical HTML","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,641597,"PASS"
"scripts/hypotheses/H07/build_h07_preparation_report_manifest.R","dedicated helper","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508",10592,10592,"PASS"
"artifacts/12_manifests/H07/H07_preparation_report_manifest.csv","stale preparation manifest","7e3cbf59f5f9bd530f3370848340c12d01447b0dc25c1189c4e347a1fe204ad0","7e3cbf59f5f9bd530f3370848340c12d01447b0dc25c1189c4e347a1fe204ad0",335124,335124,"PASS"
"tests/hypotheses/H07/test_h07_preparation_report.R","held preparation test","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558",12912,12912,"PASS"
"tests/hypotheses/H07/test_h07_stage3_reader_report.R","result reader test","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17",8435,8435,"PASS"
"_quarto-nathealth.yml","normal profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","semantic wrapper","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,21453,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","semantic engine","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,17747,"PASS"
"audit/report_harmonization/phase4_corpus_manifest.csv","shared corpus manifest","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,11937,"PASS"
"audit/handoffs/H07_worker_handoff.md","H07 handoff","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e",27270,27270,"PASS"
"artifacts/10_figures/H07/preparation/H07_preparation_metric_sample_support.png","preparation figure","603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7","603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7",158151,158151,"PASS"
"artifacts/10_figures/H07/preparation/H07_preparation_site_photoperiod_ranges.png","preparation figure","00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4","00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4",146588,146588,"PASS"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","accepted result figure","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848,643848,"PASS"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_chest.png","accepted result figure","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5",650084,650084,"PASS"
"renv.lock","lockfile","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,603493,"PASS"
