"category","endpoint","path","exists","sha256","bytes","expected_sha256","status"
"manifest","preparation report manifest","artifacts/12_manifests/H07/H07_preparation_report_manifest.csv",TRUE,"db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2",335146,"db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2","PRESENT"
"profile","normal nathealth profile","_quarto-nathealth.yml",TRUE,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","PRESENT"
"helper","dedicated preparation manifest helper","scripts/hypotheses/H07/build_h07_preparation_report_manifest.R",TRUE,"9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508",10592,"9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508","PRESENT"
"test","held preparation test","tests/hypotheses/H07/test_h07_preparation_report.R",TRUE,"89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558",12912,"89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558","PRESENT"
"test","executed unchanged result reader test","tests/hypotheses/H07/test_h07_stage3_reader_report.R",TRUE,"84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17",8435,"84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17","PRESENT"
"semantic","external semantic summary","/private/tmp/H07-order53-semantic.tbIeZC/gt_html_semantic_post_render_summary.csv",TRUE,"43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334",498,"43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334","PRESENT"
"semantic","external semantic ledger","/private/tmp/H07-order53-semantic.tbIeZC/001__build__nathealth__audit__hypotheses__H07__H07_analysis_preparation.html_gt_semantic_ledger.csv",TRUE,"5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f",222598,"5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f","PRESENT"
"semantic","durable semantic summary copy","audit/hypotheses/H07/report018_order53_companion_render/gt_html_semantic_post_render_summary.csv",TRUE,"43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334",498,"43df6cca4556ed9ce4d42f19207940dcfa435f67290a317120c2188690d98334","PRESENT"
"semantic","durable semantic ledger copy","audit/hypotheses/H07/report018_order53_companion_render/001__build__nathealth__audit__hypotheses__H07__H07_analysis_preparation.html_gt_semantic_ledger.csv",TRUE,"5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f",222598,"5269f9d8ea846195387a15372772d0d286fabc0661d9e8eb7181f448372e5a1f","PRESENT"
"figure","fig-h07-prep-metric-sample-support source PNG","artifacts/10_figures/H07/preparation/H07_preparation_metric_sample_support.png",TRUE,"603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7",158151,"603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7","PRESENT"
"figure","fig-h07-prep-site-photoperiod-ranges source PNG","artifacts/10_figures/H07/preparation/H07_preparation_site_photoperiod_ranges.png",TRUE,"00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4",146588,"00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4","PRESENT"
"native_gt_table","tbl-h07-preparation-contributions","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-input-identities","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-frame-integrity","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-sample-ranges","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-metric-samples","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-site-support","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-metric-contract","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-formulas","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-fit-settings","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-derivative-settings","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-pattern-counts","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-diagnostic-summary","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-tweedie-pilot","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-sensitivity-samples","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-sensitivity-classifications","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-model-form","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-loso","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-metric011","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-code-order","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-output-map","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"native_gt_table","tbl-h07-preparation-environment","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"png_figure","fig-h07-prep-metric-sample-support","_build/nathealth/artifacts/10_figures/H07/preparation/H07_preparation_metric_sample_support.png",TRUE,"603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7",158151,"603afa8def8ff640003daaef806ee390d513df9bb6f6307fa300dba4ad5ba8a7","PASS"
"png_figure","fig-h07-prep-site-photoperiod-ranges","_build/nathealth/artifacts/10_figures/H07/preparation/H07_preparation_site_photoperiod_ranges.png",TRUE,"00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4",146588,"00d687082780c65d07467fdf730ac8bcf0bd97af11a03af156dc38020b815eb4","PASS"
"mermaid_diagram","fig-h07-preparation-map","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"07d97917fe2fd33abe6c4359ac5d7fe54ef09d86f8d3ebaeb631850d7768a4fd",,"07d97917fe2fd33abe6c4359ac5d7fe54ef09d86f8d3ebaeb631850d7768a4fd","PASS"
"missing_historical_asset","bootstrap-138a6193a3bd40baf1e627da441a4734.min.css","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css",FALSE,"",,"a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec","MISSING"
"missing_historical_asset","bootstrap-icons.css","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css",FALSE,"",,"01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a","MISSING"
"missing_historical_asset","bootstrap-icons.woff","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff",FALSE,"",,"f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15","MISSING"
"missing_historical_asset","bootstrap.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap.min.js",FALSE,"",,"d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5","MISSING"
"missing_historical_asset","clipboard.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/clipboard/clipboard.min.js",FALSE,"",,"e17a1d816e13c0826e0ed7febfabc3277f45571234bde0bf9120829a7169edc9","MISSING"
"missing_historical_asset","mermaid-init.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js",FALSE,"",,"a68a1b7deabddb8dafadefbeec74f61f0e0c549539547843a3189a2665f3ea7a","MISSING"
"missing_historical_asset","mermaid.css","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.css",FALSE,"",,"7cde9e49bfab3857c4bd590b86c15c2f46d4b4bdc4af4c9cc3e0480cbd249562","MISSING"
"missing_historical_asset","mermaid.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js",FALSE,"",,"07e37dfa97b337ccc85365d57eddf99b9706f09db3b59b260d0333b23b343c4b","MISSING"
"missing_historical_asset","anchor.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/anchor.min.js",FALSE,"",,"69098e105d990f834cff1b7886d873444228ff63c590e5ff834d568f1115ed8b","MISSING"
"missing_historical_asset","popper.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/popper.min.js",FALSE,"",,"4d50586b184724d39ddfe0f6582861664eddd5e806e5a79e0dbaa832361414d0","MISSING"
"missing_historical_asset","quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css",FALSE,"",,"96d688dbd4c2de66404fd9b0e75d5b62573cbece9ee7011ca24d8bce1bbe044c","MISSING"
"missing_historical_asset","quarto.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto.js",FALSE,"",,"4ecb60f215d96b2af0fe9d985c71e32863b1c993a64725a416ac18b5991c59c6","MISSING"
"missing_historical_asset","tabsets.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js",FALSE,"",,"a9c226bf70e82eaf5476f619cecfb70b4446b87ce4d1634d6404b0b2ba006d15","MISSING"
"missing_historical_asset","tippy.css","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.css",FALSE,"",,"5969f497d9158d7682f8219c6f13fa67269cdf5bf50a3931d95327151dee5678","MISSING"
"missing_historical_asset","tippy.umd.min.js","audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js",FALSE,"",,"41181eeec6d7ba64cb9165f0e95563e34e026bde79e7c13aeec83270429b6fae","MISSING"
"missing_historical_html","H07_analysis_preparation.html","audit/hypotheses/H07/H07_analysis_preparation.html",FALSE,"",,"53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","MISSING"
