"display","role","fragment","path","exists","raw_html_fence","native_gt_source","included_once","render_id","rendered_gt_count","sha256"
"H07 detailed table","supplementary","tbl-h07-near-results.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html",TRUE,TRUE,TRUE,TRUE,"tbl-h07-near-results",1,"1cbb1acff08b72533b7fe9e9caf89fdda50585d836fc32d477299c70e78013ce"
"Hourly H06 table","supplementary","tbl-h06-primary-effects.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html",TRUE,TRUE,TRUE,TRUE,"tbl-h06-primary-effects",1,"d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c"
"Supplementary Table S7","supplementary","tbl-h06-daily-primary-matrix.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-daily-primary-matrix.html",TRUE,TRUE,TRUE,TRUE,"tbl-h06-daily-primary-matrix",1,"fb91d074a3316916ffcbe4896d14e7e34f7e7bb6c042cfc46e7b7c9491a051c4"
"Supplementary Table S8","supplementary","remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html",TRUE,TRUE,TRUE,TRUE,"tbl-plan-person-level-synthesis-gt-candidate",1,"2f9d810b7bde443181f73c3bb16d81dff68363aae177e7db2b7a9a3e01be4b41"
"Supplementary Table S9","supplementary","tbl-h05-near-results-a.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-a.html",TRUE,TRUE,TRUE,TRUE,"tbl-h05-near-results-a",1,"37ba60ddf9becb8f46ebdc4d8159a2cfdf55709cf46e0db3b3affff07a626c4d"
"Supplementary Table S9","supplementary","tbl-h05-near-results-b.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-b.html",TRUE,TRUE,TRUE,TRUE,"tbl-h05-near-results-b",1,"92390b30a8a9218a63bea2e85208d435b99e0cf74ebd50bccad04fcb99ad673b"
"Supplementary Table S10","supplementary","tbl-h08-near-eye-results.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h08-near-eye-results.html",TRUE,TRUE,TRUE,TRUE,"tbl-h08-near-eye-results",1,"0691c6c8c61428eec8c3448bea5d095db7c22bbcf38ab39097b8b63064c09c88"
"Supplementary Table S11","supplementary","tbl-h09-near-eye-results.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h09-near-eye-results.html",TRUE,TRUE,TRUE,TRUE,"tbl-h09-near-eye-results",1,"5bccd351c73c410a9dbef0823e012f9db741c055ad11e31eb85349cebe454fd9"
"Supplementary Table S12","supplementary","tbl-h10-main-results.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h10-main-results.html",TRUE,TRUE,TRUE,TRUE,"tbl-h10-main-results",1,"b511c4fcc0a95c7e58d940816dd38fe63f9c6dffde782e6f736e285ba8e31193"
"Supplementary Table S13","supplementary","tbl-h11-global-tests.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html",TRUE,TRUE,TRUE,TRUE,"tbl-h11-global-tests",1,"8230f1f41789ab7662b57ab3bdc6bef3bbd9dd6d2c0f1f8e125a844594269c76"
