placement,site,participant_key,local_date,fitted_duration_hours,metric_support_expected_minutes,pre_sleep_source_intervals,pre_sleep_interval_minutes_on_date
chest,IZTECH,IZTECH::IZTECH_S002,2025-01-10,2.933333333333333,208,2,208
chest,UCR,UCR::UCR_S027,2025-08-10,2.9166666666666665,305,2,305
chest,UCR,UCR::UCR_S029,2025-08-16,2.9,190,2,190
chest,UCR,UCR::UCR_S035,2025-08-29,2.9,255,2,255
chest,FUSPCEU,FUSPCEU::FUSPCEU_S009,2024-11-10,2.8833333333333333,216,2,216
chest,THUAS,THUAS::THUAS_S001,2025-02-26,2.8666666666666667,190,2,190
chest,TUM,TUM::TUM_S002,2024-06-02,2.8666666666666667,225,2,225
chest,UCR,UCR::UCR_S021,2025-07-24,2.8666666666666667,236,2,236
chest,UCR,UCR::UCR_S033,2025-08-24,2.8333333333333335,230,2,230
chest,FUSPCEU,FUSPCEU::FUSPCEU_S014,2024-11-21,2.816666666666667,220,2,220
chest,IZTECH,IZTECH::IZTECH_S002,2025-01-12,2.816666666666667,220,2,220
chest,THUAS,THUAS::THUAS_S016,2025-07-12,2.816666666666667,210,2,210
chest,UCR,UCR::UCR_S031,2025-08-22,2.716666666666667,205,2,205
chest,FUSPCEU,FUSPCEU::FUSPCEU_S023,2025-01-31,2.7,222,2,222
chest,KNUST,KNUST::KNUST_S014,2025-01-22,2.7,216,2,216
chest,UCR,UCR::UCR_S031,2025-08-20,2.7,184,2,184
chest,TUM,TUM::TUM_S002,2024-05-29,2.5833333333333335,185,2,185
chest,IZTECH,IZTECH::IZTECH_S015,2025-04-29,2.55,192,2,192
chest,IZTECH,IZTECH::IZTECH_S004,2025-01-26,2.533333333333333,225,2,225
chest,THUAS,THUAS::THUAS_S005,2025-03-29,2.5,228,2,228
chest,UCR,UCR::UCR_S025,2025-08-09,2.5,250,2,250
chest,TUM,TUM::TUM_S004,2024-06-13,2.466666666666667,210,2,210
chest,UCR,UCR::UCR_S003,2025-06-19,2.466666666666667,330,2,330
chest,UCR,UCR::UCR_S037,2025-08-29,2.4166666666666665,195,2,195
chest,IZTECH,IZTECH::IZTECH_S016,2025-05-11,2.3666666666666667,210,2,210
chest,UCR,UCR::UCR_S038,2025-08-28,2.3666666666666667,270,2,270
chest,UCR,UCR::UCR_S008,2025-07-06,2.35,195,2,195
chest,IZTECH,IZTECH::IZTECH_S009,2025-03-20,2.283333333333333,205,2,205
chest,THUAS,THUAS::THUAS_S011,2025-05-16,2.2333333333333334,210,2,210
chest,IZTECH,IZTECH::IZTECH_S014,2025-05-04,2.216666666666667,305,2,305
chest,THUAS,THUAS::THUAS_S011,2025-05-18,2.2,270,2,270
chest,IZTECH,IZTECH::IZTECH_S015,2025-05-03,2.1333333333333333,210,2,210
chest,THUAS,THUAS::THUAS_S018,2025-09-28,2.1166666666666667,185,2,185
chest,FUSPCEU,FUSPCEU::FUSPCEU_S013,2024-11-24,1.9666666666666666,210,2,210
chest,TUM,TUM::TUM_S007,2024-07-04,1.95,195,2,195
chest,UCR,UCR::UCR_S006,2025-06-29,1.9166666666666667,240,2,240
chest,IZTECH,IZTECH::IZTECH_S017,2025-05-31,1.9,235,2,235
chest,IZTECH,IZTECH::IZTECH_S008,2025-03-06,1.8666666666666667,190,2,190
chest,UCR,UCR::UCR_S017,2025-07-15,1.8666666666666667,285,2,285
chest,FUSPCEU,FUSPCEU::FUSPCEU_S004,2024-10-12,1.8333333333333333,183,2,183
chest,THUAS,THUAS::THUAS_S020,2025-10-13,1.8333333333333333,205,2,205
chest,TUM,TUM::TUM_S006,2024-06-25,1.8333333333333333,195,2,195
chest,UCR,UCR::UCR_S007,2025-07-05,1.8166666666666667,285,2,285
chest,UCR,UCR::UCR_S016,2025-07-15,1.8,190,2,190
chest,IZTECH,IZTECH::IZTECH_S017,2025-05-30,1.7333333333333334,185,2,185
chest,KNUST,KNUST::KNUST_S012,2025-01-10,1.7166666666666666,185,2,185
chest,FUSPCEU,FUSPCEU::FUSPCEU_S025,2025-02-09,1.7,285,2,285
chest,IZTECH,IZTECH::IZTECH_S012,2025-04-27,1.7,196,2,196
chest,IZTECH,IZTECH::IZTECH_S005,2025-01-23,1.6333333333333333,195,2,195
chest,THUAS,THUAS::THUAS_S020,2025-10-12,1.5666666666666667,235,2,235
chest,BAUA,BAUA::BAUA_S014,2025-07-20,1.55,227,2,227
chest,KNUST,KNUST::KNUST_S014,2025-01-25,1.5333333333333334,190,2,190
chest,THUAS,THUAS::THUAS_S016,2025-07-13,1.5166666666666666,270,2,270
chest,UCR,UCR::UCR_S029,2025-08-12,1.4833333333333334,198,2,198
chest,IZTECH,IZTECH::IZTECH_S005,2025-01-26,1.4666666666666666,205,2,205
chest,IZTECH,IZTECH::IZTECH_S003,2025-01-09,1.4166666666666667,240,2,240
chest,UCR,UCR::UCR_S008,2025-07-01,1.4166666666666667,210,2,210
chest,UCR,UCR::UCR_S039,2025-08-31,1.3,225,2,225
chest,IZTECH,IZTECH::IZTECH_S004,2025-01-23,1.2666666666666666,195,2,195
chest,THUAS,THUAS::THUAS_S003,2025-03-21,1.2666666666666666,240,2,240
chest,UCR,UCR::UCR_S009,2025-07-01,1.2666666666666666,215,2,215
chest,FUSPCEU,FUSPCEU::FUSPCEU_S013,2024-11-21,1.2333333333333334,210,2,210
chest,IZTECH,IZTECH::IZTECH_S003,2025-01-07,1.2,280,2,280
chest,IZTECH,IZTECH::IZTECH_S003,2025-01-10,1.1166666666666667,190,2,190
chest,UCR,UCR::UCR_S040,2025-09-06,1.0833333333333333,195,2,195
chest,IZTECH,IZTECH::IZTECH_S011,2025-04-20,1.05,270,2,270
chest,FUSPCEU,FUSPCEU::FUSPCEU_S022,2025-02-02,0.9666666666666667,195,2,195
chest,UCR,UCR::UCR_S020,2025-07-26,0.85,200,2,200
chest,UCR,UCR::UCR_S027,2025-08-06,0.7833333333333333,195,2,195
chest,IZTECH,IZTECH::IZTECH_S011,2025-04-17,0.75,210,2,210
chest,THUAS,THUAS::THUAS_S020,2025-10-09,0.6166666666666667,222,2,222
chest,IZTECH,IZTECH::IZTECH_S011,2025-04-15,0.5166666666666667,240,2,240
chest,TUM,TUM::TUM_S001,2024-05-17,0.5,225,2,225
chest,TUM,TUM::TUM_S007,2024-07-03,0.4666666666666667,210,2,210
chest,UCR,UCR::UCR_S019,2025-07-26,0.23333333333333334,211,2,211
glasses,MPI,MPI::MPI_S226,2023-11-02,5.9,360,2,360
glasses,MPI,MPI::MPI_S230,2023-11-12,5.9,360,2,360
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S020,2025-01-26,5.483333333333333,360,2,360
glasses,MPI,MPI::MPI_S226,2023-11-05,5.416666666666667,325,2,325
glasses,IZTECH,IZTECH::IZTECH_S001,2024-12-25,4.633333333333334,360,2,360
glasses,MPI,MPI::MPI_S221,2023-10-28,4.6,330,2,330
glasses,RISE,RISE::RISE_S003,2025-03-23,4.533333333333333,285,2,285
glasses,TUM,TUM::TUM_S001,2024-05-19,4.533333333333333,290,2,290
glasses,MPI,MPI::MPI_S224,2023-11-04,4.433333333333334,275,2,275
glasses,THUAS,THUAS::THUAS_S015,2025-07-13,4.25,265,2,265
glasses,TUM,TUM::TUM_S004,2024-06-14,4,240,2,240
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S008,2024-10-27,3.966666666666667,300,2,300
glasses,TUM,TUM::TUM_S002,2024-05-30,3.9,245,2,245
glasses,RISE,RISE::RISE_S007,2025-04-17,3.8666666666666667,232,2,232
glasses,KNUST,KNUST::KNUST_S009,2024-12-03,3.85,255,2,255
glasses,BAUA,BAUA::BAUA_S005,2025-06-15,3.8,242,2,242
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S009,2024-11-05,3.783333333333333,250,2,250
glasses,TUM,TUM::TUM_S005,2024-06-23,3.75,360,2,360
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S014,2024-11-21,3.6666666666666665,220,2,220
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-09,3.6666666666666665,240,2,240
glasses,MPI,MPI::MPI_S219,2023-10-21,3.6666666666666665,225,2,225
glasses,BAUA,BAUA::BAUA_S004,2025-06-15,3.65,300,2,300
glasses,IZTECH,IZTECH::IZTECH_S012,2025-04-25,3.6166666666666667,255,2,255
glasses,THUAS,THUAS::THUAS_S001,2025-02-28,3.6166666666666667,220,2,220
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S004,2024-10-13,3.5833333333333335,216,2,216
glasses,MPI,MPI::MPI_S201,2023-08-20,3.55,250,2,250
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S008,2024-10-23,3.5,210,2,210
glasses,KNUST,KNUST::KNUST_S011,2024-12-20,3.4833333333333334,210,2,210
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-06,3.466666666666667,210,2,210
glasses,KNUST,KNUST::KNUST_S009,2024-12-05,3.466666666666667,210,2,210
glasses,MPI,MPI::MPI_S221,2023-10-26,3.45,210,2,210
glasses,IZTECH,IZTECH::IZTECH_S001,2024-12-27,3.433333333333333,270,2,270
glasses,THUAS,THUAS::THUAS_S001,2025-02-24,3.433333333333333,228,2,228
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-08,3.4166666666666665,270,2,270
glasses,MPI,MPI::MPI_S219,2023-10-22,3.4,210,2,210
glasses,BAUA,BAUA::BAUA_S005,2025-06-11,3.3833333333333333,225,2,225
glasses,IZTECH,IZTECH::IZTECH_S015,2025-04-30,3.3833333333333333,228,2,228
glasses,RISE,RISE::RISE_S002,2025-03-23,3.3833333333333333,216,2,216
glasses,IZTECH,IZTECH::IZTECH_S007,2025-03-01,3.3666666666666667,227,2,227
glasses,MPI,MPI::MPI_S202,2023-08-17,3.3666666666666667,225,2,225
glasses,MPI,MPI::MPI_S219,2023-10-18,3.3666666666666667,230,2,230
glasses,IZTECH,IZTECH::IZTECH_S015,2025-05-02,3.35,210,2,210
glasses,THUAS,THUAS::THUAS_S002,2025-03-09,3.3333333333333335,200,2,200
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-05,3.316666666666667,240,2,240
glasses,TUM,TUM::TUM_S010,2024-07-25,3.316666666666667,209,2,209
glasses,IZTECH,IZTECH::IZTECH_S001,2024-12-29,3.3,225,2,225
glasses,TUM,TUM::TUM_S010,2024-07-28,3.3,210,2,210
glasses,BAUA,BAUA::BAUA_S022,2025-09-27,3.283333333333333,205,2,205
glasses,MPI,MPI::MPI_S218,2023-10-18,3.283333333333333,200,2,200
glasses,BAUA,BAUA::BAUA_S015,2025-07-27,3.25,240,2,240
glasses,UCR,UCR::UCR_S004,2025-06-29,3.25,200,2,200
glasses,TUM,TUM::TUM_S009,2024-07-18,3.1666666666666665,190,2,190
glasses,BAUA,BAUA::BAUA_S015,2025-07-24,3.15,195,2,195
glasses,UCR,UCR::UCR_S001,2025-06-22,3.15,205,2,205
glasses,TUM,TUM::TUM_S006,2024-06-30,3.1333333333333333,295,2,295
glasses,TUM,TUM::TUM_S002,2024-06-01,3.1166666666666667,195,2,195
glasses,IZTECH,IZTECH::IZTECH_S009,2025-03-24,3.0833333333333335,242,2,242
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S009,2024-11-10,3.05,216,2,216
glasses,MPI,MPI::MPI_S218,2023-10-17,3.0166666666666666,205,2,205
glasses,RISE,RISE::RISE_S002,2025-03-18,3.0166666666666666,234,2,234
glasses,THUAS,THUAS::THUAS_S003,2025-03-21,3.0166666666666666,240,2,240
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S016,2024-11-27,3,240,2,240
glasses,IZTECH,IZTECH::IZTECH_S017,2025-05-27,3,290,2,290
glasses,KNUST,KNUST::KNUST_S006,2024-11-15,2.9833333333333334,190,2,190
glasses,MPI,MPI::MPI_S228,2023-11-11,2.9166666666666665,186,2,186
glasses,THUAS,THUAS::THUAS_S001,2025-02-26,2.9166666666666665,190,2,190
glasses,TUM,TUM::TUM_S002,2024-06-02,2.816666666666667,225,2,225
glasses,BAUA,BAUA::BAUA_S005,2025-06-13,2.8,270,2,270
glasses,MPI,MPI::MPI_S223,2023-11-05,2.783333333333333,240,2,240
glasses,MPI,MPI::MPI_S231,2023-11-11,2.783333333333333,190,2,190
glasses,THUAS,THUAS::THUAS_S016,2025-07-12,2.783333333333333,210,2,210
glasses,IZTECH,IZTECH::IZTECH_S016,2025-05-11,2.7666666666666666,210,2,210
glasses,MPI,MPI::MPI_S216,2023-10-04,2.75,225,2,225
glasses,MPI,MPI::MPI_S222,2023-10-29,2.75,306,2,306
glasses,BAUA,BAUA::BAUA_S011,2025-06-29,2.7333333333333334,240,2,240
glasses,THUAS,THUAS::THUAS_S005,2025-03-29,2.7,228,2,228
glasses,TUM,TUM::TUM_S009,2024-07-17,2.65,230,2,230
glasses,UCR,UCR::UCR_S003,2025-06-19,2.65,330,2,330
glasses,KNUST,KNUST::KNUST_S014,2025-01-22,2.6,216,2,216
glasses,TUM,TUM::TUM_S004,2024-06-13,2.566666666666667,210,2,210
glasses,TUM,TUM::TUM_S002,2024-05-29,2.533333333333333,185,2,185
glasses,MPI,MPI::MPI_S222,2023-10-25,2.5,255,2,255
glasses,IZTECH,IZTECH::IZTECH_S004,2025-01-26,2.4833333333333334,225,2,225
glasses,MPI,MPI::MPI_S204,2023-08-19,2.466666666666667,300,2,300
glasses,UCR,UCR::UCR_S005,2025-06-26,2.2666666666666666,360,2,360
glasses,IZTECH,IZTECH::IZTECH_S015,2025-04-29,2.25,192,2,192
glasses,TUM,TUM::TUM_S007,2024-07-04,2.2333333333333334,195,2,195
glasses,BAUA,BAUA::BAUA_S006,2025-06-11,2.216666666666667,185,2,185
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S023,2025-01-31,2.216666666666667,222,2,222
glasses,MPI,MPI::MPI_S223,2023-11-04,2.216666666666667,195,2,195
glasses,THUAS,THUAS::THUAS_S010,2025-06-08,2.216666666666667,246,2,246
glasses,TUM,TUM::TUM_S009,2024-07-20,2.216666666666667,247,2,247
glasses,IZTECH,IZTECH::IZTECH_S002,2025-01-10,2.2,208,2,208
glasses,IZTECH,IZTECH::IZTECH_S002,2025-01-12,2.1666666666666665,220,2,220
glasses,MPI,MPI::MPI_S227,2023-11-05,2.1666666666666665,210,2,210
glasses,IZTECH,IZTECH::IZTECH_S002,2025-01-09,2.1166666666666667,282,2,282
glasses,IZTECH,IZTECH::IZTECH_S015,2025-05-03,2.1166666666666667,210,2,210
glasses,MPI,MPI::MPI_S210,2023-09-05,2.1166666666666667,200,2,200
glasses,IZTECH,IZTECH::IZTECH_S013,2025-04-25,2.0833333333333335,360,2,360
glasses,IZTECH,IZTECH::IZTECH_S014,2025-05-04,1.9833333333333334,305,2,305
glasses,BAUA,BAUA::BAUA_S018,2025-09-09,1.95,195,2,195
glasses,UCR,UCR::UCR_S006,2025-06-29,1.9333333333333333,240,2,240
glasses,IZTECH,IZTECH::IZTECH_S017,2025-05-31,1.9,235,2,235
glasses,TUM,TUM::TUM_S006,2024-06-25,1.85,195,2,195
glasses,MPI,MPI::MPI_S230,2023-11-10,1.8333333333333333,181,2,181
glasses,MPI,MPI::MPI_S213,2023-09-16,1.8166666666666667,235,2,235
glasses,IZTECH,IZTECH::IZTECH_S009,2025-03-20,1.8,205,2,205
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S004,2024-10-12,1.75,183,2,183
glasses,THUAS,THUAS::THUAS_S011,2025-05-18,1.7166666666666666,270,2,270
glasses,BAUA,BAUA::BAUA_S014,2025-07-20,1.65,227,2,227
glasses,MPI,MPI::MPI_S227,2023-11-04,1.6166666666666667,185,2,185
glasses,MPI,MPI::MPI_S204,2023-08-17,1.5666666666666667,240,2,240
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S013,2024-11-24,1.5166666666666666,210,2,210
glasses,IZTECH,IZTECH::IZTECH_S017,2025-05-30,1.5166666666666666,185,2,185
glasses,THUAS,THUAS::THUAS_S016,2025-07-13,1.5166666666666666,270,2,270
glasses,MPI,MPI::MPI_S210,2023-09-08,1.4833333333333334,184,2,184
glasses,IZTECH,IZTECH::IZTECH_S005,2025-01-23,1.4,195,2,195
glasses,IZTECH,IZTECH::IZTECH_S012,2025-04-27,1.4,196,2,196
glasses,MPI,MPI::MPI_S215,2023-10-03,1.4,195,2,195
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S025,2025-02-09,1.3666666666666667,285,2,285
glasses,KNUST,KNUST::KNUST_S014,2025-01-25,1.35,190,2,190
glasses,IZTECH,IZTECH::IZTECH_S008,2025-03-06,1.3166666666666667,190,2,190
glasses,IZTECH,IZTECH::IZTECH_S005,2025-01-26,1.3,205,2,205
glasses,MPI,MPI::MPI_S216,2023-10-06,1.2833333333333334,215,2,215
glasses,THUAS,THUAS::THUAS_S011,2025-05-16,1.25,210,2,210
glasses,MPI,MPI::MPI_S206,2023-08-29,1.2,270,2,270
glasses,IZTECH,IZTECH::IZTECH_S011,2025-04-20,1.15,270,2,270
glasses,MPI,MPI::MPI_S221,2023-10-29,1.1333333333333333,195,2,195
glasses,IZTECH,IZTECH::IZTECH_S004,2025-01-23,1.0666666666666667,195,2,195
glasses,MPI,MPI::MPI_S208,2023-09-06,1.0333333333333334,227,2,227
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S022,2025-02-02,0.9833333333333333,195,2,195
glasses,MPI,MPI::MPI_S210,2023-09-06,0.9666666666666667,190,2,190
glasses,IZTECH,IZTECH::IZTECH_S003,2025-01-07,0.9333333333333333,280,2,280
glasses,MPI,MPI::MPI_S208,2023-09-07,0.9,195,2,195
glasses,FUSPCEU,FUSPCEU::FUSPCEU_S013,2024-11-21,0.8666666666666667,210,2,210
glasses,IZTECH,IZTECH::IZTECH_S003,2025-01-09,0.8,240,2,240
glasses,IZTECH,IZTECH::IZTECH_S011,2025-04-17,0.75,210,2,210
glasses,MPI,MPI::MPI_S227,2023-11-01,0.75,240,2,240
glasses,IZTECH,IZTECH::IZTECH_S011,2025-04-15,0.6333333333333333,240,2,240
glasses,MPI,MPI::MPI_S209,2023-09-10,0.6,220,2,220
glasses,MPI,MPI::MPI_S206,2023-09-01,0.5666666666666667,245,2,245
glasses,MPI,MPI::MPI_S228,2023-11-12,0.5333333333333333,181,2,181
glasses,TUM,TUM::TUM_S007,2024-07-03,0.5333333333333333,210,2,210
glasses,MPI,MPI::MPI_S209,2023-09-05,0.4,238,2,238
glasses,IZTECH,IZTECH::IZTECH_S003,2025-01-10,0.38333333333333336,190,2,190
glasses,MPI,MPI::MPI_S209,2023-09-09,0.1,200,2,200
glasses,KNUST,KNUST::KNUST_S012,2025-01-10,0.08333333333333333,185,2,185
glasses,TUM,TUM::TUM_S001,2024-05-17,0.06666666666666667,225,2,225
