run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,gate_role,named_alternative,primary_near_eye,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,sample_status,converged,positive_definite_hessian,singular,residual_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,prediction_bound_status,observed_below_bound_n,observed_above_bound_n,predicted_below_bound_n,predicted_above_bound_n,audit_threshold_status,observed_above_audit_threshold_n,predicted_above_audit_threshold_n,diagnostic_status,strong_residual_flag,predicted_support_flag,attempted_refits,successful_refits,used_refits,failed_refits,warning_refits,bootstrap_status,postbootstrap_gate_status
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,112,615,615,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_TWEEDIE_DIAGNOSTIC,,,,,3.3800356329027995e-4,0.376,0.184,0.355031329934438,0.01463414634146341,0.00889756097560975,1.644736842105263,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,TRUE,141,780,780,9,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_TWEEDIE_DIAGNOSTIC,,,,,0.00267480589774418,0.336,0.032,1,0.02051282051282051,0.0117076923076923,1.7520805957074026,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,112,615,615,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_TWEEDIE_DIAGNOSTIC,,,,,0.00216701346879334,0.2,0.104,1,0.01951219512195122,0.01098536585365853,1.7761989342806397,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,154,861,861,8,6871.416666666667,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,3.818468422047134e-11,0.568,0,0.00291001137325345,0.00464576074332171,0,Inf,WARN_PREDICTED_BOUND,0,0,0,242,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,TRUE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,112,608,608,8,4966.766666666666,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,8.014918654211592e-10,0.288,0,4.840408779613881e-4,0.00657894736842105,0,Inf,WARN_PREDICTED_BOUND,0,0,0,155,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,TRUE,1500,1497,1000,3,3,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,TRUE,141,778,778,9,6282.516666666666,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,1.7521378552662714e-11,0.28,0,0.00181884067295219,0.00514138817480719,0,Inf,WARN_PREDICTED_BOUND,0,0,0,187,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,TRUE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,112,608,608,8,4966.2,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,5.92486225446264e-9,0.296,0,4.840408779613881e-4,0.00493421052631578,0,Inf,WARN_PREDICTED_BOUND,0,0,0,148,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,TRUE,1500,1498,1000,2,2,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,154,878,878,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,6.16911894701784e-14,0.152,0,4.0139125060737885e-5,0.00569476082004555,0,Inf,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,112,621,621,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,1.7344818429473083e-10,0.12,0,4.130592918799553e-6,0.00644122383252818,0,Inf,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,TRUE,141,790,790,9,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,4.43731107548198e-13,0.12,0,2.645069052837965e-6,0.0050632911392405,0,Inf,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,common_replacement_required,identity-scale Gaussian model,FALSE,112,621,621,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,3.555087850447184e-12,0.192,0,1.8783530969275177e-4,0.00483091787439613,6.44122383252818e-6,750,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_COMMON_REPLACEMENT_REQUIRED
