pin_set,path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,status
71-row release manifest,artifacts/10_figures/H05/H05_reader_near_eye_effects.pdf,81977488d595dd660202ea3e498f6db26bbf27bb79bf4955cd8d5796a8851337,81977488d595dd660202ea3e498f6db26bbf27bb79bf4955cd8d5796a8851337,7628,7628,PASS
71-row release manifest,artifacts/11_source_data/H05/H05_reader_near_eye_effect_figure_data.csv,e563514cfac059a284d0c38ad733bef708f92ba13fec6686e0aa07804e835ec1,e563514cfac059a284d0c38ad733bef708f92ba13fec6686e0aa07804e835ec1,66722,66722,PASS
71-row release manifest,artifacts/11_source_data/H05/H05_reader_chest_effect_figure_data.csv,c7b976fff6d43af5adb64fbb67c6fa348d357ad43e856ba7664c2edbeac719eb,c7b976fff6d43af5adb64fbb67c6fa348d357ad43e856ba7664c2edbeac719eb,68557,68557,PASS
71-row release manifest,scripts/hypotheses/H05/build_h05_reader_artifacts.R,7cecc2ec14b23085c50da300f04a1506f161df755e21ff636ed92ac1a84a6177,7cecc2ec14b23085c50da300f04a1506f161df755e21ff636ed92ac1a84a6177,23678,23678,PASS
71-row release manifest,artifacts/10_figures/H08/H08_near_eye_effects.png,f1cc8e33829cdf821140e95238d20b1516d5796f741002a1f27568d3f9fd7405,f1cc8e33829cdf821140e95238d20b1516d5796f741002a1f27568d3f9fd7405,140448,140448,PASS
71-row release manifest,artifacts/10_figures/H08/H08_near_eye_effects.pdf,4f5b3201703036fa5320433c6e600f8cc8ba84b20b6015f89ccac517381415fe,4f5b3201703036fa5320433c6e600f8cc8ba84b20b6015f89ccac517381415fe,5823,5823,PASS
71-row release manifest,artifacts/11_source_data/H08/H08_near_eye_effects_data.csv,0f7ab7b06a23a16089b000607d4cfb239c323ba39df9c549c365c4da1878dd51,0f7ab7b06a23a16089b000607d4cfb239c323ba39df9c549c365c4da1878dd51,10662,10662,PASS
71-row release manifest,artifacts/06_model_data/H08/H08_metric_registry.csv,ba60163a1248a03c6c95cfa36fc0b66801f1fdd4af2fa114e024944c2aa3893f,ba60163a1248a03c6c95cfa36fc0b66801f1fdd4af2fa114e024944c2aa3893f,2786,2786,PASS
71-row release manifest,scripts/hypotheses/H08/rebuild_h08_reader_figures.R,96be883521683fbb951b715dd14b5eb1b6986abd5cfdf60f21fecc4e8857302c,96be883521683fbb951b715dd14b5eb1b6986abd5cfdf60f21fecc4e8857302c,13103,13103,PASS
71-row release manifest,audit/manuscript_nature_health/figure_table_selection_assets/H10_age_site_significant_associations_selection_candidate.png,e989646f21543203ef07916dde8917e85243667d54b5aa492815476edc6c4b60,e989646f21543203ef07916dde8917e85243667d54b5aa492815476edc6c4b60,460731,460731,PASS
71-row release manifest,artifacts/10_figures/H10/H10_age_site_significant_associations.pdf,5f5c5cdf91b62dbe3fbb2cd215d6f1658d1835c62eab5504d9aa3570a60de5cf,5f5c5cdf91b62dbe3fbb2cd215d6f1658d1835c62eab5504d9aa3570a60de5cf,46187,46187,PASS
71-row release manifest,artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd,41751,41751,PASS
71-row release manifest,audit/hypotheses/H10/manuscript_selection_figure_candidate/candidate_display_text.csv,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5,1537,1537,PASS
71-row release manifest,audit/hypotheses/H10/manuscript_selection_figure_candidate/build_h10_selection_figure_candidate.R,5a2f9cb8fee62a5f19002405db4bb4868a7a1b13ebc950719335dd33458b8c7c,5a2f9cb8fee62a5f19002405db4bb4868a7a1b13ebc950719335dd33458b8c7c,19928,19928,PASS
71-row release manifest,artifacts/10_figures/H11/stage3/H11_reader_primary_near_eye_curves.png,33ac814200fc1d69dcf462d0a156b2b950ef0588f47974881fb56f140a414f70,33ac814200fc1d69dcf462d0a156b2b950ef0588f47974881fb56f140a414f70,455662,455662,PASS
71-row release manifest,artifacts/10_figures/H11/stage3/H11_reader_primary_near_eye_curves.pdf,ff99643a56830938de7c70cfb60acce43282c0de4a300a8e28231776c6a3616a,ff99643a56830938de7c70cfb60acce43282c0de4a300a8e28231776c6a3616a,32348,32348,PASS
71-row release manifest,artifacts/11_source_data/H11/stage3/H11_reader_sex_specific_curves.csv,76d733c5d04dd6e359aa85b578e54c5d4f292296fa2f5a17e03282856fbc72f3,76d733c5d04dd6e359aa85b578e54c5d4f292296fa2f5a17e03282856fbc72f3,131283,131283,PASS
71-row release manifest,artifacts/11_source_data/H11/stage3/H11_reader_female_minus_male_contrasts.csv,f1950da8a8ffc9d4e344604e384dc2c1facd99610039226d82df1210780cf5fb,f1950da8a8ffc9d4e344604e384dc2c1facd99610039226d82df1210780cf5fb,74179,74179,PASS
71-row release manifest,artifacts/11_source_data/H11/stage3/H11_reader_solar_context.csv,acdb226b5e93123f893cb8a6f59382fc87c0fc2a39a9be1d9648f92acdddd793,acdb226b5e93123f893cb8a6f59382fc87c0fc2a39a9be1d9648f92acdddd793,701,701,PASS
71-row release manifest,artifacts/09_tables/H11/stage3/H11_reader_samples.csv,2aa7c87705db6068c410319eccbc35036b65fbac678c5ab4409581109315d58c,2aa7c87705db6068c410319eccbc35036b65fbac678c5ab4409581109315d58c,1090,1090,PASS
71-row release manifest,scripts/hypotheses/H11/build_h11_stage3_figures.R,405b357920ce9ba15d4fadd3f34d4ebd33f19ab463b89d856d46ab125318fde2,405b357920ce9ba15d4fadd3f34d4ebd33f19ab463b89d856d46ab125318fde2,27841,27841,PASS
71-row release manifest,notebooks/hypotheses/H02.qmd,b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8,b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8,57185,57185,PASS
71-row release manifest,notebooks/hypotheses/H06.qmd,5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e,5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e,65023,65023,PASS
71-row release manifest,notebooks/hypotheses/H05.qmd,f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780,f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780,74614,74614,PASS
71-row release manifest,notebooks/hypotheses/H08.qmd,56cdd3382ff933f20706d50e75af00160ebdc3c503307f9fdf02fb7c2ae6e859,56cdd3382ff933f20706d50e75af00160ebdc3c503307f9fdf02fb7c2ae6e859,44496,44496,PASS
71-row release manifest,notebooks/hypotheses/H10.qmd,0b2daad24e16ad62a87c2b74d5989cb2ff3738dca47d5dd3fda0af366e93c855,0b2daad24e16ad62a87c2b74d5989cb2ff3738dca47d5dd3fda0af366e93c855,49319,49319,PASS
71-row release manifest,notebooks/hypotheses/H11.qmd,a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5,a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5,58146,58146,PASS
71-row release manifest,audit/hypotheses/H02/H02_analysis_preparation.qmd,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146,55146,PASS
71-row release manifest,audit/hypotheses/H06/H06_analysis_preparation.qmd,5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0,5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0,63867,63867,PASS
71-row release manifest,audit/hypotheses/H05/H05_analysis_preparation.qmd,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,77823,77823,PASS
71-row release manifest,audit/hypotheses/H08/H08_analysis_preparation.qmd,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,57777,57777,PASS
71-row release manifest,audit/hypotheses/H10/H10_analysis_preparation.qmd,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,58446,58446,PASS
71-row release manifest,audit/hypotheses/H11/H11_analysis_preparation.qmd,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,54527,54527,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H02.html,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,295148,295148,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H06.html,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,4898816,4898816,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H05.html,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,639578,639578,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H08.html,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,338769,338769,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H10.html,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,358429,358429,PASS
71-row release manifest,_build/nathealth/notebooks/hypotheses/H11.html,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,304992,304992,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,611656,611656,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,849699,849699,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,925586,925586,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,730813,730813,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,650688,650688,PASS
71-row release manifest,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,769879,769879,PASS
71-row release manifest,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,603493,PASS
71-row release manifest,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,26,PASS
71-row release manifest,_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,2517,PASS
71-row release manifest,_quarto-nathealth.yml,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,10042,PASS
71-row release manifest,audit/report_harmonization/owner_orders/72_manuscript_svg_exports_proposed.md,d3f329a2149149663c47e5db4514cbb7771b0afb6362afc8b911871068d0ebcd,d3f329a2149149663c47e5db4514cbb7771b0afb6362afc8b911871068d0ebcd,14878,14878,PASS
71-row release manifest,audit/report_harmonization/owner_orders/72_manuscript_svg_exports_released.md,d14575d7c262b01fe58ba85d343f966d5953601a0fb41cc0f61c25279eb4071c,d14575d7c262b01fe58ba85d343f966d5953601a0fb41cc0f61c25279eb4071c,6898,6898,PASS
71-row release manifest,audit/report_harmonization/report018_order72_release/verification.md,92502f981867934a752cb5a8f719fb7523ed1b8c7b3caeafdef626b36e8b9ee4,92502f981867934a752cb5a8f719fb7523ed1b8c7b3caeafdef626b36e8b9ee4,2117,2117,PASS
71-row release manifest,audit/report_harmonization/report018_order72_release/owner_plan.csv,6a2ea752ab8a9e68e891346f5e7b7e08cd36b4eebd31ba9bdd268a5d97a60cb5,6a2ea752ab8a9e68e891346f5e7b7e08cd36b4eebd31ba9bdd268a5d97a60cb5,814,814,PASS
71-row release manifest,audit/report_harmonization/report018_order72_release/input_pins.csv,80329b523a44044dd14ec08a49df838040328c907cb6ce9cf2d5fab4a4040c05,80329b523a44044dd14ec08a49df838040328c907cb6ce9cf2d5fab4a4040c05,5165,5165,PASS
71-row release manifest,audit/report_harmonization/report018_order72_release/protected_source_config.csv,9c2d2609a7ca40324beba56fe8e48836320ad83a1aeae6c091dcf8bf7e05df8f,9c2d2609a7ca40324beba56fe8e48836320ad83a1aeae6c091dcf8bf7e05df8f,3352,3352,PASS
