"page","source_row_zero_based","cell_count","effective_columns","source_row_sha256","copied_row_sha256"
"table_2_b.html",5,5,5,"56e0383786e012a47e03a9557751c0b3b54580edf97961a254dfb5d3a6d32e0e","56e0383786e012a47e03a9557751c0b3b54580edf97961a254dfb5d3a6d32e0e"
"table_s2_part_01.html",0,1,14,"56fda38ff9ff3f697eefe7e48796e49a460be87821697110da8ef5328c3c20a2","56fda38ff9ff3f697eefe7e48796e49a460be87821697110da8ef5328c3c20a2"
"table_s2_part_01.html",1,14,14,"5a1e01a6a08f1b1c1b36560ce4b886d1399b63337c48685b9982e72eef4a0c26","5a1e01a6a08f1b1c1b36560ce4b886d1399b63337c48685b9982e72eef4a0c26"
"table_s2_part_01.html",2,14,14,"5557586ba9b0501a6d5103e7056b37fbb1ca469e6aed835dc442a21cd29e9deb","5557586ba9b0501a6d5103e7056b37fbb1ca469e6aed835dc442a21cd29e9deb"
"table_s2_part_01.html",3,14,14,"fee95e437074eeb954cfe72c33e41225a5cba7c11fc762e743ad44ef5cca7267","fee95e437074eeb954cfe72c33e41225a5cba7c11fc762e743ad44ef5cca7267"
"table_s2_part_01.html",4,14,14,"db39b2e452c49855f5687768561e43101ae4da1c2d5f9452a6b8b90f9b0752af","db39b2e452c49855f5687768561e43101ae4da1c2d5f9452a6b8b90f9b0752af"
"table_s2_part_01.html",5,14,14,"f99598c8e719dd1c6184bfe60986c15515669c4c280cb5111810c707fd8d7511","f99598c8e719dd1c6184bfe60986c15515669c4c280cb5111810c707fd8d7511"
"table_s2_part_01.html",6,1,14,"cbe7f39a07d28012a0b1c4078304b74db70cdd20cced1e3c1d78584feb664053","cbe7f39a07d28012a0b1c4078304b74db70cdd20cced1e3c1d78584feb664053"
"table_s2_part_01.html",7,14,14,"b669371caf0493a6c5b1a882e6ed1294b6a806beac7aa14507f0fcee9112eb3b","b669371caf0493a6c5b1a882e6ed1294b6a806beac7aa14507f0fcee9112eb3b"
"table_s2_part_01.html",8,14,14,"54fe425c9c062a73108acd007d7ed3ef8cf6798b4e81b932eb8de9ce599a137e","54fe425c9c062a73108acd007d7ed3ef8cf6798b4e81b932eb8de9ce599a137e"
"table_s2_part_02.html",9,1,14,"e75fa4a8f89aa5a73144a1b52fde509ac86892db2205cf1e45981e33b443c974","e75fa4a8f89aa5a73144a1b52fde509ac86892db2205cf1e45981e33b443c974"
"table_s2_part_02.html",10,14,14,"9228dfb7613ba5eaf8549dc669a75a0b14f8edba93c2cfedf69e61c1c34ddf56","9228dfb7613ba5eaf8549dc669a75a0b14f8edba93c2cfedf69e61c1c34ddf56"
"table_s2_part_02.html",11,1,14,"060ed6b45e0f18ce659645785215042a9aaa2d56894f50b1c2c0ce104d225f7c","060ed6b45e0f18ce659645785215042a9aaa2d56894f50b1c2c0ce104d225f7c"
"table_s2_part_02.html",12,14,14,"8809a0925f580fb2a9de9f42878d6cf8a9502d53065acd195c836d9672e478a7","8809a0925f580fb2a9de9f42878d6cf8a9502d53065acd195c836d9672e478a7"
"table_s2_part_02.html",13,14,14,"94d4913099635a67effac1d7393550852c5d56448af5819701bc285deb2e889d","94d4913099635a67effac1d7393550852c5d56448af5819701bc285deb2e889d"
"table_s2_part_02.html",14,14,14,"7c1e42baa91c4e3d188658913b029e8f70425a4509fabed5145e5087bbd075bb","7c1e42baa91c4e3d188658913b029e8f70425a4509fabed5145e5087bbd075bb"
"table_s2_part_02.html",15,1,14,"fb7ff1d4b9844ef6762c87fe2fe8457c7a574e0cab4fd00b53352797819e03b3","fb7ff1d4b9844ef6762c87fe2fe8457c7a574e0cab4fd00b53352797819e03b3"
"table_s2_part_02.html",16,14,14,"ff40078f2cc0c5212fb1037e6fff4b3e5de9fa1a56296a260e6e963db4d1bd1b","ff40078f2cc0c5212fb1037e6fff4b3e5de9fa1a56296a260e6e963db4d1bd1b"
"table_s2_part_03.html",17,1,14,"cdeb08bf219fa77d1f489b808a6e99904f547908f1c491b69d062880afcc76e7","cdeb08bf219fa77d1f489b808a6e99904f547908f1c491b69d062880afcc76e7"
"table_s2_part_03.html",18,14,14,"5338e6850081d8737e25d3085a9e9ef8f4be6005ac63e9e1158cd1782248e6bc","5338e6850081d8737e25d3085a9e9ef8f4be6005ac63e9e1158cd1782248e6bc"
"table_s2_part_03.html",19,14,14,"ca3a25c3397a033b1bb4d4e0ce346555ffc3aa512aa634bd5ca062efc3973479","ca3a25c3397a033b1bb4d4e0ce346555ffc3aa512aa634bd5ca062efc3973479"
"table_s2_part_03.html",20,14,14,"a5016c756149fc5272ae0ae2047f315068684fbd1138dbc6ea8a5ff161beaf7c","a5016c756149fc5272ae0ae2047f315068684fbd1138dbc6ea8a5ff161beaf7c"
"table_s2_part_03.html",21,14,14,"90890301cfa412f943f5c0d4bfcbf4e5f50ded353514e964e2136adcf95e6b56","90890301cfa412f943f5c0d4bfcbf4e5f50ded353514e964e2136adcf95e6b56"
"table_s2_part_03.html",22,14,14,"e4078a8064b0d65adb6f8a1dbb8291124aeb035ccef2b523585b4cb3ffccc2c2","e4078a8064b0d65adb6f8a1dbb8291124aeb035ccef2b523585b4cb3ffccc2c2"
"table_s7_part_03.html",13,1,8,"f15a9e96b8a6bef04631e8c1ee5ad364f9386e268bdcfaa38abfaa2245f97488","f15a9e96b8a6bef04631e8c1ee5ad364f9386e268bdcfaa38abfaa2245f97488"
"table_s7_part_03.html",14,8,8,"24b30c2a334d225f406c71629d8e0a52278c9423da1d14e1336f850136db4f86","24b30c2a334d225f406c71629d8e0a52278c9423da1d14e1336f850136db4f86"
"table_s7_part_03.html",15,8,8,"ecaf1484499e4f31d087b2c0103cd9b371522cb5f41a89a1a966ff9d4996d80c","ecaf1484499e4f31d087b2c0103cd9b371522cb5f41a89a1a966ff9d4996d80c"
"table_s7_part_03.html",16,8,8,"4066d918888c15036d99a9934d22b85cb80f15f9264f8d3b4b904021b0c1d1a8","4066d918888c15036d99a9934d22b85cb80f15f9264f8d3b4b904021b0c1d1a8"
"table_s7_part_03.html",17,8,8,"f5a83e164b70b512660d2308a3c7a77b961dab10a6f72c2add04a1438b90bbce","f5a83e164b70b512660d2308a3c7a77b961dab10a6f72c2add04a1438b90bbce"
"table_s7_part_03.html",18,8,8,"d9c7c828eb54251b590fea4aecb5c80ae131e1961f9050a02c8aeaa122476917","d9c7c828eb54251b590fea4aecb5c80ae131e1961f9050a02c8aeaa122476917"
"table_s7_part_04.html",19,1,8,"96d8bab51a87398f40f4d66d5764ac753dc104b8e56d0dd9c40258e46c13daf5","96d8bab51a87398f40f4d66d5764ac753dc104b8e56d0dd9c40258e46c13daf5"
"table_s7_part_04.html",20,8,8,"245dc80e2ee0555f4e0f9ef13cc2681a59107b358f33125b73e6c8ae8c321089","245dc80e2ee0555f4e0f9ef13cc2681a59107b358f33125b73e6c8ae8c321089"
"table_s7_part_04.html",21,1,8,"e794d7047ce84e5851ed801f7eaaadb917c462896b066ca9c68ebd0fd6a69618","e794d7047ce84e5851ed801f7eaaadb917c462896b066ca9c68ebd0fd6a69618"
"table_s7_part_04.html",22,8,8,"3f8a3be52c283f30a4d3d9dfbefd38f45c070657aec85b050f85b2eb35ed61da","3f8a3be52c283f30a4d3d9dfbefd38f45c070657aec85b050f85b2eb35ed61da"
