Metric,Site,Difference or ratio (95% CI),Raw p,Within-metric FDR-adjusted p,adjusted_bold,Supported
Time below 10 lx melEDI before sleep,Tübingen (DE),-0.23 [-0.51–0.06] h,0.127,0.237,FALSE,No
Time below 10 lx melEDI before sleep,Munich (DE),0.27 [-0.17–0.71] h,0.229,0.344,FALSE,No
Time below 10 lx melEDI before sleep,Madrid (ES),-0.47 [-0.82–-0.12] h,0.009,0.041,TRUE,Yes
Time below 10 lx melEDI before sleep,Izmir (TR),-0.45 [-0.78–-0.12] h,0.008,0.041,TRUE,Yes
Time below 10 lx melEDI before sleep,San José (CR),-0.10 [-0.62–0.42] h,0.707,0.707,FALSE,No
Time below 10 lx melEDI before sleep,Kumasi (GH),0.09 [-0.29–0.46] h,0.653,0.707,FALSE,No
Midpoint of the brightest 10 hours,Borås (SE),-0.58 [-1.15–-0.02] h,0.043,0.098,FALSE,No
Midpoint of the brightest 10 hours,Delft (NL),0.38 [-0.16–0.91] h,0.168,0.216,FALSE,No
Midpoint of the brightest 10 hours,Dortmund (DE),0.04 [-0.48–0.57] h,0.875,0.875,FALSE,No
Midpoint of the brightest 10 hours,Tübingen (DE),0.13 [-0.30–0.56] h,0.557,0.627,FALSE,No
Midpoint of the brightest 10 hours,Munich (DE),0.48 [-0.17–1.14] h,0.149,0.216,FALSE,No
Midpoint of the brightest 10 hours,Madrid (ES),0.51 [-0.01–1.03] h,0.056,0.101,FALSE,No
Midpoint of the brightest 10 hours,Izmir (TR),0.66 [0.17–1.14] h,0.008,0.037,TRUE,Yes
Midpoint of the brightest 10 hours,San José (CR),-0.84 [-1.61–-0.07] h,0.033,0.098,FALSE,No
Midpoint of the brightest 10 hours,Kumasi (GH),-0.78 [-1.31–-0.24] h,0.004,0.037,TRUE,Yes
Midpoint of the darkest 10 hours,Borås (SE),-0.55 [-1.11–0.00] h,0.051,0.154,FALSE,No
Midpoint of the darkest 10 hours,Delft (NL),0.31 [-0.21–0.84] h,0.244,0.366,FALSE,No
Midpoint of the darkest 10 hours,Dortmund (DE),0.12 [-0.40–0.63] h,0.655,0.659,FALSE,No
Midpoint of the darkest 10 hours,Tübingen (DE),0.10 [-0.33–0.52] h,0.659,0.659,FALSE,No
Midpoint of the darkest 10 hours,Munich (DE),0.79 [0.15–1.44] h,0.016,0.145,FALSE,No
Midpoint of the darkest 10 hours,Madrid (ES),0.12 [-0.39–0.63] h,0.638,0.659,FALSE,No
Midpoint of the darkest 10 hours,Izmir (TR),0.35 [-0.12–0.83] h,0.147,0.265,FALSE,No
Midpoint of the darkest 10 hours,San José (CR),-0.80 [-1.55–-0.04] h,0.040,0.154,FALSE,No
Midpoint of the darkest 10 hours,Kumasi (GH),-0.45 [-0.97–0.07] h,0.093,0.208,FALSE,No
Mean timing of exposure above 250 lx melEDI,Borås (SE),-0.29 [-0.81–0.23] h,0.274,0.308,FALSE,No
Mean timing of exposure above 250 lx melEDI,Delft (NL),0.47 [-0.02–0.96] h,0.061,0.110,FALSE,No
Mean timing of exposure above 250 lx melEDI,Dortmund (DE),0.21 [-0.28–0.70] h,0.408,0.408,FALSE,No
Mean timing of exposure above 250 lx melEDI,Tübingen (DE),0.25 [-0.15–0.65] h,0.224,0.288,FALSE,No
Mean timing of exposure above 250 lx melEDI,Munich (DE),0.52 [-0.08–1.13] h,0.092,0.138,FALSE,No
Mean timing of exposure above 250 lx melEDI,Madrid (ES),0.79 [0.31–1.27] h,0.001,0.003,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,Izmir (TR),0.90 [0.45–1.34] h,<0.001,<0.001,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,San José (CR),-1.84 [-2.54–-1.14] h,<0.001,<0.001,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,Kumasi (GH),-1.00 [-1.50–-0.50] h,<0.001,<0.001,TRUE,Yes
Last light timing above 250 lx melEDI,Borås (SE),0.18 [-0.58–0.94] h,0.639,0.645,FALSE,No
Last light timing above 250 lx melEDI,Delft (NL),0.38 [-0.37–1.13] h,0.317,0.475,FALSE,No
Last light timing above 250 lx melEDI,Dortmund (DE),0.23 [-0.49–0.96] h,0.526,0.645,FALSE,No
Last light timing above 250 lx melEDI,Tübingen (DE),-0.14 [-0.75–0.46] h,0.645,0.645,FALSE,No
Last light timing above 250 lx melEDI,Munich (DE),0.71 [-0.18–1.61] h,0.119,0.214,FALSE,No
Last light timing above 250 lx melEDI,Madrid (ES),1.32 [0.60–2.04] h,<0.001,0.001,TRUE,Yes
Last light timing above 250 lx melEDI,Izmir (TR),0.89 [0.23–1.55] h,0.008,0.018,TRUE,Yes
Last light timing above 250 lx melEDI,San José (CR),-1.91 [-2.96–-0.86] h,<0.001,0.001,TRUE,Yes
Last light timing above 250 lx melEDI,Kumasi (GH),-1.67 [-2.41–-0.93] h,<0.001,<0.001,TRUE,Yes
Melanopic daylight efficacy ratio,Borås (SE),0.02 [-0.02–0.06],0.370,0.539,FALSE,No
Melanopic daylight efficacy ratio,Delft (NL),-0.01 [-0.05–0.03],0.649,0.730,FALSE,No
Melanopic daylight efficacy ratio,Dortmund (DE),-0.02 [-0.06–0.01],0.211,0.379,FALSE,No
Melanopic daylight efficacy ratio,Tübingen (DE),-0.02 [-0.05–0.01],0.155,0.348,FALSE,No
Melanopic daylight efficacy ratio,Munich (DE),-0.08 [-0.13–-0.04],<0.001,0.002,TRUE,Yes
Melanopic daylight efficacy ratio,Madrid (ES),0.02 [-0.02–0.05],0.419,0.539,FALSE,No
Melanopic daylight efficacy ratio,Izmir (TR),0.03 [-0.01–0.06],0.103,0.310,FALSE,No
Melanopic daylight efficacy ratio,San José (CR),-0.01 [-0.06–0.05],0.778,0.778,FALSE,No
Melanopic daylight efficacy ratio,Kumasi (GH),0.08 [0.04–0.13],<0.001,0.001,TRUE,Yes
