Metric,Site,Difference or ratio (95% CI),Raw p,Within-metric FDR-adjusted p,adjusted_bold,Supported
Time above 250 lx melEDI during wake,Madrid (ES),×1.36 [1.04–1.76],0.024,0.063,FALSE,No
Time above 250 lx melEDI during wake,Izmir (TR),×0.75 [0.58–0.96],0.021,0.063,FALSE,No
Time above 250 lx melEDI during wake,San José (CR),×1.25 [1.06–1.49],0.010,0.063,FALSE,No
Time above 250 lx melEDI during wake,Kumasi (GH),×0.78 [0.60–1.02],0.066,0.099,FALSE,No
Time below 1 lx melEDI during sleep,Borås (SE),×1.07 [0.99–1.15],0.109,0.174,FALSE,No
Time below 1 lx melEDI during sleep,Delft (NL),×1.02 [0.94–1.11],0.600,0.600,FALSE,No
Time below 1 lx melEDI during sleep,Dortmund (DE),×1.08 [1.00–1.17],0.049,0.097,FALSE,No
Time below 1 lx melEDI during sleep,Munich (DE),×0.93 [0.83–1.03],0.157,0.209,FALSE,No
Time below 1 lx melEDI during sleep,Madrid (ES),×1.10 [1.01–1.20],0.025,0.077,FALSE,No
Time below 1 lx melEDI during sleep,Izmir (TR),×0.92 [0.85–0.99],0.029,0.077,FALSE,No
Time below 1 lx melEDI during sleep,San José (CR),×0.94 [0.88–0.99],0.020,0.077,FALSE,No
Time below 1 lx melEDI during sleep,Kumasi (GH),×0.97 [0.89–1.06],0.476,0.544,FALSE,No
Midpoint of the brightest 10 hours,Borås (SE),-0.52 [-0.99–-0.05] h,0.031,0.041,TRUE,Yes
Midpoint of the brightest 10 hours,Delft (NL),0.54 [0.08–1.01] h,0.023,0.036,TRUE,Yes
Midpoint of the brightest 10 hours,Dortmund (DE),0.19 [-0.27–0.66] h,0.419,0.419,FALSE,No
Midpoint of the brightest 10 hours,Munich (DE),0.29 [-0.33–0.91] h,0.364,0.416,FALSE,No
Midpoint of the brightest 10 hours,Madrid (ES),0.67 [0.17–1.17] h,0.009,0.017,TRUE,Yes
Midpoint of the brightest 10 hours,Izmir (TR),0.67 [0.21–1.12] h,0.004,0.011,TRUE,Yes
Midpoint of the brightest 10 hours,San José (CR),-1.00 [-1.33–-0.67] h,<0.001,<0.001,TRUE,Yes
Midpoint of the brightest 10 hours,Kumasi (GH),-0.85 [-1.35–-0.35] h,<0.001,0.004,TRUE,Yes
Midpoint of the darkest 10 hours,Borås (SE),-0.59 [-1.05–-0.14] h,0.011,0.023,TRUE,Yes
Midpoint of the darkest 10 hours,Delft (NL),0.29 [-0.17–0.75] h,0.213,0.233,FALSE,No
Midpoint of the darkest 10 hours,Dortmund (DE),0.28 [-0.18–0.73] h,0.233,0.233,FALSE,No
Midpoint of the darkest 10 hours,Munich (DE),0.78 [0.18–1.39] h,0.012,0.023,TRUE,Yes
Midpoint of the darkest 10 hours,Madrid (ES),0.41 [-0.08–0.89] h,0.099,0.132,FALSE,No
Midpoint of the darkest 10 hours,Izmir (TR),0.44 [-0.01–0.89] h,0.053,0.085,FALSE,No
Midpoint of the darkest 10 hours,San José (CR),-0.77 [-1.10–-0.45] h,<0.001,<0.001,TRUE,Yes
Midpoint of the darkest 10 hours,Kumasi (GH),-0.83 [-1.32–-0.34] h,<0.001,0.003,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,Borås (SE),-0.31 [-0.74–0.12] h,0.158,0.180,FALSE,No
Mean timing of exposure above 250 lx melEDI,Delft (NL),0.42 [-0.01–0.86] h,0.056,0.089,FALSE,No
Mean timing of exposure above 250 lx melEDI,Dortmund (DE),0.40 [-0.03–0.83] h,0.071,0.095,FALSE,No
Mean timing of exposure above 250 lx melEDI,Munich (DE),0.29 [-0.30–0.87] h,0.333,0.333,FALSE,No
Mean timing of exposure above 250 lx melEDI,Madrid (ES),0.87 [0.41–1.34] h,<0.001,<0.001,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,Izmir (TR),0.78 [0.36–1.20] h,<0.001,<0.001,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,San José (CR),-1.47 [-1.78–-1.17] h,<0.001,<0.001,TRUE,Yes
Mean timing of exposure above 250 lx melEDI,Kumasi (GH),-0.99 [-1.45–-0.52] h,<0.001,<0.001,TRUE,Yes
First light timing above 250 lx melEDI,Borås (SE),-0.93 [-1.60–-0.27] h,0.006,0.016,TRUE,Yes
First light timing above 250 lx melEDI,Delft (NL),0.09 [-0.59–0.77] h,0.791,0.791,FALSE,No
First light timing above 250 lx melEDI,Dortmund (DE),0.27 [-0.40–0.94] h,0.430,0.492,FALSE,No
First light timing above 250 lx melEDI,Munich (DE),0.97 [0.08–1.86] h,0.033,0.066,FALSE,No
First light timing above 250 lx melEDI,Madrid (ES),0.44 [-0.27–1.15] h,0.227,0.363,FALSE,No
First light timing above 250 lx melEDI,Izmir (TR),1.11 [0.46–1.76] h,<0.001,0.003,TRUE,Yes
First light timing above 250 lx melEDI,San José (CR),-1.62 [-2.10–-1.14] h,<0.001,<0.001,TRUE,Yes
First light timing above 250 lx melEDI,Kumasi (GH),-0.33 [-1.06–0.41] h,0.387,0.492,FALSE,No
Last light timing above 250 lx melEDI,Borås (SE),0.14 [-0.48–0.75] h,0.661,0.756,FALSE,No
Last light timing above 250 lx melEDI,Delft (NL),0.38 [-0.26–1.01] h,0.243,0.389,FALSE,No
Last light timing above 250 lx melEDI,Dortmund (DE),0.23 [-0.38–0.85] h,0.462,0.616,FALSE,No
Last light timing above 250 lx melEDI,Munich (DE),0.04 [-0.80–0.87] h,0.931,0.931,FALSE,No
Last light timing above 250 lx melEDI,Madrid (ES),0.96 [0.30–1.63] h,0.005,0.012,TRUE,Yes
Last light timing above 250 lx melEDI,Izmir (TR),0.45 [-0.15–1.06] h,0.141,0.282,FALSE,No
Last light timing above 250 lx melEDI,San José (CR),-0.81 [-1.25–-0.37] h,<0.001,0.001,TRUE,Yes
Last light timing above 250 lx melEDI,Kumasi (GH),-1.39 [-2.06–-0.72] h,<0.001,<0.001,TRUE,Yes
melEDI dose,Borås (SE),×1.33 [0.89–1.98],0.161,0.269,FALSE,No
melEDI dose,Delft (NL),×1.31 [0.88–1.95],0.179,0.269,FALSE,No
melEDI dose,Dortmund (DE),×0.68 [0.46–1.01],0.056,0.186,FALSE,No
melEDI dose,Munich (DE),×0.46 [0.27–0.78],0.004,0.030,TRUE,Yes
melEDI dose,Madrid (ES),×1.07 [0.70–1.63],0.755,0.862,FALSE,No
melEDI dose,Izmir (TR),×0.98 [0.66–1.44],0.899,0.899,FALSE,No
melEDI dose,San José (CR),×1.20 [0.91–1.59],0.202,0.269,FALSE,No
melEDI dose,Kumasi (GH),×1.48 [0.97–2.26],0.070,0.186,FALSE,No
Melanopic daylight efficacy ratio,Borås (SE),-0.03 [-0.13–0.07],0.562,0.750,FALSE,No
Melanopic daylight efficacy ratio,Delft (NL),-0.06 [-0.16–0.05],0.289,0.613,FALSE,No
Melanopic daylight efficacy ratio,Dortmund (DE),-0.05 [-0.15–0.06],0.384,0.614,FALSE,No
Melanopic daylight efficacy ratio,Munich (DE),-0.10 [-0.24–0.04],0.151,0.604,FALSE,No
Melanopic daylight efficacy ratio,Madrid (ES),-0.01 [-0.12–0.10],0.841,0.841,FALSE,No
Melanopic daylight efficacy ratio,Izmir (TR),-0.02 [-0.12–0.08],0.682,0.779,FALSE,No
Melanopic daylight efficacy ratio,San José (CR),0.04 [-0.04–0.11],0.307,0.613,FALSE,No
Melanopic daylight efficacy ratio,Kumasi (GH),0.23 [0.12–0.34],<0.001,<0.001,TRUE,Yes
