"sample_id","family","analysis_state","state_display","site","site_display","day_type","day_type_display","contrast","estimate","standard_error","conf_low","conf_high","statistic","p_value","p_adjusted"
"primary_any_valid","BA-M5","Sleep environment","Sleep","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",0.0712707985799363,0.00782824816184138,0.0559277141206853,0.0866138830391872,9.1043100712295,8.68164592114006e-20,1.56269626580521e-18
"primary_any_valid","BA-M5","Sleep environment","Sleep","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0608961851360684,0.0231691048384552,-0.106306796173473,-0.0154855740986636,-2.62833568930101,0.0085803796139773,0.0330957499396267
"primary_any_valid","BA-M5","Sleep environment","Sleep","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.01119154533885,0.025225175892943,-0.0606319815927062,0.0382488909150062,-0.443665700740702,0.657284296996352,0.803003548024333
"primary_any_valid","BA-M5","Sleep environment","Sleep","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",0.0755535475807474,0.0080645425517056,0.0597473346276137,0.0913597605338811,9.3686092045938,7.34945419937233e-21,1.98435263383053e-19
"primary_any_valid","BA-M5","Sleep environment","Sleep","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",0.0255033380378618,0.0462107829303804,-0.0650681322030822,0.116074808278806,0.551891494162396,0.581022696348228,0.745620532981653
"primary_any_valid","BA-M5","Sleep environment","Sleep","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",-0.0235439677795043,0.0323938963974888,-0.0870348380375041,0.0399469024784956,-0.726802589309059,0.467346896668289,0.63091831050219
"primary_any_valid","BA-M5","Sleep environment","Sleep","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",0.0246026068125268,0.0285818789405295,-0.0314168465213949,0.0806220601464485,0.860776398350773,0.389361206291108,0.600728718277709
"primary_any_valid","BA-M5","Sleep environment","Sleep","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",7.32312583357209e-05,0.0222888349711441,-0.0436120825424635,0.0437585450591349,0.00328555792308251,0.997378508776002,0.997378508776002
"primary_any_valid","BA-M5","Sleep environment","Sleep","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.171994313379041,0.045190783747055,-0.260566621956407,-0.0834220048016755,-3.80595995727226,0.000141255236918828,0.000762778279361669
"primary_any_valid","BA-M5","Sleep environment","Sleep","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",0.105294771828582,0.0165787098228037,0.0728010976657464,0.137788445991418,6.35120422240283,2.13635862312435e-10,2.88408414121788e-09
"primary_any_valid","BA-M5","Sleep environment","Sleep","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.0841742666342809,0.0313463503565449,-0.145611984379883,-0.0227365488886786,-2.68529719335271,0.00724653384465479,0.0321881732512285
"primary_any_valid","BA-M5","Sleep environment","Sleep","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",-0.0144021158541943,0.0555282386326202,-0.123235463699076,0.0944312319906869,-0.259365616645614,0.795353156140802,0.930855057326542
"primary_any_valid","BA-M5","Sleep environment","Sleep","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",0.138640715709715,0.0130853189018767,0.112993961935815,0.164287469483614,10.5951346504693,3.13888950568895e-26,1.69500033307203e-24
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.0942178725618281,0.0330255328562514,0.0294890175933312,0.158946727530325,2.85287970891872,0.00433250181843569,0.0179965460150406
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.0303091209007118,0.0325269948033663,-0.0334426174392077,0.0940608592406312,0.931814361699808,0.351432471218322,0.568317082840389
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",0.0289816491904848,0.0291228682531377,-0.02809812371217,0.0860614220931397,0.995150921900089,0.319662867315533,0.568317082840389
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",-0.0266935967047411,0.0220223266026786,-0.0698565637017694,0.0164693702922872,-1.21211519501733,0.225468287974147,0.434831698235856
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",0.0355778126211958,0.0386921751719191,-0.0402574571992804,0.111413082441672,0.919509240902446,0.357829274380986,0.568317082840389
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",0.0413234410677089,0.0259838961080917,-0.00960405948218133,0.0922509416175991,1.59034814855345,0.111756351143873,0.241393718470765
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0706398390335138,0.0226545313332247,-0.115041904533268,-0.0262377735337593,-3.11813288010575,0.00182000726643893,0.00893458112615476
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.0784669091835295,0.0338662694118174,-0.144843577521422,-0.012090240845637,-2.31696347269207,0.0205057216314915,0.0651358216529729
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",-0.0546095514201451,0.0275828896254324,-0.108671021675536,-0.000548081164754126,-1.97983431619119,0.0477221490108836,0.122714097456558
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",0.093748220910603,0.0357389905370752,0.0237010866141178,0.163795355207088,2.62313567064379,0.00871245711119656,0.0313648456003076
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",0.0598731367396093,0.0423612097509008,-0.0231533087137032,0.142899582192922,1.41339534663162,0.157539513072075,0.327197450226617
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",0.172716844904784,0.0370409948397388,0.100117829067362,0.245315860742206,4.66285653644183,3.11850158892487e-06,2.40570122574204e-05
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",-0.0439685316266374,0.0213156430988339,-0.0857464244076616,-0.00219063884561323,-2.0627354015438,0.039137774472238,0.111233674815834
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.024319477131645,0.029825614635073,-0.0827766076331588,0.0341376533698688,-0.81538896781181,0.414849697221175,0.605456314863337
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",-0.0501921707004589,0.0249707635602167,-0.0991339679449488,-0.00125037345596899,-2.01003748161009,0.0444272220125741,0.11995349943395
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.0511275747166986,0.0278989459324663,-0.105808503950963,0.00355335451756544,-1.83259879568429,0.0668622573937119,0.156980952141758
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",-0.0411651799856608,0.049002453505213,-0.137208224009977,0.0548778640386552,-0.840063650716623,0.400872699306047,0.605456314863337
"support_80","BA-M5","Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",-0.115565268393896,0.0201418233352818,-0.155042516714017,-0.0760880200737749,-5.73757730222286,9.60404483180525e-09,8.64364034862473e-08
"support_80","BA-M5","Pre-sleep","Pre-sleep","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.0794621666681129,0.0417384100171202,-0.00234361373740846,0.161267947073634,1.90381393626444,0.0569344208595807,0.139748123928062
"support_80","BA-M5","Pre-sleep","Pre-sleep","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.0633876127134342,0.0540042266093891,-0.0424587264539081,0.169233951880776,1.1737528096072,0.240494050849639,0.447816508478637
"support_80","BA-M5","Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",-0.0568451790761271,0.041244806565967,-0.137683514494744,0.0239931563424893,-1.37823846949576,0.168129673515868,0.336259347031736
"support_80","BA-M5","Pre-sleep","Pre-sleep","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",-0.013895499075322,0.0354394223043072,-0.0833554904246694,0.0555644922740255,-0.392091579710462,0.694990548843991,0.804149531026956
"support_80","BA-M5","Pre-sleep","Pre-sleep","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",-0.0431157794454709,0.0525458560295601,-0.146103764800235,0.0598722059092938,-0.820536245926143,0.411910475215611,0.605456314863337
"support_80","BA-M5","Pre-sleep","Pre-sleep","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",-0.0404125103643921,0.0420152601633169,-0.122760907085574,0.0419358863567896,-0.961853150672046,0.336123374836633,0.568317082840389
"support_80","BA-M5","Pre-sleep","Pre-sleep","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0863622389721294,0.0414929645434706,-0.167686955089129,-0.00503752285512954,-2.08137065939578,0.0373999921206143,0.111233674815834
"support_80","BA-M5","Pre-sleep","Pre-sleep","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.043859942418138,0.0663931672176112,-0.173988158984201,0.0862682741479253,-0.660609280385465,0.508862915926081,0.685601540965592
"support_80","BA-M5","Pre-sleep","Pre-sleep","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",0.141641369970032,0.0507671414543081,0.0421396011215378,0.241143138818526,2.79002059033624,0.00527046896261927,0.0203289517129601
"support_80","BA-M5","Pre-sleep","Pre-sleep","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",-0.0125752189895271,0.0519744008904903,-0.114443172852935,0.0892927348738803,-0.241950244237024,0.808818717195172,0.863486239704331
"support_80","BA-M5","Pre-sleep","Pre-sleep","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",0.0136388948391712,0.0709821766752742,-0.125483614988625,0.152761404666968,0.192145345183845,0.847628356291441,0.863486239704331
"support_80","BA-M5","Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",-0.0248682567982046,0.0542641509867154,-0.13122403838381,0.0814875247874011,-0.458281505303431,0.646750209691656,0.804149531026956
"support_80","BA-M5","Pre-sleep","Pre-sleep","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",-0.0261755120641656,0.0407401677970178,-0.106024773670439,0.0536737495421077,-0.642498877142123,0.520549318140542,0.685601540965592
"support_80","BA-M5","Pre-sleep","Pre-sleep","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.101440868102087,0.0631316699075598,-0.225176667404775,0.0222949312006015,-1.60681427009013,0.108095116928492,0.241393718470765
"support_80","BA-M5","Pre-sleep","Pre-sleep","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",0.00823275131963217,0.0478820817289057,-0.0856144043738263,0.102079907013091,0.171938040752773,0.863486239704331,0.863486239704331
"support_80","BA-M5","Pre-sleep","Pre-sleep","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.046410585890096,0.0598236211923107,-0.163662728851792,0.0708415570716,-0.775790314345955,0.437872803714794,0.619741975624208
"support_80","BA-M5","Pre-sleep","Pre-sleep","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",0.0310985997769424,0.080682377705466,-0.127035954712828,0.189233154266713,0.38544476081839,0.699907925153091,0.804149531026956
"support_80","BA-M5","Pre-sleep","Pre-sleep","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",0.158500195908335,0.0400139114629718,0.0800743705603357,0.236926021256334,3.9611272708245,7.45967565752625e-05,0.000447580539451575
"support_80","BA-M5","Sleep environment","Sleep","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.0608049479868526,0.0101299012818588,0.0409507063074633,0.0806591896662419,6.00252127784757,1.94276792090664e-09,2.09818935457917e-08
"support_80","BA-M5","Sleep environment","Sleep","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.0054142350995256,0.0172590956981925,-0.0284129708746618,0.039241441073713,0.313703289801715,0.753746401918607,0.847964702158433
"support_80","BA-M5","Sleep environment","Sleep","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",-0.00376269184722938,0.0175310457299309,-0.0381229100892187,0.0305975263947599,-0.214630199772128,0.830055646586286,0.863486239704331
"support_80","BA-M5","Sleep environment","Sleep","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",0.00566543766356259,0.013481434243385,-0.020757687913417,0.0320885632405422,0.420239980500774,0.674310150694704,0.804149531026956
"support_80","BA-M5","Sleep environment","Sleep","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",-0.15152051775681,0.0361912448040284,-0.222454054128378,-0.0805869813852416,-4.18666223218561,2.8308661421085e-05,0.000191083464592324
"support_80","BA-M5","Sleep environment","Sleep","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",0.0764486582255969,0.00799158190926124,0.0607854455039431,0.0921118709472508,9.56614836632063,1.10962666500821e-21,2.99599199552217e-20
"support_80","BA-M5","Sleep environment","Sleep","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0575896981184282,0.0231975109441336,-0.103055984099904,-0.0121234121369527,-2.4825809224585,0.0130434438026138,0.0440216228338216
"support_80","BA-M5","Sleep environment","Sleep","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.0129703901056403,0.0270331566522981,-0.0659544035325739,0.0400136233212933,-0.4797956181169,0.631372728975644,0.804149531026956
"support_80","BA-M5","Sleep environment","Sleep","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",0.0775100188525697,0.0085859593983894,0.0606818476590033,0.0943381900461361,9.02753149136828,1.75587792336618e-19,3.16058026205912e-18
"support_80","BA-M5","Sleep environment","Sleep","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",0.020058079340383,0.0478628101567839,-0.0737513047657913,0.113867463446557,0.419074418628553,0.675161745694644,0.804149531026956
"support_80","BA-M5","Sleep environment","Sleep","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",-0.0240660758017706,0.0316893810824792,-0.0861761214157947,0.0380439698122535,-0.759436599254902,0.447591426839706,0.619741975624208
"support_80","BA-M5","Sleep environment","Sleep","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",0.0265057453886304,0.0283527223086232,-0.0290645691999363,0.0820760599771971,0.934857157634172,0.349861918534243,0.568317082840389
"support_80","BA-M5","Sleep environment","Sleep","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",0.00394919986386059,0.0218442431208537,-0.0388647299225494,0.0467631296502706,0.180789045517008,0.856533161836017,0.863486239704331
"support_80","BA-M5","Sleep environment","Sleep","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.172125420537905,0.0440937594063989,-0.258547600917421,-0.0857032401583888,-3.90362316244067,9.47632917946696e-05,0.000511721775691216
"support_80","BA-M5","Sleep environment","Sleep","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",0.10758131458984,0.0165417436802831,0.0751600927349921,0.140002536444688,6.5036260184633,7.84066799236719e-11,1.05849017896957e-09
"support_80","BA-M5","Sleep environment","Sleep","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.0914037992272879,0.0316750917177447,-0.15348583820107,-0.0293217602535054,-2.88566802084689,0.0039058391371881,0.0175762761173464
"support_80","BA-M5","Sleep environment","Sleep","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",-0.0120792979003255,0.0546827169898713,-0.11925545377727,0.0950968579766187,-0.220897910075735,0.825171924745654,0.863486239704331
"support_80","BA-M5","Sleep environment","Sleep","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",0.141580254284575,0.013006784919828,0.116087424287053,0.167073084282096,10.885107669363,1.35738128475241e-27,7.32985893766302e-26
