"member_id","analysis_state","state_display","site","site_display","state_order","site_order","family","sample_id_primary","estimate_primary","standard_error_primary","conf_low_primary","conf_high_primary","from_M4_minus_M1_primary","from_free_M5_minus_work_M5_primary","state_sum_primary","reconciliation_passed_primary","statistic","p_value","p_adjusted","fdr_significant","sample_id_80","estimate_80","standard_error_80","conf_low_80","conf_high_80","from_M4_minus_M1_80","from_free_M5_minus_work_M5_80","state_sum_80","reconciliation_passed_80","direction_retained","interval_exclusion_retained","fully_estimable","significant_direction_changed","sensitivity_qualification_required"
"BA-M6-18","Pre-sleep","Pre-sleep","KNUST","Kumasi (GH)",2,9,"BA-M6","primary_any_valid",0.0460060042950489,0.0587899744737725,-0.0692202283255743,0.161232236915672,0.0460060042950489,0.046006004295049,3.46944695195361e-17,TRUE,0.782548465224682,0.433892314441764,0.690616683994313,FALSE,"support_80",0.0168588259383026,0.0627531283739339,-0.106135045591826,0.139852697468432,0.0168588259383029,0.0168588259383028,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-19","Sleep environment","Sleep","RISE","Borås (SE)",3,1,"BA-M6","primary_any_valid",-0.0319350689972962,0.0463605566642944,-0.122800090362541,0.0589299523679491,-0.0319350689972962,-0.0319350689972962,4.44089209850063e-16,TRUE,-0.688841362034199,0.4909231034274,0.690616683994313,FALSE,"support_80",-0.0407468686464697,0.0480909090356233,-0.135003318340083,0.0535095810471437,-0.0407468686464698,-0.0407468686464696,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-20","Sleep environment","Sleep","THUAS","Delft (NL)",3,2,"BA-M6","primary_any_valid",-0.0237233929160693,0.0344504541834486,-0.0912450423666759,0.0437982565345372,-0.0237233929160693,-0.0237233929160694,4.44089209850063e-16,TRUE,-0.688623516826288,0.491060218046921,0.690616683994313,FALSE,"support_80",-0.0294803109012963,0.0339542534959682,-0.0960294248753372,0.0370688030727447,-0.0294803109012962,-0.0294803109012962,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-21","Sleep environment","Sleep","BAUA","Dortmund (DE)",3,3,"BA-M6","primary_any_valid",0.0240113829182317,0.0312863480995703,-0.0373087325647092,0.0853314984011725,0.0240113829182317,0.0240113829182318,4.44089209850063e-16,TRUE,0.767471577117735,0.442801185965987,0.690616683994313,FALSE,"support_80",0.0302684372358597,0.0317157476380898,-0.0318932858775576,0.0924301603492769,0.0302684372358598,0.0302684372358598,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-22","Sleep environment","Sleep","MPI","Tübingen (DE)",3,4,"BA-M6","primary_any_valid",-0.00545385990874756,0.0242572696560057,-0.0529972347977949,0.0420895149802998,-0.00545385990874756,-0.00545385990874751,4.44089209850063e-16,TRUE,-0.2248340388712,0.822108384734612,0.895807647438067,FALSE,"support_80",-0.00171623779970213,0.0242408244381537,-0.0492273806540418,0.0457949050546375,-0.00171623779970215,-0.00171623779970199,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-23","Sleep environment","Sleep","TUM","Munich (DE)",3,5,"BA-M6","primary_any_valid",-0.0335215504601746,0.0518087598392944,-0.135064853828877,0.0680217529085276,-0.0335215504601746,-0.0335215504601746,4.44089209850063e-16,TRUE,-0.647024761143773,0.517615918126787,0.690616683994313,FALSE,"support_80",-0.0206049027810953,0.0519195123083653,-0.122365277000375,0.0811554714381847,-0.0206049027810953,-0.0206049027810952,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-24","Sleep environment","Sleep","FUSPCEU","Madrid (ES)",3,6,"BA-M6","primary_any_valid",0.0340239732486458,0.0175673468544415,-0.000407393889982587,0.0684553403872743,0.0340239732486458,0.0340239732486458,4.44089209850063e-16,TRUE,1.93677357944598,0.0527730268940319,0.284974345227772,FALSE,"support_80",0.0311326563642431,0.0176581758375511,-0.00347673231003243,0.0657420450385187,0.0311326563642431,0.0311326563642431,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-25","Sleep environment","Sleep","IZTECH","Izmir (TR)",3,7,"BA-M6","primary_any_valid",-0.0232780814982125,0.0365038641015977,-0.0948243404338886,0.0482681774374636,-0.0232780814982125,-0.0232780814982125,4.44089209850063e-16,TRUE,-0.63768814812111,0.523676702108028,0.690616683994313,FALSE,"support_80",-0.0338141011088597,0.0371259583998682,-0.106579642464134,0.0389514402464143,-0.0338141011088598,-0.0338141011088597,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-26","Sleep environment","Sleep","UCR","San José (CR)",3,8,"BA-M6","primary_any_valid",-0.00321057051534426,0.0578471774875153,-0.11658895499817,0.110167813967482,-0.00321057051534432,-0.00321057051534432,4.44089209850063e-16,TRUE,-0.0555009017689269,0.955739411551565,0.986209715178377,FALSE,"support_80",0.000891092205314851,0.0578681127672656,-0.112528324671828,0.114310509082458,0.000891092205314859,0.000891092205314859,-4.44089209850063e-16,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"BA-M6-27","Sleep environment","Sleep","KNUST","Kumasi (GH)",3,9,"BA-M6","primary_any_valid",0.0630871681289673,0.0144506009122169,0.0347645107860605,0.0914098254718741,0.0630871681289673,0.0630871681289673,4.44089209850063e-16,TRUE,4.36571243730299,1.26709086366417e-05,0.000342114533189325,TRUE,"support_80",0.064070235432005,0.0147259342262482,0.0352079347098528,0.0929325361541573,0.064070235432005,0.0640702354320052,-4.44089209850063e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
