ordinal,timestamp,call_id,within_call_index,observation_id_if_unambiguous,image_path,metadata_path,bytes,sha256,mime_type
11,2026-09-14T15:20:44.784Z,call_PesM1sP58GikVgLQouUN8C4Z,1,I1440-S17-bottom,browser_captures/2026-09-14T152044784Z_call_PesM1sP58GikVgLQouUN8C4Z_1.jpg,browser_captures/2026-09-14T152044784Z_call_PesM1sP58GikVgLQouUN8C4Z.json,132874,4e11fe9cad261739fa08f5487fcce1c1e49e35eb983321e75b54cae1b16382f6,image/jpeg
12,2026-09-14T15:21:03.086Z,call_eOvz08z8YAQ8xkFSC5U5lxWB,1,I1440-S18-bottom,browser_captures/2026-09-14T152103086Z_call_eOvz08z8YAQ8xkFSC5U5lxWB_1.jpg,browser_captures/2026-09-14T152103086Z_call_eOvz08z8YAQ8xkFSC5U5lxWB.json,140323,da17b25ba2f1fae853e497bcada1fe5a0a2a576969c20a7bbcfb7005a18442c4,image/jpeg
13,2026-09-14T15:21:03.086Z,call_eOvz08z8YAQ8xkFSC5U5lxWB,2,I1440-S8-top,browser_captures/2026-09-14T152103086Z_call_eOvz08z8YAQ8xkFSC5U5lxWB_2.jpg,browser_captures/2026-09-14T152103086Z_call_eOvz08z8YAQ8xkFSC5U5lxWB.json,184141,36ae83f238f08c4538eaf09594ea5329408504a9de88ba8ff8078d2290247d59,image/jpeg
14,2026-09-14T15:21:20.468Z,call_J3WcwbFgFiqtXaWr1RrO234J,1,I1440-S8-bottom,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J_1.jpg,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J.json,163108,330c5ab296918fcb2f77c055be10545542f2240454a0221c097ec930e3f273a6,image/jpeg
15,2026-09-14T15:21:20.468Z,call_J3WcwbFgFiqtXaWr1RrO234J,2,I1440-T2-left,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J_2.jpg,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J.json,202024,576cf3abc3478e68219003b0bbae054177a2f39c423dc24127fd4bc5d881ea39,image/jpeg
16,2026-09-14T15:21:20.468Z,call_J3WcwbFgFiqtXaWr1RrO234J,3,I1440-T2-right,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J_3.jpg,browser_captures/2026-09-14T152120468Z_call_J3WcwbFgFiqtXaWr1RrO234J.json,185447,a1b4e5dc518293abf0af9b71131e7d374a2d680079817fe8f8dfb83533738ccc,image/jpeg
17,2026-09-14T15:21:39.200Z,call_5jRejKt70izxkNErXwhIObIu,1,I1440-S2-left,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu_1.jpg,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu.json,193260,c9c5680c30e93a14dd5bedab454c629a5d51ce67f6110b99d570678ed704a871,image/jpeg
18,2026-09-14T15:21:39.200Z,call_5jRejKt70izxkNErXwhIObIu,2,I1440-S2-right,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu_2.jpg,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu.json,185294,6617ea2aaaf5cb6d6e90c66ea6050b8177de8c2860a09ad169656f045989c400,image/jpeg
19,2026-09-14T15:21:39.200Z,call_5jRejKt70izxkNErXwhIObIu,3,I1440-S2-notes-right,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu_3.jpg,browser_captures/2026-09-14T152139200Z_call_5jRejKt70izxkNErXwhIObIu.json,175419,f594a65d8b416b76d14dd9894e3b24b11b35cd7bdc8700e281050bf2594df9ba,image/jpeg
20,2026-09-14T15:22:02.495Z,call_rTZcr3HQfdUYx8R0MxT9DfHt,1,I1440-S2-notes-left,browser_captures/2026-09-14T152202495Z_call_rTZcr3HQfdUYx8R0MxT9DfHt_1.jpg,browser_captures/2026-09-14T152202495Z_call_rTZcr3HQfdUYx8R0MxT9DfHt.json,205394,1c210faf46fc7f7b488f7748f56f35d769b4d4e77a34b94fc5bed99814fbfd81,image/jpeg
21,2026-09-14T15:22:02.495Z,call_rTZcr3HQfdUYx8R0MxT9DfHt,2,I1440-downloads,browser_captures/2026-09-14T152202495Z_call_rTZcr3HQfdUYx8R0MxT9DfHt_2.jpg,browser_captures/2026-09-14T152202495Z_call_rTZcr3HQfdUYx8R0MxT9DfHt.json,151494,6ed4db3a11facad10c9e8979d90206f9de8ebd9d93922a21ccc3a77f8a979888,image/jpeg
22,2026-09-14T15:22:23.140Z,call_kVh8oHnRGQGQDxRWgRLOcjL4,1,,browser_captures/2026-09-14T152223140Z_call_kVh8oHnRGQGQDxRWgRLOcjL4_1.jpg,browser_captures/2026-09-14T152223140Z_call_kVh8oHnRGQGQDxRWgRLOcjL4.json,153582,b6604b717a9b5b1a5a36d73859bee75fbdbf318cde7441493fb959d30a0d9d1a,image/jpeg
23,2026-09-14T15:22:23.140Z,call_kVh8oHnRGQGQDxRWgRLOcjL4,2,,browser_captures/2026-09-14T152223140Z_call_kVh8oHnRGQGQDxRWgRLOcjL4_2.jpg,browser_captures/2026-09-14T152223140Z_call_kVh8oHnRGQGQDxRWgRLOcjL4.json,172840,644b840c45071c87389db24fb48b6e5508f9ecd28c8248fb87589b96e27d3a12,image/jpeg
24,2026-09-14T15:23:55.620Z,call_3WMmeiUJpY4Mj6BAHC6Ccb5O,1,S1440-S4,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O_1.jpg,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O.json,168503,1c566e6d3fc6c015b45326e732da8315e962cad3a2046695e477adc54edffbad,image/jpeg
25,2026-09-14T15:23:55.620Z,call_3WMmeiUJpY4Mj6BAHC6Ccb5O,2,S1440-S7-top,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O_2.jpg,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O.json,148354,d02d6558b2db9ba6b1b96665bc5761284aae10f7d6751dbb34e30abc08a042aa,image/jpeg
26,2026-09-14T15:23:55.620Z,call_3WMmeiUJpY4Mj6BAHC6Ccb5O,3,S1440-S7-notes,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O_3.jpg,browser_captures/2026-09-14T152355620Z_call_3WMmeiUJpY4Mj6BAHC6Ccb5O.json,160346,9a3e02dbe168b081c0e6685e7bf5f7d1d2d5ea04f8b9c97bb5ca18257f18de63,image/jpeg
27,2026-09-14T15:24:22.598Z,call_cLqAhmnFStBUwrG1WwtZinvn,1,S1440-S4-full,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn_1.jpg,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn.json,173278,0e78e08fda9ffa46610bb9bb18b7dae67f2094f65a8eac73796c3813518a126d,image/jpeg
28,2026-09-14T15:24:22.598Z,call_cLqAhmnFStBUwrG1WwtZinvn,2,S1440-S15,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn_2.jpg,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn.json,116642,1ba886c6c9c31355bbecc4f68acdda7619847c0fe0d6a2c34a2aa29a05983dd5,image/jpeg
29,2026-09-14T15:24:22.598Z,call_cLqAhmnFStBUwrG1WwtZinvn,3,S1440-S16,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn_3.jpg,browser_captures/2026-09-14T152422598Z_call_cLqAhmnFStBUwrG1WwtZinvn.json,158706,8c71e223741974efee8911c766339adc58e55d8088510b296404bfd048a14418,image/jpeg
30,2026-09-14T15:24:43.270Z,call_APeTe5Wk4cY9KvAnB4z0TzKN,1,S1440-S17-top,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN_1.jpg,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN.json,109740,40d222f12ba346d0fc1f641e341e472a247a7a67abb185df17e7a4183ed76a21,image/jpeg
31,2026-09-14T15:24:43.270Z,call_APeTe5Wk4cY9KvAnB4z0TzKN,2,S1440-S17-bottom,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN_2.jpg,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN.json,110270,f6d82911283b79d43fa79738d86dc5b021fd5b14b0fa8ac080fb4092aafc0f56,image/jpeg
32,2026-09-14T15:24:43.270Z,call_APeTe5Wk4cY9KvAnB4z0TzKN,3,S1440-S18,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN_3.jpg,browser_captures/2026-09-14T152443270Z_call_APeTe5Wk4cY9KvAnB4z0TzKN.json,111519,72dbd63d5f4a4a3d783920d23efdb97f3ff7ac24505ac49ffa954cbd7d85d36d,image/jpeg
33,2026-09-14T15:25:08.686Z,call_cB6IXv5BdmZFsA0PmKejcSUz,1,S1440-S18-notes,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz_1.jpg,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz.json,116950,e03fc64e4e14c28831685c5502cb54f2e60b80a4f4f03adaa38c4418a6bc306b,image/jpeg
34,2026-09-14T15:25:08.686Z,call_cB6IXv5BdmZFsA0PmKejcSUz,2,S1440-S8-top,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz_2.jpg,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz.json,166743,ccb465d6654a9a9da9340090427ed62429a18d810deea577dc554229ba718b54,image/jpeg
35,2026-09-14T15:25:08.686Z,call_cB6IXv5BdmZFsA0PmKejcSUz,3,S1440-S8-bottom,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz_3.jpg,browser_captures/2026-09-14T152508686Z_call_cB6IXv5BdmZFsA0PmKejcSUz.json,137065,7f2fd2ccddbc597022b48cbb305781bdc3adb378ad0209d74f15e12b3129366a,image/jpeg
36,2026-09-14T15:25:38.285Z,call_PbFuFRY9WhMZ8cGzvlgThJVA,1,S1440-S2-left,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA_1.jpg,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA.json,178625,77d8d1dc88ebec87531ad792d1de8a1e5683d6770a1e259677ca7d3f01fd432c,image/jpeg
37,2026-09-14T15:25:38.285Z,call_PbFuFRY9WhMZ8cGzvlgThJVA,2,S1440-S2-right,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA_2.jpg,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA.json,169891,5a7bfae53626a957dbeb5d98da4a5987d4207f2e04c5dc6c81a98249cb34ccd2,image/jpeg
38,2026-09-14T15:25:38.285Z,call_PbFuFRY9WhMZ8cGzvlgThJVA,3,S1440-S2-notes-right,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA_3.jpg,browser_captures/2026-09-14T152538285Z_call_PbFuFRY9WhMZ8cGzvlgThJVA.json,159078,1dcc3b0e9b6ad3f5c1a1c5782adefcd894c306aa3d61a10ff63785d42006558a,image/jpeg
39,2026-09-14T15:26:01.755Z,call_3Fcq9bPQtcOpplI0dMeedxid,1,S1440-S2-notes-left,browser_captures/2026-09-14T152601755Z_call_3Fcq9bPQtcOpplI0dMeedxid_1.jpg,browser_captures/2026-09-14T152601755Z_call_3Fcq9bPQtcOpplI0dMeedxid.json,189643,733c9bedfcde0eb92e3806d09778bf307023e505e3425910e121e11c829cc1d6,image/jpeg
40,2026-09-14T15:26:01.755Z,call_3Fcq9bPQtcOpplI0dMeedxid,2,S708-S4-left,browser_captures/2026-09-14T152601755Z_call_3Fcq9bPQtcOpplI0dMeedxid_2.jpg,browser_captures/2026-09-14T152601755Z_call_3Fcq9bPQtcOpplI0dMeedxid.json,116328,3e79ed8f3a68a770939aa9a573f25713c6bd28b491451254977e3019054a45b6,image/jpeg
41,2026-09-14T15:26:22.821Z,call_AlWKzmgJUyobnFBvLHeS0Mep,1,S708-S4-right,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep_1.jpg,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep.json,114719,a24a744937f3cb03f672c88f81aa0f7d4eec1a038f060df52b5f47a92aa2d589,image/jpeg
42,2026-09-14T15:26:22.821Z,call_AlWKzmgJUyobnFBvLHeS0Mep,2,S708-S7-left,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep_2.jpg,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep.json,87058,92a78443fe4de6279a92f41887016dfe00d77f6efb79625fc3d5319550bfb854,image/jpeg
43,2026-09-14T15:26:22.821Z,call_AlWKzmgJUyobnFBvLHeS0Mep,3,S708-S7-right,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep_3.jpg,browser_captures/2026-09-14T152622821Z_call_AlWKzmgJUyobnFBvLHeS0Mep.json,89003,b95db87b6aefb83fc93a1707887335875be38a4c2cf3604b5cda5229b6aee4d7,image/jpeg
44,2026-09-14T15:26:44.363Z,call_fm9JTQhErDCuykm2wE66oJMS,1,S708-S7-notes-right,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS_1.jpg,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS.json,90020,af143a35a77ae7b0e5bc91034020c6065d65dce9273193c17bde6ac5153ca375,image/jpeg
45,2026-09-14T15:26:44.363Z,call_fm9JTQhErDCuykm2wE66oJMS,2,S708-S7-notes-left,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS_2.jpg,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS.json,100346,31576f47904e4766108650af50ef638658a15045dd2e37a8fadb8ce6afb27126,image/jpeg
46,2026-09-14T15:26:44.363Z,call_fm9JTQhErDCuykm2wE66oJMS,3,S708-S15,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS_3.jpg,browser_captures/2026-09-14T152644363Z_call_fm9JTQhErDCuykm2wE66oJMS.json,88223,ce6c7e201f58f34a271e787bb45ba340d50416d4f474d0d5b16ece35b8e130e1,image/jpeg
47,2026-09-14T15:27:24.768Z,call_UmCKNJzVAb4kEd05AeEM49TH,1,S708-S16,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH_1.jpg,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH.json,111293,b0eebbbb0e785e2b491cbd033baaf2382ec23489580462b1c5fb80da41bdd0c8,image/jpeg
48,2026-09-14T15:27:24.768Z,call_UmCKNJzVAb4kEd05AeEM49TH,2,S708-S17,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH_2.jpg,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH.json,78371,93743f60a57f4be705abb1230f9beed1bf74101c0db88b3671f7ad69a88fd57e,image/jpeg
49,2026-09-14T15:27:24.768Z,call_UmCKNJzVAb4kEd05AeEM49TH,3,S708-S17-bottom,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH_3.jpg,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH.json,77945,2909edf02df56f9e21ac779853ad41340d60e57f2488d6b6d84ff77cfcac3294,image/jpeg
50,2026-09-14T15:27:24.768Z,call_UmCKNJzVAb4kEd05AeEM49TH,4,S708-S18,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH_4.jpg,browser_captures/2026-09-14T152724768Z_call_UmCKNJzVAb4kEd05AeEM49TH.json,79082,1d478d96337ffea687f23ad560ea40b30460762d29306abd020748dbc368bb3c,image/jpeg
51,2026-09-14T15:27:52.926Z,call_Q4SaohcqyvueHp7grfH9mR7E,1,S708-S8-top,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E_1.jpg,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E.json,107441,75082e0bd2223aab2a25c2c6b8a54cc5fd7ec9f162b6efd523403073b85bacae,image/jpeg
52,2026-09-14T15:27:52.926Z,call_Q4SaohcqyvueHp7grfH9mR7E,2,S708-S8-bottom,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E_2.jpg,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E.json,101807,4da2a493697028b89821f680bbcf6c0be4c34b5e67c90bf92e68399ce8e32628,image/jpeg
53,2026-09-14T15:27:52.926Z,call_Q4SaohcqyvueHp7grfH9mR7E,3,S708-S2-left,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E_3.jpg,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E.json,101850,4ef390894846656168db1019e669d7c6e38c58daf95440061647e28085ffe2ec,image/jpeg
54,2026-09-14T15:27:52.926Z,call_Q4SaohcqyvueHp7grfH9mR7E,4,S708-S2-right,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E_4.jpg,browser_captures/2026-09-14T152752926Z_call_Q4SaohcqyvueHp7grfH9mR7E.json,95661,4ba0b94d7580c6db79c8f0d3209587be29261890b73f7eb56fd53a750f540aa3,image/jpeg
55,2026-09-14T15:28:21.939Z,call_nOW8bhMb5EBG1AdQYEER9E5g,1,,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g_1.jpg,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g.json,90830,b9237d5a30f0ea142c8e79f162bbd61a97f28a263f143eb8e448eda02513d0d9,image/jpeg
56,2026-09-14T15:28:21.939Z,call_nOW8bhMb5EBG1AdQYEER9E5g,2,,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g_2.jpg,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g.json,114927,5f02fc030e3d784d41c110e89d07d8840e8b65ac3c007d7635a86ce3855fcb7a,image/jpeg
57,2026-09-14T15:28:21.939Z,call_nOW8bhMb5EBG1AdQYEER9E5g,3,,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g_3.jpg,browser_captures/2026-09-14T152821939Z_call_nOW8bhMb5EBG1AdQYEER9E5g.json,73689,50d7e43127077662798375a6b56f895b1ede59d60c307dc28464b1bd6767e4e1,image/jpeg
58,2026-09-14T15:28:49.845Z,call_FG91vrwYEKcY51zvsrwl9DRI,1,,browser_captures/2026-09-14T152849845Z_call_FG91vrwYEKcY51zvsrwl9DRI_1.jpg,browser_captures/2026-09-14T152849845Z_call_FG91vrwYEKcY51zvsrwl9DRI.json,75235,585d78d83cf8670bdb4e23fc838dea5546aa823a7b5c1d2ada92a84df83d6fd8,image/jpeg
59,2026-09-14T15:28:49.845Z,call_FG91vrwYEKcY51zvsrwl9DRI,2,,browser_captures/2026-09-14T152849845Z_call_FG91vrwYEKcY51zvsrwl9DRI_2.jpg,browser_captures/2026-09-14T152849845Z_call_FG91vrwYEKcY51zvsrwl9DRI.json,53193,323425ce717ae883010fca712af5b10148a0adef841f1119865f42ad4f8b8ea7,image/jpeg
60,2026-09-14T15:29:24.498Z,call_EqVq3FlCopbNsH3TMrr4ZNWr,1,S708-passage-changes,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr_1.jpg,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr.json,113592,8d804e6ab9d4dc17038d552c1943e68fec6907a00777183eeebc7ee1b2aaf9e3,image/jpeg
61,2026-09-14T15:29:24.498Z,call_EqVq3FlCopbNsH3TMrr4ZNWr,2,I708-S4-left,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr_2.jpg,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr.json,114394,797439986e8c91501bf2b1fdedd5fa9be69e823ee6def380a3fe39682de7cd4c,image/jpeg
62,2026-09-14T15:29:24.498Z,call_EqVq3FlCopbNsH3TMrr4ZNWr,3,I708-S4-right,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr_3.jpg,browser_captures/2026-09-14T152924498Z_call_EqVq3FlCopbNsH3TMrr4ZNWr.json,113488,f476ffb1237a7a8ad4f2a6ab4080e65f8f49f819ee5954ab62916d96785b7aaa,image/jpeg
63,2026-09-14T15:29:57.725Z,call_XlovETkSCpliGNHvzFOD2Ft2,1,I708-S4-full-right,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2_1.jpg,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2.json,119351,12fcb5f5294a489d7330e173e354b0ed2b083207bac63a325aa769bab2c8b239,image/jpeg
64,2026-09-14T15:29:57.725Z,call_XlovETkSCpliGNHvzFOD2Ft2,2,I708-S7-left,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2_2.jpg,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2.json,86467,13037ba9ac2e6c2bae17b7415b7155d3c3487b4720ac2c45d497c1307cdc36dc,image/jpeg
65,2026-09-14T15:29:57.725Z,call_XlovETkSCpliGNHvzFOD2Ft2,3,I708-S7-right,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2_3.jpg,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2.json,88580,c3d5da07a2f5796888429652effa37ffa69eaac83ae70a6d341725d0353a31a5,image/jpeg
66,2026-09-14T15:29:57.725Z,call_XlovETkSCpliGNHvzFOD2Ft2,4,I708-S7-notes-right,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2_4.jpg,browser_captures/2026-09-14T152957725Z_call_XlovETkSCpliGNHvzFOD2Ft2.json,90505,46c7897104bcb5fe098c5449675705fde5b13d329ba114f06588e291837cb4a1,image/jpeg
67,2026-09-14T15:30:25.190Z,call_KtnCvhlbM5wBWmcZIapXNvZM,1,I708-S7-notes-left,browser_captures/2026-09-14T153025190Z_call_KtnCvhlbM5wBWmcZIapXNvZM_1.jpg,browser_captures/2026-09-14T153025190Z_call_KtnCvhlbM5wBWmcZIapXNvZM.json,100885,30794a051a18c2737ac9ec0811ccf0cca23ba9b76fab7dc018894fbef64f0b54,image/jpeg
