run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,gaussian,clock_minutes,difference,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,gaussian,clock_minutes_after_16,difference,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,867,154,867,867,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,867,154,867,867,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,867,154,867,867,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,gaussian,log10_offset_0.1,ratio,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,gaussian,identity,difference,723,152,723,723,,,8,84,68,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,141,141,,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,141,141,,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,4,m10_mean_medi,Brightest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,5,l10_mean_medi,Darkest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,tweedie_log,identity,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,tweedie_log,identity,ratio,755,140,755,755,,,9,78,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,gaussian,identity,difference,780,141,780,780,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,tweedie_log,identity,ratio,790,141,790,790,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,gaussian,log10_offset_0.1,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,gaussian,clock_minutes,difference,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,gaussian,clock_minutes_after_16,difference,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,778,141,778,778,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,778,141,778,778,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,778,141,778,778,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,gaussian,log10_offset_0.1,ratio,811,141,811,811,,,9,79,62,18,68
gap_timing_unaware__glasses__all_available,gap_timing_unaware,glasses,all_available,gap_timing_unaware_near_eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,gaussian,identity,difference,687,137,687,687,,,9,76,61,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,153,153,,900,20845.366666666665,21600,8,85,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,153,153,,900,20845.366666666665,21600,8,85,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,902,154,902,902,20891.75,21648,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,4,m10_mean_medi,Brightest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,902,154,902,902,,,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,5,l10_mean_medi,Darkest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,902,154,902,902,,,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,tweedie_log,identity,ratio,902,154,902,902,20891.75,21648,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,tweedie_log,identity,ratio,818,154,818,818,10297.716666666667,10727.6,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,gaussian,identity,difference,743,153,743,743,2180.1,2205.5,8,85,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,tweedie_log,identity,ratio,861,154,861,861,6871.416666666667,6873.866666666667,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,gaussian,log10_offset_0.1,ratio,902,154,902,902,20891.75,21648,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,gaussian,clock_minutes,difference,902,154,902,902,,,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,gaussian,clock_minutes_after_16,difference,902,154,902,902,,,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,831,154,831,831,19336.133333333335,19943,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,802,154,802,802,18634.65,19247,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,787,154,787,787,18358.116666666665,18887,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,gaussian,log10_offset_0.1,ratio,851,154,851,851,19814.9,20424,8,86,68,18,68
primary__chest__all_available,primary,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,gaussian,identity,difference,732,152,732,732,11145.3,17568,8,84,68,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,141,141,,816,18851,19586,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,141,141,,816,18851,19586,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,816,141,816,816,18851,19586,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,4,m10_mean_medi,Brightest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,816,141,816,816,,,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,5,l10_mean_medi,Darkest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,816,141,816,816,,,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,tweedie_log,identity,ratio,816,141,816,816,18851,19586,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,tweedie_log,identity,ratio,737,141,737,737,9174.283333333333,9586.383333333333,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,gaussian,identity,difference,655,139,655,655,1925.5333333333333,1954.25,9,77,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,tweedie_log,identity,ratio,778,141,778,778,6282.516666666666,6286.533333333334,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,gaussian,log10_offset_0.1,ratio,816,141,816,816,18851,19586,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,11,m10_midpoint,Midpoint of the brightest 10 hours,participant_day,gaussian,clock_minutes,difference,816,141,816,816,,,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,12,l10_midpoint,Midpoint of the darkest 10 hours,participant_day,gaussian,clock_minutes_after_16,difference,816,141,816,816,,,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,742,141,742,742,17209.633333333335,17808,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,14,first_timing_above_250,First light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,727,140,727,727,16832.5,17448,9,78,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,participant_day,gaussian,clock_minutes,difference,687,141,687,687,15995.05,16487,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,16,dose_time_sensitive_corrected_medi,melEDI dose,participant_day,gaussian,log10_offset_0.1,ratio,761,141,761,761,17678.816666666666,18265,9,79,62,18,68
primary__glasses__all_available,primary,glasses,all_available,primary_near_eye,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,participant_day,gaussian,identity,difference,702,137,702,702,10949.916666666666,16848,9,76,61,18,68
